gene_symbol,mean_logfc,median_logfc,common_experiment,organism,signature_type
PDLIM4,0.3704384505442897,0.3704384505442897,0.3704384505442897,human,UP
GPC1,0.3681346658654954,0.3681346658654954,0.3681346658654954,human,UP
AXL,0.367091937914253,0.367091937914253,0.367091937914253,human,UP
ARF6,0.3546902939481584,0.3546902939481584,0.3546902939481584,human,UP
NEAT1,0.342618931628591,0.342618931628591,0.342618931628591,human,UP
AEBP1,0.3267637999296695,0.3267637999296695,0.3267637999296695,human,UP
MCAM,0.3219254657771553,0.3219254657771553,0.3219254657771553,human,UP
SLC7A2,0.3137131787627792,0.3137131787627792,0.3137131787627792,human,UP
CEBPB,0.3034581052761207,0.3034581052761207,0.3034581052761207,human,UP
SEC61G,0.3027386775984899,0.3027386775984899,0.3027386775984899,human,UP
NBL1,0.298166001120565,0.298166001120565,0.298166001120565,human,UP
AKAP12,0.2919163177995496,0.2919163177995496,0.2919163177995496,human,UP
PHLDA1,0.2857130415396569,0.2857130415396569,0.2857130415396569,human,UP
IFITM2,0.2840532752273988,0.2840532752273988,0.2840532752273988,human,UP
HLA-C,0.2839872624326936,0.2839872624326936,0.2839872624326936,human,UP
SAMD4A,0.2749028787000515,0.2749028787000515,0.2749028787000515,human,UP
PRSS23,0.2620049178543566,0.2620049178543566,0.2620049178543566,human,UP
TMCO3,0.2618468043132504,0.2618468043132504,0.2618468043132504,human,UP
SPSB1,0.2575439589576269,0.2575439589576269,0.2575439589576269,human,UP
COL5A2,0.2574942516964254,0.2574942516964254,0.2574942516964254,human,UP
PDE3A,0.2565058819893942,0.2565058819893942,0.2565058819893942,human,UP
ITPRIP,0.2552671022772499,0.2552671022772499,0.2552671022772499,human,UP
NFIA,0.2536907554709249,0.2536907554709249,0.2536907554709249,human,UP
GNA13,0.2532618126429258,0.2532618126429258,0.2532618126429258,human,UP
TMEM43,0.2448334864697024,0.2448334864697024,0.2448334864697024,human,UP
MAT2A,0.2437591061727242,0.2437591061727242,0.2437591061727242,human,UP
PRKAB2,0.2372932516321234,0.2372932516321234,0.2372932516321234,human,UP
SGIP1,0.228204653228258,0.228204653228258,0.228204653228258,human,UP
CHD4,0.2257138933379024,0.2257138933379024,0.2257138933379024,human,UP
SELENOS,0.2242798941600108,0.2242798941600108,0.2242798941600108,human,UP
KDM6B,0.2199180856514993,0.2199180856514993,0.2199180856514993,human,UP
PTHLH,0.216301510649588,0.216301510649588,0.216301510649588,human,UP
NOTCH3,0.2150220200209518,0.2150220200209518,0.2150220200209518,human,UP
LEPROT,0.2139338048969929,0.2139338048969929,0.2139338048969929,human,UP
SERINC1,0.2086932156912411,0.2086932156912411,0.2086932156912411,human,UP
MEG8,0.2083132455678763,0.2083132455678763,0.2083132455678763,human,UP
DDX6,0.2010439692071003,0.2010439692071003,0.2010439692071003,human,UP
HSPG2,0.1950038968769273,0.1950038968769273,0.1950038968769273,human,UP
RNASEK,0.1948841686184721,0.1948841686184721,0.1948841686184721,human,UP
SMIM3,0.1874749284931367,0.1874749284931367,0.1874749284931367,human,UP
PALLD,0.1842462172356312,0.1842462172356312,0.1842462172356312,human,UP
COL4A2,0.1835951313585977,0.1835951313585977,0.1835951313585977,human,UP
SF3B1,0.183232074404563,0.183232074404563,0.183232074404563,human,UP
F3,0.1744822332305171,0.1744822332305171,0.1744822332305171,human,UP
AC020916.1,0.1728975680509923,0.1728975680509923,0.1728975680509923,human,UP
GPBP1,0.1727323697573324,0.1727323697573324,0.1727323697573324,human,UP
ZFP36L2,0.1726762442174341,0.1726762442174341,0.1726762442174341,human,UP
LSM8,0.1688151149433073,0.1688151149433073,0.1688151149433073,human,UP
KMT5A,0.1658712212722971,0.1658712212722971,0.1658712212722971,human,UP
TSKU,0.1632272267365434,0.1632272267365434,0.1632272267365434,human,UP
SMIM12,0.1562766087871539,0.1562766087871539,0.1562766087871539,human,UP
MAGT1,0.1527777336968924,0.1527777336968924,0.1527777336968924,human,UP
TMBIM6,0.1501592243872387,0.1501592243872387,0.1501592243872387,human,UP
IGF1R,0.1497349926442451,0.1497349926442451,0.1497349926442451,human,UP
