gene_symbol,mean_logfc,median_logfc,common_experiment,organism,signature_type
PLK3,0.5178791693278211,0.5178791693278211,0.5178791693278211,human,UP
SH3BGRL3,0.5173679458287583,0.5173679458287583,0.5173679458287583,human,UP
ANGPTL4,0.5080750773374108,0.5080750773374108,0.5080750773374108,human,UP
REV3L,0.5026150030049001,0.5026150030049001,0.5026150030049001,human,UP
PDGFRB,0.5008609102093436,0.5008609102093436,0.5008609102093436,human,UP
CXCL3,0.5004257319594694,0.5004257319594694,0.5004257319594694,human,UP
TMEM158,0.4952361362902526,0.4952361362902526,0.4952361362902526,human,UP
CCN1,0.4941072562176863,0.4941072562176863,0.4941072562176863,human,UP
ARID5B,0.4924449297703781,0.4924449297703781,0.4924449297703781,human,UP
LOXL2,0.4893386400662805,0.4893386400662805,0.4893386400662805,human,UP
MT1E,0.485232875272977,0.485232875272977,0.485232875272977,human,UP
COL4A1,0.4839968786634929,0.4839968786634929,0.4839968786634929,human,UP
INAFM1,0.480200712480467,0.480200712480467,0.480200712480467,human,UP
IFI27,0.4732373245216739,0.4732373245216739,0.4732373245216739,human,UP
MMP10,0.4727808919466003,0.4727808919466003,0.4727808919466003,human,UP
CNN1,0.468392689065576,0.468392689065576,0.468392689065576,human,UP
SULF1,0.4667354175124864,0.4667354175124864,0.4667354175124864,human,UP
TNFSF9,0.4613519385949045,0.4613519385949045,0.4613519385949045,human,UP
TBX3,0.4612647420987417,0.4612647420987417,0.4612647420987417,human,UP
PHLDA1,0.459638741911184,0.459638741911184,0.459638741911184,human,UP
ACTA2,0.4590340323047271,0.4590340323047271,0.4590340323047271,human,UP
EGR3,0.4537739347515046,0.4537739347515046,0.4537739347515046,human,UP
ETS2,0.4536627831144633,0.4536627831144633,0.4536627831144633,human,UP
CDKN1C,0.4497950555896122,0.4497950555896122,0.4497950555896122,human,UP
CEBPB,0.4468962305124049,0.4468962305124049,0.4468962305124049,human,UP
MIDN,0.4464504096559869,0.4464504096559869,0.4464504096559869,human,UP
AKAP12,0.4436454372252959,0.4436454372252959,0.4436454372252959,human,UP
ARC,0.439865133134927,0.439865133134927,0.439865133134927,human,UP
HTRA1,0.4396143167207694,0.4396143167207694,0.4396143167207694,human,UP
GADD45A,0.4378863458015929,0.4378863458015929,0.4378863458015929,human,UP
GEM,0.4373709215136428,0.4373709215136428,0.4373709215136428,human,UP
TIMP3,0.4353815078844405,0.4353815078844405,0.4353815078844405,human,UP
ID4,0.4308416326531237,0.4308416326531237,0.4308416326531237,human,UP
CREB5,0.4287781363722065,0.4287781363722065,0.4287781363722065,human,UP
THBS2,0.4255782352646859,0.4255782352646859,0.4255782352646859,human,UP
KLF9,0.420353679067353,0.420353679067353,0.420353679067353,human,UP
PPP1CB,0.420104508069878,0.420104508069878,0.420104508069878,human,UP
WEE1,0.4192958627695339,0.4192958627695339,0.4192958627695339,human,UP
PLAUR,0.4179673346196306,0.4179673346196306,0.4179673346196306,human,UP
S100A6,0.4178700818911203,0.4178700818911203,0.4178700818911203,human,UP
HLA-A,0.4123156094341227,0.4123156094341227,0.4123156094341227,human,UP
RARRES1,0.4106405955485003,0.4106405955485003,0.4106405955485003,human,UP
CALD1,0.4103987791076782,0.4103987791076782,0.4103987791076782,human,UP
LRPAP1,0.4064661204124969,0.4064661204124969,0.4064661204124969,human,UP
SLC2A3,0.4056920933582653,0.4056920933582653,0.4056920933582653,human,UP
COL4A2,0.4053467633334848,0.4053467633334848,0.4053467633334848,human,UP
MAP3K8,0.4045401229415339,0.4045401229415339,0.4045401229415339,human,UP
CCDC71L,0.4001094852134798,0.4001094852134798,0.4001094852134798,human,UP
DDIT3,0.3985340722266573,0.3985340722266573,0.3985340722266573,human,UP
SLPI,0.3981500833410849,0.3981500833410849,0.3981500833410849,human,UP
PPP1R14A,0.3972607834485149,0.3972607834485149,0.3972607834485149,human,UP
RGS3,0.3961568663609459,0.3961568663609459,0.3961568663609459,human,UP
CCNL1,0.39614707138331,0.39614707138331,0.39614707138331,human,UP
MRPS24,0.3939583290837612,0.3939583290837612,0.3939583290837612,human,UP
MYADM,0.3895052245391124,0.3895052245391124,0.3895052245391124,human,UP
UPP1,0.3845029275288966,0.3845029275288966,0.3845029275288966,human,UP
GBP1,0.3823629018983162,0.3823629018983162,0.3823629018983162,human,UP
FOS,0.380098803691574,0.380098803691574,0.380098803691574,human,UP
S100A10,0.3797879714257236,0.3797879714257236,0.3797879714257236,human,UP
VEGFA,0.3796023165188487,0.3796023165188487,0.3796023165188487,human,UP
FAM118A,0.3789110949685112,0.3789110949685112,0.3789110949685112,human,UP
SPON2,0.3764559043833264,0.3764559043833264,0.3764559043833264,human,UP
PIM1,0.3726750053151497,0.3726750053151497,0.3726750053151497,human,UP
A2M,0.3717853881342553,0.3717853881342553,0.3717853881342553,human,UP
DUSP2,0.3716022898833335,0.3716022898833335,0.3716022898833335,human,UP
FN1,0.3697433488137678,0.3697433488137678,0.3697433488137678,human,UP
PDLIM4,0.3690360867100102,0.3690360867100102,0.3690360867100102,human,UP
FAP,0.3674752452919405,0.3674752452919405,0.3674752452919405,human,UP
IFI6,0.3644661244771881,0.3644661244771881,0.3644661244771881,human,UP
SAT1,0.3600587928560017,0.3600587928560017,0.3600587928560017,human,UP
LAMC3,0.3589993107449634,0.3589993107449634,0.3589993107449634,human,UP
GDF15,0.3577516570779469,0.3577516570779469,0.3577516570779469,human,UP
AC020916.1,0.3568098639587637,0.3568098639587637,0.3568098639587637,human,UP
AKAP13,0.3560606248973052,0.3560606248973052,0.3560606248973052,human,UP
ID3,0.3547803742355624,0.3547803742355624,0.3547803742355624,human,UP
CSRP1,0.3534205882933652,0.3534205882933652,0.3534205882933652,human,UP
SERTAD1,0.3524936082744792,0.3524936082744792,0.3524936082744792,human,UP
ABCA1,0.3521119631722494,0.3521119631722494,0.3521119631722494,human,UP
KLF2,0.3472739196046317,0.3472739196046317,0.3472739196046317,human,UP
RARRES2,0.3467239455356728,0.3467239455356728,0.3467239455356728,human,UP
NFIL3,0.3456750589479247,0.3456750589479247,0.3456750589479247,human,UP
VMP1,0.3453764884179658,0.3453764884179658,0.3453764884179658,human,UP
APOD,0.3449478689244573,0.3449478689244573,0.3449478689244573,human,UP
ZFP36L1,0.3441503661887308,0.3441503661887308,0.3441503661887308,human,UP
WTAP,0.3436787673860811,0.3436787673860811,0.3436787673860811,human,UP
DCN,0.3425940734810582,0.3425940734810582,0.3425940734810582,human,UP
BTBD3,0.3418693195272347,0.3418693195272347,0.3418693195272347,human,UP
CD44,0.3394508772027274,0.3394508772027274,0.3394508772027274,human,UP
COL18A1,0.3361138938324385,0.3361138938324385,0.3361138938324385,human,UP
PDLIM1,0.3350143996179,0.3350143996179,0.3350143996179,human,UP
ACP5,0.3343421272219714,0.3343421272219714,0.3343421272219714,human,UP
COL5A2,0.3343327743740427,0.3343327743740427,0.3343327743740427,human,UP
HILPDA,0.3335599730975605,0.3335599730975605,0.3335599730975605,human,UP
MYC,0.3322332518453963,0.3322332518453963,0.3322332518453963,human,UP
