gene_symbol,mean_logfc,median_logfc,common_experiment,organism,signature_type
INO80D,0.3428217644644496,0.3428217644644496,0.3428217644644496,human,UP
PPP1R18,0.3413257527627641,0.3413257527627641,0.3413257527627641,human,UP
ENPEP,0.3407325286740623,0.3407325286740623,0.3407325286740623,human,UP
TSC22D3,0.3391369391973128,0.3391369391973128,0.3391369391973128,human,UP
RSRP1,0.3321799853688254,0.3321799853688254,0.3321799853688254,human,UP
GOLGB1,0.3309221713366808,0.3309221713366808,0.3309221713366808,human,UP
RPLP0,0.3302475633676227,0.3302475633676227,0.3302475633676227,human,UP
VASN,0.3287256950094065,0.3287256950094065,0.3287256950094065,human,UP
MTCH1,0.3276254723633107,0.3276254723633107,0.3276254723633107,human,UP
RASD1,0.3275628866731968,0.3275628866731968,0.3275628866731968,human,UP
H3F3B,0.3273966051683872,0.3273966051683872,0.3273966051683872,human,UP
ZFAS1,0.3239334986629396,0.3239334986629396,0.3239334986629396,human,UP
RND3,0.3233410666875853,0.3233410666875853,0.3233410666875853,human,UP
RELB,0.3217809959722966,0.3217809959722966,0.3217809959722966,human,UP
RLF,0.3212985860811678,0.3212985860811678,0.3212985860811678,human,UP
DDR2,0.3193834672552316,0.3193834672552316,0.3193834672552316,human,UP
PLEKHM2,0.3171975033596744,0.3171975033596744,0.3171975033596744,human,UP
KIAA0232,0.3128626872598902,0.3128626872598902,0.3128626872598902,human,UP
TARDBP,0.3127943277963955,0.3127943277963955,0.3127943277963955,human,UP
SRSF5,0.3123586592884977,0.3123586592884977,0.3123586592884977,human,UP
GLUL,0.3115748426530184,0.3115748426530184,0.3115748426530184,human,UP
RPL7,0.3088979769949542,0.3088979769949542,0.3088979769949542,human,UP
FOSL1,0.3072925842058351,0.3072925842058351,0.3072925842058351,human,UP
CD9,0.3032029383097223,0.3032029383097223,0.3032029383097223,human,UP
ADAMTS9,0.3025977908800311,0.3025977908800311,0.3025977908800311,human,UP
FOSB,0.3024961240434849,0.3024961240434849,0.3024961240434849,human,UP
SNHG8,0.3023929523419677,0.3023929523419677,0.3023929523419677,human,UP
PPP2CA,0.3020451587763624,0.3020451587763624,0.3020451587763624,human,UP
DST,0.3016921429908694,0.3016921429908694,0.3016921429908694,human,UP
RGCC,0.301417122716253,0.301417122716253,0.301417122716253,human,UP
BAZ1B,0.3012269773922845,0.3012269773922845,0.3012269773922845,human,UP
NOP58,0.2983574657487116,0.2983574657487116,0.2983574657487116,human,UP
RPL9,0.2953866345184029,0.2953866345184029,0.2953866345184029,human,UP
PTGES3,0.2943954437614411,0.2943954437614411,0.2943954437614411,human,UP
PPP1R2,0.2937579163643746,0.2937579163643746,0.2937579163643746,human,UP
ATP2B4,0.2934594679636244,0.2934594679636244,0.2934594679636244,human,UP
SETD2,0.2910110461021082,0.2910110461021082,0.2910110461021082,human,UP
SOCS3,0.2884390686975398,0.2884390686975398,0.2884390686975398,human,UP
CDK6,0.2870238384913032,0.2870238384913032,0.2870238384913032,human,UP
ELMSAN1,0.2835656294552218,0.2835656294552218,0.2835656294552218,human,UP
IGFBP4,0.2830743473650492,0.2830743473650492,0.2830743473650492,human,UP
CCT2,0.2824479459550666,0.2824479459550666,0.2824479459550666,human,UP
SH3PXD2A,0.2815595801612515,0.2815595801612515,0.2815595801612515,human,UP
PER1,0.2779290412289082,0.2779290412289082,0.2779290412289082,human,UP
BRD2,0.27787078389902,0.27787078389902,0.27787078389902,human,UP
ZBTB10,0.2778241854761753,0.2778241854761753,0.2778241854761753,human,UP
ING1,0.2775827895997781,0.2775827895997781,0.2775827895997781,human,UP
JUND,0.2773310443340096,0.2773310443340096,0.2773310443340096,human,UP
PRPF38B,0.2743156532347615,0.2743156532347615,0.2743156532347615,human,UP
SNHG16,0.2734403080425443,0.2734403080425443,0.2734403080425443,human,UP
HMGA1,0.2708909587725313,0.2708909587725313,0.2708909587725313,human,UP
ELF1,0.2702637087146323,0.2702637087146323,0.2702637087146323,human,UP
ZCCHC10,0.2662689563654993,0.2662689563654993,0.2662689563654993,human,UP
SNHG5,0.2657349066625883,0.2657349066625883,0.2657349066625883,human,UP
KLF10,0.2612964916093066,0.2612964916093066,0.2612964916093066,human,UP
SMAD7,0.2609626066569594,0.2609626066569594,0.2609626066569594,human,UP
PAK2,0.2587529746820094,0.2587529746820094,0.2587529746820094,human,UP
TMEM41B,0.2568709914823671,0.2568709914823671,0.2568709914823671,human,UP
EIF1B,0.2568013948905954,0.2568013948905954,0.2568013948905954,human,UP
MAP3K7CL,0.2565124055013024,0.2565124055013024,0.2565124055013024,human,UP
CALU,0.2520596180315189,0.2520596180315189,0.2520596180315189,human,UP
VMP1,0.2520439529728904,0.2520439529728904,0.2520439529728904,human,UP
KLF2,0.2489991569584129,0.2489991569584129,0.2489991569584129,human,UP
RSF1,0.2464674714851731,0.2464674714851731,0.2464674714851731,human,UP
BASP1,0.2409844554114084,0.2409844554114084,0.2409844554114084,human,UP
PABPN1,0.2398228603919921,0.2398228603919921,0.2398228603919921,human,UP
SLC1A5,0.2390953622611165,0.2390953622611165,0.2390953622611165,human,UP
YBX1,0.2372631790720017,0.2372631790720017,0.2372631790720017,human,UP
ARGLU1,0.2348489908494606,0.2348489908494606,0.2348489908494606,human,UP
MT1E,0.2326036462629939,0.2326036462629939,0.2326036462629939,human,UP
CYCS,0.2301199020849221,0.2301199020849221,0.2301199020849221,human,UP
MYADM,0.2298066702588919,0.2298066702588919,0.2298066702588919,human,UP
NECTIN2,0.2287243568095987,0.2287243568095987,0.2287243568095987,human,UP
CLDND1,0.2278109060181118,0.2278109060181118,0.2278109060181118,human,UP
HSPA5,0.2274502142853803,0.2274502142853803,0.2274502142853803,human,UP
UBE3A,0.2272485918124157,0.2272485918124157,0.2272485918124157,human,UP
RACK1,0.2261922446352669,0.2261922446352669,0.2261922446352669,human,UP
LINC01578,0.2261634563003287,0.2261634563003287,0.2261634563003287,human,UP
SRSF11,0.2222647337589339,0.2222647337589339,0.2222647337589339,human,UP
RPL5,0.2218366616147307,0.2218366616147307,0.2218366616147307,human,UP
TPT1,0.2197441339689759,0.2197441339689759,0.2197441339689759,human,UP
RPS3A,0.2189568905543089,0.2189568905543089,0.2189568905543089,human,UP
DUSP2,0.2188363463310679,0.2188363463310679,0.2188363463310679,human,UP
BPTF,0.2180050502454212,0.2180050502454212,0.2180050502454212,human,UP
RPS5,0.2164350576326477,0.2164350576326477,0.2164350576326477,human,UP
DDIT3,0.2156102913276126,0.2156102913276126,0.2156102913276126,human,UP
FTH1,0.214063118335055,0.214063118335055,0.214063118335055,human,UP
RABEP1,0.2130773201347028,0.2130773201347028,0.2130773201347028,human,UP
GPNMB,0.2120037929116782,0.2120037929116782,0.2120037929116782,human,UP
