gene_symbol,mean_logfc,median_logfc,common_experiment,organism
PLEKHG2,0.3052445981181771,0.3052445981181771,0.3052445981181771,human
PCLAF,-0.5014660639209735,-0.5014660639209735,-0.5014660639209735,human
CD55,0.3221436492816676,0.3221436492816676,0.3221436492816676,human
UBE2C,-0.5654471243373015,-0.5654471243373015,-0.5654471243373015,human
RGL1,0.1111553499994611,0.1111553499994611,0.1111553499994611,human
ICAM1,0.8270697245304546,0.8270697245304546,0.8270697245304546,human
MT-ND3,0.0807579429921148,0.0807579429921148,0.0807579429921148,human
POMP,0.1084772410963661,0.1084772410963661,0.1084772410963661,human
LY96,0.2788543472480144,0.2788543472480144,0.2788543472480144,human
RPL27,-0.0060331908072179,-0.0060331908072179,-0.0060331908072179,human
TK1,-0.3239316743424192,-0.3239316743424192,-0.3239316743424192,human
DNAJA1,-0.174426492899423,-0.174426492899423,-0.174426492899423,human
RPL19,-0.0691435994599256,-0.0691435994599256,-0.0691435994599256,human
BCL6B,0.0472854782592705,0.0472854782592705,0.0472854782592705,human
LMNA,0.7227835539450047,0.7227835539450047,0.7227835539450047,human
RPS23,-0.0785769811863508,-0.0785769811863508,-0.0785769811863508,human
RGS16,0.1931689987535425,0.1931689987535425,0.1931689987535425,human
VCAM1,0.8768473662172436,0.8768473662172436,0.8768473662172436,human
CAVIN2,0.3500419238846186,0.3500419238846186,0.3500419238846186,human
TNFRSF4,0.2074588982154205,0.2074588982154205,0.2074588982154205,human
DDIT4,0.3042310817034639,0.3042310817034639,0.3042310817034639,human
TNC,-0.0559331945896126,-0.0559331945896126,-0.0559331945896126,human
STMN1,-0.6096747771498099,-0.6096747771498099,-0.6096747771498099,human
MT-ND1,0.4069088228485422,0.4069088228485422,0.4069088228485422,human
FKBP1A,0.2186982970825087,0.2186982970825087,0.2186982970825087,human
KLF6,0.6197040372616436,0.6197040372616436,0.6197040372616436,human
CLEC2B,-0.0496509514919987,-0.0496509514919987,-0.0496509514919987,human
CXCL2,1.170552899272792,1.170552899272792,1.170552899272792,human
SELENOM,0.5998563985108921,0.5998563985108921,0.5998563985108921,human
RPL13,0.0095400306257671,0.0095400306257671,0.0095400306257671,human
ACKR1,0.9750643217902212,0.9750643217902212,0.9750643217902212,human
EFNA1,0.1102736889524238,0.1102736889524238,0.1102736889524238,human
NPW,-0.2539805425371005,-0.2539805425371005,-0.2539805425371005,human
SPRY4,0.0475677361548805,0.0475677361548805,0.0475677361548805,human
KDM6B,0.4273234649174829,0.4273234649174829,0.4273234649174829,human
RPL3,-0.0552238954176083,-0.0552238954176083,-0.0552238954176083,human
RPL39,0.0832778616571561,0.0832778616571561,0.0832778616571561,human
CASC15,0.0288194597939474,0.0288194597939474,0.0288194597939474,human
RPL32,-0.0891442400626454,-0.0891442400626454,-0.0891442400626454,human
RPL14,-0.0813100279942604,-0.0813100279942604,-0.0813100279942604,human
NUSAP1,-0.4405592691180681,-0.4405592691180681,-0.4405592691180681,human
MT-CO2,0.0736023673392312,0.0736023673392312,0.0736023673392312,human
RPL28,0.0207352297246501,0.0207352297246501,0.0207352297246501,human
RPL12,0.0340239761201894,0.0340239761201894,0.0340239761201894,human
SHROOM4,0.1345369492414484,0.1345369492414484,0.1345369492414484,human
MT-CO3,0.1999563462394516,0.1999563462394516,0.1999563462394516,human
YPEL2,-0.1916850180121554,-0.1916850180121554,-0.1916850180121554,human
MT-ND4L,-0.0559488111605981,-0.0559488111605981,-0.0559488111605981,human
RPS13,0.0060741246213682,0.0060741246213682,0.0060741246213682,human
HNRNPM,-0.2990115316014084,-0.2990115316014084,-0.2990115316014084,human
HSP90AA1,0.0796900261536217,0.0796900261536217,0.0796900261536217,human
TM4SF18,-0.7953771454602203,-0.7953771454602203,-0.7953771454602203,human
EEF1A1,-0.1627788910146188,-0.1627788910146188,-0.1627788910146188,human
BIRC5,-0.2636507680838033,-0.2636507680838033,-0.2636507680838033,human
RPL23A,-0.1366632121919,-0.1366632121919,-0.1366632121919,human
MAP1B,-0.0442166360934641,-0.0442166360934641,-0.0442166360934641,human
ITGA6,-0.2574545177868848,-0.2574545177868848,-0.2574545177868848,human
ACER3,-0.0276023598332266,-0.0276023598332266,-0.0276023598332266,human
HMGN2,-0.6187360231036594,-0.6187360231036594,-0.6187360231036594,human
IFI6,-0.0170030979085151,-0.0170030979085151,-0.0170030979085151,human
ITIH5,-0.3189866989050101,-0.3189866989050101,-0.3189866989050101,human
NFKBIA,0.7477899784159798,0.7477899784159798,0.7477899784159798,human
RPL24,-0.0140092284022976,-0.0140092284022976,-0.0140092284022976,human
EFEMP1,-0.124511424538396,-0.124511424538396,-0.124511424538396,human
LAPTM4B,0.1877882195379428,0.1877882195379428,0.1877882195379428,human
ID1,-0.3201825295503653,-0.3201825295503653,-0.3201825295503653,human
HAPLN1,-0.3310626547200811,-0.3310626547200811,-0.3310626547200811,human
TPBG,0.307318990879384,0.307318990879384,0.307318990879384,human
SYNPO,0.2311160555116164,0.2311160555116164,0.2311160555116164,human
SOD1,-0.1566954727575514,-0.1566954727575514,-0.1566954727575514,human
MKI67,-0.4101927184921396,-0.4101927184921396,-0.4101927184921396,human
TYMS,-0.4349356007052054,-0.4349356007052054,-0.4349356007052054,human
SULT1C4,0.281223146971478,0.281223146971478,0.281223146971478,human
ID3,-0.121035009579773,-0.121035009579773,-0.121035009579773,human
RPL18A,-0.0209320721451673,-0.0209320721451673,-0.0209320721451673,human
RPL7A,-0.1094192518610395,-0.1094192518610395,-0.1094192518610395,human
ETS1,0.4109019449028226,0.4109019449028226,0.4109019449028226,human
SERTAD3,-0.0768475099691091,-0.0768475099691091,-0.0768475099691091,human
RPL27A,-0.145764865061516,-0.145764865061516,-0.145764865061516,human
AFF3,0.3414260683061611,0.3414260683061611,0.3414260683061611,human
RPS4X,-0.0193042662665181,-0.0193042662665181,-0.0193042662665181,human
KITLG,-0.0949144039563598,-0.0949144039563598,-0.0949144039563598,human
UQCRB,-0.2251027492130731,-0.2251027492130731,-0.2251027492130731,human
RPLP0,-0.1608514713466289,-0.1608514713466289,-0.1608514713466289,human
RPS2,-0.2337959906000453,-0.2337959906000453,-0.2337959906000453,human
MT1E,1.634553750510848,1.634553750510848,1.634553750510848,human
CCDC43,0.0974095994796106,0.0974095994796106,0.0974095994796106,human
DDX17,-0.0443519113996133,-0.0443519113996133,-0.0443519113996133,human
RGCC,0.0716780697595229,0.0716780697595229,0.0716780697595229,human
IFI16,-0.2328548366326388,-0.2328548366326388,-0.2328548366326388,human
JPT1,-0.2864415991858729,-0.2864415991858729,-0.2864415991858729,human
CXCL3,0.4975994367199134,0.4975994367199134,0.4975994367199134,human
LEPR,0.0345942838221053,0.0345942838221053,0.0345942838221053,human
RPL38,-0.1565526388544729,-0.1565526388544729,-0.1565526388544729,human
MYADM,0.4692017313720569,0.4692017313720569,0.4692017313720569,human
ADAMTS6,0.5633022952637334,0.5633022952637334,0.5633022952637334,human
PER1,0.3026619423848926,0.3026619423848926,0.3026619423848926,human
NRARP,-0.0769139830069109,-0.0769139830069109,-0.0769139830069109,human
CMIP,0.1482737659399115,0.1482737659399115,0.1482737659399115,human
RPGR,0.4041173793717621,0.4041173793717621,0.4041173793717621,human
DOC2B,0.2136833544707545,0.2136833544707545,0.2136833544707545,human
RPL37A,-0.1571832316279353,-0.1571832316279353,-0.1571832316279353,human
LXN,0.0509699037157286,0.0509699037157286,0.0509699037157286,human
POLR2J3,0.2056272141541886,0.2056272141541886,0.2056272141541886,human
GABPB1-AS1,0.2051370267418684,0.2051370267418684,0.2051370267418684,human
ANXA5,-0.0539478548287641,-0.0539478548287641,-0.0539478548287641,human
MT-ND5,0.1438048300513035,0.1438048300513035,0.1438048300513035,human
PHLDB1,0.2723838198989837,0.2723838198989837,0.2723838198989837,human
MAT2A,0.2529229695466599,0.2529229695466599,0.2529229695466599,human
BST2,-0.0882448512479998,-0.0882448512479998,-0.0882448512479998,human
HLA-E,-0.0696530277403275,-0.0696530277403275,-0.0696530277403275,human
TLE3,0.0179484608952307,0.0179484608952307,0.0179484608952307,human
HELLS,-0.2374295119145229,-0.2374295119145229,-0.2374295119145229,human
SPRY1,0.0484280678223145,0.0484280678223145,0.0484280678223145,human
