gene_symbol,mean_logfc,median_logfc,common_experiment,organism
APOLD1,0.6229104967987612,0.6229104967987612,0.6229104967987612,human
MSANTD3,0.4316884819186552,0.4316884819186552,0.4316884819186552,human
CXCL8,1.737265191100478,1.737265191100478,1.737265191100478,human
PER1,0.3963805083304108,0.3963805083304108,0.3963805083304108,human
SNRPD1,-0.5986061418152127,-0.5986061418152127,-0.5986061418152127,human
ISG20,0.3921425141153397,0.3921425141153397,0.3921425141153397,human
NME1,-0.6288796524307483,-0.6288796524307483,-0.6288796524307483,human
MIR22HG,0.6819957141352555,0.6819957141352555,0.6819957141352555,human
CLIC2,0.4737306477392407,0.4737306477392407,0.4737306477392407,human
SSBP1,-0.5810762846270916,-0.5810762846270916,-0.5810762846270916,human
PELI1,0.4850039719631745,0.4850039719631745,0.4850039719631745,human
MAP2K3,0.6525723362006333,0.6525723362006333,0.6525723362006333,human
MXD1,0.3735091983008059,0.3735091983008059,0.3735091983008059,human
RNF19B,0.4615725433472078,0.4615725433472078,0.4615725433472078,human
AKAP13,0.6654807582596628,0.6654807582596628,0.6654807582596628,human
SNHG25,0.0243362485730134,0.0243362485730134,0.0243362485730134,human
ARFGAP3,0.3384978191633266,0.3384978191633266,0.3384978191633266,human
SASH1,0.8776263814011286,0.8776263814011286,0.8776263814011286,human
BTG2,0.4536352462754554,0.4536352462754554,0.4536352462754554,human
SOX7,0.5862744312292074,0.5862744312292074,0.5862744312292074,human
SARAF,0.5824084313806975,0.5824084313806975,0.5824084313806975,human
GNA13,0.5751847700464093,0.5751847700464093,0.5751847700464093,human
TNFSF9,0.2232453428502745,0.2232453428502745,0.2232453428502745,human
NFKB1,0.6665596992224614,0.6665596992224614,0.6665596992224614,human
PLEKHB2,0.5067138436616636,0.5067138436616636,0.5067138436616636,human
EMP3,0.109582343018227,0.109582343018227,0.109582343018227,human
LAPTM4B,-0.8168743212064988,-0.8168743212064988,-0.8168743212064988,human
ELF1,0.7296536938749749,0.7296536938749749,0.7296536938749749,human
CRIP1,0.3948898827773202,0.3948898827773202,0.3948898827773202,human
YWHAE,-0.2920005286712199,-0.2920005286712199,-0.2920005286712199,human
CPEB4,0.6828400411426007,0.6828400411426007,0.6828400411426007,human
GJA1,0.7635229382587979,0.7635229382587979,0.7635229382587979,human
LINC-PINT,0.502247716371982,0.502247716371982,0.502247716371982,human
RIN2,0.5831768921278229,0.5831768921278229,0.5831768921278229,human
DGKD,0.3308907863089955,0.3308907863089955,0.3308907863089955,human
DUSP8,0.2890486922105524,0.2890486922105524,0.2890486922105524,human
S1PR1,0.6007665711855055,0.6007665711855055,0.6007665711855055,human
ZBTB43,0.3492752769298502,0.3492752769298502,0.3492752769298502,human
SAMD4A,0.5057821672554152,0.5057821672554152,0.5057821672554152,human
A2M,-0.5792635593231523,-0.5792635593231523,-0.5792635593231523,human
MLEC,-0.2742056729337199,-0.2742056729337199,-0.2742056729337199,human
CEMIP2,0.7100216230931458,0.7100216230931458,0.7100216230931458,human
TXNDC17,-0.7922359597904953,-0.7922359597904953,-0.7922359597904953,human
STX11,0.389508140454754,0.389508140454754,0.389508140454754,human
TRIB1,0.65910883077781,0.65910883077781,0.65910883077781,human
TAGLN,0.4051872588555968,0.4051872588555968,0.4051872588555968,human
ACTB,-0.1823372123319968,-0.1823372123319968,-0.1823372123319968,human
KLF7,0.625361643405752,0.625361643405752,0.625361643405752,human
SLC12A7,0.2554274515097025,0.2554274515097025,0.2554274515097025,human
SH3BGRL3,0.1841841311692658,0.1841841311692658,0.1841841311692658,human
NREP,-0.5806196172518789,-0.5806196172518789,-0.5806196172518789,human
CDC42EP3,0.4097237041321622,0.4097237041321622,0.4097237041321622,human
PNPLA8,0.6515856496150572,0.6515856496150572,0.6515856496150572,human
EIF1B,0.2133705614913894,0.2133705614913894,0.2133705614913894,human
LGALS3,-0.0448437214588102,-0.0448437214588102,-0.0448437214588102,human
RORA,0.7226963222245548,0.7226963222245548,0.7226963222245548,human
WWTR1,1.075180918118263,1.075180918118263,1.075180918118263,human
RNF19A,0.6902801008240216,0.6902801008240216,0.6902801008240216,human
ARID5B,0.4839503010931816,0.4839503010931816,0.4839503010931816,human
SMAD3,0.7386337393466376,0.7386337393466376,0.7386337393466376,human
NDUFS6,-0.6529660104222084,-0.6529660104222084,-0.6529660104222084,human
RAP1B,0.6161468791162998,0.6161468791162998,0.6161468791162998,human
MAST4,0.681402102572106,0.681402102572106,0.681402102572106,human
MYADM,0.5872525228789922,0.5872525228789922,0.5872525228789922,human
MAOA,-0.6365331305883994,-0.6365331305883994,-0.6365331305883994,human
CRYAB,0.5594928068662055,0.5594928068662055,0.5594928068662055,human
NUCKS1,-0.2557182300210021,-0.2557182300210021,-0.2557182300210021,human
IRF2BP2,0.3658480631700647,0.3658480631700647,0.3658480631700647,human
LRRC32,0.267418932951302,0.267418932951302,0.267418932951302,human
APOC1,0.1827229314335941,0.1827229314335941,0.1827229314335941,human
TCP1,0.5496001615298758,0.5496001615298758,0.5496001615298758,human
FOS,0.1933798959114839,0.1933798959114839,0.1933798959114839,human
H2AFZ,-0.150117803624382,-0.150117803624382,-0.150117803624382,human
YWHAB,-0.2922463192872522,-0.2922463192872522,-0.2922463192872522,human
NR2F1,-0.698055567102918,-0.698055567102918,-0.698055567102918,human
CKS2,0.3634369167709197,0.3634369167709197,0.3634369167709197,human
SLK,0.5228447273448296,0.5228447273448296,0.5228447273448296,human
B3GNT5,0.6356139315803324,0.6356139315803324,0.6356139315803324,human
G0S2,0.4562658535214796,0.4562658535214796,0.4562658535214796,human
CAST,0.4392616882114859,0.4392616882114859,0.4392616882114859,human
NHP2,-0.7240252045668949,-0.7240252045668949,-0.7240252045668949,human
