id,cell_type,ctrl_ids,disease_name,geo_id,organism,pert_ids,platform,version
dz:P578,Blood Cells|Hematopoietic System|Body tissue|Erythroid Progenitor Cells|Cells [Chemical/Ingredient],GSM1354865|GSM1354866|GSM1354867|GSM1354868,Thalassemia|Degenerative polyarthritis,GSE56088,human,GSM1354871|GSM1354876,GPL10558,2.0
dz:P2740,Blood|Body tissue|Whole blood sample|whole blood specimen,GSM983475|GSM983476,"Pneumonia, Bacterial|Influenza|Pneumonia",GSE40012,human,GSM983439|GSM983440|GSM983450|GSM983451|GSM983454,GPL6947,2.0
dz:P2855,Blood|Body tissue|Whole blood sample|whole blood specimen,GSM983487|GSM983488,Influenza|Pneumonia,GSE40012,human,GSM983441|GSM983442|GSM983443|GSM983444,GPL6947,2.0
dz:P218,Cells,GSM1163266|GSM1163267|GSM1163268,"Communicable Diseases|Severe Acute Respiratory Syndrome|Seryl-tRNA synthetase, mitochondrial",GSE47960,human,GSM1163314|GSM1163315|GSM1163316|GSM1163317,GPL6480,2.0
dz:P219,Cells,GSM1163266|GSM1163267|GSM1163268,"Communicable Diseases|Severe Acute Respiratory Syndrome|Seryl-tRNA synthetase, mitochondrial",GSE47960,human,GSM1163318|GSM1163319|GSM1163320|GSM1163321,GPL6480,2.0
dz:P212,Cells,GSM1163266|GSM1163267|GSM1163268,"Communicable Diseases|Severe Acute Respiratory Syndrome|Seryl-tRNA synthetase, mitochondrial",GSE47960,human,GSM1163279|GSM1163280|GSM1163281|GSM1163282,GPL6480,2.0
dz:P213,Cells,GSM1163266|GSM1163267|GSM1163268,"Communicable Diseases|Severe Acute Respiratory Syndrome|Seryl-tRNA synthetase, mitochondrial",GSE47960,human,GSM1163295|GSM1163296,GPL6480,2.0
dz:P210,Cells,GSM1163266|GSM1163267|GSM1163268,"Communicable Diseases|Severe Acute Respiratory Syndrome|Seryl-tRNA synthetase, mitochondrial",GSE47960,human,GSM1163272|GSM1163273,GPL6480,2.0
dz:P211,Cells,GSM1163266|GSM1163267|GSM1163268,"Communicable Diseases|Severe Acute Respiratory Syndrome|Seryl-tRNA synthetase, mitochondrial",GSE47960,human,GSM1163277|GSM1163278,GPL6480,2.0
dz:P216,Cells,GSM1163266|GSM1163267|GSM1163268,"Communicable Diseases|Severe Acute Respiratory Syndrome|Seryl-tRNA synthetase, mitochondrial",GSE47960,human,GSM1163307|GSM1163308|GSM1163309,GPL6480,2.0
dz:P217,Cells,GSM1163266|GSM1163267|GSM1163268,"Communicable Diseases|Severe Acute Respiratory Syndrome|Seryl-tRNA synthetase, mitochondrial",GSE47960,human,GSM1163310|GSM1163311|GSM1163312|GSM1163313,GPL6480,2.0
