"exp_id","cmap_score","p.x","q","subset_comparison_id","analysis_id","name","concentration","duration","cell_line","array_platform","vehicle","vendor","vendor_catalog_id","vendor_catalog_name","drug_concept_id","cas_number","DrugBank.ID","drug_name","r","p.y","num_peers","valid"
4344,-0.214206933938495,0.02854,0.223771208226221,"file16e92e72185_logFC_0","CMAP","rosiglitazone",1e-05,6,"MCF7","HT_HG-U133A","DMSO","LKT Laboratories","R5772","rosiglitazone","C0289313","NULL","DB00412","rosiglitazone",0.178696159233775,3.10195404988633e-94,13,1
2170,-0.203075283509518,0.0473,0.298376421923475,"file16e92e72185_logFC_0","CMAP","simvastatin",9.6e-06,6,"HL60","HT_HG-U133A","DMSO","Prestwick Chemical","865","Simvastatin [79902-63-9]","C0074554","79902-63-9","DB00641","simvastatin",0.171738934137758,4.43598317673518e-87,3,1
2590,-0.226622720368965,0.01577,0.16485641025641,"file16e92e72185_logFC_0","CMAP","sulfadimethoxine",1.28e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","728","Sulfadimethoxine [122-11-2]","C0038676","122-11-2","DB06150","sulfadimethoxine",0.379837503972052,0,4,1
910,-0.250106957247038,0.0046,0.087302752293578,"file16e92e72185_logFC_0","CMAP","sulfaphenazole",1.28e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","21","Sulfaphenazole [526-08-9]","NULL","526-08-9","DB06729","sulfaphenazole",0.381073848673986,0,3,1
5730,-0.214411364378884,0.02827,0.222697164948454,"file16e92e72185_logFC_0","CMAP","terazosin",9.4e-06,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","751","Terazosin hydrochloride [63590-64-7]","C0770137","63590-64-7","DB01162","terazosin",0.204664173002201,1.25428985671508e-123,3,1
5816,-0.25451166331723,0.00371,0.0799681978798587,"file16e92e72185_logFC_0","CMAP","thiamphenicol",1.12e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","25","Thiamphenicol [15318-45-3]","C0039854","15318-45-3","DB08621","thiamphenicol",0.329059973831587,0,4,1
4288,-0.218010826424537,0.02389,0.203333333333333,"file16e92e72185_logFC_0","CMAP","thiocolchicoside",7e-06,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","539","Thiocolchicoside [602-41-5]","C0076456","602-41-5","DB11582","thiocolchicoside",0.219405429958442,3.10047284646472e-142,3,1
4483,-0.193270605526404,0.06902,0.359302978723404,"file16e92e72185_logFC_0","CMAP","tretinoin",1.34e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","257","Retinoic acid [302-79-4]","C0040845","302-79-4","DB00755","tretinoin",0.315461025900166,7.39717080791778e-300,21,1
2047,-0.230077009055608,0.01321,0.15057249070632,"file16e92e72185_logFC_0","CMAP","trimetazidine",1.18e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","549","Trimetazidine dihydrochloride [13171-25-0]","C0041037","13171-25-0","DB09069","trimetazidine",0.156920853429687,7.78457321790497e-73,3,1
5919,-0.198996037060988,0.05573,0.321925189393939,"file16e92e72185_logFC_0","CMAP","trimethoprim",1.38e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","208","Trimethoprim [738-70-5]","C0041041","738-70-5","DB00440","trimethoprim",0.201837160523132,3.20791003408154e-120,4,1
485,-0.275677296514111,0.00112,0.0498686131386861,"file16e92e72185_logFC_0","CMAP","troglitazone",1e-05,6,"HL60","HT_HG-U133A","DMSO","Sigma-Aldrich","T2573","troglitazone","C0245514","NULL","DB00197","troglitazone",0.404773618357857,0,15,1
4325,-0.231075406502037,0.01251,0.145728652751423,"file16e92e72185_logFC_0","CMAP","valproic acid",2e-04,6,"MCF7","HT_HG-U133A","DMSO","Sigma-Aldrich","P4543","2-propylpentanoic acid","NULL","NULL","DB00313","valproic acid",0.232488075420722,6.10024030806907e-160,56,1
5679,-0.20594561734902,0.0415,0.2776,"file16e92e72185_logFC_0","CMAP","yohimbine",1.02e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","584","Yohimbine hydrochloride [65-19-0]","C0521933","65-19-0","DB01392","yohimbine",0.189600468661262,4.66171819191707e-106,4,1
