drug_name,in_cmap
Pemigatinib,No
Penfluridol,No
Pentagastrin,No
Pentamidine (isethionate),No
Pentoxifylline,Yes
Peretinoin,No
Perindopril (erbumine),No
Pexidartinib (hydrochloride),No
Phenylephrine (hydrochloride),No
Phenytoin (sodium),No
Pimitespib,No
Pimozide,Yes
Pioglitazone,Yes
Piroxicam,Yes
Pitavastatin (Calcium),No
Plicamycin,No
Ponatinib,No
Posaconazole,No
Pralsetinib,No
Pravastatin (sodium),No
Procainamide (hydrochloride),No
Proglumide,Yes
Pyridoxine,Yes
Pyridoxine (hydrochloride),No
Quinestrol,No
Quinidine (15% dihydroquinidine),No
RMC-6236,No
Radotinib,No
Ralimetinib dimesylate,No
Raltitrexed,No
Ranolazine,No
Rapamycin,No
Regorafenib,No
Relugolix,No
Resveratrol,Yes
Retinoic acid,No
Ribociclib,No
Rifaximin,No
Riluzole hydrochloride,No
Rimonabant,No
Rimonabant (Hydrochloride),No
Ritonavir,No
Ropivacaine (hydrochloride monohydrate),No
Rosiglitazone,Yes
Roxadustat,No
Rucaparib (phosphate),No
Rutin (trihydrate),No
S-Adenosyl-L-methionine (disulfate tosylate),No
SBI-0640756,No
Sacubitril/Valsartan,No
Salicylic acid,No
Sapanisertib,No
Saquinavir,Yes
Selinexor ,No
Sildenafil,No
Silodosin,No
Simotinib,No
Sinomenine,No
Sivelestat (sodium tetrahydrate),No
Sodium Salicylate,No
Sonidegib,No
Sulfatinib,No
Sulfisoxazole,No
Sunitinib,No
TAK-733,No
TAK-901,No
Tadalafil,No
Talc,No
Tazarotene,No
Temsirolimus,No
Temuterkib,No
Terfenadine,Yes
Tetracycline (hydrochloride),No
Thymol,No
Thymopentin,No
Tirabrutinib,No
Tirabrutinib (hydrochloride),No
Tofacitinib,No
Tofacitinib (citrate),No
Tolcapone,No
Tolmetin,Yes
Tomivosertib,No
Topotecan (hydrochloride),No
Torkinib,No
Trametinib,No
Trametinib (DMSO_TF solvate),No
Tranilast,No
Triamcinolone,Yes
Triclosan,No
Trifluridine,Yes
Trimetrexate,No
Tubulin inhibitor 6,No
Tucatinib,No
Tucidinostat,No
ULK-101,No
Uridine,No
Valdecoxib,Yes
Vandetanib,No
Vemurafenib,No
Verapamil,Yes
Verteporfin,Yes
Vilanterol,No
Vinblastine (sulfate),No
Vismodegib,No
Vitamin K4,No
Volasertib,No
Voriconazole,No
Vortioxetine,No
XRK3F2,No
Zileuton,No
c-Kit-IN-1,No
crizotinib,No
olaparib,No
palbociclib,No
venetoclax,No
vincristine,No
γ-Oryzanol,No
