drug_name,in_tahoe
chlorcyclizine,No
chlorhexidine,No
chlormezanone,No
chlorogenic acid,No
chloropyramine,No
chloropyrazine,No
chloroquine,No
chlorphenamine,No
chlorphenesin,No
chlorpromazine,No
chlorpropamide,No
chlorprothixene,No
chlortalidone,No
chlortetracycline,No
chlorzoxazone,No
chrysin,No
ciclacillin,No
cicloheximide,No
ciclopirox,Yes
ciclosporin,No
cimetidine,No
cinchocaine,No
cinchonidine,No
cinchonine,No
cinnarizine,No
cinoxacin,No
ciprofibrate,No
ciprofloxacin,No
cisapride,No
citalopram,No
citiolone,No
clebopride,No
clemastine,No
clemizole,No
clenbuterol,No
clidinium bromide,No
clindamycin,No
clioquinol,No
clobetasol,No
clofazimine,No
clofibrate,No
clofilium tosylate,No
clomifene,No
clomipramine,No
clonidine,No
clopamide,No
cloperastine,No
clorgiline,No
clorsulon,No
clotrimazole,Yes
cloxacillin,No
clozapine,No
co-dergocrine mesilate,No
cobalt chloride,No
colchicine,No
colecalciferol,No
colforsin,No
colistin,No
conessine,No
convolamine,No
copper sulfate,No
coralyne,No
corbadrine,No
corticosterone,No
cortisone,No
corynanthine,No
cotinine,No
cromoglicic acid,No
crotamiton,No
cyanocobalamin,No
cyclic adenosine monophosphate,No
cyclizine,No
cyclobenzaprine,No
cyclopenthiazide,No
cyclopentolate,No
cycloserine,No
cyproheptadine,No
cyproterone,No
cytisine,No
cytochalasin B,No
dacarbazine,No
danazol,No
dantrolene,No
dapsone,No
daunorubicin,No
debrisoquine,No
decamethonium bromide,No
decitabine,Yes
deferoxamine,No
dehydrocholic acid,No
delsoline,No
demecarium bromide,No
demeclocycline,Yes
demecolcine,No
denatonium benzoate,No
deptropine,No
depudecin,No
dequalinium chloride,No
desipramine,No
desoxycortone,No
dexamethasone,Yes
dexibuprofen,No
dexpanthenol,No
dexpropranolol,No
dextromethorphan,No
dexverapamil,No
diazoxide,No
diclofenac,No
diclofenamide,No
dicloxacillin,No
dicoumarol,No
dicycloverine,No
dienestrol,No
diethylcarbamazine,No
diethylstilbestrol,No
difenidol,No
diflorasone,No
diflunisal,No
digitoxigenin,No
digoxigenin,No
digoxin,No
dihydroergocristine,No
dihydroergotamine,No
dihydrostreptomycin,No
dilazep,No
diloxanide,No
diltiazem,No
dimenhydrinate,No
dimethadione,No
dimethyloxalylglycine,No
dinoprost,No
dinoprostone,No
dioxybenzone,No
diperodon,No
diphemanil metilsulfate,No
diphenhydramine,Yes
diphenylpyraline,No
dipivefrine,No
diprophylline,No
dipyridamole,No
dirithromycin,No
disopyramide,No
disulfiram,No
dizocilpine,No
dl-alpha tocopherol,No
dobutamine,No
docosahexaenoic acid ethyl ester,No
domperidone,No
dopamine,No
dorzolamide,No
dosulepin,No
doxazosin,No
doxepin,No
doxorubicin,No
doxycycline,No
doxylamine,No
drofenine,No
droperidol,No
dropropizine,No
dyclonine,No
dydrogesterone,No
ebselen,No
econazole,Yes
edrophonium chloride,No
eldeline,No
ellipticine,No
emetine,No
enalapril,No
enilconazole,No
enoxacin,No
epiandrosterone,No
epirizole,No
epitiostanol,No
epivincamine,No
equilin,No
erastin,No
ergocalciferol,No
erythromycin,Yes
esculetin,No
esculin,No
estradiol,No
estriol,No
estrone,No
estropipate,No
etacrynic acid,No
etamivan,No
etamsylate,No
etanidazole,No
ethambutol,No
ethaverine,No
ethionamide,No
ethisterone,No
ethosuximide,No
ethotoin,No
ethoxyquin,No
eticlopride,No
etidronic acid,No
etifenin,No
etilefrine,No
etiocholanolone,No
etodolac,No
etofenamate,No
etofylline,No
etomidate,No
etoposide,No
etynodiol,No
eucatropine,No
exemestane,No
exisulind,No
famotidine,No
famprofazone,No
fasudil,No
felbinac,No
felodipine,No
fenbendazole,No
fenbufen,No
fendiline,No
fenofibrate,Yes
fenoprofen,No
fenoterol,No
fenspiride,No
finasteride,Yes
fipexide,No
fisetin,No
flavoxate,No
flecainide,No
florfenicol,No
flucloxacillin,No
flucytosine,No
fludrocortisone,No
fludroxycortide,No
flufenamic acid,No
flumequine,No
flumetasone,No
flunarizine,No
flunisolide,No
flunixin,No
fluocinonide,No
fluorocurarine,No
fluorometholone,No
fluoxetine,No
flupentixol,No
fluphenazine,No
flurbiprofen,No
fluspirilene,No
flutamide,Yes
fluticasone,No
fluvastatin,No
fluvoxamine,Yes
folic acid,Yes
foliosidine,No
fosfosal,No
fulvestrant,Yes
furaltadone,No
furazolidone,No
furosemide,Yes
fursultiamine,No
fusaric acid,No
fusidic acid,Yes
gabapentin,No
gabexate,No
galantamine,No
gallamine triethiodide,No
ganciclovir,No
gefitinib,Yes
geldanamycin,No
gelsemine,No
gemfibrozil,Yes
genistein,No
gentamicin,No
gibberellic acid,No
ginkgolide A,No
glafenine,No
glibenclamide,No
gliclazide,No
glimepiride,No
glipizide,No
gliquidone,No
glycocholic acid,No
glycopyrronium bromide,No
gossypol,No
gramine,No
griseofulvin,No
guaifenesin,No
guanabenz,No
guanadrel,No
guanethidine,No
guanfacine,No
halcinonide,No
halofantrine,No
haloperidol,No
harmaline,No
harmalol,No
harman,No
harmine,No
harmol,No
harpagoside,No
hecogenin,No
heliotrine,No
helveticoside,No
hemicholinium,No
heptaminol,No
hesperetin,No
hesperidin,Yes
hexamethonium bromide,No
hexestrol,No
hexetidine,No
hexylcaine,No
homatropine,No
homochlorcyclizine,No
homosalate,No
hycanthone,No
hydralazine,No
hydrastine hydrochloride,No
hydrastinine,No
hydrochlorothiazide,No
hydrocortisone,No
hydrocotarnine,No
hydroflumethiazide,No
hydroquinine,No
hydroxyachillin,No
hydroxyzine,No
hymecromone,No
hyoscyamine,No
idazoxan,No
idoxuridine,Yes
ifenprodil,No
ifosfamide,No
ikarugamycin,No
iloprost,No
imatinib,No
imidurea,No
imipenem,No
imipramine,No
indapamide,No
indometacin,No
indoprofen,No
iobenguane,No
iocetamic acid,No
iodixanol,No
iohexol,No
ionomycin,No
iopamidol,No
iopanoic acid,No
iopromide,No
ioversol,No
ioxaglic acid,No
ipratropium bromide,No
iproniazid,No
irinotecan,Yes
isocarboxazid,No
isoconazole,No
isocorydine,Yes
isoetarine,No
isoflupredone,No
isometheptene,No
isoniazid,No
isopropamide iodide,No
isosorbide,No
isotretinoin,No
isoxicam,No
isoxsuprine,No
isradipine,No
ivermectin,Yes
josamycin,No
kaempferol,No
kanamycin,No
karakoline,No
kawain,No
ketanserin,No
ketoconazole,No
ketoprofen,No
ketorolac,No
ketotifen,No
khellin,No
kinetin,No
labetalol,No
lactobionic acid,No
lanatoside C,No
lansoprazole,No
lasalocid,No
latamoxef,No
laudanosine,No
leflunomide,No
letrozole,No
levamisole,No
levcycloserine,No
levobunolol,No
levocabastine,No
levodopa,No
levomepromazine,No
levonorgestrel,No
levopropoxyphene,No
levothyroxine sodium,No
lidocaine,No
lidoflazine,No
lincomycin,No
liothyronine,No
lisinopril,No
lisuride,No
lithocholic acid,No
lobelanidine,No
lobeline,No
lomefloxacin,No
lomustine,No
loperamide,No
loracarbef,No
lorglumide,No
lovastatin,No
loxapine,No
lumicolchicine,No
luteolin,No
lycorine,No
lymecycline,No
lynestrenol,No
lysergol,No
mafenide,No
maprotiline,No
mebendazole,Yes
mebeverine,No
mebhydrolin,No
mecamylamine,No
meclocycline,No
meclofenamic acid,No
meclofenoxate,No
meclozine,No
medrysone,No
mefenamic acid,No
mefexamide,No
mefloquine,No
megestrol,Yes
meglumine,No
melatonin,No
memantine,No
menadione,Yes
mepacrine,No
mepenzolate bromide,No
mephenesin,No
mephentermine,No
mephenytoin,No
meprylcaine,No
meptazinol,No
mepyramine,No
merbromin,No
mercaptopurine,No
meropenem,No
mesalazine,No
mesoridazine,No
mestranol,No
metacycline,No
metamizole sodium,No
metampicillin,No
metanephrine,No
metaraminol,No
meteneprost,No
metergoline,No
metformin,No
methacholine chloride,No
methanthelinium bromide,No
methapyrilene,No
methazolamide,No
methocarbamol,No
methotrexate,Yes
methoxamine,No
methoxsalen,No
methylbenzethonium chloride,No
methyldopa,No
methyldopate,No
methylergometrine,No
methylprednisolone,No
meticrane,No
metitepine,No
metixene,No
metoclopramide,No
metolazone,No
metoprolol,No
metrifonate,No
metrizamide,No
metronidazole,No
metyrapone,No
mevalolactone,No
mexiletine,No
mianserin,No
miconazole,No
midecamycin,No
midodrine,No
mifepristone,Yes
milrinone,No
mimosine,No
minaprine,No
minocycline,No
minoxidil,No
mitoxantrone,No
molindone,No
molsidomine,No
mometasone,No
monastrol,No
monensin,No
monobenzone,No
monocrotaline,Yes
monorden,No
moracizine,No
morantel,No
moroxydine,No
moxisylyte,No
moxonidine,No
mycophenolic acid,No
myosmine,No
myricetin,No
nabumetone,No
nadide,No
nadolol,No
nafcillin,No
naftidrofuryl,No
naftifine,No
naftopidil,No
nalbuphine,No
nalidixic acid,No
naloxone,No
naltrexone,No
napelline,No
naphazoline,No
naproxen,Yes
naringenin,No
naringin,No
natamycin,No
nefopam,No
neomycin,No
neostigmine bromide,No
netilmicin,No
nialamide,No
nicardipine,No
nicergoline,No
niclosamide,No
nicotinic acid,No
nifedipine,No
nifenazone,No
niflumic acid,No
nifuroxazide,No
nifurtimox,No
nilutamide,No
nimesulide,Yes
nimodipine,No
nipecotic acid,No
niridazole,No
nisoxetine,No
nitrendipine,No
nitrofural,No
nitrofurantoin,No
nizatidine,No
nocodazole,No
nomegestrol,No
nomifensine,No
norcyclobenzaprine,No
nordihydroguaiaretic acid,No
norethisterone,No
noretynodrel,No
norfloxacin,No
nortriptyline,No
noscapine,No
novobiocin,No
nystatin,No
octopamine,No
ofloxacin,No
oleandomycin,No
oligomycin,No
omeprazole,Yes
ondansetron,No
orciprenaline,No
orlistat,Yes
ornidazole,Yes
orphenadrine,No
ouabain,No
oxamic acid,No
oxamniquine,No
oxantel,No
oxaprozin,Yes
oxedrine,No
oxetacaine,No
oxolamine,No
oxolinic acid,No
oxprenolol,No
oxybenzone,No
oxybuprocaine,No
oxybutynin,No
oxymetazoline,No
oxyphenbutazone,No
oxytetracycline,No
ozagrel,No
paclitaxel,Yes
palmatine,No
pancuronium bromide,No
papaverine,No
paracetamol,No
pararosaniline,No
parbendazole,No
pargyline,No
paromomycin,No
paroxetine,No
parthenolide,No
pempidine,No
penbutolol,No
pentamidine,No
pentetic acid,No
pentetrazol,No
pentolonium,No
pentoxifylline,Yes
pentoxyverine,No
pepstatin,No
pergolide,No
perhexiline,No
perphenazine,No
phenacetin,No
phenanthridinone,No
phenazone,No
phenazopyridine,No
phenelzine,No
pheneticillin,No
phenformin,No
phenindione,No
pheniramine,No
phenoxybenzamine,No
phensuximide,No
phentolamine,No
phenyl biguanide,No
phenylpropanolamine,No
phthalylsulfathiazole,No
physostigmine,No
picotamide,No
picrotoxinin,No
pilocarpine,No
pimethixene,No
pimozide,Yes
pinacidil,No
pindolol,No
pioglitazone,Yes
pipemidic acid,No
pipenzolate bromide,No
piperacetazine,No
piperacillin,No
piperidolate,No
piperine,No
piperlongumine,No
piracetam,No
pirenperone,No
pirenzepine,No
piretanide,No
piribedil,No
pirinixic acid,No
pirlindole,No
piromidic acid,No
piroxicam,Yes
pivampicillin,No
pivmecillinam,No
pizotifen,No
podophyllotoxin,No
practolol,No
pralidoxime,No
pramocaine,No
prasterone,No
praziquantel,No
prazosin,No
prednicarbate,No
prednisolone,No
prednisone,No
pregnenolone,No
prenylamine,No
pridinol,No
prilocaine,No
primaquine,No
primidone,No
proadifen,No
probenecid,No
probucol,No
procainamide,No
procaine,No
procarbazine,No
prochlorperazine,No
procyclidine,No
profenamine,No
progesterone,No
proglumide,Yes
proguanil,No
promazine,No
promethazine,No
pronetalol,No
propafenone,No
propantheline bromide,No
propidium iodide,No
propofol,No
propoxycaine,No
propranolol,No
