"","logFC","AveExpr","t","P.Value","adj.P.Val","B","probe.id","symbols"
"2180_at",1.16500466372102,7.88668614407975,5.29751075777586,6.51616029325506e-07,1.38236528702162e-06,5.48353449500814,"2180_at","ACSL1"
"80010_at",1.1649668309565,7.85964012142584,5.15031081391702,1.2245203812321e-06,2.48273537455789e-06,4.87461922500255,"80010_at","RMI1"
"54914_at",1.16494132814205,7.28088273987358,8.99498079193741,1.10216883808382e-14,2.86235333012435e-13,22.9601177494483,"54914_at","FOCAD"
"90332_at",-1.16456391867882,7.91881946098077,-9.51377535798376,7.61201587439669e-16,3.37498989547926e-14,25.5841008243216,"90332_at","EXOC3L2"
"5932_at",1.16427777562836,9.30511622740898,7.02306365293196,2.24205467996036e-10,1.03858543790837e-09,13.2394876857478,"5932_at","RBBP8"
"391_at",-1.16416384998174,9.64024495053604,-6.79827463360416,6.65931958109923e-10,2.70171325607519e-09,12.1761961324154,"391_at","RHOG"
"55737_at",1.16401153868755,9.7223208248898,8.02653795364472,1.53691974055984e-12,1.49915542693466e-11,18.1166356925557,"55737_at","VPS35"
"6432_at",1.16359753762465,9.4432127052061,6.93097778737934,3.50710697001659e-10,1.53536181179354e-09,12.8023787099534,"6432_at","SRSF7"
"30836_at",1.16326184143783,9.21283665584154,5.69111383769888,1.15444068493619e-07,2.81854147678581e-07,7.15856429535867,"30836_at","DNTTIP2"
"118987_at",1.16325682627353,7.24789625716658,6.27148875201011,8.11233917270931e-09,2.50676053120799e-08,9.73877699752205,"118987_at","PDZD8"
"4069_at",1.16324112005296,7.40347142253197,5.22892150542302,8.75300609807738e-07,1.81860814396001e-06,5.19856168594191,"4069_at","LYZ"
"9662_at",1.1632370875565,6.79815590171343,9.08123647830019,7.07372595076643e-15,1.99356542329152e-13,23.3954336827579,"9662_at","CEP135"
"55033_at",1.16273475020313,6.52170868435574,10.7850955152089,1.06945492549566e-18,2.28458267176031e-16,32.033969327247,"55033_at","FKBP14"
"80204_at",1.16272563918704,8.62415868974556,6.53767273128016,2.31575678395137e-09,8.10594018497262e-09,10.9602308588294,"80204_at","FBXO11"
"149345_at",-1.16234557568149,7.08751904845583,-8.26554338133661,4.58407165388693e-13,5.59929181623255e-12,19.3026346675042,"149345_at","SHISA4"
"677766_at",-1.16210617405423,5.66272055743006,-6.93151285602835,3.49802141693418e-10,1.53171164396066e-09,12.8049125487556,"677766_at","SCARNA2"
"8804_at",1.16208493058849,9.39781865513417,5.1837934908503,1.06170673146674e-06,2.17219343661254e-06,5.01224391862179,"8804_at","CREG1"
"3295_at",1.16197039480975,9.27623691374155,7.0266518591044,2.20322093504659e-10,1.02267794320178e-09,13.2565614810014,"3295_at","HSD17B4"
"11270_at",-1.16194786221041,9.45498856707477,-6.72405597590662,9.51392894434965e-10,3.6972741509402e-09,11.8279859326412,"11270_at","NRM"
"79827_at",1.16154696572409,7.1646219381366,6.6945920118395,1.09571306457393e-09,4.18118226802019e-09,11.6901624312316,"79827_at","CLMP"
"549_at",1.16150519061646,7.65968963646579,6.42170233361207,4.00862190383261e-09,1.3243969528727e-08,10.4253883426792,"549_at","AUH"
"100131556_at",1.16095085189152,9.73971067343671,6.97555561897793,2.82484413156416e-10,1.27173861958155e-09,13.0137209896734,"100131556_at","ZCRB1P1"
"2110_at",1.16072565739974,5.6737261850196,7.91315261318882,2.72134323259359e-12,2.40275839553652e-11,17.5567258963055,"2110_at","ETFDH"
"65008_at",1.16041599144182,8.27693534006521,7.810413535965,4.5596754418575e-12,3.66563546903489e-11,17.0510561749828,"65008_at","MRPL1"
"59342_at",1.16019030179918,8.19582276666778,9.70674986536976,2.80986749967985e-16,1.56831950581586e-14,26.5627290834098,"59342_at","SCPEP1"
