"","logFC","AveExpr","t","P.Value","adj.P.Val","B","probe.id","symbols"
"387103_at",1.14276481595671,8.11108577126479,3.2949811160284,0.00295771331935973,0.013295106349301,-1.84312607993535,"387103_at","CENPW"
"5577_at",1.14215106132869,7.31447627236819,3.97362943080666,0.000535094619831235,0.00449584831526785,-0.244025437433613,"5577_at","PRKAR2B"
"10755_at",-1.14119787127616,9.35413175803075,-7.00262225311528,2.52232953752381e-07,0.000237445522713169,6.99793139226133,"10755_at","GIPC1"
"4291_at",1.13807278113863,6.83566753329699,5.44996489156877,1.19323591304259e-05,0.000753378960798379,3.35630171006742,"4291_at","MLF1"
"10969_at",1.13703039007893,8.25725385380774,4.96013882929779,4.20080893005062e-05,0.00121367235716723,2.1626538285525,"10969_at","EBNA1BP2"
"8458_at",1.13654520892263,6.31879397176775,3.96661441382587,0.000544788625385714,0.0045382066703542,-0.260925753355837,"8458_at","TTF2"
"101930085_at",1.13648505873123,5.42480176014548,4.75371662881113,7.15954928140906e-05,0.00153354340668819,1.65717409456556,"101930085_at","HERPUD2-AS1"
"728882_at",-1.13636688555591,5.71506840327993,-4.70216918158603,8.18008462711816e-05,0.00163314672029131,1.53089302806009,"728882_at","FAM182B"
"285708_at",-1.13490177270031,6.39526748716819,-5.99876162506532,2.96961465991119e-06,0.000488369421314945,4.6737703808051,"285708_at","LINC00491"
"2888_at",1.13397025428541,4.46645574824821,4.06782705978672,0.000420303860680797,0.00389042217902641,-0.0165731744653828,"2888_at","GRB14"
"51527_at",1.13327725996778,9.06531917624841,3.90385180688432,0.000639599892244218,0.00496438566062103,-0.41187318503264,"51527_at","GSKIP"
"583_at",1.13284139729335,7.87144203246804,3.26826891916228,0.00315886440521165,0.0138961947256592,-1.90412666713742,"583_at","BBS2"
"10189_at",1.13217081585725,9.48166758709099,4.29080817433544,0.000236782232931276,0.00280458804249605,0.525010901686112,"10189_at","ALYREF"
"55591_at",1.1320415660465,7.25950546611315,4.70235404321703,8.17617607156895e-05,0.00163314672029131,1.53134589302704,"55591_at","VEZT"
"399818_at",1.13089401280748,6.25354893077502,4.54437312499221,0.000123009501082804,0.00198247570431169,1.14446486845138,"399818_at","EEF1AKMT2"
"285381_at",1.12772214525255,7.45459155181922,4.44689806766343,0.000158251386166592,0.00223679430580715,0.906027216865758,"285381_at","DPH3"
