disease_id,disease_name,drug_id,drug_common_name,drug_target_class,drug_synonyms,drug_type,drug_mechanism_of_action,disease_therapeutic_areas
MONDO_0002974,cervical cancer,CHEMBL1358,FULVESTRANT,Transcription factor,"Faslodex|Fulvestrant|ICI 182,780|ICI-182780|NSC-759879|ZD-9238|ZD9238",Small molecule,Estrogen receptor antagonist,Cancer/Tumor|Reproductive/Breast
MONDO_0002974,cervical cancer,CHEMBL98,VORINOSTAT,Epigenetic regulator,MK-0683|MK0683|NSC-701852|NSC-748799|NSC-759852|Suberoylanilide hydroxamic acid|Vorinostat,Small molecule,Histone deacetylase 3 inhibitor,Cancer/Tumor|Reproductive/Breast
MONDO_0002974,cervical cancer,CHEMBL1503,OMEPRAZOLE,Transporter,H 168/68|H-168/68|NSC-751450|NSC-759192|Omeprazol|Omeprazole,Small molecule,Potassium-transporting ATPase inhibitor,Cancer/Tumor|Reproductive/Breast
MONDO_0002974,cervical cancer,CHEMBL1389,LEVONORGESTREL,Transcription factor,"BAY86-5028|Levonorgestrel|Levonorgestrelum|NSC-744007|Norgestrel (-)-form|Norgestrel, (-)-|WY-5104",Small molecule,Progesterone receptor agonist,Cancer/Tumor|Reproductive/Breast
MONDO_0002974,cervical cancer,CHEMBL650,METHYLPREDNISOLONE,Transcription factor,"6-methyl-prednisolone|6-methylprednisolone|J3.872E|Methylprednisolone|Metilprednisolona|NSC-19987|U-67,590A",Small molecule,Glucocorticoid receptor agonist,Cancer/Tumor|Reproductive/Breast
MONDO_0002974,cervical cancer,CHEMBL79,LIDOCAINE,Ion channel,ALGRX 3268|ALGRX-3268|Anestacon|Embolex|Iontocaine|Lidocaina|Lidocaine|Lidocainum|Lidocaton|Lidopen|Lignocaine|NSC-40030|Octocaine|Solarcaine|Xylestesin,Small molecule,Sodium channel alpha subunit blocker,Cancer/Tumor|Reproductive/Breast
MONDO_0002974,cervical cancer,CHEMBL109,VALPROIC ACID,Enzyme,"44089|Acide valproique|Acido valproico|NSC-93819|Pentanoic acid, 2-propyl|Valproate|Valproic acid|Valproic acid extended release",Small molecule,Succinate semialdehyde dehydrogenase inhibitor,Cancer/Tumor|Reproductive/Breast
MONDO_0002974,cervical cancer,CHEMBL25,ASPIRIN,Enzyme,"Acetyl salicylate|Acetylsalicylic Acid|Acetylsalicylic acid|Acetylsalicylic acid (who-ip)|Acetylsalicylicum acidum|Acidum acetylsalicylicum|Acidum acetylsalicylicum (who-ip)|Aspirin|BAY1019036|Benzoic acid, 2-(acetyloxy)-|NSC-27223|NSC-406186",Small molecule,Cyclooxygenase inhibitor,Cancer/Tumor|Reproductive/Breast
MONDO_0005178,osteoarthritis,CHEMBL118,CELECOXIB,Enzyme,Celecoxib|DFN-15|DFN15|NSC-719627|NSC-758624|SC-58635,Small molecule,Cyclooxygenase-2 inhibitor,Musculoskeletal
MONDO_0005178,osteoarthritis,CHEMBL154,NAPROXEN,Enzyme,Aleve|Anaprox|NSC-750183|NSC-757239|Naprelan|Naproxen|Naproxene|Naproxeno|PN400 COMPONENT NAPROXEN|RS-3540,Small molecule,Cyclooxygenase inhibitor,Musculoskeletal
MONDO_0005178,osteoarthritis,CHEMBL79,LIDOCAINE,Ion channel,ALGRX 3268|ALGRX-3268|Anestacon|Embolex|Iontocaine|Lidocaina|Lidocaine|Lidocainum|Lidocaton|Lidopen|Lignocaine|NSC-40030|Octocaine|Solarcaine|Xylestesin,Small molecule,Sodium channel alpha subunit blocker,Musculoskeletal
MONDO_0005178,osteoarthritis,CHEMBL898,DIFLUNISAL,Enzyme,Diflunisal|NSC-756728,Small molecule,Cyclooxygenase inhibitor,Musculoskeletal
MONDO_0005178,osteoarthritis,CHEMBL527,PIROXICAM,Enzyme,"CP-16,171|CP-16171|NSC-666076|Piroxicam",Small molecule,Cyclooxygenase inhibitor,Musculoskeletal
MONDO_0005178,osteoarthritis,CHEMBL1650,CORTISONE ACETATE,Transcription factor,Cortisona|Cortisone|Cortisone 21-acetate|Cortisone Acetate|Cortisone acetate|Cortisone aceticum|NSC-49420,Small molecule,Glucocorticoid receptor agonist,Musculoskeletal
MONDO_0005178,osteoarthritis,CHEMBL902,FAMOTIDINE,Membrane receptor,Amfamox|Fadul|Famodil|Famosan|Famotidina|Famotidine|Famoxal|Ganor|Gastridin|Gastropen|L 643341|Lecedil|MK-208|Motiax|Muclox|NSC-757810|Pepcidac|Pepdine|Pepdul|YM-11170,Small molecule,Histamine H2 receptor antagonist,Musculoskeletal
MONDO_0005178,osteoarthritis,CHEMBL1431,METFORMIN,Enzyme,LA-6023|Metformin|Metformin extended release|Metformina|Metformine,Small molecule,Mitochondrial complex I (NADH dehydrogenase) inhibitor,Musculoskeletal
MONDO_0005178,osteoarthritis,CHEMBL1451,TRIAMCINOLONE,Transcription factor,Fluoxiprednisolone|NSC-13397|Triamcinolona|Triamcinolone,Small molecule,Glucocorticoid receptor agonist,Musculoskeletal
MONDO_0005178,osteoarthritis,CHEMBL1200699,DOXYCYCLINE,Enzyme,Doxiciclina|Doxirobe|Doxycycline|Doxycycline monohydrate|Doxylin|GS-3065|Supracyclin|Xyrosa,Small molecule,Matrix metalloproteinase 8 inhibitor,Musculoskeletal
MONDO_0005178,osteoarthritis,CHEMBL6966,VERAPAMIL,Ion channel,"CP-16,533-1|CP-165331|D-365|Iproveratril|NSC-272306NA|Verapamil|Verapamil slow release|Verapamilo",Small molecule,Voltage-gated L-type calcium channel blocker,Musculoskeletal
MONDO_0005178,osteoarthritis,CHEMBL6,INDOMETHACIN,Enzyme,Aconip|Durametacin|Indometacin|Indometacin farnesil|Indometacina|Indometacine|Indometacinum|Indomethacin|NSC-757061|NSC-77541|Reumacide,Small molecule,Cyclooxygenase inhibitor,Musculoskeletal
MONDO_0005178,osteoarthritis,CHEMBL650,METHYLPREDNISOLONE,Transcription factor,"6-methyl-prednisolone|6-methylprednisolone|J3.872E|Methylprednisolone|Metilprednisolona|NSC-19987|U-67,590A",Small molecule,Glucocorticoid receptor agonist,Musculoskeletal
MONDO_0005178,osteoarthritis,CHEMBL25,ASPIRIN,Enzyme,"Acetyl salicylate|Acetylsalicylic Acid|Acetylsalicylic acid|Acetylsalicylic acid (who-ip)|Acetylsalicylicum acidum|Acidum acetylsalicylicum|Acidum acetylsalicylicum (who-ip)|Aspirin|BAY1019036|Benzoic acid, 2-(acetyloxy)-|NSC-27223|NSC-406186",Small molecule,Cyclooxygenase inhibitor,Musculoskeletal
MONDO_0005178,osteoarthritis,CHEMBL15770,SULINDAC,Enzyme,Arthrocine|Artribid|MK-231|NSC-757344|Sulindac|Sulindaco,Small molecule,Cyclooxygenase inhibitor,Musculoskeletal
MONDO_0005178,osteoarthritis,CHEMBL1042,CHOLECALCIFEROL,Transcription factor,"7-dehydrocholesterol, activated|AK R215 COMPONENT COLECALCIFEROL|AK-R215 COMPONENT COLECALCIFEROL|Cholecalciferol|Colecalciferol|Colecalciferolum|Delsterol|Delta-d|Deparal|Ebivit|NSC-375571|Provitina|Ricketon|Vitamin d|Vitamin d (cholecalciferol)|Vitamin d assay system suitability|Vitamin d-3|Vitamin d3|Vitamin d3 (as cholecalciferol)",Small molecule,Vitamin D receptor agonist,Musculoskeletal
MONDO_0005178,osteoarthritis,CHEMBL34259,METHOTREXATE,Enzyme,"(r)-methotrexate|ADX-2191|Abitrexate|Amethopterin|CL 14377|CL-14377|D-amethopterin|D-methotrexate|EMT-25299|Folex|Jylamvo|Methotrexate|Methotrexate, (r)-|Methotrexate, d-|Methotrexatum|Methylaminopterin|Metotrexato|Mexate|Mexate-AQ|NSC-740|R-9985|R-methotrexate|TCMDC-123832|TCMDC-125488|TCMDC-125858|Trexall",Small molecule,Dihydrofolate reductase inhibitor,Musculoskeletal
MONDO_0005178,osteoarthritis,CHEMBL80,NALOXONE,Membrane receptor,Dbl naloxone|NSC-70413|Naloxona|Naloxone|Suboxone,Small molecule,Opioid receptors; mu/kappa/delta antagonist,Musculoskeletal
MONDO_0005178,osteoarthritis,CHEMBL622,ETODOLAC,Enzyme,"(rs)-etodolic acid|AY-24,236|AY-24-236|AY-24236|Eccoxolac|Edolan|Etodolac|Etodolaco|Etodolic acid|Flancox|Lodin xl|NIH-9918|NSC-282126|Napilac|Tedolan|Ultradol|Zedolac",Small molecule,Cyclooxygenase-2 inhibitor,Musculoskeletal
MONDO_0005178,osteoarthritis,CHEMBL384467,DEXAMETHASONE,Transcription factor,Decadron-LA|Dexacen-4|Dexacort|Dexair|Dexametasona|Dexamethasone|Dexamethasone metasulfobenzoate sodium|Dexamethasone palmitate|Dexamethasone valerate|Dexycu|Fluormethylprednisolone|ISV-305|Mymethasone|NSC-34521|Neodecadron|OTO-104,Small molecule,Glucocorticoid receptor agonist,Musculoskeletal
MONDO_0005178,osteoarthritis,CHEMBL1071,OXAPROZIN,Enzyme,"NSC-310839|Oxaprozin|Oxaprozina|Oxaprozine|WY-21,743|WY-21743",Small molecule,Cyclooxygenase inhibitor,Musculoskeletal
EFO_0001073,obesity,CHEMBL1751,DIGOXIN,Enzyme,Digoxin|Digoxina|Digoxine|Digoxinum|Dynamos|Fargoxin|Lanocardin|Mapluxin|NSC-95100|Natigoxin|Rougoxin|Stillacor-|Toloxin|Vanoxin,Small molecule,Sodium/potassium-transporting ATPase inhibitor,Metabolic
EFO_0001073,obesity,CHEMBL1405,ESTRONE,Transcription factor,"1,3,5-estratrien-3-ol-17-one|Estradiol metabolite e1|Estrona|Estrone|Follicular hormone|Follicular-hormone|Folliculin|Folliculinum|Ketohydroxyestrin|NSC-9699|Oestrone|Theelin|Thelykinin|Tokokin|WAY 164397",Small molecule,Estrogen receptor alpha agonist,Metabolic
EFO_0001073,obesity,CHEMBL1098,BUPIVACAINE,Ion channel,"Bucaine|Bupivacaina|Bupivacaine|Bupivacaine liposome|LIQ-865|LIQ865|Liposomal bupivacaine|Marcaine|Ropivacaine hydrochloride impurity, bupivacaine-|SKY-0402|SKY0402|Sensorcaine",Small molecule,Sodium channel protein type IV alpha subunit blocker,Metabolic
EFO_0001073,obesity,CHEMBL135,ESTRADIOL,Transcription factor,17-.beta.-oestradiol|17-beta-oestradiol|17.beta.-estradiol|17beta-estradiol|Agofollin|Alfatradiol|Depo-Estradiol|Destradiol|Dihydrotheelin|Dihydroxyestrin|Estradiol|Estradiol 17-beta|Estradiol anhydrous|Estradiol hemihydrate|Estradiol valerate metabolite e2|Estrasorb|Gynergon|Gynoestryl|NSC-20293|NSC-9895|Oestradiol|WC-3011|WC3011,Small molecule,Estrogen receptor alpha agonist,Metabolic
EFO_0001073,obesity,CHEMBL13,METOPROLOL,Membrane receptor,(rs)-metoprolol|Beatrolol|CGP-2175|Dl-metoprolol|Lopressidone|Metoprolol|Metoprolol slow release|Seroken|Toprol-XL,Small molecule,Beta-1 adrenergic receptor antagonist,Metabolic
EFO_0001073,obesity,CHEMBL386630,TESTOSTERONE,Transcription factor,Android-t|Androlan|Delatestryl|Homosterone|Livensa|NSC-9700|TESTIM|Testiculosterone|Testosterona|Testosterone|Testosterone ciii|Virosterone,Small molecule,Androgen Receptor agonist,Metabolic
EFO_0001073,obesity,CHEMBL113,CAFFEINE,Membrane receptor,Anhydrous caffeine|Cafcit|Caffeine|Caffeine anhydrous|Caffeine melting point standard|Caffeinum|Coffeine|Coffeinum|Durvitan|FEMA NO. 2224|Guaranine|Methyltheobromine|NSC-5036|Synalgos|Theine|Vivarin,Small molecule,Adenosine receptor antagonist,Metabolic
EFO_0001073,obesity,CHEMBL897,PROBENECID,Transporter,HC 5006|NSC-18786|P-(dipropylsulfamoyl)benzoic acid|Probenate|Probenecid|Probenecide|Probenecidum,Small molecule,Solute carrier family 22 member 11 inhibitor,Metabolic
EFO_0001073,obesity,CHEMBL701,BACLOFEN,Membrane receptor,"(rs)-baclofen|BA-34,647|BA-34647|Baclofen|Baclofene|Baclofeno|Fleqsuvy|Lyvispah|NSC-755906",Small molecule,GABA-B receptor agonist,Metabolic
EFO_0001073,obesity,CHEMBL526,PROPOFOL,Ion channel,"Disoprofol|Fresofol|ICI 35,868|ICI 35-868|ICI-35868|ICI35,868|Lipuro|NSC-5105|Phenol, 2,6-bis(1-methylethyl)|Propofol",Small molecule,GABA-A receptor; anion channel positive allosteric modulator,Metabolic
EFO_0001073,obesity,CHEMBL24441,BETAHISTINE,Membrane receptor,Betahistina|Betahistine,Small molecule,Histamine H3 receptor antagonist,Metabolic
EFO_0001073,obesity,CHEMBL595,PIOGLITAZONE,Transcription factor|Epigenetic regulator,AD-4833|Actos|Duetact|Glustin|Pioglitazona|Pioglitazone|U-72107|Zactos,Small molecule,Peroxisome proliferator-activated receptor gamma agonist,Metabolic
EFO_0001073,obesity,CHEMBL79,LIDOCAINE,Ion channel,ALGRX 3268|ALGRX-3268|Anestacon|Embolex|Iontocaine|Lidocaina|Lidocaine|Lidocainum|Lidocaton|Lidopen|Lignocaine|NSC-40030|Octocaine|Solarcaine|Xylestesin,Small molecule,Sodium channel alpha subunit blocker,Metabolic
EFO_0001073,obesity,CHEMBL1431,METFORMIN,Enzyme,LA-6023|Metformin|Metformin extended release|Metformina|Metformine,Small molecule,Mitochondrial complex I (NADH dehydrogenase) inhibitor,Metabolic
EFO_0001073,obesity,CHEMBL1536,ERGOCALCIFEROL,Transcription factor,"Calciferol|Ergocalciferol|Ergocalciferolum|Ergorone|NSC-62792|Oleovitamin d, synthetic|Ostelin|Viosterol|Viosterol in oil|Vitamin d (ergocalciferol)|Vitamin d2",Small molecule,Vitamin D receptor agonist,Metabolic
EFO_0001073,obesity,CHEMBL19019,NALTREXONE,Membrane receptor,EN-1639A|EN-1639A FREE BASE|EN-1639A [AS HYDROCHLORIDE]|NSC-758439|Naltrexona|Naltrexone|Revia,Small molecule,Opioid receptors; mu/kappa/delta antagonist,Metabolic
EFO_0001073,obesity,CHEMBL181,DIAZOXIDE,Ion channel,Diazoxide|Diazoxido|Diazoxidum|Eudemine injection|Hypertonalum|NSC-64198|NSC-76130|SCH 6783|SCH-6783|SRG 95213|SRG-95213,Small molecule,"Potassium channel, inwardly rectifying, subfamily J, member 11 opener",Metabolic
EFO_0001073,obesity,CHEMBL597,PHENTOLAMINE,Membrane receptor,Fentolamina|Phentolamin|Phentolamine,Small molecule,Adrenergic receptor alpha antagonist,Metabolic
EFO_0001073,obesity,CHEMBL1551,URSODIOL,Transcription factor,Acide ursodeoxycholique|Acido ursodeoxicolico|NSC-683769|Ursodeoxycholate|Ursodeoxycholic acid|Ursodesoxycholic acid|Ursodiol|Ursonorm,Small molecule,Bile acid receptor FXR agonist,Metabolic
EFO_0001073,obesity,CHEMBL1042,CHOLECALCIFEROL,Transcription factor,"7-dehydrocholesterol, activated|AK R215 COMPONENT COLECALCIFEROL|AK-R215 COMPONENT COLECALCIFEROL|Cholecalciferol|Colecalciferol|Colecalciferolum|Delsterol|Delta-d|Deparal|Ebivit|NSC-375571|Provitina|Ricketon|Vitamin d|Vitamin d (cholecalciferol)|Vitamin d assay system suitability|Vitamin d-3|Vitamin d3|Vitamin d3 (as cholecalciferol)",Small molecule,Vitamin D receptor agonist,Metabolic
EFO_0001073,obesity,CHEMBL1064,SIMVASTATIN,Unclassified protein|Enzyme,C10AA01|MK-0733|MK-733|NSC-758706|Simvastatin|Simvastatin hydroxy acid|Simvastatina|Simvastatine|Synvinolin,Small molecule,HMG-CoA reductase inhibitor,Metabolic
EFO_0001073,obesity,CHEMBL80,NALOXONE,Membrane receptor,Dbl naloxone|NSC-70413|Naloxona|Naloxone|Suboxone,Small molecule,Opioid receptors; mu/kappa/delta antagonist,Metabolic
EFO_0001073,obesity,CHEMBL807,MEMANTINE,Ion channel,D-145|DRG-0267|Memantina|Memantine|NSC-757843|Namenda,Small molecule,Glutamate [NMDA] receptor negative allosteric modulator,Metabolic
EFO_0001073,obesity,CHEMBL2355051,CLOMIPHENE,Transcription factor,Clomifene|Clomifeno|Clomiphene,Small molecule,Estrogen receptor alpha modulator,Metabolic
EFO_0001073,obesity,CHEMBL175247,ORLISTAT,Enzyme,Lipstatin|NSC-758881|Orlipastat|Orlistat|RO 18-0647/002|RO-180647-002|RO-180647002|Tetrahydrolipstatin,Small molecule,Gastric lipase inhibitor,Metabolic
EFO_0001073,obesity,CHEMBL659,GALANTAMINE,Enzyme,(-)-galantamine|(-)-galanthamine|Galantamina|Galantamine|Galanthamine|NSC-100058|Razadyne,Small molecule,Acetylcholinesterase inhibitor,Metabolic
EFO_0001073,obesity,CHEMBL278020,NEOSTIGMINE,Enzyme,Miostin|Neostigmine|Neostigmine (cation)|Neostigmine cation|Neostigmine hydroxide|Neostigmine ion,Small molecule,Acetylcholinesterase inhibitor,Metabolic
EFO_0001073,obesity,CHEMBL493,BROMOCRIPTINE,Membrane receptor,"2-bromo-.alpha.-ergocryptine|Bromergocryptine|Bromocriptina|Bromocriptine|CB-154|Ergocryptine, 2-bromo-|SANDOZ 15-754",Small molecule,D2-like dopamine receptor agonist,Metabolic
EFO_0000519,glioblastoma multiforme,CHEMBL421,SULFASALAZINE,Enzyme,Azulfidine|Benzosulfa|NSC-203730|NSC-667219|SAS-500|Salazosulfapyridine|Salicylazosulfapyridine|Sulfasalazina|Sulfasalazine|Sulfasalazinum|Sulfasalazopyridine|Sulphasalazine,Small molecule,Arachidonate 5-lipoxygenase inhibitor,Cancer/Tumor|Nervous System
EFO_0000519,glioblastoma multiforme,CHEMBL109,VALPROIC ACID,Enzyme,"44089|Acide valproique|Acido valproico|NSC-93819|Pentanoic acid, 2-propyl|Valproate|Valproic acid|Valproic acid extended release",Small molecule,Succinate semialdehyde dehydrogenase inhibitor,Cancer/Tumor|Nervous System
MONDO_0015650,epilepsy syndrome,CHEMBL80,NALOXONE,Membrane receptor,Dbl naloxone|NSC-70413|Naloxona|Naloxone|Suboxone,Small molecule,Opioid receptors; mu/kappa/delta antagonist,
MONDO_0015650,epilepsy syndrome,CHEMBL109,VALPROIC ACID,Enzyme,"44089|Acide valproique|Acido valproico|NSC-93819|Pentanoic acid, 2-propyl|Valproate|Valproic acid|Valproic acid extended release",Small molecule,Succinate semialdehyde dehydrogenase inhibitor,
EFO_0003768,Nicotine addiction,CHEMBL701,BACLOFEN,Membrane receptor,"(rs)-baclofen|BA-34,647|BA-34647|Baclofen|Baclofene|Baclofeno|Fleqsuvy|Lyvispah|NSC-755906",Small molecule,GABA-B receptor agonist,Psychiatric|Nervous System
EFO_0003768,Nicotine addiction,CHEMBL1276308,MIFEPRISTONE,Transcription factor,Mifepristona|Mifepristone|NSC-759862|RU 38486|RU 486|RU-38486|RU-486|RU486,Small molecule,Progesterone receptor antagonist,Psychiatric|Nervous System
EFO_0003768,Nicotine addiction,CHEMBL457,GEMFIBROZIL,Transcription factor,CI-719|Gemfibrozil|Gemfibrozilo|NSC-757024,Small molecule,Peroxisome proliferator-activated receptor alpha agonist,Psychiatric|Nervous System
EFO_0003768,Nicotine addiction,CHEMBL46,ONDANSETRON,Ion channel|Membrane receptor,A04AA01|Desmethylondansetron|EUR-1025|GR-38032|GR-38032F|NSC-757870|Ondansetron|Zofran,Small molecule,Serotonin 3a (5-HT3a) receptor antagonist,Psychiatric|Nervous System
EFO_0003768,Nicotine addiction,CHEMBL497939,CYTISINICLINE,Ion channel,6039 Sopharma|Baptitoxine|Citisiniclina|Cytisine|Cytisinicline|Cytiton|NSC-407282|Sophorine|Ulexine,Small molecule,Neuronal acetylcholine receptor; alpha4/beta2 partial agonist,Psychiatric|Nervous System
EFO_0003768,Nicotine addiction,CHEMBL54,HALOPERIDOL,Ion channel|Membrane receptor,"Haloperidol|Haloperidol decanoate impurity, haloperidol-|MCN-JR-1625|NSC-170973|NSC-615296|R-1625",Small molecule,Serotonin 2a (5-HT2a) receptor antagonist,Psychiatric|Nervous System
EFO_0003768,Nicotine addiction,CHEMBL831,LOXAPINE,Membrane receptor,"CL 62,362|CL-62362|Loxapac|Loxapina|Loxapine|Loxitane|SUM 3170|SUM-3170",Small molecule,D2-like dopamine receptor antagonist,Psychiatric|Nervous System
EFO_0003768,Nicotine addiction,CHEMBL19019,NALTREXONE,Membrane receptor,EN-1639A|EN-1639A FREE BASE|EN-1639A [AS HYDROCHLORIDE]|NSC-758439|Naltrexona|Naltrexone|Revia,Small molecule,Opioid receptors; mu/kappa/delta antagonist,Psychiatric|Nervous System
EFO_0003768,Nicotine addiction,CHEMBL972,SELEGILINE,Enzyme,Eldepryl|L-selegiline|Selegilina|Selegiline|Zelapar,Small molecule,Monoamine oxidase B inhibitor,Psychiatric|Nervous System
EFO_0003768,Nicotine addiction,CHEMBL25,ASPIRIN,Enzyme,"Acetyl salicylate|Acetylsalicylic Acid|Acetylsalicylic acid|Acetylsalicylic acid (who-ip)|Acetylsalicylicum acidum|Acidum acetylsalicylicum|Acidum acetylsalicylicum (who-ip)|Aspirin|BAY1019036|Benzoic acid, 2-(acetyloxy)-|NSC-27223|NSC-406186",Small molecule,Cyclooxygenase inhibitor,Psychiatric|Nervous System
EFO_0003768,Nicotine addiction,CHEMBL807,MEMANTINE,Ion channel,D-145|DRG-0267|Memantina|Memantine|NSC-757843|Namenda,Small molecule,Glutamate [NMDA] receptor negative allosteric modulator,Psychiatric|Nervous System
EFO_0003768,Nicotine addiction,CHEMBL220492,TOPIRAMATE,Ion channel,(-)-topiramate|Epitoma|Eprontia|MCN-4853|Qudexy|RWJ-17021|RWJ-17021-000|Sincronil|Topamac|Topimax|Topina|Topiramate|Topiramato|Topomax|USL-255|USL255,Small molecule,GABA-A receptor; anion channel positive modulator,Psychiatric|Nervous System
EFO_0003768,Nicotine addiction,CHEMBL1009,LEVODOPA,Membrane receptor,Bendopa|Cvt-301|Levodopa|Levodopa component of carbilev|Levodopa component of parcopa|Levodopa component of sinemet|Levodopum|NSC-118381|V-1512,Small molecule,Dopamine D3 receptor agonist,Psychiatric|Nervous System
EFO_0005922,esophagus squamous cell carcinoma,CHEMBL1194,PRILOCAINE,Ion channel,ASTRA-1512|ASTRA-1515|Citanest|NSC-40027|Prilocaina|Prilocaine|Propitocaine,Small molecule,Sodium channel alpha subunit blocker,Gastrointestinal|Cancer/Tumor
EFO_0005922,esophagus squamous cell carcinoma,CHEMBL283120,AXL-1717,Enzyme,AXL-1717|Axl-1717|Axl1717|NSC-36407|Picropodophyllin|Picropodophyllotoxin|Podophyllotoxin picropodophyllin,Small molecule,Insulin-like growth factor I receptor inhibitor,Gastrointestinal|Cancer/Tumor
EFO_0005922,esophagus squamous cell carcinoma,CHEMBL1358,FULVESTRANT,Transcription factor,"Faslodex|Fulvestrant|ICI 182,780|ICI-182780|NSC-759879|ZD-9238|ZD9238",Small molecule,Estrogen receptor antagonist,Gastrointestinal|Cancer/Tumor
EFO_0005922,esophagus squamous cell carcinoma,CHEMBL38,TRETINOIN,Transcription factor,Aberel|All-trans retinoic acid|All-trans-retinoic acid|Eudyna|Kerlocal|NSC-122758|Oristar rna|Retin a|Retinoic acid|Tretinoin|Tretinoina|Tretinoine,Small molecule,Retinoic acid receptor agonist,Gastrointestinal|Cancer/Tumor
