disease_name,disease_id,match_type,q_threshold,tahoe_hits_count,cmap_hits_count,common_hits_count,known_drugs_in_database_count,known_drugs_available_in_cmap_count,known_drugs_available_in_tahoe_count,tahoe_in_known_count,cmap_in_known_count,common_in_known_count,total_in_known_count,phase_0.5,phase_1.0,phase_2.0,phase_3.0,phase_4.0,"status_Active, not recruiting",status_Completed,status_Enrolling by invitation,status_Not yet recruiting,status_Recruiting,status_Suspended,status_Terminated,status_Unknown,status_Unknown status,status_Withdrawn
West Nile fever,MONDO_0002282,name,0.05,189,4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eczema,EFO_0000274,synonym,0.05,374,35,2,1175,24,10,10,0,0,10,2.0,6.0,2.0,3.0,2.0,1.0,7.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,1.0
peripartum cardiomyopathy,EFO_0002628,name,0.05,210,0,0,8,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ebola hemorrhagic fever,EFO_0007243,name,0.05,188,81,1,44,1,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crohn's disease,EFO_0000384,name,0.05,332,102,4,1283,27,12,9,2,0,11,0.0,5.0,7.0,5.0,4.0,0.0,12.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,1.0
Turner syndrome,MONDO_0019499,name,0.05,147,239,4,226,1,1,1,1,0,2,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
esophagus adenocarcinoma,EFO_0000478,synonym,0.05,280,114,4,382,3,6,5,0,0,5,0.0,6.0,5.0,1.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,4.0,0.0,0.0,1.0
Marfan syndrome,MONDO_0007947,name,0.05,66,0,0,109,3,2,1,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
osteoporosis,EFO_0003882,name,0.05,147,297,5,668,10,2,1,4,0,5,1.0,3.0,1.0,4.0,1.0,0.0,6.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0
multiple myeloma,EFO_0001378,name,0.05,152,433,9,2564,40,62,26,10,3,33,6.0,39.0,54.0,21.0,2.0,15.0,39.0,2.0,5.0,16.0,1.0,21.0,1.0,13.0,9.0
prostate cancer,MONDO_0008315,name,0.05,180,390,4,3429,71,61,35,26,2,59,7.0,71.0,108.0,48.0,10.0,34.0,80.0,1.0,12.0,28.0,2.0,46.0,5.0,19.0,17.0
breast adenocarcinoma,EFO_0000304,name,0.05,260,70,3,512,9,12,8,2,0,10,0.0,4.0,4.0,11.0,0.0,10.0,5.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
systemic lupus erythematosus,MONDO_0007915,name,0.05,267,268,11,1071,20,15,9,8,1,16,2.0,6.0,10.0,3.0,3.0,0.0,13.0,0.0,1.0,2.0,0.0,4.0,3.0,0.0,1.0
primary open angle glaucoma,EFO_0004190,synonym,0.05,98,292,2,215,8,3,0,1,0,1,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
serous cystadenocarcinoma,MONDO_0024621,name,0.05,56,803,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
diabetes mellitus,EFO_0000400,name,0.05,377,0,0,2122,46,19,19,0,0,19,1.0,8.0,6.0,13.0,18.0,1.0,22.0,0.0,4.0,3.0,0.0,5.0,7.0,3.0,1.0
familial hypercholesterolemia,EFO_0004911,name,0.05,250,67,2,181,1,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
colon adenoma,MONDO_0000527,name,0.05,223,173,4,42,1,1,0,1,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
dengue disease,EFO_0005547,name,0.05,296,85,6,142,3,0,0,1,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Septic Shock,EFO_0006834,name,0.05,0,0,0,690,12,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cystitis,EFO_1000025,name,0.05,60,0,0,21,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chronic granulomatous disease,MONDO_0018305,name,0.05,318,54,1,275,3,4,3,0,0,3,1.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0
ulcerative colitis,EFO_0000729,name,0.05,207,68,1,1192,24,10,5,3,0,8,0.0,6.0,11.0,9.0,9.0,2.0,9.0,0.0,5.0,4.0,0.0,5.0,4.0,6.0,0.0
LGLL - Large granular lymphocytic leukemia,0,no_match,0.05,347,77,5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sporadic breast cancer,0,no_match,0.05,250,583,14,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
polycystic ovary syndrome,EFO_0000660,name,0.05,25,50,0,720,16,7,1,1,0,2,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
cystic fibrosis,MONDO_0009061,name,0.05,338,90,3,555,8,5,4,0,0,4,0.0,2.0,4.0,2.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
pancreatic cancer,EFO_1000359,synonym,0.05,69,763,1,357,7,11,4,1,1,4,0.0,6.0,10.0,2.0,0.0,4.0,4.0,0.0,4.0,5.0,0.0,0.0,0.0,1.0,0.0
uterine fibroid,EFO_0000731,name,0.05,116,347,4,275,7,3,0,3,0,3,0.0,2.0,2.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
chronic obstructive pulmonary disease,EFO_0000341,name,0.05,202,165,7,1577,29,15,11,6,1,16,2.0,6.0,17.0,19.0,12.0,0.0,24.0,0.0,2.0,10.0,0.0,7.0,3.0,7.0,3.0
inclusion body myositis,EFO_0007323,name,0.05,357,7,0,69,1,1,1,0,0,1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
renal cell carcinoma,EFO_0000681,name,0.05,181,418,7,1279,19,32,16,7,1,22,1.0,22.0,18.0,6.0,5.0,9.0,19.0,0.0,1.0,5.0,0.0,10.0,3.0,3.0,2.0
"Leukemia, Chronic T-Cell",0,no_match,0.05,182,71,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anterior horn cell disease,EFO_0003782,synonym,0.05,242,47,0,38,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MELAS syndrome,MONDO_0010789,name,0.05,172,89,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stomach cancer,EFO_0003897,synonym,0.05,118,172,5,486,6,12,3,1,1,3,0.0,4.0,12.0,5.0,1.0,2.0,7.0,0.0,2.0,3.0,0.0,1.0,1.0,6.0,0.0
pancreatic invasive intraductal papillary-mucinous carcinoma,0,no_match,0.05,116,643,6,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
post-traumatic stress disorder,EFO_0001358,name,0.05,193,437,10,762,19,1,0,8,0,8,0.0,4.0,4.0,7.0,0.0,0.0,10.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0
nonspecific interstitial pneumonia,0,no_match,0.05,6,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nephrosclerosis,EFO_1000041,name,0.05,231,530,11,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ovarian serous carcinoma,EFO_1001516,name,0.05,46,240,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alzheimer's disease,MONDO_0004975,synonym,0.05,283,40,1,1595,37,13,7,1,0,8,2.0,3.0,4.0,6.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0
Hereditary gingival fibromatosis,MONDO_0016070,name,0.05,30,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Osteolysis,HP_0002797,name,0.05,278,302,14,11,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
familial combined hyperlipidemia,0,no_match,0.05,329,23,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Williams-Beuren syndrome,MONDO_0008678,synonym,0.05,214,366,4,5,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lewy body dementia,EFO_0006792,name,0.05,204,23,0,50,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
leukemia,EFO_0000565,name,0.05,0,0,0,2283,39,42,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Human immunodeficiency virus infectious disease,EFO_0000764,synonym,0.05,104,128,2,2224,46,19,3,8,0,11,0.0,12.0,10.0,2.0,0.0,0.0,15.0,0.0,0.0,1.0,0.0,6.0,0.0,1.0,1.0
scleroderma,EFO_1001993,name,0.05,230,300,13,224,4,1,1,2,0,3,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
cervix carcinoma,EFO_0001061,synonym,0.05,0,0,0,293,3,5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
autoimmune thrombocytopenic purpura,EFO_0007160,name,0.05,379,28,3,605,16,11,11,2,0,13,0.0,2.0,18.0,14.0,7.0,4.0,9.0,0.0,6.0,6.0,0.0,1.0,3.0,6.0,6.0
Acute Lung Injury,EFO_0004610,name,0.05,217,29,0,231,5,4,2,1,0,3,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
dystonia,HP_0001332,name,0.05,212,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
severe acute respiratory syndrome,EFO_0000694,name,0.05,304,247,10,694,14,9,7,5,1,11,0.0,4.0,4.0,6.0,0.0,1.0,3.0,0.0,1.0,4.0,0.0,3.0,0.0,0.0,2.0
nasopharynx carcinoma,MONDO_0015459,synonym,0.05,153,604,6,540,7,16,6,5,1,10,0.0,4.0,12.0,3.0,0.0,3.0,4.0,0.0,6.0,2.0,0.0,1.0,0.0,2.0,1.0
Polymyositis,EFO_0003063,name,0.05,322,32,2,116,3,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Helicobacter pylori gastrointestinal tract infection,0,no_match,0.05,68,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
skin squamous cell carcinoma,MONDO_0002529,name,0.05,328,358,16,76,0,2,2,0,0,2,0.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waldenstrom Macroglobulinemia,EFO_0009441,name,0.05,275,498,23,560,8,13,5,3,0,8,0.0,4.0,8.0,1.0,0.0,0.0,9.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0
epidermolysis bullosa simplex,MONDO_0017610,name,0.05,116,3,0,11,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
allergic asthma,MONDO_0004784,name,0.05,84,128,1,162,2,0,0,2,0,2,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
tuberculosis,MONDO_0018076,name,0.05,326,424,26,589,12,9,8,3,1,10,0.0,3.0,6.0,2.0,0.0,0.0,4.0,0.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0
macular degeneration,EFO_0009606,name,0.05,106,131,2,336,4,4,0,1,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
MDS - Myelodysplastic syndrome,0,no_match,0.05,241,682,19,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
myotonic dystrophy type 1,MONDO_0008056,name,0.05,182,490,8,4,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Senescence,0,no_match,0.05,152,11,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lung transplant rejection,0,no_match,0.05,333,127,8,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
autism spectrum disorder,EFO_0003756,name,0.05,153,12,0,366,14,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tendinitis,MONDO_0004857,name,0.05,73,88,0,203,2,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
discoid lupus erythematosus,MONDO_0019558,name,0.05,357,6,0,84,1,2,2,0,0,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
type 1 diabetes mellitus,MONDO_0005147,name,0.05,178,201,3,1788,31,12,2,8,0,10,1.0,4.0,13.0,7.0,0.0,0.0,16.0,1.0,1.0,2.0,0.0,3.0,0.0,0.0,2.0
dermatomyositis,EFO_0000398,name,0.05,186,86,1,293,5,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
influenza,EFO_0007328,name,0.05,179,34,2,813,19,6,2,1,0,3,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
acne,EFO_0003894,name,0.05,289,137,7,394,11,7,6,2,0,8,1.0,5.0,8.0,5.0,11.0,1.0,15.0,0.0,0.0,2.0,0.0,2.0,5.0,5.0,0.0
