disease_id,disease_name,disease_therapeutic_areas,drug_rank,drug_name_original,drug_id,drug_common_name,drug_target_class,drug_type,drug_mechanism_of_action,drug_synonyms
EFO_0005531,urticaria,Skin/Integumentary,21,cobimetinib,CHEMBL2146883,COBIMETINIB,Enzyme,Small molecule,Dual specificity mitogen-activated protein kinase kinase 2 inhibitor,Cobimetinib|GDC-0973|Gdc 0623|Gdc 0973|Gdc-0623|RG 7420|RG-7420|RG7420|Rg-7420|Rg-7421|XL-518|Xl 518|Xl518
EFO_0005531,urticaria,Skin/Integumentary,23,adagrasib,CHEMBL4594350,ADAGRASIB,Enzyme|Unclassified protein,Small molecule,GTPase KRas inhibitor,Adagrasib|Kras g12c inhibitor mrtx849|Krazati|MRTX-849|MRTX849|Mrtx-849|Mrtx849
EFO_0005531,urticaria,Skin/Integumentary,25,erdafitinib,CHEMBL3545376,ERDAFITINIB,Enzyme|Unclassified protein,Small molecule,Fibroblast growth factor receptor inhibitor,Erdafitinib|JNJ-42756493|Jnj-42756493
EFO_0005531,urticaria,Skin/Integumentary,26,ribociclib,CHEMBL3545110,RIBOCICLIB,Other nuclear protein|Enzyme|Other cytosolic protein,Small molecule,Cyclin-dependent kinase 6 inhibitor,LEE-011|LEE-011A|LEE011|LEE011A|Lee-011|NVP-LEE011|Ribociclib
EFO_0005531,urticaria,Skin/Integumentary,27,bentamapimod,CHEMBL3545213,BENTAMAPIMOD,Enzyme,Small molecule,"c-Jun N-terminal kinase, JNK inhibitor",AS602801|As-602801|Bentamapimod|PGL-5001|PGL5001
EFO_0005531,urticaria,Skin/Integumentary,28,carbidopa monohydrate,CHEMBL1200748,CARBIDOPA,Enzyme,Small molecule,DOPA decarboxylase inhibitor,Carbidopa|Carbidopa component of carbilev|Carbidopa component of parcopa|Carbidopa component of sinemet|Carbidopa hydrate|Carbidopa monohydrate|Carbidopum monohydrate|Lodosyn|MK-486|NSC-751137|NSC-758190
EFO_0005531,urticaria,Skin/Integumentary,29,flumatinib mesylate,CHEMBL3545413,FLUMATINIB,Unclassified protein|Enzyme,Small molecule,Tyrosine-protein kinase ABL inhibitor,Flumatinib|Flumbatinib|HH-GV678|Hhgv-678
EFO_0005531,urticaria,Skin/Integumentary,30,sonidegib,CHEMBL2105737,SONIDEGIB,Membrane receptor,Small molecule,Smoothened homolog inhibitor,Erismodegib|LDE 225|LDE-225|LDE225|NVP-LDE 225|NVP-LDE-225|NVP-LDE225|Sonidegib
EFO_0005531,urticaria,Skin/Integumentary,32,lidocaine hydrochloride,CHEMBL1200409,LIDOCAINE HYDROCHLORIDE,Ion channel,Small molecule,Sodium channel alpha subunit blocker,Anhydrous lidocaine hydrochloride|Lidocaine hcl|Lidocaine hydrochloride|Lidocaine hydrochloride anhydrous|Lidocaine hydrochloride monohydrate|Lidocaine hydrochloride usp|Lidocaini hydrochloridum|Lignocaine (as hydrochloride)|Lignocaine hydrochloride|NSC-757420|Xylocaine hydrochloride
EFO_0005531,urticaria,Skin/Integumentary,35,irinotecan hydrochloride,CHEMBL3989514,IRINOTECAN HYDROCHLORIDE,Enzyme,Small molecule,DNA topoisomerase I inhibitor,"CPT-11|DQ-2805|Irinotecan anhydrous free-base|Irinotecan hydrochloride|Irinotecan hydrochloride anhydrous|Irinotecan hydrochloride hydrate|Irinotecan hydrochloride trihydrate|Irinotecan monohydrochloride trihydrate|NSC-759878|U-101,440E|U-101440E"
EFO_0005531,urticaria,Skin/Integumentary,36,selinexor,CHEMBL3545185,SELINEXOR,Unclassified protein,Small molecule,Exportin-1 inhibitor,KPT-330|Selinexor
EFO_0005531,urticaria,Skin/Integumentary,38,ipatasertib,CHEMBL2177390,IPATASERTIB,Enzyme,Small molecule,Serine/threonine-protein kinase AKT inhibitor,GDC-0068|Ipatasertib|RG-7440|RG7440|Rg-7440
EFO_0005531,urticaria,Skin/Integumentary,39,capivasertib,CHEMBL2325741,CAPIVASERTIB,Enzyme|Unclassified protein,Small molecule,Serine/threonine-protein kinase AKT inhibitor,AZC5363|AZD-5363|AZD5363|Azd 5363|Azd-5363|Capivasertib
EFO_0005531,urticaria,Skin/Integumentary,40,anastrozole,CHEMBL1399,ANASTROZOLE,Enzyme,Small molecule,Cytochrome P450 19A1 inhibitor,Anastrozol|Anastrozole|Arimidex|ICI D1033|ICI-D1033|NSC-719344|NSC-759855|Rvg-106400|ZD-1033|ZD1033
EFO_0005531,urticaria,Skin/Integumentary,41,abiraterone acetate,CHEMBL271227,ABIRATERONE ACETATE,Enzyme,Small molecule,Cytochrome P450 17A1 inhibitor,Abiraterone acetate|CB-7630|CB7630|NSC-748121|NSC-749227
EFO_0005531,urticaria,Skin/Integumentary,42,citalopram hydrobromide,CHEMBL1200781,CITALOPRAM HYDROBROMIDE,Transporter,Small molecule,Serotonin transporter inhibitor,Citalopram (as hydrobromide)|Citalopram hbr|Citalopram hydrobromide|LU 10-171-B|LU-10-171-B|NSC-758684
EFO_0005531,urticaria,Skin/Integumentary,44,pemigatinib,CHEMBL4297522,PEMIGATINIB,Enzyme|Unclassified protein,Small molecule,Fibroblast growth factor receptor 2 inhibitor,Fgfr inhibitor incb054828|INCB054828|Incb-054828|Incb054828|Pemigatinib
EFO_0005531,urticaria,Skin/Integumentary,45,ralimetinib dimesylate,CHEMBL2364626,RALIMETINIB,Unclassified protein|Enzyme,Small molecule,MAP kinase p38 alpha inhibitor,LSN-2322600 FREE BASE|LSN2322600 FREE BASE|LY-2228820|LY2228820|LY22288220|Ly-2228820|Ralimetinib
EFO_0005531,urticaria,Skin/Integumentary,46,cabozantinib smalate,CHEMBL2105717,CABOZANTINIB,Enzyme,Small molecule,Hepatocyte growth factor receptor inhibitor,BMS-907351|BMS-907351 FREE BASE|Cabozantinib|XL-184|XL-184 FREE BASE|XL184
EFO_0005531,urticaria,Skin/Integumentary,47,rimonabant,CHEMBL111,RIMONABANT,Membrane receptor,Small molecule,Cannabinoid CB1 receptor antagonist,Rimonabant|SR-14171|SR-141716|SR-141716A|SR141716|Zimulti
EFO_0005531,urticaria,Skin/Integumentary,49,belzutifan,CHEMBL4585668,BELZUTIFAN,Transcription factor,Small molecule,Endothelial PAS domain-containing protein 1 inhibitor,Belzutifan|MK-6482|MK6482|Mk-6482|PT-2977|PT2977|Pt 2977|Pt2977
EFO_0005531,urticaria,Skin/Integumentary,53,sildenafil,CHEMBL192,SILDENAFIL,Enzyme,Small molecule,Phosphodiesterase 5A inhibitor,Aphrodil|HIP-0908|HIP0908|Patrex|Sildenafil|Sildenafil actavis|Sildenafil ratiopharm|Sildenafil teva|Sildenafilo|UK-92480
EFO_0005531,urticaria,Skin/Integumentary,54,fedratinib hydrochloride hydrate,CHEMBL1287853,FEDRATINIB,Enzyme,Small molecule,Tyrosine-protein kinase JAK2 inhibitor,Fedratinib|SAR-302503|SAR302503|Sar-302503|TG-101348|TG101348
EFO_0005531,urticaria,Skin/Integumentary,55,cytarabine,CHEMBL803,CYTARABINE,Enzyme,Small molecule,DNA polymerase (alpha/delta/epsilon) inhibitor,"Ara-c|Ara-cytidine|Arabinocytosine|Arabinosyl cytosine|Aracytidine|Aracytin|Aracytine|Citarabina|Cytarabine|Cytarabine liposome|Cytarabinoside|Cytarabinum|NSC-287459|Spongocytidine|U 19920a|U-19,920|U-19920"
EFO_0005531,urticaria,Skin/Integumentary,57,tirabrutinib hydrochloride,CHEMBL4071161,TIRABRUTINIB,Enzyme|Unclassified protein,Small molecule,Tyrosine-protein kinase BTK inhibitor,GS-4059|Gs-4059|ONO-4059|ONO-4059(FREE BASE)|Ono-4059|Tirabrutinib
EFO_0005531,urticaria,Skin/Integumentary,58,mitoxantrone dihydrochloride,CHEMBL1417019,MITOXANTRONE HYDROCHLORIDE,Enzyme,Small molecule,DNA topoisomerase II alpha inhibitor,"CL 232,315|CL-232315|Mitoxantrone Dihcl|Mitoxantrone Dihydrochloride|Mitoxantrone dihydrochloride|Mitoxantrone hcl|Mitoxantrone hydrochloride|Mitozantrone|NSC-301739"
EFO_0005531,urticaria,Skin/Integumentary,61,hydroxyfasudil,CHEMBL38380,FASUDIL,Enzyme,Small molecule,Rho-associated protein kinase inhibitor,AT 877|AT-877|Fasudil|HA 1077|HA-1077|NSC-759827|ZK-258594
EFO_0005531,urticaria,Skin/Integumentary,62,azd8055,CHEMBL1801204,AZD-8055,Enzyme|Other cytosolic protein,Small molecule,Serine/threonine-protein kinase mTOR inhibitor,AZ-12600000|AZD 8055|AZD-8055|AZD8055|Azd-8055
EFO_0005531,urticaria,Skin/Integumentary,63,entrectinib,CHEMBL1983268,ENTRECTINIB,Enzyme,Small molecule,Neurotrophic tyrosine kinase receptor inhibitor,Entrectinib|NMS-E628|RXDX-101|Rxdx-101
EFO_0005531,urticaria,Skin/Integumentary,64,lthyroxine sodium salt pentahydrate,CHEMBL2103741,LEVOTHYROXINE SODIUM,Transcription factor,Small molecule,Thyroid hormone receptor agonist,Eferox|Levaxin|Levothyrox|Levothyroxine sodique|Levothyroxine sodium|Levothyroxine sodium anhydrous|Levothyroxine sodium hydrate|Levothyroxine sodium pentahydrate|Levothyroxinum natricum anhydrous|Levotiroxina de sodio|Liotrix (t4)|Monosodium l-thyroxine hydrate|NSC-259940|Oroxine|Sodium levothyroxine pentahydrate|Soloxine|T4 (liotrix)|Thyroxine|Thyroxine sodium|Thyroxine sodium salt
EFO_0005531,urticaria,Skin/Integumentary,65,fostamatinib disodium hexahydrate,CHEMBL3989516,FOSTAMATINIB DISODIUM,Enzyme,Small molecule,Tyrosine-protein kinase SYK inhibitor,Fostamatinib disodium|Fostamatinib disodium hexahydrate|Fostamatinib disodium salt hexahydrate|Fostamatinib sodium hydrate|R-788 SODIUM|R-788 SODIUM HYDRATE|R-935788 SODIUM|R-935788 SODIUM HYDRATE|R788 SODIUM|R788 SODIUM HYDRATE|R935788 SODIUM|R935788 SODIUM HYDRATE
EFO_0005531,urticaria,Skin/Integumentary,67,filgotinib,CHEMBL3301607,FILGOTINIB,Enzyme,Small molecule,Tyrosine-protein kinase TYK2 inhibitor,Filgotinib|G-146034|G146034|GLPG0634|GS-6034 FREE BASE|Glpg-0634
EFO_0005531,urticaria,Skin/Integumentary,68,bosentan hydrate,CHEMBL957,BOSENTAN,Membrane receptor,Small molecule,"Endothelin receptor, ET-A/ET-B antagonist",Anhydrous bosentan|Bosentan|Bosentan (as monohydrate)|Bosentan anhydrous|Bosentan hydrate|Bosentan monohydrate|RO 47-0203/029|RO-47-0203-029|RO-470203029
EFO_0005531,urticaria,Skin/Integumentary,71,olaparib,CHEMBL521686,OLAPARIB,Enzyme|Unclassified protein,Small molecule,"PARP 1, 2 and 3 inhibitor",AZ-2281|AZ2281|AZD-2281|AZD2281|KEYLYNK-010 COMPONENT OLAPARIB|KU-0059436|KU-59436|NSC-747856|OLAPARIB COMPONENT OF KEYLYNK-010|Olaparib
EFO_0005531,urticaria,Skin/Integumentary,72,radotinib,CHEMBL4297524,RADOTINIB,Unclassified protein|Enzyme,Small molecule,Bcr/Abl fusion protein inhibitor,IY5511|Radotinib
EFO_0005531,urticaria,Skin/Integumentary,73,tofacitinib citrate,CHEMBL2103743,TOFACITINIB CITRATE,Enzyme,Small molecule,Janus Kinase (JAK) inhibitor,"CP-690,550-10|CP-690550-10|Cp-690550 citrate|Tasocitinib monocitrate|Tofacitinib citrate|Tofacitinib monocitrate"
EFO_0005531,urticaria,Skin/Integumentary,74,binimetinib,CHEMBL3187723,BINIMETINIB,Enzyme,Small molecule,Dual specificity mitogen-activated protein kinase kinase 2 inhibitor,ARRY 438162|ARRY-162|ARRY-438162|Binimetinib|MEK-162|MEK162|Mek-162|NVP-MEK162
EFO_0005531,urticaria,Skin/Integumentary,75,sivelestat sodium tetrahydrate,CHEMBL76688,SIVELESTAT,Enzyme,Small molecule,Leukocyte elastase inhibitor,LY-544349|LY544349|ONO-5046|Sivelestat
HP_0001249,intellectual disability,Phenotype,1,larotrectinib,CHEMBL3889654,LAROTRECTINIB,Enzyme,Small molecule,Neurotrophic tyrosine kinase receptor inhibitor,ARRY-470|BAY-2757556|BAY2757556|LOXO-101|Larotrectinib|Loxo-101
HP_0001249,intellectual disability,Phenotype,4,bexarotene,CHEMBL1023,BEXAROTENE,Transcription factor,Small molecule,Retinoid X receptor agonist,Bexarotene|Bexaroteno|LG-100069|LG100069|LGD-1069|LGD1069|NSC-747528
HP_0001249,intellectual disability,Phenotype,6,acetohexamide,CHEMBL1589,ACETOHEXAMIDE,Transporter,Small molecule,"Sulfonylurea receptor 1, Kir6.2 blocker",33006|Acetohexamida|Acetohexamide|NSC-759128
HP_0001249,intellectual disability,Phenotype,7,fingolimod hydrochloride,CHEMBL544665,FINGOLIMOD HYDROCHLORIDE,Membrane receptor,Small molecule,Sphingosine 1-phosphate receptor agonist,FTY-720 HYDROCHLORIDE|FTY720|FTY720 HYDROCHLORIDE|Fingolimod|Fingolimod (as hydrochloride)|Fingolimod hcl|Fingolimod hydrochlorid|Fingolimod hydrochloride|Gilenia
HP_0001249,intellectual disability,Phenotype,8,ritonavir,CHEMBL163,RITONAVIR,Enzyme,Small molecule,Cytochrome P450 3A inhibitor,A-84538|ABBOTT-84538|ABT-538|Empetus|NSC-693184|Norvir|Ritomune|Ritonavir|Ritonavir related compounds mixture|Ritonavirum|Ritovir|Viekirax|Viriton
HP_0001249,intellectual disability,Phenotype,9,adagrasib,CHEMBL4594350,ADAGRASIB,Enzyme|Unclassified protein,Small molecule,GTPase KRas inhibitor,Adagrasib|Kras g12c inhibitor mrtx849|Krazati|MRTX-849|MRTX849|Mrtx-849|Mrtx849
HP_0001249,intellectual disability,Phenotype,10,salicylic acid,CHEMBL25,ASPIRIN,Enzyme,Small molecule,Cyclooxygenase inhibitor,"Acetyl salicylate|Acetylsalicylic Acid|Acetylsalicylic acid|Acetylsalicylic acid (who-ip)|Acetylsalicylicum acidum|Acidum acetylsalicylicum|Acidum acetylsalicylicum (who-ip)|Aspirin|BAY1019036|Benzoic acid, 2-(acetyloxy)-|NSC-27223|NSC-406186"
HP_0001249,intellectual disability,Phenotype,11,irinotecan hydrochloride,CHEMBL3989514,IRINOTECAN HYDROCHLORIDE,Enzyme,Small molecule,DNA topoisomerase I inhibitor,"CPT-11|DQ-2805|Irinotecan anhydrous free-base|Irinotecan hydrochloride|Irinotecan hydrochloride anhydrous|Irinotecan hydrochloride hydrate|Irinotecan hydrochloride trihydrate|Irinotecan monohydrochloride trihydrate|NSC-759878|U-101,440E|U-101440E"
HP_0001249,intellectual disability,Phenotype,12,aliskiren,CHEMBL1639,ALISKIREN,Enzyme,Small molecule,Renin inhibitor,Aliskiren|Aliskirene|Aliskireno|SPP-100|SPP100
HP_0001249,intellectual disability,Phenotype,13,neratinib maleate,CHEMBL3989921,NERATINIB MALEATE,Enzyme,Small molecule,Receptor protein-tyrosine kinase erbB-2 inhibitor,Neratinib maleate|Neratinib maleate anhydrous
HP_0001249,intellectual disability,Phenotype,14,almonertinib hydrochloride,CHEMBL4761468,AUMOLERTINIB,Enzyme,Small molecule,Epidermal growth factor receptor erbB1 inhibitor,Almonertinib|Ameile|Amerol|Aumolertinib|EQ-143|EQ143|Egfr t790m inhibitor hs-10296|HS-10206|HS-10296|Hs 10296|Hs-10296
HP_0001249,intellectual disability,Phenotype,15,rimonabant,CHEMBL111,RIMONABANT,Membrane receptor,Small molecule,Cannabinoid CB1 receptor antagonist,Rimonabant|SR-14171|SR-141716|SR-141716A|SR141716|Zimulti
HP_0001249,intellectual disability,Phenotype,20,sunitinib,CHEMBL535,SUNITINIB,Enzyme,Small molecule,Platelet-derived growth factor receptor inhibitor,NSC-736511|NSC-750690|SU-011248|SU-11248|SU011248|Sunitinib|Sutent
HP_0001249,intellectual disability,Phenotype,22,mitoxantrone dihydrochloride,CHEMBL1417019,MITOXANTRONE HYDROCHLORIDE,Enzyme,Small molecule,DNA topoisomerase II alpha inhibitor,"CL 232,315|CL-232315|Mitoxantrone Dihcl|Mitoxantrone Dihydrochloride|Mitoxantrone dihydrochloride|Mitoxantrone hcl|Mitoxantrone hydrochloride|Mitozantrone|NSC-301739"
HP_0001249,intellectual disability,Phenotype,23,goserelin acetate,CHEMBL1200501,GOSERELIN ACETATE,Membrane receptor,Protein,Gonadotropin-releasing hormone receptor agonist,Fertilan|Goserelin Acetate|Goserelin acetate
HP_0001249,intellectual disability,Phenotype,24,gemfibrozil,CHEMBL457,GEMFIBROZIL,Transcription factor,Small molecule,Peroxisome proliferator-activated receptor alpha agonist,CI-719|Gemfibrozil|Gemfibrozilo|NSC-757024
MONDO_0002050,mental depression,Nervous System|Psychiatric,2,belumosudil,CHEMBL2005186,BELUMOSUDIL,Enzyme,Small molecule,Rho-associated protein kinase inhibitor,Belumosudil|KD-025|KD025|Rock2 inhibitor kd025|SLx-2119|Slx-2119 free base
MONDO_0002050,mental depression,Nervous System|Psychiatric,4,temuterkib,CHEMBL4650285,TEMUTERKIB,Enzyme,Small molecule,Mitogen-activated protein kinase; ERK1/ERK2 inhibitor,LY-3214996|LY3214996|Ly 3214996|Ly3214996|Temuterkib
MONDO_0002050,mental depression,Nervous System|Psychiatric,6,gallic acid,CHEMBL1592101,BISMUTH SUBGALLATE,Enzyme,Small molecule,Coagulation factor XII activator,Basic bismuth gallate|Bismuth subgallate|Gallic acid bismuth basic salt
MONDO_0002050,mental depression,Nervous System|Psychiatric,7,encorafenib,CHEMBL3301612,ENCORAFENIB,Unclassified protein|Enzyme,Small molecule,Serine/threonine-protein kinase B-raf inhibitor,Encorafenib|Lgx-818|Lgx818|NVP-LGX-818-NXA|NVP-LGX818|NVP-LGX818-NXA
MONDO_0002050,mental depression,Nervous System|Psychiatric,8,vilanterol,CHEMBL1198857,VILANTEROL,Membrane receptor,Small molecule,Beta-2 adrenergic receptor agonist,GW-642444|GW-642444X|GW642444|GW642444X|Vilanterol
MONDO_0002050,mental depression,Nervous System|Psychiatric,11,methylprednisolone succinate,CHEMBL1201265,METHYLPREDNISOLONE HEMISUCCINATE,Transcription factor,Small molecule,Glucocorticoid receptor agonist,Methylprednisolone hemisuccinate|Methylprednisolone succinate
MONDO_0002050,mental depression,Nervous System|Psychiatric,12,rverapamil hydrochloride,CHEMBL6966,VERAPAMIL,Ion channel,Small molecule,Voltage-gated L-type calcium channel blocker,"CP-16,533-1|CP-165331|D-365|Iproveratril|NSC-272306NA|Verapamil|Verapamil slow release|Verapamilo"
MONDO_0002050,mental depression,Nervous System|Psychiatric,16,fenofibrate,CHEMBL672,FENOFIBRATE,Transcription factor,Small molecule,Peroxisome proliferator-activated receptor alpha agonist,Fenofibrate|Fenofibrate delayed release|Fenofibrate micronized|Fenofibrato|NSC-281319
MONDO_0002050,mental depression,Nervous System|Psychiatric,17,sonidegib,CHEMBL2105737,SONIDEGIB,Membrane receptor,Small molecule,Smoothened homolog inhibitor,Erismodegib|LDE 225|LDE-225|LDE225|NVP-LDE 225|NVP-LDE-225|NVP-LDE225|Sonidegib
MONDO_0002050,mental depression,Nervous System|Psychiatric,19,doxorubicin hydrochloride,CHEMBL359744,DOXORUBICIN HYDROCHLORIDE,Enzyme,Small molecule,DNA topoisomerase II alpha inhibitor,"Adriablastina cs|Adriamycin, hydrochloride|Doxorubicin HCl|Doxorubicin citrate|Doxorubicin citric acid salt|Doxorubicin hcl|Doxorubicin hydrochloride|Doxorubicin liposomal complex of the hydrochloride|Doxorubicini hydrochloridum|Hydroxydaunomycin hydrochloride|Liposomal doxorubicin hydrochloride"
MONDO_0002050,mental depression,Nervous System|Psychiatric,21,pemetrexed,CHEMBL225072,PEMETREXED,Enzyme,Small molecule,GAR transformylase inhibitor,LY-2315|LY-231514|LY231514|NSC-698037|Pemetrexed
MONDO_0002050,mental depression,Nervous System|Psychiatric,22,anastrozole,CHEMBL1399,ANASTROZOLE,Enzyme,Small molecule,Cytochrome P450 19A1 inhibitor,Anastrozol|Anastrozole|Arimidex|ICI D1033|ICI-D1033|NSC-719344|NSC-759855|Rvg-106400|ZD-1033|ZD1033
MONDO_0002050,mental depression,Nervous System|Psychiatric,23,abiraterone acetate,CHEMBL271227,ABIRATERONE ACETATE,Enzyme,Small molecule,Cytochrome P450 17A1 inhibitor,Abiraterone acetate|CB-7630|CB7630|NSC-748121|NSC-749227
MONDO_0002050,mental depression,Nervous System|Psychiatric,24,citalopram hydrobromide,CHEMBL1200781,CITALOPRAM HYDROBROMIDE,Transporter,Small molecule,Serotonin transporter inhibitor,Citalopram (as hydrobromide)|Citalopram hbr|Citalopram hydrobromide|LU 10-171-B|LU-10-171-B|NSC-758684
MONDO_0002050,mental depression,Nervous System|Psychiatric,26,levobupivacaine hydrochloride,CHEMBL1200749,LEVOBUPIVACAINE HYDROCHLORIDE,Ion channel,Small molecule,Sodium channel protein type IV alpha subunit blocker,Bupivacaine (-)-form hydrochloride|CHIROCAINE|Levobupivacaine hcl|Levobupivacaine hydrochloride
MONDO_0002050,mental depression,Nervous System|Psychiatric,28,riluzole hydrochloride,CHEMBL744,RILUZOLE,Ion channel,Small molecule,Sodium channel alpha subunit blocker,BHV-0223|NSC-753433|NSC-759823|RP 54274|RP-54274|Riluzol|Riluzole|Tiglutik
MONDO_0002050,mental depression,Nervous System|Psychiatric,30,gefitinib,CHEMBL939,GEFITINIB,Enzyme,Small molecule,Epidermal growth factor receptor erbB1 inhibitor,Gefitinib|Iressa|NSC-759856|ZD-1839|ZD1839
MONDO_0002050,mental depression,Nervous System|Psychiatric,32,benztropine mesylate,CHEMBL1200383,BENZTROPINE MESYLATE,Membrane receptor,Small molecule,Muscarinic acetylcholine receptor M1 antagonist,Benzatropine mesilate|Benztropine mesilate|Benztropine mesylate|Benztropine methanesulfonate|NSC-169913
MONDO_0002050,mental depression,Nervous System|Psychiatric,33,filgotinib,CHEMBL3301607,FILGOTINIB,Enzyme,Small molecule,Tyrosine-protein kinase TYK2 inhibitor,Filgotinib|G-146034|G146034|GLPG0634|GS-6034 FREE BASE|Glpg-0634
MONDO_0002050,mental depression,Nervous System|Psychiatric,35,dorzolamide hydrochloride,CHEMBL1201162,DORZOLAMIDE HYDROCHLORIDE,Enzyme|Unclassified protein,Small molecule,Carbonic anhydrase II inhibitor,Dorzolamide (as hydrochloride)|Dorzolamide hcl|Dorzolamide hydrochloride|MK-507
MONDO_0002050,mental depression,Nervous System|Psychiatric,36,cilostazol,CHEMBL799,CILOSTAZOL,Enzyme,Small molecule,Phosphodiesterase 3A inhibitor,Cilostazol|NSC-758936|OPC-13013|OPC-21
