disease_id,disease_name,drug_id,drug_common_name,drug_target_class,drug_synonyms,drug_type,drug_mechanism_of_action,disease_therapeutic_areas
MONDO_0002974,cervical cancer,CHEMBL3545376,ERDAFITINIB,Enzyme|Unclassified protein,Erdafitinib|JNJ-42756493|Jnj-42756493,Small molecule,Fibroblast growth factor receptor inhibitor,Cancer/Tumor|Reproductive/Breast
MONDO_0002974,cervical cancer,CHEMBL888,GEMCITABINE,Enzyme,Gemcitabina|Gemcitabine|Gemzar|LY-188011|LY188011|NSC-613327,Small molecule,DNA polymerase (alpha/delta/epsilon) inhibitor,Cancer/Tumor|Reproductive/Breast
MONDO_0002974,cervical cancer,CHEMBL3545076,LY-2584702,Enzyme,LY 2584702|LY2584702|Ly-2584702,Small molecule,Ribosomal protein S6 kinase 1 inhibitor,Cancer/Tumor|Reproductive/Breast
MONDO_0002974,cervical cancer,CHEMBL1200409,LIDOCAINE HYDROCHLORIDE,Ion channel,Anhydrous lidocaine hydrochloride|Lidocaine hcl|Lidocaine hydrochloride|Lidocaine hydrochloride anhydrous|Lidocaine hydrochloride monohydrate|Lidocaine hydrochloride usp|Lidocaini hydrochloridum|Lignocaine (as hydrochloride)|Lignocaine hydrochloride|NSC-757420|Xylocaine hydrochloride,Small molecule,Sodium channel alpha subunit blocker,Cancer/Tumor|Reproductive/Breast
MONDO_0002974,cervical cancer,CHEMBL2177390,IPATASERTIB,Enzyme,GDC-0068|Ipatasertib|RG-7440|RG7440|Rg-7440,Small molecule,Serine/threonine-protein kinase AKT inhibitor,Cancer/Tumor|Reproductive/Breast
MONDO_0002974,cervical cancer,CHEMBL2396661,ALPELISIB,Enzyme,Alpelisib|BYL-719|BYL719|Byl-719|NVP-BYL719|Vijoice,Small molecule,PI3-kinase p110-alpha subunit inhibitor,Cancer/Tumor|Reproductive/Breast
MONDO_0002974,cervical cancer,CHEMBL4297522,PEMIGATINIB,Enzyme|Unclassified protein,Fgfr inhibitor incb054828|INCB054828|Incb-054828|Incb054828|Pemigatinib,Small molecule,Fibroblast growth factor receptor 2 inhibitor,Cancer/Tumor|Reproductive/Breast
MONDO_0002974,cervical cancer,CHEMBL413,SIROLIMUS,Enzyme|Ion channel,AY-22989|Fyarro|Hyftor|L04AA10|NSC-226080|Npc-12g|Rapalimus|Rapamycin|SM-88 COMPONENT SIROLIMUS|Sirolimus|WY-090217,Small molecule,FK506-binding protein 1A inhibitor,Cancer/Tumor|Reproductive/Breast
MONDO_0002974,cervical cancer,CHEMBL2364626,RALIMETINIB,Unclassified protein|Enzyme,LSN-2322600 FREE BASE|LSN2322600 FREE BASE|LY-2228820|LY2228820|LY22288220|Ly-2228820|Ralimetinib,Small molecule,MAP kinase p38 alpha inhibitor,Cancer/Tumor|Reproductive/Breast
MONDO_0002974,cervical cancer,CHEMBL3301610,ABEMACICLIB,Other nuclear protein|Enzyme|Other cytosolic protein,Abemaciclib|LY-2835219|LY2835219|Ly-2835219,Small molecule,Cyclin-dependent kinase 6 inhibitor,Cancer/Tumor|Reproductive/Breast
MONDO_0002974,cervical cancer,CHEMBL1201139,MEGESTROL ACETATE,Transcription factor,5071|BDH 1298|BDH-1298|Chronopil|Megesterol acetate|Megestrol|Megestrol 17.alpha.-acetate|Megestrol acetate|NSC-71423|SC 10363|SC-10363,Small molecule,Progesterone receptor agonist,Cancer/Tumor|Reproductive/Breast
MONDO_0002974,cervical cancer,CHEMBL35,FUROSEMIDE,Transporter,Frusemide|Furoscix|Furosemida|Furosemide|Furosemidum|LB-502|Logirene|Marsemide|Mirfat|NSC-269420|Oedemex,Small molecule,Sodium-(potassium)-chloride cotransporter 2 inhibitor,Cancer/Tumor|Reproductive/Breast
MONDO_0002974,cervical cancer,CHEMBL1417019,MITOXANTRONE HYDROCHLORIDE,Enzyme,"CL 232,315|CL-232315|Mitoxantrone Dihcl|Mitoxantrone Dihydrochloride|Mitoxantrone dihydrochloride|Mitoxantrone hcl|Mitoxantrone hydrochloride|Mitozantrone|NSC-301739",Small molecule,DNA topoisomerase II alpha inhibitor,Cancer/Tumor|Reproductive/Breast
MONDO_0002974,cervical cancer,CHEMBL3188267,CAPMATINIB,Enzyme,Capmatinib|INC-280|INC280|INCB-28060|INCB-28060 FREE BASE|Incb-28060|NVP-INC280|NVP-INC280-NX|NYP-INC280-NX,Small molecule,Hepatocyte growth factor receptor inhibitor,Cancer/Tumor|Reproductive/Breast
MONDO_0002974,cervical cancer,CHEMBL189963,PALBOCICLIB,Other nuclear protein|Enzyme|Other cytosolic protein,PD-0332991|Palbociclib,Small molecule,CDK6/cyclin D1 inhibitor,Cancer/Tumor|Reproductive/Breast
MONDO_0002974,cervical cancer,CHEMBL378544,VINBLASTINE SULFATE,Structural protein,29060-LE|29060LE|Alkaban-aq|NSC-49842|Vinblastine sulfate|Vinblastine sulphate|Vinblastini sulfas|Vincaleukoblastine sulfate|Vlb monosulfate,Small molecule,Tubulin inhibitor,Cancer/Tumor|Reproductive/Breast
MONDO_0002974,cervical cancer,CHEMBL483254,PANOBINOSTAT,Unclassified protein|Epigenetic regulator,LBH-589|LBH589|Panobinostat|Panobinostat hydrate,Small molecule,Histone deacetylase inhibitor,Cancer/Tumor|Reproductive/Breast
MONDO_0002974,cervical cancer,CHEMBL803,CYTARABINE,Enzyme,"Ara-c|Ara-cytidine|Arabinocytosine|Arabinosyl cytosine|Aracytidine|Aracytin|Aracytine|Citarabina|Cytarabine|Cytarabine liposome|Cytarabinoside|Cytarabinum|NSC-287459|Spongocytidine|U 19920a|U-19,920|U-19920",Small molecule,DNA polymerase (alpha/delta/epsilon) inhibitor,Cancer/Tumor|Reproductive/Breast
MONDO_0002974,cervical cancer,CHEMBL118,CELECOXIB,Enzyme,Celecoxib|DFN-15|DFN15|NSC-719627|NSC-758624|SC-58635,Small molecule,Cyclooxygenase-2 inhibitor,Cancer/Tumor|Reproductive/Breast
MONDO_0002974,cervical cancer,CHEMBL428647,PACLITAXEL,Structural protein,(-)-paclitaxel|ABI-007|ABI-007 COMPONENT PACLITAXEL|BMS 181339-01|BMS-181339-01|Capxol|Cyclopax|DHP 107|DHP-107|Ebetaxel|Empac|Endotag 1|Genaxol|Genetaxyl|Genexol|Genexol-pm|Intaxel|Lep-etu|MBT 0206|MBT-0206|Mitotax|NK 105|NK-105|NSC-125973|Oncogel|Onxal|Onxol|Pacliex|Paclitaxel|Paclitaxel (taxus canadensis)|Paclitaxol|Plaxicel|QW-8184|Taxalbin|Taxol|Taxol a|Taxus|Taxus liberte|Taxus stent|Tocosol paclitaxel|Yewtaxan,Small molecule,Tubulin inhibitor,Cancer/Tumor|Reproductive/Breast
MONDO_0002974,cervical cancer,CHEMBL1282,IMIQUIMOD,Membrane receptor,Aldara|Imiquimod|NSC-369100|NSC-759651|R-837|S-26308|S26308|Tmx-101,Small molecule,Toll-like receptor 7 agonist,Cancer/Tumor|Reproductive/Breast
MONDO_0002974,cervical cancer,CHEMBL2103875,TRAMETINIB,Unclassified protein|Enzyme,GSK-1120212|GSK1120212|JTP 74057|JTP-74057|TMT-212|TMT212|Tmt212|Trametinib,Small molecule,Dual specificity mitogen-activated protein kinase kinase; MEK1/2 inhibitor,Cancer/Tumor|Reproductive/Breast
MONDO_0002974,cervical cancer,CHEMBL601719,CRIZOTINIB,Enzyme,Crizotinib|NSC-756645|PF-02341066|PF-2341066|Pf-2341066,Small molecule,Hepatocyte growth factor receptor inhibitor,Cancer/Tumor|Reproductive/Breast
MONDO_0002974,cervical cancer,CHEMBL2028663,DABRAFENIB,Unclassified protein|Enzyme,Dabrafenib|GSK-2118436|GSK-2118436A|GSK2118436A|Gsk2118436,Small molecule,Serine/threonine-protein kinase B-raf inhibitor,Cancer/Tumor|Reproductive/Breast
MONDO_0002974,cervical cancer,CHEMBL25,ASPIRIN,Enzyme,"Acetyl salicylate|Acetylsalicylic Acid|Acetylsalicylic acid|Acetylsalicylic acid (who-ip)|Acetylsalicylicum acidum|Acidum acetylsalicylicum|Acidum acetylsalicylicum (who-ip)|Aspirin|BAY1019036|Benzoic acid, 2-(acetyloxy)-|NSC-27223|NSC-406186",Small molecule,Cyclooxygenase inhibitor,Cancer/Tumor|Reproductive/Breast
MONDO_0002974,cervical cancer,CHEMBL1201129,DECITABINE,Epigenetic regulator,2'-deoxy-5-azacytidine|DAC|Decitabina|Decitabine|NSC-127716,Small molecule,DNA (cytosine-5)-methyltransferase 1 inhibitor,Cancer/Tumor|Reproductive/Breast
MONDO_0002974,cervical cancer,CHEMBL4761468,AUMOLERTINIB,Enzyme,Almonertinib|Ameile|Amerol|Aumolertinib|EQ-143|EQ143|Egfr t790m inhibitor hs-10296|HS-10206|HS-10296|Hs 10296|Hs-10296,Small molecule,Epidermal growth factor receptor erbB1 inhibitor,Cancer/Tumor|Reproductive/Breast
MONDO_0002974,cervical cancer,CHEMBL1801204,AZD-8055,Enzyme|Other cytosolic protein,AZ-12600000|AZD 8055|AZD-8055|AZD8055|Azd-8055,Small molecule,Serine/threonine-protein kinase mTOR inhibitor,Cancer/Tumor|Reproductive/Breast
MONDO_0002974,cervical cancer,CHEMBL1358,FULVESTRANT,Transcription factor,"Faslodex|Fulvestrant|ICI 182,780|ICI-182780|NSC-759879|ZD-9238|ZD9238",Small molecule,Estrogen receptor antagonist,Cancer/Tumor|Reproductive/Breast
MONDO_0002974,cervical cancer,CHEMBL1171837,PONATINIB,Unclassified protein|Enzyme|Other cytosolic protein,AP-24534|AP24534|Ponatinib,Small molecule,Bcr/Abl fusion protein inhibitor,Cancer/Tumor|Reproductive/Breast
MONDO_0002974,cervical cancer,CHEMBL4582651,PRALSETINIB,Enzyme,:pralsetinib|BLU-123244|BLU-667|BLU123244|Blu-667|Pralsetinib|X-581238|X581238,Small molecule,Coiled-coil domain-containing protein 6/Tyrosine-protein kinase receptor RET inhibitor,Cancer/Tumor|Reproductive/Breast
MONDO_0002974,cervical cancer,CHEMBL2146883,COBIMETINIB,Enzyme,Cobimetinib|GDC-0973|Gdc 0623|Gdc 0973|Gdc-0623|RG 7420|RG-7420|RG7420|Rg-7420|Rg-7421|XL-518|Xl 518|Xl518,Small molecule,Dual specificity mitogen-activated protein kinase kinase 2 inhibitor,Cancer/Tumor|Reproductive/Breast
MONDO_0002974,cervical cancer,CHEMBL3183409,APALUTAMIDE,Transcription factor,ARN-509|Apalutamida|Apalutamide|Arn-509|JNJ-56021927,Small molecule,Androgen Receptor antagonist,Cancer/Tumor|Reproductive/Breast
MONDO_0002974,cervical cancer,CHEMBL3545097,SAPANISERTIB,Enzyme|Other cytosolic protein,CB-228|INK-128|INK128|Ink-128|MLN-0128|MLN0128|Mln-0128|Sapanisertib|TAK-228,Small molecule,Serine/threonine-protein kinase mTOR inhibitor,Cancer/Tumor|Reproductive/Breast
MONDO_0002974,cervical cancer,CHEMBL2105717,CABOZANTINIB,Enzyme,BMS-907351|BMS-907351 FREE BASE|Cabozantinib|XL-184|XL-184 FREE BASE|XL184,Small molecule,Hepatocyte growth factor receptor inhibitor,Cancer/Tumor|Reproductive/Breast
