disease_id,disease_name,disease_therapeutic_areas,drug_rank,drug_name_original,drug_id,drug_common_name,drug_target_class,drug_type,drug_mechanism_of_action,drug_synonyms
EFO_0005531,urticaria,Skin/Integumentary,90,dexpropranolol,CHEMBL27,PROPRANOLOL,Membrane receptor,Small molecule,Beta-1 adrenergic receptor antagonist,.beta.-propranolol|AY-64043-|Betalong|Dl-propranolol|Euprovasin|Inderal|Inderide-40/25|Inderide-80/25|Propranolol|Proprasylyt|Reducor
EFO_0005531,urticaria,Skin/Integumentary,92,levocabastine,CHEMBL1615438,LEVOCABASTINE,Membrane receptor,Small molecule,Histamine H1 receptor antagonist,Levocabastina|Levocabastine|R-50547
EFO_0005531,urticaria,Skin/Integumentary,93,fluvoxamine,CHEMBL814,FLUVOXAMINE,Transporter,Small molecule,Serotonin transporter inhibitor,Fluvoxamina|Fluvoxamine|N06AB08
EFO_0005531,urticaria,Skin/Integumentary,96,sotalol,CHEMBL471,SOTALOL,Ion channel|Membrane receptor,Small molecule,HERG blocker,Betapace|C07AA07|Darob mite|Dl-sotalol|MJ-1999|Sorine|Sotalol
EFO_0005531,urticaria,Skin/Integumentary,98,alphaestradiol,CHEMBL135,ESTRADIOL,Transcription factor,Small molecule,Estrogen receptor alpha agonist,17-.beta.-oestradiol|17-beta-oestradiol|17.beta.-estradiol|17beta-estradiol|Agofollin|Alfatradiol|Depo-Estradiol|Destradiol|Dihydrotheelin|Dihydroxyestrin|Estradiol|Estradiol 17-beta|Estradiol anhydrous|Estradiol hemihydrate|Estradiol valerate metabolite e2|Estrasorb|Gynergon|Gynoestryl|NSC-20293|NSC-9895|Oestradiol|WC-3011|WC3011
EFO_0005531,urticaria,Skin/Integumentary,99,metoprolol,CHEMBL13,METOPROLOL,Membrane receptor,Small molecule,Beta-1 adrenergic receptor antagonist,(rs)-metoprolol|Beatrolol|CGP-2175|Dl-metoprolol|Lopressidone|Metoprolol|Metoprolol slow release|Seroken|Toprol-XL
EFO_0005531,urticaria,Skin/Integumentary,100,tranexamic acid,CHEMBL877,TRANEXAMIC ACID,Enzyme,Small molecule,Plasminogen inhibitor,Acide tranexamique|Acido tranexamico|Amcha|CL 65336|CL-65336|CL65336|Cyclo-f|Cyclocapron|Cyclokapron|Espercil|Femstrual|Haematrix|LB-1148|LB1148|NSC-291305|RP-18429|Rikavarin|TRANS AMCHA|TRANS-AMCHA|Tranexamic acid|Trans AMCHA|Transamin
HP_0001249,intellectual disability,Phenotype,1,ketotifen,CHEMBL534,KETOTIFEN,Membrane receptor,Small molecule,Histamine H1 receptor antagonist,(R)-Ketotifen|Ketotifen|Ketotifene|Ketotifeno
HP_0001249,intellectual disability,Phenotype,3,benfluorex,CHEMBL400599,BENFLUOREX,Enzyme,Small molecule,Acyl coenzyme A:cholesterol acyltransferase 1 inhibitor,Benfluorex|Mediaxal|NSC-757396
HP_0001249,intellectual disability,Phenotype,5,letrozole,CHEMBL1444,LETROZOLE,Enzyme,Small molecule,Cytochrome P450 19A1 inhibitor,CGS 20267|CGS-20267|Letrozol|Letrozole|NSC-759652
HP_0001249,intellectual disability,Phenotype,6,chlorpromazine,CHEMBL71,CHLORPROMAZINE,Membrane receptor,Small molecule,D2-like dopamine receptor antagonist,Aminazine|Chlorpromazine|Chlorpromazine hibenzate|Chlorpromazine phenolphthalinate|Chlorpromazine tannate|Chlorpromazinum|Clorpromazina|Esmind|Fenactil|J2.794D|Largactilothiazine|NSC-167745|NSC-226514|Novomazina|Propaphenin|SKF-2601A|Sanopron|Sonazine|Wintermin
HP_0001249,intellectual disability,Phenotype,8,guanabenz,CHEMBL420,GUANABENZ,Membrane receptor,Small molecule,Adrenergic receptor alpha-2 agonist,Guanabenz|Guanabenzo|NSC-68982|WY-8678
HP_0001249,intellectual disability,Phenotype,9,haloperidol,CHEMBL54,HALOPERIDOL,Ion channel|Membrane receptor,Small molecule,Serotonin 2a (5-HT2a) receptor antagonist,"Haloperidol|Haloperidol decanoate impurity, haloperidol-|MCN-JR-1625|NSC-170973|NSC-615296|R-1625"
HP_0001249,intellectual disability,Phenotype,10,probenecid,CHEMBL897,PROBENECID,Transporter,Small molecule,Solute carrier family 22 member 11 inhibitor,HC 5006|NSC-18786|P-(dipropylsulfamoyl)benzoic acid|Probenate|Probenecid|Probenecide|Probenecidum
HP_0001249,intellectual disability,Phenotype,11,tretinoin,CHEMBL38,TRETINOIN,Transcription factor,Small molecule,Retinoic acid receptor agonist,Aberel|All-trans retinoic acid|All-trans-retinoic acid|Eudyna|Kerlocal|NSC-122758|Oristar rna|Retin a|Retinoic acid|Tretinoin|Tretinoina|Tretinoine
HP_0001249,intellectual disability,Phenotype,13,isocarboxazid,CHEMBL1201168,ISOCARBOXAZID,Enzyme,Small molecule,Monoamine oxidase inhibitor,Enerzer|Isocarboxazid|Isocarboxazida|Isocarboxazide|NSC-169893|RO 5-0831|RO-5-0831
HP_0001249,intellectual disability,Phenotype,15,furosemide,CHEMBL35,FUROSEMIDE,Transporter,Small molecule,Sodium-(potassium)-chloride cotransporter 2 inhibitor,Frusemide|Furoscix|Furosemida|Furosemide|Furosemidum|LB-502|Logirene|Marsemide|Mirfat|NSC-269420|Oedemex
MONDO_0002050,mental depression,Nervous System|Psychiatric,2,amantadine,CHEMBL660,AMANTADINE,Ion channel,Small molecule,Glutamate [NMDA] receptor antagonist,Amantadina|Amantadine|Amantidine|NSC-341865|Symadine|Symmetrel|TCMDC-125869
MONDO_0002050,mental depression,Nervous System|Psychiatric,5,ribavirin,CHEMBL1643,RIBAVIRIN,Enzyme,Small molecule,Inosine-5'-monophosphate dehydrogenase 1 inhibitor,Cotronak|NSC-163039|Ribavirin|Ribavirin biopartners|Ribavirin mylan|Ribavirin teva|Ribavirina|Ribavirine|SCH 18908|SCH-18908|Tribavirin
MONDO_0002050,mental depression,Nervous System|Psychiatric,8,debrisoquine,CHEMBL169901,DEBRISOQUIN,Transporter,Small molecule,Norepinephrine transporter inhibitor,Debrisoquina|Debrisoquine
