gene_symbol,logfc_dz:109,logfc_dz:505,logfc_dz:481,logfc_dz:506,logfc_dz:507,mean_logfc,median_logfc,common_experiment,organism
GLRX5,,0.04082818701863289,0.030753059312701225,0.05033700540661812,,0.04063941724598408,0.04082818701863289,,human
TMEM56,,0.040593717247247696,,0.028230790048837662,,0.03441225364804268,0.03441225364804268,,human
DCK,,0.04026862606406212,0.015617343597114086,0.027950208634138107,,0.02794539276510477,0.027950208634138107,,human
ZMAT2,,0.04024792090058327,,0.049908362329006195,,0.04507814161479473,0.04507814161479473,,human
WDR26,,0.03979235142469406,,0.044594887644052505,,0.04219361953437328,0.04219361953437328,,human
DPCD,,0.039760787039995193,,0.04134053736925125,,0.04055066220462322,0.04055066220462322,,human
MKRN1,,0.039625972509384155,,0.052575573325157166,,0.04610077291727066,0.04610077291727066,,human
SESN3,,0.03945064917206764,,0.041078049689531326,,0.040264349430799484,0.040264349430799484,,human
ST13,,0.03921620175242424,,0.03956850618124008,,0.03939235396683216,0.03939235396683216,,human
OR2W3,,0.03909367695450783,,0.04876042529940605,,0.04392705112695694,0.04392705112695694,,human
CETN2,,0.03882690146565437,,0.0412675179541111,,0.040047209709882736,0.040047209709882736,,human
C7orf73,,0.038567643612623215,,0.04013875126838684,,0.03935319744050503,0.03935319744050503,,human
RHD,,0.03847737982869148,,0.0395742729306221,,0.03902582637965679,0.03902582637965679,,human
TMOD1,,0.03809618949890137,,0.04943888634443283,,0.0437675379216671,0.0437675379216671,,human
SLC2A1,,0.03782489523291588,,0.04036320745944977,,0.03909405134618282,0.03909405134618282,,human
PIP4K2A,,0.0367056205868721,,0.05136068910360336,,0.04403315484523773,0.04403315484523773,,human
TFDP1,,0.03664078563451767,,0.031768303364515305,,0.03420454449951649,0.03420454449951649,,human
MAP1LC3B,,0.035951606929302216,0.016834378242492676,0.033623479306697845,,0.028803154826164246,0.033623479306697845,,human
SEC62,,0.03585851192474365,,0.033062372356653214,,0.03446044214069843,0.03446044214069843,,human
RAB6C,,0.03579100966453552,,0.0316067598760128,,0.03369888477027416,0.03369888477027416,,human
RBM38,,0.03577669337391853,,0.04112558811903,,0.038451140746474266,0.038451140746474266,,human
TMEM86B,,0.035727839916944504,,0.0380997508764267,,0.0369137953966856,0.0369137953966856,,human
MBNL3,,0.03539305925369263,,0.03958410769701004,,0.037488583475351334,0.037488583475351334,,human
PDCD10,,0.03520548716187477,,0.02412380650639534,,0.029664646834135056,0.029664646834135056,,human
FNBP1L,,0.03510802239179611,,0.03011893853545189,,0.032613480463624,0.032613480463624,,human
CISD2,,0.034958720207214355,,0.03443848341703415,,0.03469860181212425,0.03469860181212425,,human
RBX1,,0.03493499010801315,,0.023648981004953384,,0.02929198555648327,0.02929198555648327,,human
CLIC2,,0.03491654992103577,,0.036887116730213165,,0.035901833325624466,0.035901833325624466,,human
ELOF1,,0.034775178879499435,,0.0407453328371048,,0.037760255858302116,0.037760255858302116,,human
MXI1,,0.03436087816953659,0.018979448825120926,0.05555889382958412,,0.036299740274747215,0.03436087816953659,,human
FOXO3B,,0.03426476940512657,,0.052354808896780014,,0.04330978915095329,0.04330978915095329,,human
GSPT1,,0.0336112380027771,,0.03681350499391556,,0.03521237149834633,0.03521237149834633,,human
AIDA,,0.033481843769550323,,0.0341850109398365,,0.03383342735469341,0.03383342735469341,,human
ITLN1,,0.033435504883527756,,0.03082786686718464,,0.0321316858753562,0.0321316858753562,,human
RNF14,,0.03327483311295509,,0.03517500311136246,,0.034224918112158775,0.034224918112158775,,human
KDM7A,,0.03290209919214249,,0.02808525785803795,,0.030493678525090218,0.030493678525090218,,human
OSBP2,,0.032711729407310486,0.01600067690014839,0.0366111695766449,,0.028441191961367924,0.032711729407310486,,human
TMEM14C,,0.03270130977034569,,0.02411685883998871,,0.028409084305167198,0.028409084305167198,,human
