gene_symbol,logfc_dz:825,logfc_dz:826,logfc_dz:797,logfc_dz:292,logfc_dz:880,logfc_dz:308,logfc_dz:818,logfc_dz:806,logfc_dz:559,logfc_dz:560,logfc_dz:468,logfc_dz:558,mean_logfc,median_logfc,common_experiment,organism
ATP1A2,,,,,0.0307590551674366,,,,,,,,0.0307590551674366,0.0307590551674366,,human
HHATL,,,,,0.030155465006828308,,,,,,,,0.030155465006828308,0.030155465006828308,,human
NUDT19,,,,,0.02871593087911606,,,,,,,,0.02871593087911606,0.02871593087911606,,human
ART3,,,,,0.027082234621047974,,,,,,,,0.027082234621047974,0.027082234621047974,,human
DDN,,,,,0.026984868571162224,,,,,,,,0.026984868571162224,0.026984868571162224,,human
SYNPO2L,,,,,0.026286061853170395,,,,,,,,0.026286061853170395,0.026286061853170395,,human
TRDN,,,,,0.02620995230972767,,,,,,,,0.02620995230972767,0.02620995230972767,,human
MYL6,,,,,0.02560756914317608,,,,,,,,0.02560756914317608,0.02560756914317608,,human
KIAA0894,,,,,0.024237534031271935,,,,,,,,0.024237534031271935,0.024237534031271935,,human
NT5C3A,,,,,0.0232761912047863,,,,,,,,0.0232761912047863,0.0232761912047863,,human
SUPT20H,,,,,0.022145196795463562,,,,,,,,0.022145196795463562,0.022145196795463562,,human
MBL1P,,,,,0.0215486790984869,,,,,,,,0.0215486790984869,0.0215486790984869,,human
MYF6,,,,,0.021296223625540733,,,,,,,,0.021296223625540733,0.021296223625540733,,human
SHISA2,,,,,0.020961636677384377,,,,,,,,0.020961636677384377,0.020961636677384377,,human
LINC00844,,,,,0.020779354497790337,,,,,,,,0.020779354497790337,0.020779354497790337,,human
LOC100506870,,,,,0.020702647045254707,,,,,,,,0.020702647045254707,0.020702647045254707,,human
RYR1,,,,,0.018494652584195137,,,,,,,,0.018494652584195137,0.018494652584195137,,human
NAA50,,,,,0.017529699951410294,,,,,,,,0.017529699951410294,0.017529699951410294,,human
PIM3,,,,,0.017501451075077057,,,,,,,,0.017501451075077057,0.017501451075077057,,human
PITX2,,,,,0.01712496019899845,,,,,,,,0.01712496019899845,0.01712496019899845,,human
SLC2A1-AS1,,,,,0.016460955142974854,,,,,,,,0.016460955142974854,0.016460955142974854,,human
HOXB1,,,,,0.01627138815820217,,,,,,,,0.01627138815820217,0.01627138815820217,,human
IRX3,,,,,0.016159571707248688,,,,,,,,0.016159571707248688,0.016159571707248688,,human
S100A13,,,,,0.016099760308861732,,,,,,,,0.016099760308861732,0.016099760308861732,,human
TPSG1,,,,,0.016086967661976814,,,,,,,,0.016086967661976814,0.016086967661976814,,human
TMEM52,,,,,0.015660768374800682,,,,,,,,0.015660768374800682,0.015660768374800682,,human
STRADB,,,,,0.015531898476183414,,,,,,,,0.015531898476183414,0.015531898476183414,,human
CACNB1,,,,,0.015531162731349468,,,,,,,,0.015531162731349468,0.015531162731349468,,human
COX3,,,,,0.015464109368622303,,,,,,,,0.015464109368622303,0.015464109368622303,,human
MURC,,,,,0.015273084864020348,,,,,,,,0.015273084864020348,0.015273084864020348,,human
APPL1,,,,,0.015173844993114471,,,,,,,,0.015173844993114471,0.015173844993114471,,human
SLC5A5,,,,,0.01513845194131136,,,,,,,,0.01513845194131136,0.01513845194131136,,human
GPD1,,,,,0.015095829032361507,,,,,,,,0.015095829032361507,0.015095829032361507,,human
NNAT,,,,,0.015026744455099106,,,,,,,,0.015026744455099106,0.015026744455099106,,human
CFL2,,,,,0.014978657476603985,,,,,,,,0.014978657476603985,0.014978657476603985,,human
LOC648987,,,,,0.014967706054449081,,,,,,,,0.014967706054449081,0.014967706054449081,,human
BATF,,,,,0.014948968775570393,,,,,,,,0.014948968775570393,0.014948968775570393,,human
TTC7B,,,,,0.014679190702736378,,,,,,,,0.014679190702736378,0.014679190702736378,,human
IL17C,,,,,0.014573808759450912,,,,,,,,0.014573808759450912,0.014573808759450912,,human
EGF,,,,,0.014480628073215485,,,,,,,,0.014480628073215485,0.014480628073215485,,human
DUSP13,,,,,0.01445456501096487,,,,,,,,0.01445456501096487,0.01445456501096487,,human
TMEM95,,,,,0.014451256953179836,,,,,,,,0.014451256953179836,0.014451256953179836,,human
MEF2C,,,,,0.01440721470862627,,,,,,,,0.01440721470862627,0.01440721470862627,,human
NCKAP1L,,,,,0.01432874333113432,,,,,,,,0.01432874333113432,0.01432874333113432,,human
LOC100128653,,,,,0.014273595996201038,,,,,,,,0.014273595996201038,0.014273595996201038,,human
CDX1,,,,,0.014160885475575924,,,,,,,,0.014160885475575924,0.014160885475575924,,human
GYS1,,,,,0.014018328860402107,,,,,,,,0.014018328860402107,0.014018328860402107,,human
C1orf122,,,,,0.013874717988073826,,,,,,,,0.013874717988073826,0.013874717988073826,,human
ACVR1,,,,,0.013628575019538403,,,,,,,,0.013628575019538403,0.013628575019538403,,human
EID1,,,,,0.013603001832962036,,,,,,,,0.013603001832962036,0.013603001832962036,,human
CBWD6,,,,,0.013578259386122227,,,,,,,,0.013578259386122227,0.013578259386122227,,human
ESRRA,,,,,0.013489509001374245,,,,,,,,0.013489509001374245,0.013489509001374245,,human
CERS1,,,,,0.01342487707734108,,,,,,,,0.01342487707734108,0.01342487707734108,,human
HPCA,,,,,0.01340813934803009,,,,,,,,0.01340813934803009,0.01340813934803009,,human
CHAC1,,,,,0.012964768335223198,,,,,,,,0.012964768335223198,0.012964768335223198,,human
CYP27A1,,,,,0.012829920276999474,,,,,,,,0.012829920276999474,0.012829920276999474,,human
TUBA3C,,,,,0.012670202180743217,,,,,,,,0.012670202180743217,0.012670202180743217,,human
EPDR1,,,,,0.012644965201616287,,,,,,,,0.012644965201616287,0.012644965201616287,,human
C20orf194,,,,,0.012611537240445614,,,,,,,,0.012611537240445614,0.012611537240445614,,human
PIP4K2C,,,,,0.01260373368859291,,,,,,,,0.01260373368859291,0.01260373368859291,,human
EIF2A,,,,,0.012593572959303856,,,,,,,,0.012593572959303856,0.012593572959303856,,human
CBWD1,,,,,0.012455187737941742,,,,,,,,0.012455187737941742,0.012455187737941742,,human
RRM2B,,,,,0.01225636713206768,,,,,,,,0.01225636713206768,0.01225636713206768,,human
TMSB4Y,,,,,0.012189093977212906,,,,,,,,0.012189093977212906,0.012189093977212906,,human
TMEM184C,,,,,0.012131956405937672,,,,,,,,0.012131956405937672,0.012131956405937672,,human
NPLOC4,,,,,0.01212257519364357,,,,,,,,0.01212257519364357,0.01212257519364357,,human
ZNF296,,,,,0.012068855576217175,,,,,,,,0.012068855576217175,0.012068855576217175,,human
RBM24,,,,,0.01203867420554161,,,,,,,,0.01203867420554161,0.01203867420554161,,human
GNB2,,,,,0.011983685195446014,,,,,,,,0.011983685195446014,0.011983685195446014,,human
LOC100506114,,,,,0.011968925595283508,,,,,,,,0.011968925595283508,0.011968925595283508,,human
DTX2P1-UPK3BP1-PMS2P11,,,,,0.011816454119980335,,,,,,,,0.011816454119980335,0.011816454119980335,,human
LYPLA2P1,,,,,0.011784589849412441,,,,,,,,0.011784589849412441,0.011784589849412441,,human
TNNC2,,,,,-0.056603699922561646,,,,,,,,-0.056603699922561646,-0.056603699922561646,,human
FCGBP,,,,,-0.0299783144146204,,,,,,,,-0.0299783144146204,-0.0299783144146204,,human
COX7C,,,,,-0.028123963624238968,,,,,,,,-0.028123963624238968,-0.028123963624238968,,human
NDUFA13,,,,,-0.026941580697894096,,,,,,,,-0.026941580697894096,-0.026941580697894096,,human
ATP5D,,,,,-0.02581050433218479,,,,,,,,-0.02581050433218479,-0.02581050433218479,,human
EEF1A2,,,,,-0.024020124226808548,,,,,,,,-0.024020124226808548,-0.024020124226808548,,human
CKM,,,,,-0.023565106093883514,,,,,,,,-0.023565106093883514,-0.023565106093883514,,human
PRR34-AS1,,,,,-0.02306998521089554,,,,,,,,-0.02306998521089554,-0.02306998521089554,,human
IFITM1,,,,,-0.019537292420864105,,,,,,,,-0.019537292420864105,-0.019537292420864105,,human
ZNF582,,,,,-0.018691793084144592,,,,,,,,-0.018691793084144592,-0.018691793084144592,,human
