gene_symbol,logfc_dz:1044,logfc_dz:1047,mean_logfc,median_logfc,common_experiment,organism
RBX1,0.018353989347815514,,0.018353989347815514,0.018353989347815514,,human
LGALS2,0.01828944869339466,-0.03313085436820984,-0.007420702837407589,-0.007420702837407589,-0.03313085436820984,human
ZNHIT3,0.018172141164541245,,0.018172141164541245,0.018172141164541245,,human
RPS17,0.018131745979189873,,0.018131745979189873,0.018131745979189873,,human
HINT1,0.018110984936356544,,0.018110984936356544,0.018110984936356544,,human
PSMA6,0.018059203401207924,,0.018059203401207924,0.018059203401207924,,human
GSTM2,0.01794406585395336,-0.020955651998519897,-0.001505793072283268,-0.001505793072283268,-0.020955651998519897,human
GPATCH3,0.017859309911727905,,0.017859309911727905,0.017859309911727905,,human
RLN2,0.017858369275927544,,0.017858369275927544,0.017858369275927544,,human
C5orf17,0.017776889726519585,0.02185782417654991,0.019817356951534748,0.019817356951534748,0.02185782417654991,human
SLC35G3,0.0177658349275589,,0.0177658349275589,0.0177658349275589,,human
RCOR2,0.01767588220536709,,0.01767588220536709,0.01767588220536709,,human
PPAPDC2,0.017606429755687714,,0.017606429755687714,0.017606429755687714,,human
SLC25A32,0.017528101801872253,,0.017528101801872253,0.017528101801872253,,human
PLGLB1,0.017518743872642517,,0.017518743872642517,0.017518743872642517,,human
SNHG8,0.017469845712184906,-0.01821393147110939,-0.0003720428794622421,-0.0003720428794622421,-0.01821393147110939,human
GDPD2,0.017399288713932037,,0.017399288713932037,0.017399288713932037,,human
C14orf2,0.01738879829645157,,0.01738879829645157,0.01738879829645157,,human
HAUS1,0.017248917371034622,,0.017248917371034622,0.017248917371034622,,human
SNRPG,0.01724233105778694,-0.021587422117590904,-0.0021725455299019814,-0.0021725455299019814,-0.021587422117590904,human
ZNF404,0.017161523923277855,,0.017161523923277855,0.017161523923277855,,human
TMEM14C,0.017139097675681114,,0.017139097675681114,0.017139097675681114,,human
DUX1,0.017134957015514374,,0.017134957015514374,0.017134957015514374,,human
LY96,0.01708090864121914,-0.045780643820762634,-0.014349867589771748,-0.014349867589771748,-0.045780643820762634,human
ZNF302,0.01706734485924244,,0.01706734485924244,0.01706734485924244,,human
LOC283357,0.016990674659609795,,0.016990674659609795,0.016990674659609795,,human
ZBTB21,0.016844825819134712,,0.016844825819134712,0.016844825819134712,,human
LOC100510640,0.016830837354063988,,0.016830837354063988,0.016830837354063988,,human
SNRPD2,0.01680540107190609,,0.01680540107190609,0.01680540107190609,,human
COMMD6,0.016802847385406494,,0.016802847385406494,0.016802847385406494,,human
LINC00909,0.016785375773906708,,0.016785375773906708,0.016785375773906708,,human
SLC9A6,0.016773102805018425,,0.016773102805018425,0.016773102805018425,,human
C19orf68,0.016702545806765556,,0.016702545806765556,0.016702545806765556,,human
RPL23,0.016668308526277542,,0.016668308526277542,0.016668308526277542,,human
COMMD8,0.01657234877347946,-0.016352251172065735,0.0001100488007068634,0.0001100488007068634,-0.016352251172065735,human
CEMP1,0.016533128917217255,,0.016533128917217255,0.016533128917217255,,human
IMMP1L,0.0165241789072752,,0.0165241789072752,0.0165241789072752,,human
COX7B,0.016421200707554817,,0.016421200707554817,0.016421200707554817,,human
UQCRQ,0.01634773425757885,,0.01634773425757885,0.01634773425757885,,human
NDUFB3,0.016342205926775932,-0.029449451714754105,-0.006553622893989086,-0.006553622893989086,-0.029449451714754105,human
LOC100287628,0.016208453103899956,,0.016208453103899956,0.016208453103899956,,human
CETN3,0.016183454543352127,-0.04327909275889397,-0.01354781910777092,-0.01354781910777092,-0.04327909275889397,human
NAPSB,0.016133418306708336,,0.016133418306708336,0.016133418306708336,,human
S100A5,0.01613207906484604,,0.01613207906484604,0.01613207906484604,,human
HLTF,0.016118226572871208,,0.016118226572871208,0.016118226572871208,,human
ALOX12,0.01605076715350151,0.02191089652478695,0.01898083183914423,0.01898083183914423,0.02191089652478695,human
HIST1H4C,0.016046341508626938,,0.016046341508626938,0.016046341508626938,,human
PSMC6,0.016041817143559456,-0.02699499949812889,-0.0054765911772847176,-0.0054765911772847176,-0.02699499949812889,human
TOMM5,0.015966592356562614,,0.015966592356562614,0.015966592356562614,,human
FCER2,0.015938447788357735,,0.015938447788357735,0.015938447788357735,,human
PRMT3,0.015783382579684258,,0.015783382579684258,0.015783382579684258,,human
