gene_symbol,logfc_dz:576,logfc_dz:575,logfc_dz:579,logfc_dz:580,logfc_dz:578,logfc_dz:577,logfc_dz:574,mean_logfc,median_logfc,common_experiment,organism
CMTM2,,,0.06993886828422546,,0.023838942870497704,,0.05456123873591423,0.0494463499635458,0.05456123873591423,,human
MCEMP1,,,0.022853020578622818,,,,0.04811171442270279,0.035482367500662804,0.035482367500662804,,human
FAM224A,,,0.01812436431646347,,-0.02286962792277336,,0.04729291424155235,0.014182550211747488,0.01812436431646347,,human
FFAR2,,,0.028858579695224762,,,,0.0466780923306942,0.03776833601295948,0.03776833601295948,,human
NAMPT,,,0.04462326690554619,0.0327305868268013,0.030752666294574738,0.027457505464553833,0.046109240502119064,0.03633465319871902,0.0327305868268013,0.0327305868268013,human
RBPMS2,,,0.03176106512546539,0.022118952125310898,0.01625778339803219,-0.023897022008895874,0.041654929518699646,0.01757914163172245,0.022118952125310898,0.022118952125310898,human
CXCR1,,,0.040075697004795074,,,,0.03980129584670067,0.03993849642574787,0.03993849642574787,,human
KCNJ15,,,0.04095394164323807,,,,0.03924496844410896,0.040099455043673515,0.040099455043673515,,human
NR4A2,,,0.05291731283068657,0.13973233103752136,0.04476254805922508,0.07721336930990219,0.03822925314307213,0.07057096287608147,0.05291731283068657,0.13973233103752136,human
CETP,,,0.016821742057800293,,,,0.03766696900129318,0.027244355529546738,0.027244355529546738,,human
ASGR2,,,0.02726166322827339,,,,0.03755244240164757,0.03240705281496048,0.03240705281496048,,human
LOC613266,,,0.018407337367534637,,0.026501979678869247,0.05113804712891579,0.037342898547649384,0.033347565680742264,0.031922439113259315,,human
SOCS3,,,0.03035798855125904,0.035657551139593124,0.03603709116578102,0.023921826854348183,0.0367070809006691,0.03253630772233009,0.035657551139593124,0.035657551139593124,human
THBD,,,0.016166798770427704,0.018298473209142685,,0.03051060438156128,0.03601624816656113,0.0252480311319232,0.024404538795351982,0.018298473209142685,human
CXCR2,,,0.04870133101940155,-0.017645686864852905,,,0.03493276238441467,0.021996135512987774,0.03493276238441467,-0.017645686864852905,human
PROK2,,,0.050799351185560226,-0.020257966592907906,0.03128662332892418,,0.034694138914346695,0.0241305367089808,0.03299038112163544,-0.020257966592907906,human
HCAR3,,,0.020984282717108727,0.041904982179403305,,,0.034657835960388184,0.03251570028563341,0.034657835960388184,0.041904982179403305,human
FOS,,,0.03062121942639351,0.06378550827503204,0.03868331015110016,0.082681804895401,0.03456265106797218,0.05006689876317978,0.03868331015110016,0.06378550827503204,human
ACSL1,,,0.029277561232447624,,,,0.03226607292890549,0.030771817080676556,0.030771817080676556,,human
LOC100288781,,,0.024662446230649948,0.027878273278474808,,,0.03196483850479126,0.028168519337972004,0.027878273278474808,0.027878273278474808,human
FPR2,,,0.027250001206994057,,0.017977511510252953,0.01911703124642372,0.03165257349610329,0.023999279364943504,0.02318351622670889,,human
TNFRSF10C,,,0.027669144794344902,,,,0.03143411874771118,0.029551631771028042,0.029551631771028042,,human
TDRD9,,,0.018570775166153908,,,,0.030955923721194267,0.024763349443674088,0.024763349443674088,,human
SLC22A4,,,0.0171095822006464,,,,0.029887592419981956,0.02349858731031418,0.02349858731031418,,human
FGF13,,,0.02560856007039547,,,,0.029696879908442497,0.027652719989418983,0.027652719989418983,,human
LOC254896,,,0.02533848211169243,,,,0.02941514551639557,0.027376813814044,0.027376813814044,,human
DSC2,,,0.01943226158618927,0.02112436667084694,,,0.028990207239985466,0.023182278499007225,0.02112436667084694,0.02112436667084694,human
MYL9,,,0.046372175216674805,,0.03733079507946968,0.026246048510074615,0.02827276848256588,0.034555446822196245,0.03280178178101778,,human
SLC2A14,,,0.02442401833832264,0.018593642860651016,0.021615643054246902,0.022727854549884796,0.02641036920249462,0.022754305601119997,0.022727854549884796,0.018593642860651016,human
MXD1,,,0.03746495768427849,,0.01939871907234192,0.01983947679400444,0.02639615908265114,0.025774828158318996,0.02311781793832779,,human
DMTN,,,0.015734029933810234,,,,0.026313800364732742,0.021023915149271488,0.021023915149271488,,human
KLF4,,,0.022863419726490974,0.056305643171072006,0.021647527813911438,0.042768120765686035,0.026022551581263542,0.0339214526116848,0.026022551581263542,0.056305643171072006,human
GK,,,0.021711166948080063,,,,0.026001255959272385,0.023856211453676224,0.023856211453676224,,human
WASF1,,,0.034415021538734436,0.034187428653240204,0.029112571850419044,0.02879595011472702,0.0257586557418108,0.030453925579786302,0.029112571850419044,0.034187428653240204,human
GK3P,,,0.021076945587992668,,,,0.025658845901489258,0.023367895744740963,0.023367895744740963,,human
FPR1,,,0.01609390787780285,,,0.018496885895729065,0.025563757866621017,0.02005151721338431,0.018496885895729065,,human
BCL2A1,,,0.01789090409874916,0.02640420012176037,,0.020093312487006187,0.025487344712018967,0.02246894035488367,0.022790328599512577,0.02640420012176037,human
BCL6,,,0.020889194682240486,,,,0.025259407237172127,0.023074300959706306,0.023074300959706306,,human
CREB5,,,0.018449213355779648,,0.018811248242855072,,0.024840302765369415,0.020700254788001377,0.018811248242855072,,human
CLU,,,0.03137858957052231,,0.034602075815200806,0.01695430278778076,0.02448045276105404,0.02685385523363948,0.027929521165788174,,human
HSD3B7,,,0.019772909581661224,,,,0.024089563637971878,0.02193123660981655,0.02193123660981655,,human
CSRNP1,,,0.024925433099269867,0.04390928894281387,0.026622513309121132,0.03549998626112938,0.023701852187514305,0.03093181475996971,0.026622513309121132,0.04390928894281387,human
TP53INP2,,,0.029901878908276558,0.04455167055130005,0.017705991864204407,,0.023583190515637398,0.028935682959854603,0.026742534711956978,0.04455167055130005,human
NCF4,,,0.020246397703886032,,,,0.023103969171643257,0.021675183437764645,0.021675183437764645,,human
CR1,,,0.020013554021716118,,,,0.022896628826856613,0.021455091424286366,0.021455091424286366,,human
ACPP,,,0.0179583802819252,,,,0.022857042029500008,0.020407711155712605,0.020407711155712605,,human
SLC2A3,,,0.02285032905638218,0.0188074242323637,0.021519619971513748,0.01762092113494873,0.0227381382137537,0.020707286521792413,0.021519619971513748,0.0188074242323637,human
MIR22HG,,,0.04092942178249359,0.058240968734025955,0.028199780732393265,0.032088153064250946,0.022545211017131805,0.036400707066059114,0.032088153064250946,0.058240968734025955,human
GADD45A,,,0.026363687589764595,0.03388568386435509,0.016575848683714867,0.01634182222187519,0.022540444508194923,0.023141497373580934,0.022540444508194923,0.03388568386435509,human
APCDD1,,,0.023638566955924034,,0.01902082748711109,,0.022460147738456726,0.021706514060497284,0.022460147738456726,,human
LOC100289090,,,0.019335854798555374,,,,0.022227376699447632,0.020781615749001503,0.020781615749001503,,human
HIST1H2BJ,,,0.023256603628396988,0.02292444184422493,0.01922638900578022,,0.022004064172506332,0.021852874662727118,0.02246425300836563,0.02292444184422493,human
NME4,,,0.017211878672242165,,,,0.021164529025554657,0.01918820384889841,0.01918820384889841,,human
F5,,,0.02479206956923008,,,,0.02097434736788273,0.022883208468556404,0.022883208468556404,,human
HBEGF,,,0.01949240081012249,0.03841031715273857,0.02566017210483551,0.044884808361530304,0.02055138722062111,0.029799817129969597,0.02566017210483551,0.03841031715273857,human
VNN2,,,0.02539028413593769,,,,0.02050236240029335,0.02294632326811552,0.02294632326811552,,human
NRG1,,,0.03431066498160362,0.028596194460988045,0.023826012387871742,0.03130839020013809,0.01984775811433792,0.027577804028987886,0.028596194460988045,0.028596194460988045,human
HIST1H2BF,,,0.017872970551252365,0.020495083183050156,,0.01754136197268963,0.01964426599442959,0.018888420425355434,0.018758618272840977,0.020495083183050156,human
VNN3,,,0.022037018090486526,,,,0.01960999146103859,0.020823504775762558,0.020823504775762558,,human
KMT2E-AS1,,,0.016480548307299614,,,0.015829628333449364,0.0195741169154644,0.017294764518737793,0.016480548307299614,,human
LINC01424,,,-0.01662961207330227,,,,0.019262898713350296,0.0013166433200240135,0.0013166433200240135,,human
DGAT2,,,0.01984267495572567,,,,0.01912112720310688,0.019481901079416275,0.019481901079416275,,human
H2BFS,,,0.02093701809644699,,0.016898302361369133,0.019734572619199753,0.018802404403686523,0.0190930743701756,0.019268488511443138,,human
LILRA6,,,0.020617026835680008,,,,0.018551772460341454,0.01958439964801073,0.01958439964801073,,human
GLUL,,,0.022607875987887383,0.01790943369269371,,,0.018388718366622925,0.01963534268240134,0.018388718366622925,0.01790943369269371,human
HIST1H2BD,,,0.01836131513118744,0.026884304359555244,,0.023141074925661087,0.01814066804945469,0.021631840616464615,0.020751195028424263,0.026884304359555244,human
NRN1,,,0.01724078692495823,0.018770214170217514,0.023102566599845886,,0.017737289890646935,0.01921271439641714,0.018253752030432224,0.018770214170217514,human
