gene_symbol,logfc_dz:709,logfc_dz:864,logfc_dz:865,mean_logfc,median_logfc,common_experiment,organism
RPL34,0.03624529764056206,0.03711007535457611,-0.06625838577747345,0.0023656624058882394,0.03624529764056206,0.03711007535457611,human
LINC01279,0.03612590953707695,,,0.03612590953707695,0.03612590953707695,,human
EEF1G,0.03606249764561653,0.062005821615457535,,0.04903415963053703,0.04903415963053703,0.062005821615457535,human
DYNLT1,0.03569706529378891,,-0.0332629419863224,0.0012170616537332535,0.0012170616537332535,,human
RPL8,0.03533845394849777,0.04239356517791748,0.04975642263889313,0.04249614725510279,0.04239356517791748,0.04239356517791748,human
H2AFZ,0.03501709923148155,0.02509603090584278,,0.030056565068662167,0.030056565068662167,0.02509603090584278,human
ID2,0.03475102037191391,0.010021669790148735,,0.022386345081031322,0.022386345081031322,0.010021669790148735,human
SLC25A6,0.03427231311798096,0.03248472511768341,0.03588666021823883,0.034214566151301064,0.03427231311798096,0.03248472511768341,human
FAM129A,0.0340324267745018,,,0.0340324267745018,0.0340324267745018,,human
SNHG6,0.0339105986058712,,,0.0339105986058712,0.0339105986058712,,human
RPS29,0.03365393728017807,0.04612374305725098,-0.01820613257586956,0.02052384925385316,0.03365393728017807,0.04612374305725098,human
ID3,0.03357676416635513,0.024954017251729965,0.0708230659365654,0.043117949118216835,0.03357676416635513,0.024954017251729965,human
RPL27,0.032704293727874756,0.019403083249926567,-0.0151022644713521,0.01233503750214974,0.019403083249926567,0.019403083249926567,human
SPOCK1,0.03264201059937477,,,0.03264201059937477,0.03264201059937477,,human
COL3A1,0.03254479914903641,0.03860724717378616,,0.035576023161411285,0.035576023161411285,0.03860724717378616,human
ARL6IP1,0.03151840716600418,,-0.020030707120895386,0.005743850022554398,0.005743850022554398,,human
FAU,0.0314672589302063,0.034133389592170715,,0.03280032426118851,0.03280032426118851,0.034133389592170715,human
MT1E,0.03141377493739128,-0.016123605892062187,-0.029982607811689377,-0.004897479588786761,-0.016123605892062187,-0.016123605892062187,human
PALM2-AKAP2,0.03117605671286583,,,0.03117605671286583,0.03117605671286583,,human
HERPUD1,0.030946269631385803,,,0.030946269631385803,0.030946269631385803,,human
ZFAS1,0.030942676588892937,,,0.030942676588892937,0.030942676588892937,,human
PLS3,0.03067834861576557,,-0.06581462919712067,-0.017568140290677547,-0.017568140290677547,,human
WARS,0.030279017984867096,,,0.030279017984867096,0.030279017984867096,,human
RAN,0.030036622658371925,,0.037892404943704605,0.033964513801038265,0.033964513801038265,,human
RPL6,0.0298832505941391,0.017293451353907585,-0.021405380219221115,0.00859044057627519,0.017293451353907585,0.017293451353907585,human
DACT1,0.029452718794345856,0.036343950778245926,,0.03289833478629589,0.03289833478629589,0.036343950778245926,human
MTCH1,0.028920339420437813,0.01020671147853136,-0.014823902398347855,0.008101049500207106,0.01020671147853136,0.01020671147853136,human
MME,0.028733231127262115,-0.014331591315567493,,0.007200819905847311,0.007200819905847311,-0.014331591315567493,human
OSTC,0.02865774929523468,,,0.02865774929523468,0.02865774929523468,,human
SEC11A,0.028432771563529968,0.01733509451150894,-0.016834992915391922,0.009644291053215662,0.01733509451150894,0.01733509451150894,human
MT1X,0.027879023924469948,0.010931521654129028,-0.04052433371543884,-0.0005712627122799555,0.010931521654129028,0.010931521654129028,human
OLFML3,0.027772150933742523,0.05703934282064438,0.020725347101688385,0.03517894695202509,0.027772150933742523,0.05703934282064438,human
NPM1,0.027554050087928772,0.015598108991980553,0.03031487762928009,0.024489012236396473,0.027554050087928772,0.015598108991980553,human
FSTL1,0.027270274236798286,0.07171396166086197,0.016040245071053505,0.03834149365623792,0.027270274236798286,0.07171396166086197,human
CREG1,0.027234315872192383,0.02186097390949726,,0.024547644890844822,0.024547644890844822,0.02186097390949726,human
RPS17,0.02716677263379097,0.025529874488711357,-0.02850465290248394,0.008063998073339462,0.025529874488711357,0.025529874488711357,human
KGFLP2,0.026586197316646576,,,0.026586197316646576,0.026586197316646576,,human
PTTG1IP,0.026194730773568153,,,0.026194730773568153,0.026194730773568153,,human
SNAI2,0.026190508157014847,0.024244623258709908,,0.025217565707862377,0.025217565707862377,0.024244623258709908,human
PPAP2B,0.026084668934345245,,0.015151404775679111,0.02061803685501218,0.02061803685501218,,human
FOXD1,0.025956176221370697,,,0.025956176221370697,0.025956176221370697,,human
TRIB3,0.025656133890151978,,,0.025656133890151978,0.025656133890151978,,human
RPS13,0.025610970333218575,0.03631795197725296,,0.030964461155235767,0.030964461155235767,0.03631795197725296,human
UAP1,0.025390032678842545,,,0.025390032678842545,0.025390032678842545,,human
CPE,0.02538742497563362,0.011216608807444572,,0.018302016891539097,0.018302016891539097,0.011216608807444572,human
EPB41L4A-AS1,0.02518925815820694,,,0.02518925815820694,0.02518925815820694,,human
MIR21,0.02516756020486355,0.015719154849648476,,0.020443357527256012,0.020443357527256012,0.015719154849648476,human
CXCL1,0.025054365396499634,0.015136525966227055,,0.020095445681363344,0.020095445681363344,0.015136525966227055,human
C12orf57,0.024860654026269913,,,0.024860654026269913,0.024860654026269913,,human
LDHB,0.024853412061929703,,-0.05224020406603813,-0.013693396002054214,-0.013693396002054214,,human
HMGB1,0.024593990296125412,0.014989132061600685,-0.04359234869480133,-0.0013364087790250778,0.014989132061600685,0.014989132061600685,human
IER3,0.02453485131263733,0.013363158330321312,0.023984014987945557,0.02062734154363473,0.023984014987945557,0.013363158330321312,human
CH25H,0.02451692521572113,,,0.02451692521572113,0.02451692521572113,,human
PCK2,0.02445051446557045,,,0.02445051446557045,0.02445051446557045,,human
RPL26,0.0243951678276062,0.010318957269191742,-0.051483169198036194,-0.005589681367079417,0.010318957269191742,0.010318957269191742,human
TXNDC5,0.0243137888610363,0.016941538080573082,0.027217520400881767,0.02282428244749705,0.0243137888610363,0.016941538080573082,human
RPL41,0.024281814694404602,,-0.04822218418121338,-0.011970184743404388,-0.011970184743404388,,human
EIF3E,0.024237437173724174,-0.017865769565105438,-0.0522993728518486,-0.015309235081076622,-0.017865769565105438,-0.017865769565105438,human
RSL24D1,0.02421358786523342,,,0.02421358786523342,0.02421358786523342,,human
RAB31,0.023679835721850395,,,0.023679835721850395,0.023679835721850395,,human
CDH2,0.023643657565116882,,,0.023643657565116882,0.023643657565116882,,human
