gene_symbol,logfc_dz:1029,logfc_dz:1030,logfc_dz:1032,logfc_dz:1038,logfc_dz:1028,logfc_dz:1026,logfc_dz:1027,logfc_dz:1024,logfc_dz:1022,logfc_dz:1023,logfc_dz:464,logfc_dz:1035,logfc_dz:1025,logfc_dz:1021,logfc_dz:1041,logfc_dz:1036,logfc_dz:1037,logfc_dz:1039,logfc_dz:1040,logfc_dz:1033,logfc_dz:1034,mean_logfc,median_logfc,common_experiment,organism
SLC7A7,0.04388679563999176,0.030097367241978645,,,-0.026751525700092316,,,,,,0.01968480460345745,,0.04650158807635307,-0.04866623133420944,,,,,,,,0.010792133087913195,0.024891085922718048,,human
HIST1H3H,0.04385892301797867,0.01942685805261135,,,,,0.020228346809744835,-0.02709820680320263,,,,,,,,,,,,,,0.014103980269283056,0.019827602431178093,,human
SNHG6,0.043296732008457184,-0.03672270104289055,-0.050139136612415314,,,0.03418157622218132,,,0.021400177851319313,-0.012677532620728016,-0.023727232590317726,,-0.015893403440713882,0.021682117134332657,,,,,,,,-0.0020666003434194457,-0.012677532620728016,,human
BRI3,0.04244668036699295,-0.04710468649864197,,,,-0.04055020958185196,-0.11657954752445221,,-0.026151414960622787,-0.05868314579129219,-0.04075572267174721,,-0.07199405878782272,0.03104909509420395,,,,,,,,-0.036480334483914904,-0.04075572267174721,,human
HLA-DRB1,0.040669962763786316,-0.012251396663486958,-0.012921126559376717,-0.015266360715031624,-0.12405502796173096,-0.06302734464406967,0.08109357953071594,-0.03536415100097656,-0.08715569227933884,-0.01361285150051117,-0.03304287791252136,,-0.036929044872522354,,,,,,,,,-0.02598852765125533,-0.024154619313776493,,human
SLC25A6,0.0403723381459713,0.026340650394558907,-0.024414123967289925,-0.062614805996418,,-0.030373066663742065,0.018354691565036774,0.08586601912975311,,-0.021169152110815048,,,-0.04451494291424751,-0.05189032107591629,,-0.01819840632379055,0.01785583794116974,,,,,-0.005365440156310797,-0.0196837792173028,,human
GPX4,0.039641913026571274,,-0.020603524520993233,-0.016786804422736168,0.030129248276352882,,-0.0108715845271945,0.017408723011612892,,-0.010590219870209694,,,,,,-0.020426107570528984,,,,,,0.0009877054253593087,-0.010730902198702097,,human
ARPC1B,0.039150867611169815,0.026348894461989403,,-0.02953501045703888,-0.012359896674752235,-0.062434472143650055,-0.03166557475924492,0.018855391070246696,-0.019275590777397156,,-0.013040060177445412,,,-0.031304486095905304,,,,,,,,-0.011525993794202804,-0.016157825477421284,,human
SNRPD2,0.038023073226213455,0.048415374010801315,-0.0551626943051815,-0.009913075715303421,0.027298834174871445,0.03309787064790726,0.012120054103434086,,0.039992690086364746,-0.035883478820323944,,,,0.0239421296864748,,,,,,,,0.012193077709525824,0.025620481930673122,,human
SIGLEC10,0.0379052609205246,0.028445834293961525,0.024691324681043625,,-0.040456514805555344,-0.02128537930548191,,-0.02426351234316826,,-0.012784362770617008,-0.01732569746673107,,0.016671517863869667,0.02618981897830963,,,,,,,,0.0017788290046155454,0.0019435775466263294,,human
UBA52,0.03785613924264908,0.04915953427553177,-0.09029893577098846,-0.12622632086277008,0.022422224283218384,0.04337368533015251,-0.03610331192612648,0.026036296039819717,0.047705020755529404,-0.017885547131299973,-0.03224063292145729,,,0.04186410829424858,,-0.03299582749605179,,,0.02601538598537445,,,-0.00295129870729787,0.024218805134296417,,human
RPS4Y1,0.037141766399145126,0.09179546684026718,-0.02589408867061138,0.04115229845046997,0.030400630086660385,0.05013193562626839,-0.011434147134423256,,0.0347917340695858,,0.03771132975816727,-0.03718732297420502,,,,,,-0.05181192234158516,-0.06333554536104202,,,0.01112184456239144,0.03259618207812309,-0.03718732297420502,human
RBX1,0.037078022956848145,0.01897839829325676,-0.027350489050149918,-0.008185897022485733,,,,,0.021704163402318954,,,,,,,,,,,,,0.008444839715957641,0.01897839829325676,,human
RBP7,0.036643970757722855,,,,-0.020503660663962364,-0.015099311247467995,-0.023057743906974792,,-0.024306761100888252,-0.01007145643234253,,,,,,,,,,,,-0.009399160432318846,-0.01780148595571518,,human
RGS2,0.03656875714659691,-0.033873748034238815,0.02743898332118988,0.06579166650772095,,0.023613980039954185,0.02213524840772152,-0.02378607541322708,-0.1006130501627922,0.03825406730175018,0.05283353105187416,-0.024110345169901848,,-0.02744613215327263,0.03080565668642521,,,-0.024871865287423134,0.055077627301216125,-0.02566353604197502,-0.01773727498948574,0.0043774994418901555,0.02213524840772152,-0.024110345169901848,human
NFKBIA,0.03627084195613861,0.01723438873887062,0.056983646005392075,-0.012701304629445076,-0.04379381239414215,-0.046217139810323715,0.01286518294364214,0.04128573089838028,,-0.02292012609541416,,,,,,,,,,,,0.004334156401455402,0.01286518294364214,,human
EEF1G,0.03530345857143402,0.0991622805595398,-0.028139201924204826,-0.05164554342627525,,0.015347675420343876,,,0.02212073840200901,-0.014274255372583866,,,0.05346520245075226,,,-0.05750299617648125,0.03837365284562111,0.024697214365005493,,,,0.012446202337741852,0.02212073840200901,,human
HEXB,0.03527548909187317,0.01981961540877819,-0.02086513303220272,,,-0.014845877885818481,-0.013441032730042934,,-0.01864311471581459,,-0.01868996024131775,,,-0.02282898500561714,,,,,,,,-0.006777374888770282,-0.016744496300816536,,human
SGK1,0.03516991809010506,,,,0.02448534220457077,,,,,0.009649578481912613,-0.031391970813274384,,,-0.03595813736319542,,,,,0.018665935844182968,,,0.003436777740716934,0.01415775716304779,,human
