gene_symbol,logfc_dz:581,logfc_dz:893,logfc_dz:882,logfc_dz:274,logfc_dz:9,logfc_dz:895,mean_logfc,median_logfc,common_experiment,organism
ARL6IP5,0.025195620954036713,,-0.02802499383687973,,-0.020347092300653458,,-0.007725488394498825,-0.020347092300653458,,human
CDK2AP1,0.025178221985697746,,,,,,0.025178221985697746,0.025178221985697746,,human
SYNE2,0.02514098584651947,,,,,,0.02514098584651947,0.02514098584651947,,human
PLN,0.025124862790107727,,-0.1020594984292984,,,,-0.03846731781959534,-0.03846731781959534,,human
RPLP0,0.025119706988334656,,,,-0.016812024638056755,,0.00415384117513895,0.00415384117513895,,human
VIM,0.024953417479991913,,0.05884340777993202,0.020189737901091576,-0.018510013818740845,,0.021369137335568666,0.022571577690541744,,human
COL15A1,0.024684743955731392,,,0.01147055346518755,,,0.01807764871045947,0.01807764871045947,,human
SYS1-DBNDD2,0.02430751360952854,,-0.03236541897058487,,,,-0.004028952680528164,-0.004028952680528164,,human
TMA7,0.024174248799681664,,0.01690671220421791,,0.01616380177438259,,0.019081587592760723,0.01690671220421791,,human
S100A4,0.024091854691505432,,-0.13012485206127167,0.014923748560249805,0.04814255237579346,,-0.010741674108430743,0.01950780162587762,,human
HNRNPH2,0.02357480116188526,,-0.030347488820552826,,,,-0.003386343829333782,-0.003386343829333782,,human
SNRPE,0.023258473724126816,,,,,,0.023258473724126816,0.023258473724126816,,human
PPIL3,0.023226115852594376,,-0.02225600555539131,,0.03396705538034439,,0.011645721892515818,0.023226115852594376,,human
SARAF,0.023082882165908813,,-0.052183203399181366,,,,-0.014550160616636276,-0.014550160616636276,,human
HMGCS2,0.023053357377648354,,,,,,0.023053357377648354,0.023053357377648354,,human
IRX4,0.023010272532701492,0.02382224053144455,,,,0.0177342277020216,0.02152224692205588,0.023010272532701492,0.0177342277020216,human
OPHN1,0.022848069667816162,,,,0.013735228218138218,,0.01829164894297719,0.01829164894297719,,human
MYH8,0.022824333980679512,,,,,,0.022824333980679512,0.022824333980679512,,human
COL4A1,0.02272491715848446,,-0.0159617830067873,-0.02010812982916832,,,-0.004448331892490387,-0.0159617830067873,,human
COX7C,0.02263820171356201,,,-0.01132325828075409,,,0.005657471716403961,0.005657471716403961,,human
DDX17,0.02255137823522091,,-0.015957824885845184,,,,0.0032967766746878624,0.0032967766746878624,,human
RPSA,0.022548751905560493,,,,-0.011467838659882545,,0.005540456622838974,0.005540456622838974,,human
CTDNEP1,0.02246365137398243,,,,,,0.02246365137398243,0.02246365137398243,,human
MIR22HG,0.022235363721847534,,0.02005944773554802,,,,0.021147405728697777,0.021147405728697777,,human
CAPZA2,0.022003648802638054,,-0.03839023411273956,,,,-0.008193292655050755,-0.008193292655050755,,human
ANXA2,0.021892769262194633,,,0.018672408536076546,,,0.02028258889913559,0.02028258889913559,,human
NDN,0.021892353892326355,,,,,,0.021892353892326355,0.021892353892326355,,human
MYBPC1,0.02183026820421219,-0.043885890394449234,,,,,-0.011027811095118523,-0.011027811095118523,,human
FBN1,0.021806396543979645,,,0.03414459899067879,,,0.027975497767329216,0.027975497767329216,,human
