gene_symbol,logfc_dz:361,logfc_dz:553,logfc_dz:56,mean_logfc,median_logfc,common_experiment,organism,signature_type
TMEM43,,,0.0227679405361413,0.0227679405361413,0.0227679405361413,0.0227679405361413,human,UP
YLPM1,,,0.0227659326046705,0.0227659326046705,0.0227659326046705,0.0227659326046705,human,UP
CD83,,0.0227469485253095,,0.0227469485253095,0.0227469485253095,,human,UP
TFRC,,,0.0225743185728788,0.0225743185728788,0.0225743185728788,0.0225743185728788,human,UP
MDK,0.0246819946914911,-0.0084074176847934,0.0514298938214778,0.0225681569427251,0.0246819946914911,0.0514298938214778,human,UP
MALL,,,0.0225321948528289,0.0225321948528289,0.0225321948528289,0.0225321948528289,human,UP
NCOA4,,0.0225169379264116,,0.0225169379264116,0.0225169379264116,,human,UP
STIP1,0.0269162878394126,,0.0179946236312389,0.0224554557353258,0.0224554557353258,0.0179946236312389,human,UP
DDX5,,0.022448206320405,,0.022448206320405,0.022448206320405,,human,UP
SLC2A4RG,,,0.0224241893738508,0.0224241893738508,0.0224241893738508,0.0224241893738508,human,UP
HSPB6,,,0.0223793294280767,0.0223793294280767,0.0223793294280767,0.0223793294280767,human,UP
C2,0.0223633646965026,,,0.0223633646965026,0.0223633646965026,,human,UP
TNFAIP3,,0.0223044157028198,,0.0223044157028198,0.0223044157028198,,human,UP
PALLD,,,0.0222806874662637,0.0222806874662637,0.0222806874662637,0.0222806874662637,human,UP
PSAP,0.0629596188664436,-0.018406543880701,,0.0222765374928712,0.0222765374928712,,human,UP
IGFBP7,,,0.0221745781600475,0.0221745781600475,0.0221745781600475,0.0221745781600475,human,UP
TRIP6,,,0.0221058242022991,0.0221058242022991,0.0221058242022991,0.0221058242022991,human,UP
SNRPB,0.0220592115074396,,,0.0220592115074396,0.0220592115074396,,human,UP
CCNB1,,,0.0220558363944292,0.0220558363944292,0.0220558363944292,0.0220558363944292,human,UP
ILK,,,0.0220474880188703,0.0220474880188703,0.0220474880188703,0.0220474880188703,human,UP
FKBP4,0.0177057515829801,,0.026355480775237,0.0220306161791086,0.0220306161791086,0.026355480775237,human,UP
SREBF1,,,0.0219862293452024,0.0219862293452024,0.0219862293452024,0.0219862293452024,human,UP
YWHAQ,0.0097354957833886,0.0342290140688419,,0.0219822549261152,0.0219822549261152,,human,UP
SCP2,,0.0219483599066734,,0.0219483599066734,0.0219483599066734,,human,UP
TAGLN,0.0190446246415376,,0.0244505032896995,0.0217475639656186,0.0217475639656186,0.0244505032896995,human,UP
NSA2,,0.0216975975781679,,0.0216975975781679,0.0216975975781679,,human,UP
MYH9,0.0216894131153821,,,0.0216894131153821,0.0216894131153821,,human,UP
LAMB3,,,0.0216520708054304,0.0216520708054304,0.0216520708054304,0.0216520708054304,human,UP
TFE3,,,0.0216424688696861,0.0216424688696861,0.0216424688696861,0.0216424688696861,human,UP
POLD1,,,0.0216004066169261,0.0216004066169261,0.0216004066169261,0.0216004066169261,human,UP
CST4,0.0215504150837659,,,0.0215504150837659,0.0215504150837659,,human,UP
IFITM2,0.0295134242624044,0.0077465642243623,0.0273061711341142,0.0215220532069603,0.0273061711341142,0.0273061711341142,human,UP
PITPNB,,,0.0214625746011734,0.0214625746011734,0.0214625746011734,0.0214625746011734,human,UP
HTRA1,0.0216156840324401,,0.0211290400475263,0.0213723620399832,0.0213723620399832,0.0211290400475263,human,UP
EEF1D,0.0213336627930402,,,0.0213336627930402,0.0213336627930402,,human,UP
PLA2G10,,,0.0213276594877243,0.0213276594877243,0.0213276594877243,0.0213276594877243,human,UP
USP24,,,0.0212201382964849,0.0212201382964849,0.0212201382964849,0.0212201382964849,human,UP
CTSB,,,0.021103648468852,0.021103648468852,0.021103648468852,0.021103648468852,human,UP
CSRP1,,,0.0211000684648752,0.0211000684648752,0.0211000684648752,0.0211000684648752,human,UP
EPCAM,0.0210727099329233,,,0.0210727099329233,0.0210727099329233,,human,UP
GORASP1,,,0.0210636164993047,0.0210636164993047,0.0210636164993047,0.0210636164993047,human,UP
DPM2,,,0.0210197493433952,0.0210197493433952,0.0210197493433952,0.0210197493433952,human,UP
LGALS4,-0.0338808707892894,,0.0757716968655586,0.0209454130381345,0.0209454130381345,0.0757716968655586,human,UP
SRI,,,0.0207935627549886,0.0207935627549886,0.0207935627549886,0.0207935627549886,human,UP
BCL7B,,,0.020738722756505,0.020738722756505,0.020738722756505,0.020738722756505,human,UP
HNRNPA2B1,0.0206960216164588,,,0.0206960216164588,0.0206960216164588,,human,UP
C1R,0.020624678581953,,,0.020624678581953,0.020624678581953,,human,UP
PKM,0.0206237249076366,,,0.0206237249076366,0.0206237249076366,,human,UP
PLS1,,,0.0205615106970071,0.0205615106970071,0.0205615106970071,0.0205615106970071,human,UP
AP3B1,,,0.0205021202564239,0.0205021202564239,0.0205021202564239,0.0205021202564239,human,UP
PFN1,0.0204676333814859,,,0.0204676333814859,0.0204676333814859,,human,UP
BAG2,,,0.0203860532492399,0.0203860532492399,0.0203860532492399,0.0203860532492399,human,UP
UBTF,,,0.0203116852790117,0.0203116852790117,0.0203116852790117,0.0203116852790117,human,UP
RYK,,,0.0201630108058452,0.0201630108058452,0.0201630108058452,0.0201630108058452,human,UP
MUC5AC,-0.2063594758510589,,,-0.2063594758510589,-0.2063594758510589,,human,DOWN
LIPF,-0.2767376899719238,,-0.081990897655487,-0.1793642938137054,-0.1793642938137054,-0.081990897655487,human,DOWN
MIA,,-0.1741748750209808,,-0.1741748750209808,-0.1741748750209808,,human,DOWN
GKN1,,,-0.1724391728639602,-0.1724391728639602,-0.1724391728639602,-0.1724391728639602,human,DOWN
TFF1,-0.2858827412128448,,-0.0470527745783329,-0.1664677578955888,-0.1664677578955888,-0.0470527745783329,human,DOWN
PGC,-0.2132703512907028,,-0.0995592698454856,-0.1564148105680942,-0.1564148105680942,-0.0995592698454856,human,DOWN
S100A9,,-0.1513198465108871,,-0.1513198465108871,-0.1513198465108871,,human,DOWN
ATP4B,-0.0983945727348327,,-0.195576786994934,-0.1469856798648834,-0.1469856798648834,-0.195576786994934,human,DOWN
REG1A,-0.1410389840602874,,,-0.1410389840602874,-0.1410389840602874,,human,DOWN
CPA3,,,-0.1390534341335296,-0.1390534341335296,-0.1390534341335296,-0.1390534341335296,human,DOWN
GOT1,,-0.1308692544698715,,-0.1308692544698715,-0.1308692544698715,,human,DOWN
S100P,-0.1268990188837051,,,-0.1268990188837051,-0.1268990188837051,,human,DOWN
ATP4A,-0.1257161349058151,,,-0.1257161349058151,-0.1257161349058151,,human,DOWN
GUSBP11,-0.0983629897236824,,,-0.0983629897236824,-0.0983629897236824,,human,DOWN
MYEF2,,,-0.0938648879528045,-0.0938648879528045,-0.0938648879528045,-0.0938648879528045,human,DOWN
MAGEA4,,,-0.0919977277517318,-0.0919977277517318,-0.0919977277517318,-0.0919977277517318,human,DOWN
TMSB4X,-0.0872387439012527,,,-0.0872387439012527,-0.0872387439012527,,human,DOWN
CEBPB,,-0.0864367336034774,,-0.0864367336034774,-0.0864367336034774,,human,DOWN
EIF3I,,-0.0861475840210914,,-0.0861475840210914,-0.0861475840210914,,human,DOWN
GAST,-0.0854588449001312,,,-0.0854588449001312,-0.0854588449001312,,human,DOWN
MT2A,-0.1166547462344169,,-0.0522044636309146,-0.0844296049326658,-0.0844296049326658,-0.0522044636309146,human,DOWN
APOB,,,-0.0795057341456413,-0.0795057341456413,-0.0795057341456413,-0.0795057341456413,human,DOWN
PSCA,,,-0.0770341977477073,-0.0770341977477073,-0.0770341977477073,-0.0770341977477073,human,DOWN
CYP3A43,-0.0752897784113884,,,-0.0752897784113884,-0.0752897784113884,,human,DOWN
RGS2,,-0.0740173235535621,,-0.0740173235535621,-0.0740173235535621,,human,DOWN
F2RL1,,,-0.0705401822924614,-0.0705401822924614,-0.0705401822924614,-0.0705401822924614,human,DOWN
ABCB7,,-0.0688177645206451,,-0.0688177645206451,-0.0688177645206451,,human,DOWN
GPN1,,-0.0683871209621429,,-0.0683871209621429,-0.0683871209621429,,human,DOWN
REG1B,,,-0.0643299967050552,-0.0643299967050552,-0.0643299967050552,-0.0643299967050552,human,DOWN
GCAT,,,-0.0642506033182144,-0.0642506033182144,-0.0642506033182144,-0.0642506033182144,human,DOWN
GABARAPL1,,,-0.0614953450858593,-0.0614953450858593,-0.0614953450858593,-0.0614953450858593,human,DOWN
FBP1,-0.0610714517533779,,,-0.0610714517533779,-0.0610714517533779,,human,DOWN
GDF10,,-0.0603321194648742,,-0.0603321194648742,-0.0603321194648742,,human,DOWN
CFB,,,-0.0595711134374141,-0.0595711134374141,-0.0595711134374141,-0.0595711134374141,human,DOWN
CD14,,-0.058561336249113,,-0.058561336249113,-0.058561336249113,,human,DOWN
TSNAX,,,-0.0585399605333805,-0.0585399605333805,-0.0585399605333805,-0.0585399605333805,human,DOWN
HIF1A,,-0.0580043196678161,,-0.0580043196678161,-0.0580043196678161,,human,DOWN
TMED2,,,-0.0571609698235988,-0.0571609698235988,-0.0571609698235988,-0.0571609698235988,human,DOWN
SLC9A3R1,,,-0.0570952557027339,-0.0570952557027339,-0.0570952557027339,-0.0570952557027339,human,DOWN
IFNA1,,-0.056080162525177,,-0.056080162525177,-0.056080162525177,,human,DOWN
XYLT2,,,-0.0560712590813636,-0.0560712590813636,-0.0560712590813636,-0.0560712590813636,human,DOWN
ATF4,-0.0557468421757221,,,-0.0557468421757221,-0.0557468421757221,,human,DOWN
TSPAN8,-0.0556612946093082,,,-0.0556612946093082,-0.0556612946093082,,human,DOWN
PPBP,,-0.0554036945104599,,-0.0554036945104599,-0.0554036945104599,,human,DOWN
VPS37C,,,-0.0539035871624946,-0.0539035871624946,-0.0539035871624946,-0.0539035871624946,human,DOWN
TFF2,-0.0121611952781677,,-0.0955380722880363,-0.053849633783102,-0.053849633783102,-0.0955380722880363,human,DOWN
LZTS3,,-0.0537559688091278,,-0.0537559688091278,-0.0537559688091278,,human,DOWN
OAZ1,-0.0831138417124748,-0.0232205707579851,,-0.0531672062352299,-0.0531672062352299,,human,DOWN
LTF,-0.0881314277648925,,-0.0175942927598953,-0.0528628602623939,-0.0528628602623939,-0.0175942927598953,human,DOWN
