"exp_id","cmap_score","p.x","q","subset_comparison_id","analysis_id","name","concentration","duration","cell_line","array_platform","vehicle","vendor","vendor_catalog_id","vendor_catalog_name","drug_concept_id","cas_number","DrugBank.ID","drug_name","r","p.y","num_peers","valid"
5749,-0.370768028921341,2e-05,0.000917293233082707,"file16e94a0ad192_logFC_0","CMAP","ivermectin",4.6e-06,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","156","Ivermectin [70288-86-7]","C0022322","70288-86-7","DB00602","ivermectin",0.201904745799853,2.66286896159503e-120,4,1
2087,-0.311466488504953,0.00089,0.0122828054298643,"file16e94a0ad192_logFC_0","CMAP","letrozole",1.4e-05,6,"HL60","HT_HG-U133A","DMSO","Prestwick Chemical","1025","Letrozole [112809-51-5]","C0246421","112809-51-5","DB01006","letrozole",0.182123044672715,7.18355515622034e-98,3,1
5991,-0.258105799987832,0.01501,0.0865750708215297,"file16e94a0ad192_logFC_0","CMAP","levamisole",1.66e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","182","Levamisole hydrochloride [16595-80-5]","C0733383","16595-80-5","DB00848","levamisole",0.43537451825987,0,3,1
5952,-0.290155621101841,0.00309,0.0292686335403727,"file16e94a0ad192_logFC_0","CMAP","lincomycin",9e-06,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","302","Lincomycin hydrochloride [859-18-7]","C0023726","859-18-7","DB01627","lincomycin",0.175956188674299,2.2158424687877e-91,2,1
1934,-0.227518564860403,0.05147,0.20269012265978,"file16e94a0ad192_logFC_0","CMAP","lobeline",1.06e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","585","Lobeline alpha (-) hydrochoride [134-63-4]","C0023929","134-63-4","DB05137","lobeline",0.324879294745574,6.10754070076032e-319,3,1
1574,-0.236466727248516,0.03615,0.156037482319661,"file16e94a0ad192_logFC_0","CMAP","lomefloxacin",1.04e-05,6,"HL60","HT_HG-U133A","DMSO","Prestwick Chemical","238","Lomefloxacin hydrochloride [98079-52-8]","C0770927","98079-52-8","DB00978","lomefloxacin",0.228259725050391,4.28544826604326e-154,5,1
1527,-0.247347988217978,0.02365,0.116342741935484,"file16e94a0ad192_logFC_0","CMAP","mebendazole",1.36e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","217","Mebendazole [31431-39-7]","C0025023","31431-39-7","DB00643","mebendazole",0.160626113958488,2.85589850640476e-76,4,1
1639,-0.319347896368769,6e-04,0.00963157894736842,"file16e94a0ad192_logFC_0","CMAP","meclozine",8.6e-06,6,"HL60","HT_HG-U133A","DMSO","Prestwick Chemical","457","Meclozine dihydrochloride [1104-22-9]","NULL","1104-22-9","DB00737","meclozine",0.264102156331831,1.7232674846448e-207,4,1
3141,-0.206084516508876,0.10452,0.33306318537859,"file16e94a0ad192_logFC_0","CMAP","memantine",1.86e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","978","Memantine Hydrochloride [41100-52-1]","C0771988","41100-52-1","DB01043","memantine",0.173852377235309,3.19995105984656e-89,3,1
2045,-0.285967656631604,0.00397,0.0346452074391989,"file16e94a0ad192_logFC_0","CMAP","mesoridazine",7.4e-06,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","529","Mesoridazine besylate [32672-69-8]","C0025497","32672-69-8","DB00933","mesoridazine",0.308738950621883,1.17822735094772e-286,3,1
5910,-0.272455280648155,0.00789,0.0568900709219858,"file16e94a0ad192_logFC_0","CMAP","metaraminol",8.6e-06,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","197","Metaraminol bitartrate [33402-03-8]","C0025575","33402-03-8","DB00610","metaraminol",0.20534517216872,1.86127879015488e-124,3,1
2,-0.348721858169585,0.00012,0.00343661971830986,"file16e94a0ad192_logFC_0","CMAP","metformin",1e-05,6,"MCF7","HG-U133A","medium","Sigma-Aldrich","D5035","1,1-dimethylbiguanide hydrochloride","C0025598","NULL","DB00331","metformin",0.27412417679134,5.20696384618945e-224,8,1
5238,-0.296778448012328,0.0021,0.0225131810193322,"file16e94a0ad192_logFC_0","CMAP","methapyrilene",1.34e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","342","Methapyrilene hydrochloride [135-23-9]","C0025625","135-23-9","DB04819","methapyrilene",0.339032830280794,0,3,1
2334,-0.227957906666396,0.0506,0.200558804418454,"file16e94a0ad192_logFC_0","CMAP","methylprednisolone",1.06e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","279","Methylprednisolone, 6-alpha [83-43-2]","C0174938","83-43-2","DB00959","methylprednisolone",0.155123893696064,3.36674368071033e-71,3,1
4953,-0.203394117980953,0.11381,0.354566394279877,"file16e94a0ad192_logFC_0","CMAP","metolazone",1.1e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","112","Metolazone [17560-51-9]","C0025854","17560-51-9","DB00524","metolazone",0.169105554008208,1.8927130371505e-84,4,1
3842,-0.259801630387839,0.01405,0.0832087378640777,"file16e94a0ad192_logFC_0","CMAP","miconazole",9.6e-06,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","67","Miconazole [22916-47-8]","MMS_579","22916-47-8","DB01110","miconazole",0.22511784684581,7.93339772680357e-150,4,1
4568,-0.222461734771889,0.06177,0.231305709023941,"file16e94a0ad192_logFC_0","CMAP","milrinone",1.9e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","1065","Milrinone [78415-72-2]","C0600487","78415-72-2","DB00235","milrinone",0.397308679812009,0,2,1
2033,-0.201431780019428,0.12047,0.369279899497487,"file16e94a0ad192_logFC_0","CMAP","molsidomine",1.66e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","547","Molsidomine [25717-80-0]","C0026400","25717-80-0","DB09282","molsidomine",0.16220989978549,9.1550453235424e-78,3,1
2067,-0.201393151847451,0.1206,0.369307228915663,"file16e94a0ad192_logFC_0","CMAP","mometasone",7.6e-06,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","572","Mometasone furoate [83919-23-7]","MMS_626","83919-23-7","DB00764","mometasone",0.173308849267252,1.14451138064764e-88,3,1
5839,-0.274105964372164,0.00729,0.0540985401459854,"file16e94a0ad192_logFC_0","CMAP","moracizine",8.6e-06,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","1051","Moricizine hydrochloride [31883-05-3]","NULL","31883-05-3","DB00680","moracizine",0.253218822347738,2.39166112846206e-190,3,1
5584,-0.305387621366229,0.0013,0.0163168724279835,"file16e94a0ad192_logFC_0","CMAP","moxisylyte",1.26e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","42","Moxisylyte hydrochoride [964-52-3]","C0040108","964-52-3","DB09205","moxisylyte",0.200283586016312,2.27593652146054e-118,4,1
