rank,primary_key,drug_name,desc_4,desc_3,desc_2
77,DB06803,niclosamide,Salicylic acid derivatives,ANTICESTODALS,ANTHELMINTICS
78,DB01667,8-azaguanine,NA,NA,NA
79,DB00877,sirolimus,Other ophthalmologicals,OTHER OPHTHALMOLOGICALS,OPHTHALMOLOGICALS
79,DB00877,sirolimus,Selective immunosuppressants,IMMUNOSUPPRESSANTS,IMMUNOSUPPRESSANTS
80,DB01120,gliclazide,Sulfonylureas,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",DRUGS USED IN DIABETES
81,DB00947,fulvestrant,Anti-estrogens,HORMONE ANTAGONISTS AND RELATED AGENTS,ENDOCRINE THERAPY
82,DB00892,oxybuprocaine,Local anesthetics,LOCAL ANESTHETICS,OPHTHALMOLOGICALS
82,DB00892,oxybuprocaine,Anesthetics for topical use,"ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.","ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC."
83,DB00610,metaraminol,Adrenergic and dopaminergic agents,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,CARDIAC THERAPY
84,DB01204,mitoxantrone,Anthracyclines and related substances,CYTOTOXIC ANTIBIOTICS AND RELATED SUBSTANCES,ANTINEOPLASTIC AGENTS
85,DB09210,piracetam,Other psychostimulants and nootropics,"PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS",PSYCHOANALEPTICS
86,DB01183,naloxone,Peripheral opioid receptor antagonists,DRUGS FOR CONSTIPATION,DRUGS FOR CONSTIPATION
86,DB01183,naloxone,Natural opium alkaloids,OPIOIDS,ANALGESICS
86,DB01183,naloxone,Antidotes,ALL OTHER THERAPEUTIC PRODUCTS,ALL OTHER THERAPEUTIC PRODUCTS
87,DB00563,methotrexate,Folic acid analogues,ANTIMETABOLITES,ANTINEOPLASTIC AGENTS
87,DB00563,methotrexate,Other immunosuppressants,IMMUNOSUPPRESSANTS,IMMUNOSUPPRESSANTS
88,DB00280,disopyramide,"Antiarrhythmics, class Ia","ANTIARRHYTHMICS, CLASS I AND III",CARDIAC THERAPY
89,DB08936,chlorcyclizine,Piperazine derivatives,ANTIHISTAMINES FOR SYSTEMIC USE,ANTIHISTAMINES FOR SYSTEMIC USE
90,DB00600,monobenzone,Other dermatologicals,OTHER DERMATOLOGICAL PREPARATIONS,OTHER DERMATOLOGICAL PREPARATIONS
91,DB01327,cefazolin,First-generation cephalosporins,OTHER BETA-LACTAM ANTIBACTERIALS,ANTIBACTERIALS FOR SYSTEMIC USE
92,DB00711,diethylcarbamazine,Piperazine and derivatives,ANTINEMATODAL AGENTS,ANTHELMINTICS
93,DB04014,alsterpaullone,NA,NA,NA
94,DB06820,sulconazole,Imidazole and triazole derivatives,ANTIFUNGALS FOR TOPICAL USE,ANTIFUNGALS FOR DERMATOLOGICAL USE
95,DB00400,griseofulvin,Antifungals for systemic use,ANTIFUNGALS FOR SYSTEMIC USE,ANTIFUNGALS FOR DERMATOLOGICAL USE
96,DB00975,dipyridamole,Platelet aggregation inhibitors excl. heparin,ANTITHROMBOTIC AGENTS,ANTITHROMBOTIC AGENTS
97,DB04815,clioquinol,Quinoline derivatives,"ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS",GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS
97,DB04815,clioquinol,Hydroxyquinoline derivatives,AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES,ANTIPROTOZOALS
97,DB04815,clioquinol,Antiinfectives,ANTIINFECTIVES,OTOLOGICALS
97,DB04815,clioquinol,Medicated dressings with antiinfectives,MEDICATED DRESSINGS,MEDICATED DRESSINGS
97,DB04815,clioquinol,Quinoline derivatives,ANTISEPTICS AND DISINFECTANTS,ANTISEPTICS AND DISINFECTANTS
98,DB00851,dacarbazine,Other alkylating agents,ALKYLATING AGENTS,ANTINEOPLASTIC AGENTS
99,DB06764,tetryzoline,Sympathomimetics used as decongestants,DECONGESTANTS AND ANTIALLERGICS,OPHTHALMOLOGICALS
99,DB06764,tetryzoline,"Sympathomimetics, combinations excl. corticosteroids",DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,NASAL PREPARATIONS
100,DB01112,cefuroxime,Antibiotics,ANTIINFECTIVES,OPHTHALMOLOGICALS
100,DB01112,cefuroxime,Second-generation cephalosporins,OTHER BETA-LACTAM ANTIBACTERIALS,ANTIBACTERIALS FOR SYSTEMIC USE
101,DB09345,pramocaine,Anesthetics for topical use,"ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.","ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC."
101,DB09345,pramocaine,Local anesthetics,AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE,VASOPROTECTIVES
