rank,primary_key,drug_name,desc_4,desc_3,desc_2
268,DB00993,azathioprine,Other immunosuppressants,IMMUNOSUPPRESSANTS,IMMUNOSUPPRESSANTS
269,DB01393,bezafibrate,Fibrates,"LIPID MODIFYING AGENTS, PLAIN",LIPID MODIFYING AGENTS
270,DB00518,albendazole,Benzimidazole derivatives,ANTINEMATODAL AGENTS,ANTHELMINTICS
271,DB00774,hydroflumethiazide,"Thiazides, plain","LOW-CEILING DIURETICS, THIAZIDES",DIURETICS
271,DB00774,hydroflumethiazide,Sulfonamides,"ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS",GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS
272,DB01206,lomustine,Nitrosoureas,ALKYLATING AGENTS,ANTINEOPLASTIC AGENTS
273,DB01024,mycophenolic acid,Selective immunosuppressants,IMMUNOSUPPRESSANTS,IMMUNOSUPPRESSANTS
274,DB00265,crotamiton,NA,NA,NA
275,DB00432,trifluridine,Antivirals,ANTIINFECTIVES,OPHTHALMOLOGICALS
275,DB00432,trifluridine,Pyrimidine analogues,ANTIMETABOLITES,ANTINEOPLASTIC AGENTS
276,DB00822,disulfiram,Drugs used in alcohol dependence,DRUGS USED IN ADDICTIVE DISORDERS,OTHER NERVOUS SYSTEM DRUGS
276,DB00822,disulfiram,Sulfur containing products,"ECTOPARASITICIDES, INCL. SCABICIDES","ECTOPARASITICIDES, INCL. SCABICIDES, INSECTICIDES AND REPELLENTS"
277,DB00460,verteporfin,Antineovascularisation agents,OCULAR VASCULAR DISORDER AGENTS,OPHTHALMOLOGICALS
278,DB00197,troglitazone,Thiazolidinediones,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",DRUGS USED IN DIABETES
279,DB01195,flecainide,"Antiarrhythmics, class Ic","ANTIARRHYTHMICS, CLASS I AND III",CARDIAC THERAPY
280,DB00572,atropine,Belladonna and derivatives in combination with psycholeptics,ANTISPASMODICS IN COMBINATION WITH PSYCHOLEPTICS,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS
280,DB00572,atropine,Anticholinergics,MYDRIATICS AND CYCLOPLEGICS,OPHTHALMOLOGICALS
281,DB00223,diflorasone,"Corticosteroids, potent (group III)","CORTICOSTEROIDS, PLAIN","CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS"
282,DB00340,metixene,Tertiary amines,ANTICHOLINERGIC AGENTS,ANTI-PARKINSON DRUGS
