"","primary_key","rank","drug_name","cmap_score_unstratified","cmap_score_I-II","cmap_score_III-IV","cmap_score_PE","cmap_score_ESE","cmap_score_MSE","desc_4","desc_3","desc_2","notes","ref"
"397","DB09015",51,"canrenoic acid",-0.501884557424026,-0.496207805975,-0.527280196178297,-0.501323821613984,-0.543135570874785,-0.48767578858118,"Aldosterone antagonists","POTASSIUM-SPARING AGENTS","DIURETICS","",""
"217","DB00928",52,"azacitidine",-0.501663527077723,-0.457583923779607,-0.526074030120032,-0.475896526878193,-0.597617780392066,-0.506983638044569,"Pyrimidine analogues","ANTIMETABOLITES","ANTINEOPLASTIC AGENTS","",""
"37","DB00324",53,"fluorometholone",-0.501551438004272,-0.500812689093492,-0.541881163245471,-0.471431451952764,-0.52041118193707,-0.50396824274928,"Corticosteroids, moderately potent, other combinations","CORTICOSTEROIDS, OTHER COMBINATIONS","CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS","",""
"38","DB00324",53,"fluorometholone",-0.501551438004272,-0.500812689093492,-0.541881163245471,-0.471431451952764,-0.52041118193707,-0.50396824274928,"Corticosteroids","AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE","VASOPROTECTIVES","",""
"39","DB00324",53,"fluorometholone",-0.501551438004272,-0.500812689093492,-0.541881163245471,-0.471431451952764,-0.52041118193707,-0.50396824274928,"Corticosteroids, plain","ANTIINFLAMMATORY AGENTS","OPHTHALMOLOGICALS","",""
"40","DB00324",53,"fluorometholone",-0.501551438004272,-0.500812689093492,-0.541881163245471,-0.471431451952764,-0.52041118193707,-0.50396824274928,"Corticosteroids, combinations for treatment of acne","ANTI-ACNE PREPARATIONS FOR TOPICAL USE","ANTI-ACNE PREPARATIONS","",""
"384","DB07931",54,"hexestrol",-0.500319022747513,-0.42458268490259,-0.482760320677005,-0.396647795373983,-0.494921264911524,-0.489357381802922,NA,NA,NA,"",""
"53","DB00343",55,"diltiazem",-0.498793246161155,-0.464116038051847,-0.53887972070654,-0.499949428739258,-0.551225533573815,-0.451466493843886,"Benzothiazepine derivatives","SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS","CALCIUM CHANNEL BLOCKERS","",""
"54","DB00343",55,"diltiazem",-0.498793246161155,-0.464116038051847,-0.53887972070654,-0.499949428739258,-0.551225533573815,-0.451466493843886,"Muscle relaxants","AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE","VASOPROTECTIVES","",""
"250","DB01023",56,"felodipine",-0.493675538263638,-0.458166437993123,-0.496942676945104,-0.4691253808513,-0.487163841642477,-0.478645108244001,"Dihydropyridine derivatives","SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS","CALCIUM CHANNEL BLOCKERS","",""
"251","DB01023",56,"felodipine",-0.493675538263638,-0.458166437993123,-0.496942676945104,-0.4691253808513,-0.487163841642477,-0.478645108244001,"Beta blocking agents and calcium channel blockers","BETA BLOCKING AGENTS, OTHER COMBINATIONS","BETA BLOCKING AGENTS","",""
"252","DB01023",56,"felodipine",-0.493675538263638,-0.458166437993123,-0.496942676945104,-0.4691253808513,-0.487163841642477,-0.478645108244001,"ACE inhibitors and calcium channel blockers","ACE INHIBITORS, COMBINATIONS","AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM","",""
