Platform,Disease,U_count,P_count,I_count
TAHOE,Musculoskeletal|Immune System|Urinary System,10,10,62
TAHOE,Musculoskeletal|Immune System|Visual System|Genetic/Congenital,5,5,55
TAHOE,Musculoskeletal|Respiratory,1,1,61
TAHOE,Musculoskeletal|Urinary System,0,0,34
TAHOE,Nervous System,11,11,125
TAHOE,Nervous System|Cancer/Tumor,4,4,60
TAHOE,Nervous System|Cardiovascular,4,4,64
TAHOE,Nervous System|Genetic/Congenital,0,0,62
TAHOE,Nervous System|Genetic/Congenital|Musculoskeletal,1,1,39
TAHOE,Nervous System|Immune System,14,14,98
TAHOE,Nervous System|Musculoskeletal|Genetic/Congenital,1,1,62
TAHOE,Nervous System|Psychiatric,13,13,94
TAHOE,Nervous System|Psychiatric|Genetic/Congenital,0,0,63
TAHOE,Nervous System|Psychiatric|Infectious Disease,0,0,61
TAHOE,Nervous System|Urinary System|Respiratory|Musculoskeletal|Immune System|Skin/Integumentary,4,4,62
TAHOE,Nervous System|Visual System,3,3,68
TAHOE,Pancreas|Cancer/Tumor|Endocrine System|Gastrointestinal,14,14,59
TAHOE,Pancreas|Endocrine System|Gastrointestinal|Immune System|Metabolic,9,9,67
TAHOE,Pancreas|Endocrine System|Metabolic,19,19,65
TAHOE,Phenotype,12,12,116
TAHOE,Pregnancy/Perinatal|Cardiovascular|Genetic/Congenital,0,0,44
TAHOE,Psychiatric|Endocrine System|Gastrointestinal,0,0,61
TAHOE,Psychiatric|Nervous System,14,14,135
TAHOE,Reproductive/Breast,4,4,60
TAHOE,Reproductive/Breast|Cancer/Tumor,76,74,93
TAHOE,Reproductive/Breast|Cancer/Tumor|Skin/Integumentary,25,24,62
TAHOE,Reproductive/Breast|Genetic/Congenital|Endocrine System,1,1,61
TAHOE,Reproductive/Breast|Skin/Integumentary|Cancer/Tumor,116,112,62
TAHOE,Respiratory,12,12,100
TAHOE,Respiratory|Cancer/Tumor,38,37,62
TAHOE,Respiratory|Genetic/Congenital|Metabolic,1,1,59
TAHOE,Respiratory|Immune System,2,2,59
TAHOE,Respiratory|Infectious Disease,6,6,62
TAHOE,Respiratory|OTAR_0000009,10,10,60
TAHOE,Skin/Integumentary,1,1,53
TAHOE,Skin/Integumentary|Cancer/Tumor,6,6,62
TAHOE,Skin/Integumentary|Immune System,11,11,65
TAHOE,Skin/Integumentary|Immune System|Genetic/Congenital,14,14,67
TAHOE,Urinary System,0,0,34
TAHOE,Urinary System|Cancer/Tumor,23,22,63
TAHOE,Urinary System|Genetic/Congenital|Cancer/Tumor,0,0,60
TAHOE,Urinary System|Immune System|Skin/Integumentary|Nervous System|Musculoskeletal,1,1,60
TAHOE,Urinary System|Musculoskeletal|Nervous System|Immune System,2,2,62
TAHOE,Visual System,5,5,92
