gene_symbol,logfc_dz,mean_logfc,median_logfc,p_val,p_val_adj,pct.1,pct.2,signature_type
RARRES2,-1.11446881130143,-1.11446881130143,-1.11446881130143,5.94128834770739e-12,1.72303303371862e-07,0.233,0.453,DOWN
MICOS10,-0.975813377493111,-0.975813377493111,-0.975813377493111,1.42145360436122e-11,4.12235759800797e-07,0.731,0.849,DOWN
AC084866.1,-0.967020355615235,-0.967020355615235,-0.967020355615235,1.6539385454953297e-11,4.796587175791e-07,0.076,0.293,DOWN
LINC01480,-0.965895194781669,-0.965895194781669,-0.965895194781669,9.200015045804899e-12,2.66809636343388e-07,0.705,0.784,DOWN
C1orf194,-0.866286752096971,-0.866286752096971,-0.866286752096971,2.7073696534106e-11,7.85164273185607e-07,0.855,0.912,DOWN
TMX4,-0.813306868094863,-0.813306868094863,-0.813306868094863,2.7333227310691204e-09,7.92690925237354e-05,0.528,0.679,DOWN
MT-ND4L,-0.812136455437491,-0.812136455437491,-0.812136455437491,8.988758760622821e-09,0.0002606829928168,0.871,0.946,DOWN
DERL3,-0.74247142814415,-0.74247142814415,-0.74247142814415,4.8325848683906e-07,0.0140149793768196,0.116,0.287,DOWN
C2orf88,-0.73907673378199,-0.73907673378199,-0.73907673378199,9.6881960822997e-11,2.80967374582774e-06,0.385,0.532,DOWN
VIM,-0.681570654921846,-0.681570654921846,-0.681570654921846,1.45874736177689e-08,0.0004230513223889,0.861,0.897,DOWN
NDUFA11,-0.681257565089536,-0.681257565089536,-0.681257565089536,4.92459965028785e-08,0.0014281831445799,0.719,0.799,DOWN
PCCA,-0.67654376298181,-0.67654376298181,-0.67654376298181,1.72454807299497e-08,0.0005001361866492,0.307,0.44,DOWN
SULT1A1,-0.63157750645569,-0.63157750645569,-0.63157750645569,3.44652067884644e-07,0.0099952546207225,0.102,0.26,DOWN
FAM181B,-0.578054497262358,-0.578054497262358,-0.578054497262358,9.5636528765391e-08,0.0027735549707251,0.071,0.207,DOWN
EPB41L2,-0.572273402682444,-0.572273402682444,-0.572273402682444,1.43438473177297e-06,0.041598591606148,0.177,0.296,DOWN
CCDC170,-0.563016882548931,-0.563016882548931,-0.563016882548931,7.57053483195203e-07,0.0219553080661441,0.56,0.671,DOWN
SAMD15,-0.539591793772165,-0.539591793772165,-0.539591793772165,5.14395138903603e-07,0.0149179734233434,0.142,0.226,DOWN
LINC02762,-0.434158648115641,-0.434158648115641,-0.434158648115641,1.59165935619254e-06,0.0461597129889398,0.042,0.14,DOWN
CRIP1,-0.393168351146379,-0.393168351146379,-0.393168351146379,2.0153607675514204e-09,5.84474776197587e-05,0.958,0.981,DOWN
MT-ND3,-0.381291201817595,-0.381291201817595,-0.381291201817595,1.7257045031392402e-15,5.0047156295541097e-11,0.942,0.969,DOWN
MT-CYB,-0.35642865106492,-0.35642865106492,-0.35642865106492,1.16726135596745e-10,3.38517465844121e-06,0.905,0.956,DOWN
MT-ND4,-0.334311742475871,-0.334311742475871,-0.334311742475871,2.96168608946962e-18,8.58918582807084e-14,0.915,0.956,DOWN
H3F3A,-0.32352067465973,-0.32352067465973,-0.32352067465973,3.13480720465546e-07,0.0090912543742212,0.923,0.937,DOWN
MT-CO2,-0.313230307226799,-0.313230307226799,-0.313230307226799,2.92153162073399e-10,8.47273385329064e-06,0.938,0.971,DOWN
PDLIM1,-0.287310811064919,-0.287310811064919,-0.287310811064919,1.04883328728139e-06,0.0304172141644477,0.671,0.717,DOWN
NBAS,-0.1868158504429,-0.1868158504429,-0.1868158504429,3.03248726057184e-07,0.0087945163043843,0.143,0.145,DOWN
RCN2,-0.118044311595792,-0.118044311595792,-0.118044311595792,2.8046789276050403e-09,8.13384935794739e-05,0.369,0.352,DOWN
MT-CO1,-0.116111561522336,-0.116111561522336,-0.116111561522336,4.96039608466528e-18,1.43856446851378e-13,0.94,0.967,DOWN
MT-ND1,-0.088452942243415,-0.088452942243415,-0.088452942243415,1.51497072013606e-06,0.0439356658546657,0.875,0.933,DOWN
MS4A8,-0.0535095818190636,-0.0535095818190636,-0.0535095818190636,2.7656308791940902e-09,8.02060611275077e-05,0.64,0.574,DOWN
MT-ATP6,-0.0448235699975168,-0.0448235699975168,-0.0448235699975168,1.6551816249246e-10,4.80019223044382e-06,0.92,0.952,DOWN
TMEM190,-0.0316301871568347,-0.0316301871568347,-0.0316301871568347,7.03016314938509e-09,0.0002038817614953,0.526,0.512,DOWN
