gene_symbol,logfc_dz:581,logfc_dz:893,logfc_dz:882,logfc_dz:274,logfc_dz:895,mean_logfc,median_logfc,common_experiment,organism,signature_type
ATP5F1,-0.0558326579630374,,,,,-0.0558326579630374,-0.0558326579630374,,human,DOWN
LOC728825,,,-0.0554056540131568,,,-0.0554056540131568,-0.0554056540131568,,human,DOWN
BZW2,-0.0548982247710228,,,,,-0.0548982247710228,-0.0548982247710228,,human,DOWN
FAM151A,,,,,-0.0548870638012886,-0.0548870638012886,-0.0548870638012886,-0.0548870638012886,human,DOWN
RPL6,,,,-0.0548084639012813,,-0.0548084639012813,-0.0548084639012813,,human,DOWN
PTMS,,,,-0.054739125072956,,-0.054739125072956,-0.054739125072956,,human,DOWN
TPM2,-0.0544848963618278,,,,,-0.0544848963618278,-0.0544848963618278,,human,DOWN
LOC284600,,-0.0539578311145305,,,,-0.0539578311145305,-0.0539578311145305,,human,DOWN
RPL14,,,,-0.053908634930849,,-0.053908634930849,-0.053908634930849,,human,DOWN
MICA,,,-0.0536960922181606,,,-0.0536960922181606,-0.0536960922181606,,human,DOWN
CSRP1,,,-0.0533913895487785,,,-0.0533913895487785,-0.0533913895487785,,human,DOWN
CTSH,,,,-0.0528758652508258,,-0.0528758652508258,-0.0528758652508258,,human,DOWN
RPL18,,,,-0.052840132266283,,-0.052840132266283,-0.052840132266283,,human,DOWN
SHBG,,,,,-0.0517537109553813,-0.0517537109553813,-0.0517537109553813,-0.0517537109553813,human,DOWN
SH3BGRL,,,-0.051260907202959,,,-0.051260907202959,-0.051260907202959,,human,DOWN
ACTR3,,,-0.0512308329343795,,,-0.0512308329343795,-0.0512308329343795,,human,DOWN
MT2A,-0.0509353280067443,,,,,-0.0509353280067443,-0.0509353280067443,,human,DOWN
FOSB,,,-0.083142913877964,-0.0185263808816671,,-0.0508346473798155,-0.0508346473798155,,human,DOWN
MUSTN1,,,-0.0505679436028003,,,-0.0505679436028003,-0.0505679436028003,,human,DOWN
MKNK2,-0.0602967329323291,,-0.0390706770122051,,,-0.0496837049722671,-0.0496837049722671,,human,DOWN
RPL36AL,,,-0.0232178829610347,-0.0758296400308609,,-0.0495237614959478,-0.0495237614959478,,human,DOWN
RARRES2,,,,-0.0492886304855346,,-0.0492886304855346,-0.0492886304855346,,human,DOWN
TUBA1A,,,-0.0718535259366035,-0.0256851539015769,,-0.0487693399190902,-0.0487693399190902,,human,DOWN
FUS,,,,-0.0487223863601684,,-0.0487223863601684,-0.0487223863601684,,human,DOWN
GSTT1,-0.0764104723930358,-0.020457724109292,,,,-0.0484340982511639,-0.0484340982511639,,human,DOWN
SLCO1A2,,,,,-0.048146802932024,-0.048146802932024,-0.048146802932024,-0.048146802932024,human,DOWN
RERGL,,,-0.0473911426961422,,,-0.0473911426961422,-0.0473911426961422,,human,DOWN
LOC100506032,,,,-0.0471293590962886,,-0.0471293590962886,-0.0471293590962886,,human,DOWN
FOS,,,-0.0468090660870075,,,-0.0468090660870075,-0.0468090660870075,,human,DOWN
RPL37A,,,,-0.0462908968329429,,-0.0462908968329429,-0.0462908968329429,,human,DOWN
ADAMTS1,,,-0.046219628304243,,,-0.046219628304243,-0.046219628304243,,human,DOWN
EFHD1,,,-0.0461460389196872,,,-0.0461460389196872,-0.0461460389196872,,human,DOWN
JUN,,,-0.0460226908326149,,,-0.0460226908326149,-0.0460226908326149,,human,DOWN
CSDE1,,,-0.0459489673376083,,,-0.0459489673376083,-0.0459489673376083,,human,DOWN
KLF10,-0.0648412629961967,,,-0.0263302288949489,,-0.0455857459455728,-0.0455857459455728,,human,DOWN
TIMP1,,,,-0.0452756024897098,,-0.0452756024897098,-0.0452756024897098,,human,DOWN
IL24,,-0.0449507609009742,,,,-0.0449507609009742,-0.0449507609009742,,human,DOWN
GPD1L,-0.0449471436440944,,,,,-0.0449471436440944,-0.0449471436440944,,human,DOWN
