gene_symbol,logfc_dz:326,logfc_dz:117,logfc_dz:950,logfc_dz:951,logfc_dz:949,logfc_dz:948,mean_logfc,median_logfc,common_experiment,organism,signature_type
LOC643733,,,-0.0287437979131937,,,,-0.0287437979131937,-0.0287437979131937,-0.0287437979131937,human,DOWN
CHRDL1,,-0.0286702550947666,,,,,-0.0286702550947666,-0.0286702550947666,,human,DOWN
RPS6,-0.0286140888929367,,,,,,-0.0286140888929367,-0.0286140888929367,,human,DOWN
AGO3,,,,-0.0258067082613706,-0.0314141176640987,,-0.0286104129627347,-0.0286104129627347,,human,DOWN
GABARAPL3,,-0.0285504460334777,,,,,-0.0285504460334777,-0.0285504460334777,,human,DOWN
HOMEZ,,,,,-0.0327770039439201,-0.0243152938783168,-0.0285461489111185,-0.0285461489111185,,human,DOWN
FBL,-0.0284698624163866,,,,,,-0.0284698624163866,-0.0284698624163866,,human,DOWN
RPL11,-0.0284319631755352,,,,,,-0.0284319631755352,-0.0284319631755352,,human,DOWN
MTL5,,,-0.0341740362346172,,,-0.0225886348634958,-0.0283813355490565,-0.0283813355490565,-0.0341740362346172,human,DOWN
HECTD2,,,-0.0283729899674654,,,,-0.0283729899674654,-0.0283729899674654,-0.0283729899674654,human,DOWN
ZNF181,,,-0.0283229798078537,,,,-0.0283229798078537,-0.0283229798078537,-0.0283229798078537,human,DOWN
RFTN1,,-0.0282888896763324,,,,,-0.0282888896763324,-0.0282888896763324,,human,DOWN
ATP8A1,,,-0.0408803448081016,-0.0155996680259704,,,-0.028240006417036,-0.028240006417036,-0.0408803448081016,human,DOWN
AMICA1,,,,-0.0282377339899539,,,-0.0282377339899539,-0.0282377339899539,,human,DOWN
MND1,,,-0.0282274801284074,,,,-0.0282274801284074,-0.0282274801284074,-0.0282274801284074,human,DOWN
SERINC5,-0.0281657855957746,,,,,,-0.0281657855957746,-0.0281657855957746,,human,DOWN
DDX58,,,,-0.0142687801271677,-0.048390656709671,-0.0217966735363006,-0.0281520367910464,-0.0217966735363006,,human,DOWN
COL7A1,,,,,,-0.028141476213932,-0.028141476213932,-0.028141476213932,,human,DOWN
CST3,,-0.0368566885590553,,-0.0193888563662767,,,-0.028122772462666,-0.028122772462666,,human,DOWN
LGALS2,,,0.0310676414519548,-0.0319591835141181,-0.0487318150699138,-0.0628426745533943,-0.0281165079213678,-0.040345499292016,0.0310676414519548,human,DOWN
TM4SF19,,,,-0.0279839299619197,,,-0.0279839299619197,-0.0279839299619197,,human,DOWN
