gene_symbol,logfc_dz:774,logfc_dz:775,logfc_dz:776,logfc_dz:777,logfc_dz:808,logfc_dz:778,logfc_dz:613,mean_logfc,median_logfc,common_experiment,organism,signature_type
HNRNPA1P10,0.0568231455981731,0.0496161542832851,-0.018279755488038,,0.0376644693315029,0.0440808422863483,0.0197732746601104,0.0316130217785636,0.0408726558089256,-0.018279755488038,human,UP
RPL26,,,,,0.0314908027648925,,,0.0314908027648925,0.0314908027648925,,human,UP
KPNA2,0.0284185204654932,0.0405085794627666,,0.0216322168707847,,0.0352671518921852,,0.0314566171728074,0.0318428361788392,,human,UP
MMP9,0.0167976841330528,,0.0254375971853733,0.0245614740997552,0.0539820156991481,-0.0152517482638359,0.0828759521245956,0.0314004958296815,0.0249995356425642,0.0254375971853733,human,UP
RPS26,0.0167220644652843,0.0383444540202617,0.0290074795484542,-0.0265332926064729,0.0808391794562339,0.0321947783231735,0.0475647151470184,0.031162768336279,0.0321947783231735,0.0290074795484542,human,UP
IFITM3,0.0217730216681957,0.0313215851783752,0.0372812785208225,0.0549489855766296,,0.0642902851104736,-0.0250873547047376,0.0307546335582931,0.0343014318495988,0.0372812785208225,human,UP
SCPEP1,,,,,0.0305127408355474,,,0.0305127408355474,0.0305127408355474,,human,UP
EPCAM,0.0587289817631244,0.0603979006409645,0.0334909930825233,-0.0332168936729431,0.0479216463863849,0.0297006238251924,0.0163623690605163,0.0304836601551089,0.0334909930825233,0.0334909930825233,human,UP
MXRA7,,,,,0.0304392054677009,,,0.0304392054677009,0.0304392054677009,,human,UP
PTTG1,0.0371392257511615,0.0391490459442138,0.0141304619610309,,0.0147987557575106,0.0559893324971199,0.0205054599791765,0.0302853803150355,0.028822342865169,0.0141304619610309,human,UP
SRP9,0.0423029065132141,0.0447338111698627,,0.0145106138661503,0.0156552288681268,0.0447891354560852,0.0195490512996912,0.0302567911955217,0.0309259789064526,,human,UP
RAI14,0.0488711409270763,,0.0269350390881299,0.0328846909105777,0.0122760673984885,,,0.0302417345810681,0.0299098649993538,0.0269350390881299,human,UP
CCT3,0.0264683365821838,0.0339829362928867,,,,,,0.0302256364375352,0.0302256364375352,,human,UP
LOC728825,0.034067079424858,0.0413853600621223,,0.0491959042847156,0.0194618888199329,0.0233471449464559,0.013403776101768,0.0301435256066421,0.028707112185657,,human,UP
NME1,0.0381469801068306,0.0422218106687068,0.0279505606740713,0.0164414960891008,0.021582530811429,0.0508701689541339,0.0135185550898313,0.0301045860563005,0.0279505606740713,0.0279505606740713,human,UP
MRFAP1,0.0213814675807952,0.0220070574432611,,0.0544763766229152,,0.0223641898483037,,0.0300572728738188,0.0221856236457824,,human,UP
ALDH2,,,,,0.0402327477931976,,0.019813846796751,0.0300232972949743,0.0300232972949743,,human,UP
UBE2E3,0.0238123815506696,,0.041619025170803,,,0.024433022364974,,0.0299548096954822,0.024433022364974,0.041619025170803,human,UP
FABP5,,,,,0.0220459140837192,0.0378168746829032,,0.0299313943833112,0.0299313943833112,,human,UP
LOC100510044,,,0.0121251810342073,0.0281975362449884,0.0581085681915283,-0.0125431129708886,0.0621162801980972,0.0296008905395865,0.0281975362449884,0.0121251810342073,human,UP
UQCR10,,,,,0.0294988043606281,,,0.0294988043606281,0.0294988043606281,,human,UP
NUP107,0.0492949858307838,0.0243022479116916,,,,0.0143814012408256,,0.0293262116611003,0.0243022479116916,,human,UP
TMEM14A,0.0418026261031627,0.0213388204574584,0.029614957049489,,0.0159008484333753,0.0377231463789939,,0.0292760796844959,0.029614957049489,0.029614957049489,human,UP
UQCRH,0.0368776023387908,0.0308326445519924,0.0232169106602668,0.0178827866911888,0.0387237034738063,0.0340503267943859,0.0230518896132707,0.0292336948748145,0.0308326445519924,0.0232169106602668,human,UP
NACA,0.0379834659397602,0.0387695841491222,,,0.0162996053695678,0.0234407074749469,,0.0291233407333493,0.0307120867073535,,human,UP
NME1-NME2,0.0228837095201015,0.0174484103918075,0.0220072530210018,,0.0636965408921241,0.0317584499716758,0.014824547804892,0.0287698186002671,0.0224454812705516,0.0220072530210018,human,UP
