gene_symbol,logfc_dz:827,logfc_dz:753,logfc_dz:635,logfc_dz:828,logfc_dz:829,logfc_dz:830,logfc_dz:634,logfc_dz:467,logfc_dz:318,logfc_dz:712,logfc_dz:713,logfc_dz:714,logfc_dz:715,logfc_dz:565,logfc_dz:567,logfc_dz:568,logfc_dz:729,logfc_dz:566,mean_logfc,median_logfc,common_experiment,organism,signature_type
KLRK1,,,,,,,,,,,,-0.0153875090181827,-0.0461411774158477,0.0245279110968112,0.0268625132739543,,0.0257626269012689,0.0590808540582656,0.0124508698160449,0.0251452689990401,,human,UP
HNRNPA3,,,,,,,,,0.0258008688688278,,-0.0155056146904826,,,,,0.0268000029027462,,,0.0123650856936971,0.0258008688688278,,human,UP
CD8A,,,,,,,,,,0.0192493945360183,,0.0257495138794183,-0.0379775315523147,,,,0.0201305542141199,0.0335988625884056,0.0121501587331295,0.0201305542141199,,human,UP
PTPRCAP,,,,,,,,,,,,,-0.02576126717031,0.0209988132119178,,,,0.0379301756620407,0.0110559072345495,0.0209988132119178,,human,UP
EMR4P,,,,,,,,,,,,,,0.0282003842294216,,0.0267750471830368,,-0.0222875792533159,0.0108959507197141,0.0267750471830368,,human,UP
TSPAN13,,0.0209426283836364,,,,,,,0.0241454653441905,,,,,,,,-0.0126721579581499,,0.0108053119232257,0.0209426283836364,,human,UP
DMTN,,,,,,,,,,,,,,,0.0235143117606639,-0.0310182888060808,,0.0391888171434402,0.0105616133660078,0.0235143117606639,,human,UP
TRMT112,,,,,,-0.0053820889443159,,,,0.0220769476145505,,,,0.0292856395244598,-0.0338526144623756,0.0300136152654886,,,0.0084282997995615,0.0220769476145505,,human,UP
HES7,0.0326098166406154,,-0.0258016884326934,0.0342479161918163,-0.0420737713575363,-0.0135077815502882,0.038310881704092,0.0312058869749307,,,,,,,,,,,0.0078558943101337,0.0312058869749307,0.0326098166406154,human,UP
RPS18,0.0236843451857566,-0.1339874863624572,0.0348518677055835,0.0276731699705123,0.0466224588453769,-0.0179046504199504,0.0443507991731166,0.0301263257861137,-0.0415910333395004,,,0.0431999713182449,0.0240793917328119,,,,0.0127546973526477,,0.007821654745688,0.0258762808516621,0.0236843451857566,human,UP
GZMB,,,,,,,,,,,,,-0.0634882599115371,0.0372437834739685,0.0204196907579898,,0.0159033667296171,0.0286251921206712,0.0077407546341419,0.0204196907579898,,human,UP
FKBP8,,,,,,,,,,,,,,,0.0313927382230758,-0.0541538745164871,,0.0451075881719589,0.0074488172928492,0.0313927382230758,,human,UP
RNASE2,,,,,,,,,,,,0.0497233234345912,0.0215274337679147,0.0945849195122718,-0.0434379689395427,0.0236017499119043,-0.0209557246416807,-0.0884247794747352,0.0052312790815319,0.0215274337679147,,human,UP
IFIT1,,0.0374339073896408,,,,,,,,,,,,0.027546165511012,-0.0423417165875434,0.0245823096483945,,-0.0259562879800796,0.0042528755962848,0.0245823096483945,,human,UP
FCN1,,,,,,,,,,,,,,,0.0278519857674837,,-0.0448716320097446,0.0208421256393194,0.0012741597990194,0.0208421256393194,,human,UP
SCGB1A1,-0.0979646295309066,-0.2705121636390686,-0.5389504432678223,-0.4156615138053894,-0.5258027911186218,-0.5876432061195374,0.046430941671133,-0.491742193698883,-0.0932955220341682,,,,,,,,,,-0.3305712801714738,-0.4156615138053894,-0.0979646295309066,human,DOWN
SCGB3A1,-0.2883735299110412,,-0.2734134495258331,-0.34959676861763,-0.3146757185459137,-0.3042571544647217,-0.0180944427847862,-0.276228666305542,-0.1287952810525894,,,,,,,,,,-0.2441793764010071,-0.2823010981082916,-0.2883735299110412,human,DOWN
LOC389607,-0.429328590631485,,-0.0887882336974144,-0.1805380135774612,-0.0747565403580665,,-0.327210783958435,-0.1767916232347488,,,,,,,,,,,-0.2129022975762685,-0.178664818406105,-0.429328590631485,human,DOWN
HBA1,-0.1272094994783401,,-0.3436655104160309,-0.2004851400852203,-0.2560344934463501,-0.0701609328389167,0.0159488748759031,-0.1666358858346939,,,,,,,,,,,-0.1640346553176641,-0.1666358858346939,-0.1272094994783401,human,DOWN
ANKK1,-0.2179879546165466,,-0.1999973356723785,-0.0730870589613914,-0.2642343938350677,-0.0314504541456699,-0.2168156951665878,-0.0818405225872993,,,,,,,,,,,-0.155059059283563,-0.1999973356723785,-0.2179879546165466,human,DOWN
OPHN1,,0.0549871958792209,,,,,,,,,-0.2997936904430389,,,,,,,,-0.1224032472819089,-0.1224032472819089,,human,DOWN
FABP4,,-0.1190979033708572,,,,,,,,,,,,,,,,,-0.1190979033708572,-0.1190979033708572,,human,DOWN
OPN1SW,,,-0.0632011219859123,,-0.1073696166276931,-0.1573434174060821,,-0.1452088505029678,,,,,,,,,,,-0.1182807516306638,-0.1262892335653305,,human,DOWN
TMSB4XP8,,-0.179621621966362,,,,,,,-0.049808919429779,-0.1345551908016204,-0.181952878832817,-0.0960318595170974,-0.0698094218969345,,,,-0.0645166933536529,,-0.1108995122568947,-0.0960318595170974,,human,DOWN
C9orf24,-0.1457621306180954,,-0.1402893513441085,-0.1560203731060028,-0.1046549677848815,-0.0229655522853136,-0.1347911357879638,-0.1166072189807891,-0.0358473435044288,,,,,,,,,,-0.1071172591764479,-0.1256991773843765,-0.1457621306180954,human,DOWN
C20orf85,-0.098432570695877,,-0.1625462770462036,-0.0213679298758506,-0.1368526518344879,-0.0399108603596687,-0.1424604058265686,,,,,,,,,,,,-0.1002617826064427,-0.1176426112651825,-0.098432570695877,human,DOWN
IGHA2,,,,,,,,,,-0.0106724109500646,,-0.0666682496666908,-0.1694345921278,,,,-0.1157566979527473,,-0.0906329876743257,-0.091212473809719,,human,DOWN
