gene_symbol,logfc_dz:769,logfc_dz:768,logfc_dz:548,logfc_dz:853,logfc_dz:855,logfc_dz:891,logfc_dz:892,logfc_dz:854,logfc_dz:543,logfc_dz:767,logfc_dz:542,logfc_dz:465,logfc_dz:852,logfc_dz:547,logfc_dz:549,logfc_dz:545,mean_logfc,median_logfc,common_experiment,organism,signature_type
PALLD,,,,,,,,,,,,,,,,0.0212448872625827,0.0212448872625827,0.0212448872625827,,human,UP
SHISA2,,,,,,,,,,,,,,0.0212363619357347,,,0.0212363619357347,0.0212363619357347,,human,UP
HENMT1,,,,,,,,,,,,,,,,0.0212273951619863,0.0212273951619863,0.0212273951619863,,human,UP
CCDC113,,,,,,,,,0.0212116558104753,,,,,,,,0.0212116558104753,0.0212116558104753,,human,UP
PRRT1,,,,,,,,0.0212110411375761,,,,,,,,,0.0212110411375761,0.0212110411375761,,human,UP
RPS17,,,,,0.0333572104573249,-0.0152738038450479,0.0263295248150825,,,,,0.0251492951065301,,,0.0364273935556411,,0.0211979240179061,0.0263295248150825,,human,UP
ADCY3,,,,,,,,,,,,,,,,0.0211765132844448,0.0211765132844448,0.0211765132844448,,human,UP
ALG9,0.0211539696902036,,,,,,,,,,,,,,,,0.0211539696902036,0.0211539696902036,0.0211539696902036,human,UP
ADAM8,,,,,,,,,,,,,,0.0211530830711126,,,0.0211530830711126,0.0211530830711126,,human,UP
PRR15,,,,,,,,,,,,,,0.0211479291319847,,,0.0211479291319847,0.0211479291319847,,human,UP
CHMP2A,,,,,,,,,,,,,,,,0.0211318340152502,0.0211318340152502,0.0211318340152502,,human,UP
CDC16,,0.0211299266666173,,,,,,,,,,,,,,,0.0211299266666173,0.0211299266666173,,human,UP
ARHGAP15,,,,,,,,,,,,,,,0.0211276337504386,,0.0211276337504386,0.0211276337504386,,human,UP
RTKN,,,,,,,,,,,,,,,,0.0211176648736,0.0211176648736,0.0211176648736,,human,UP
C9orf91,0.020228648558259,,,,,,,,,,0.0219994559884071,,,,,,0.021114052273333,0.021114052273333,0.020228648558259,human,UP
DOPEY1,,,,,,,,,,,,,,,,0.0211081616580486,0.0211081616580486,0.0211081616580486,,human,UP
DYNLL1,,,,0.0490124002099037,,,,,,,,0.0344872213900089,0.0537820756435394,,-0.052871961146593,,0.0211024340242147,0.0417498107999563,,human,UP
GORASP2,,0.0211016722023487,,,,,,,,,,,,,,,0.0211016722023487,0.0211016722023487,,human,UP
RPL3,,0.028219748288393,,,0.031752485781908,0.0187796913087368,0.0276540536433458,0.064830757677555,,,0.0170312579721212,,0.0325626954436302,,-0.0520352236926555,,0.0210994333028793,0.0279369009658694,,human,UP
STMND1,,,,,,,,,,,,,,0.021096022799611,,,0.021096022799611,0.021096022799611,,human,UP
CD36,,,,,,,,,,,,,,0.0210926085710525,,,0.0210926085710525,0.0210926085710525,,human,UP
UBXN10-AS1,,0.0234164595603942,,,,,,,0.0187290962785482,,,,,,,,0.0210727779194712,0.0210727779194712,,human,UP
LINC01116,,,,,,,,,,,,,,,,0.0210621189326047,0.0210621189326047,0.0210621189326047,,human,UP
DSCC1,,,,,,,,,,,,,,,,0.0210372954607009,0.0210372954607009,0.0210372954607009,,human,UP
ZNF34,,,,,,,,,0.0210330374538898,,,,,,,,0.0210330374538898,0.0210330374538898,,human,UP
NAT6,,,,,,,,,0.0210188180208206,,,,,,,,0.0210188180208206,0.0210188180208206,,human,UP
ACRV1,,,,,,,,,,,,,,0.0210146456956863,,,0.0210146456956863,0.0210146456956863,,human,UP
SNORD116-21,,,,,,0.0225636437535285,0.0194131135940551,,,,,,,,,,0.0209883786737918,0.0209883786737918,,human,UP
