gene_symbol,logfc_dz:769,logfc_dz:768,logfc_dz:548,logfc_dz:853,logfc_dz:855,logfc_dz:891,logfc_dz:892,logfc_dz:854,logfc_dz:543,logfc_dz:767,logfc_dz:542,logfc_dz:465,logfc_dz:852,logfc_dz:547,logfc_dz:549,logfc_dz:545,mean_logfc,median_logfc,common_experiment,organism,signature_type
HGF,,,,,,,,,,,,,,-0.0387651287019252,,,-0.0387651287019252,-0.0387651287019252,,human,DOWN
PMP22,,,,,,,,,,,,-0.0500331558287143,,-0.0270435661077499,,,-0.0385383609682321,-0.0385383609682321,,human,DOWN
FZD7,,,,,,,-0.0385062173008918,,,,,,,,,,-0.0385062173008918,-0.0385062173008918,,human,DOWN
KCNB1,,,,,,,,,,,,,,,,-0.0383467935025692,-0.0383467935025692,-0.0383467935025692,,human,DOWN
CRYAB,,0.0207070838660001,,0.0307751838117837,-0.1402401179075241,-0.0135075533762574,,-0.0741740986704826,,,,-0.0605846047401428,-0.0312479007989168,,,,-0.0383245725450771,-0.0312479007989168,,human,DOWN
DNAJB5,,,,,,,,,,,,,,,,-0.0382449105381965,-0.0382449105381965,-0.0382449105381965,,human,DOWN
SLITRK3,-0.0372427999973297,,,,,,,,,,-0.0392109788954257,,,,,,-0.0382268894463777,-0.0382268894463777,-0.0372427999973297,human,DOWN
ENTPD3,,,,,,,,,,,,,,-0.0381366088986396,,,-0.0381366088986396,-0.0381366088986396,,human,DOWN
NSF,,,,,,,,,,,,-0.0381186082959175,,,,,-0.0381186082959175,-0.0381186082959175,,human,DOWN
GOLM1,,,,,,-0.0422307550907135,-0.033498577773571,,,,,,,,,,-0.0378646664321422,-0.0378646664321422,,human,DOWN
CD9,,,,,-0.0570914074778556,,-0.01828751899302,,,,,,,,,,-0.0376894632354378,-0.0376894632354378,,human,DOWN
PLAC8,,,-0.0565158016979694,,,,,,,,,,,,-0.0188016984611749,,-0.0376587500795722,-0.0376587500795722,,human,DOWN
LAIR2,,,-0.0400251224637031,,,,,,,,,,,,-0.035218883305788,,-0.0376220028847456,-0.0376220028847456,,human,DOWN
YARS2,-0.0375512167811393,,,,,,,,,,,,,,,,-0.0375512167811393,-0.0375512167811393,-0.0375512167811393,human,DOWN
SYNGR1,,,,,,,,,,,,-0.0374914221465587,,,,,-0.0374914221465587,-0.0374914221465587,,human,DOWN
ASTN2,-0.0373345464468002,,,,,,,,,,,,,,,,-0.0373345464468002,-0.0373345464468002,-0.0373345464468002,human,DOWN
ZNF112,-0.050915639847517,,,,,,,,-0.0236720126122236,,,,,,,,-0.0372938262298703,-0.0372938262298703,-0.050915639847517,human,DOWN
CMKLR1,,,,,,,,,,,,,,-0.0372740291059017,,,-0.0372740291059017,-0.0372740291059017,,human,DOWN
