gene_symbol,logfc_dz:924,logfc_dz:594,logfc_dz:590,logfc_dz:593,logfc_dz:586,logfc_dz:762,logfc_dz:454,logfc_dz:710,logfc_dz:249,logfc_dz:760,logfc_dz:810,logfc_dz:188,logfc_dz:923,logfc_dz:759,logfc_dz:589,logfc_dz:587,logfc_dz:585,logfc_dz:591,logfc_dz:588,logfc_dz:993,logfc_dz:264,mean_logfc,median_logfc,common_experiment,organism,signature_type
CDX1,,,,-0.0326596684753894,-0.0232377685606479,,-0.0165736563503742,-0.0225635915994644,,,,,-0.0120002543553709,,,,-0.0302453506737947,,-0.0309325009584426,,,-0.0240303987104977,-0.0232377685606479,-0.0326596684753894,human,DOWN
CHKB,,,,,,,,,,,,,,,,,,,-0.023994643241167,,,-0.023994643241167,-0.023994643241167,,human,DOWN
KRT20,0.0675591677427291,-0.1223046705126762,-0.0732277631759643,0.0348659940063953,,,-0.0198832880705595,0.1797865480184555,-0.0822998955845832,-0.059100791811943,-0.0364345721900463,,-0.0169808436185121,-0.0947104021906852,-0.0330772288143634,,-0.0302232224494218,-0.0497180670499801,,,,-0.0239820739786539,-0.0347559005022048,0.0348659940063953,human,DOWN
CXADR,,,,,,,,,-0.0395633541047573,-0.0292756743729114,,,,-0.0506021231412887,,,,,,-9.61195255513303e-05,-9.61195255513303e-05,-0.023926678134012,-0.0292756743729114,,human,DOWN
ZNF248,,,-0.0239264462143182,,,,,,,,,,,,,,,,,,,-0.0239264462143182,-0.0239264462143182,,human,DOWN
PALLD,,,,,,,,,,,,,,-0.0238888282328844,,,,,,,,-0.0238888282328844,-0.0238888282328844,,human,DOWN
RBMXL2,,,,,,,,,,,,,,,,-0.0238303672522306,,,,,,-0.0238303672522306,-0.0238303672522306,,human,DOWN
MYH11,,,-0.0230535548180341,,,,,,,,,,,,-0.0230247415602207,,,-0.0306845270097255,-0.0184233225882053,,,-0.0237965364940464,-0.0230391481891274,,human,DOWN
SERTAD2,,,,,,-0.0237551536411046,,,,,,-0.0237551536411046,,,,,,,,,,-0.0237551536411046,-0.0237551536411046,,human,DOWN
GZMB,,,,,,-0.0237000249326229,,,,,,-0.0237000249326229,,,,,,,,,,-0.0237000249326229,-0.0237000249326229,,human,DOWN
LAMTOR5,,,,,,-0.0236836858093738,,,,,,-0.0236836858093738,,,,,,,,,,-0.0236836858093738,-0.0236836858093738,,human,DOWN
HOXA10,,,,,,,,,,,,,,,,,,,-0.0236001424491405,,,-0.0236001424491405,-0.0236001424491405,,human,DOWN
PLCB3,,,-0.0223243162035942,,,,,,,,,,,,-0.0196642205119133,,,,-0.0287373028695583,,,-0.0235752798616886,-0.0223243162035942,,human,DOWN
CELA2A,,,,-0.0212644431740045,,,,,,,,,,,-0.0235750880092382,,,-0.0222893822938203,-0.0268923509865999,,,-0.0235053161159157,-0.0229322351515293,-0.0212644431740045,human,DOWN
LY6E,,,,,,,,,-0.0310891307890415,-0.0134966326877474,,,,-0.0258600320667028,,,,,,,,-0.0234819318478306,-0.0258600320667028,,human,DOWN
MDH1,,,,,,,,,,-0.0186365060508251,,,,-0.0283096581697464,,,,,,,,-0.0234730821102857,-0.0234730821102857,,human,DOWN
PRODH,,,,-0.0234702881425619,,,,,,,,,,,,,,,,,,-0.0234702881425619,-0.0234702881425619,-0.0234702881425619,human,DOWN
EIF1AX,,,,,,,,,-0.0227694511413574,,,,,-0.0241214260458946,,,,,,,,-0.023445438593626,-0.023445438593626,,human,DOWN
NAA60,,,,,,,,,,,,,,,,,,,-0.023398483172059,,,-0.023398483172059,-0.023398483172059,,human,DOWN
RNF186,,,,-0.0809186995029449,-0.0314619168639183,,,,,,-0.0116521287709474,,,,-0.0548680759966373,0.0374810583889484,0.0209772791713476,,-0.0424566678702831,,,-0.023271307349205,-0.0314619168639183,-0.0809186995029449,human,DOWN
SLC35A3,-0.0097573287785053,,,-0.0343536883592605,,,-0.0095148840919137,,-0.0355628654360771,-0.0250944476574659,,,-0.0073777008801698,-0.0439566671848297,,,,,-0.0203844904899597,,,-0.0232502591097727,-0.0227394690737128,-0.0343536883592605,human,DOWN
HOXA5,,,,,,,,,,,,,,,-0.0216382220387458,-0.0284286737442016,-0.019625786691904,,,,,-0.0232308941582838,-0.0216382220387458,,human,DOWN
MT1E,0.0849070698022842,0.1294818967580795,-0.0247634556144475,-0.0589649975299835,,,-0.0997959524393081,-0.115006037056446,-0.0603576526045799,-0.0947965458035469,0.0295897498726844,,-0.071122869849205,0.0198384169489145,,,,,-0.0176102053374052,,,-0.0232167152377466,-0.0418642265722155,-0.0589649975299835,human,DOWN
