gene_symbol,logfc_dz:305,logfc_dz:904,logfc_dz:110,logfc_dz:779,mean_logfc,median_logfc,common_experiment,organism,signature_type
SERPINA1,,,0.016919869929552,0.0411569625139236,0.0290384162217378,0.0290384162217378,,human,UP
ATP13A3,,,,0.0286427326500415,0.0286427326500415,0.0286427326500415,,human,UP
MAPK6,,,,0.0286399275064468,0.0286399275064468,0.0286399275064468,,human,UP
BASP1,,0.0413318462669849,,0.0143658407032489,0.0278488434851169,0.0278488434851169,,human,UP
ISG15,,0.0277138743549585,,,0.0277138743549585,0.0277138743549585,,human,UP
RTN4,,,,0.0277001969516277,0.0277001969516277,0.0277001969516277,,human,UP
ALOX5AP,,0.0276187416166067,,,0.0276187416166067,0.0276187416166067,,human,UP
TNFSF14,,,,0.0274580605328083,0.0274580605328083,0.0274580605328083,,human,UP
GCLC,,,,0.0274058356881141,0.0274058356881141,0.0274058356881141,,human,UP
TMA7,,0.0272340290248394,,,0.0272340290248394,0.0272340290248394,,human,UP
CFLAR,,0.0272313188761472,,,0.0272313188761472,0.0272313188761472,,human,UP
PSMC1,,,,0.0272022206336259,0.0272022206336259,0.0272022206336259,,human,UP
INSIG1,,,,0.0267983824014663,0.0267983824014663,0.0267983824014663,,human,UP
VOPP1,,,0.0266111269593238,,0.0266111269593238,0.0266111269593238,,human,UP
PTTG1IP,,,0.026441641151905,,0.026441641151905,0.026441641151905,,human,UP
PNP,,,,0.0264262240380048,0.0264262240380048,0.0264262240380048,,human,UP
SERPINB2,,,,0.0263177249580621,0.0263177249580621,0.0263177249580621,,human,UP
NPC1,,,,0.0261162426322698,0.0261162426322698,0.0261162426322698,,human,UP
SLC2A3,,0.0611522942781448,-0.034616220742464,0.0514458566904068,0.0259939767420291,0.0514458566904068,,human,UP
EMP1,,,,0.0257595684379339,0.0257595684379339,0.0257595684379339,,human,UP
RPL6,,,,0.0257473886013031,0.0257473886013031,0.0257473886013031,,human,UP
RPS3,,,,0.0257397349923849,0.0257397349923849,0.0257397349923849,,human,UP
EGR2,,,,0.0255959685891866,0.0255959685891866,0.0255959685891866,,human,UP
CYBA,,0.0330164432525634,0.0717691332101821,-0.0281595550477504,0.0255420071383317,0.0330164432525634,,human,UP
UBC,,0.0440816357731819,-0.0161887817084789,0.0483739525079727,0.0254222688575585,0.0440816357731819,,human,UP
MKRN1,,0.0254108421504497,,,0.0254108421504497,0.0254108421504497,,human,UP
FCGR1A,,,0.0253072176128625,0.0254240278154611,0.0253656227141618,0.0253656227141618,,human,UP
CD55,,,,0.025335244834423,0.025335244834423,0.025335244834423,,human,UP
CHI3L2,,,0.0251768417656421,,0.0251768417656421,0.0251768417656421,,human,UP
COX7A2,,0.0233628898859024,,0.0268829390406608,0.0251229144632816,0.0251229144632816,,human,UP
TIPARP,,,,0.0250300671905279,0.0250300671905279,0.0250300671905279,,human,UP
RPL37A,,,-0.0239545237272977,0.0739442855119705,0.0249948808923363,0.0249948808923363,,human,UP
MAFF,,,-0.0406452566385269,0.0901223644614219,0.0247385539114475,0.0247385539114475,,human,UP
CXCR4,,,0.0291306171566247,0.0202776081860065,0.0247041126713156,0.0247041126713156,,human,UP
