gene_symbol,logfc_dz:754,logfc_dz:837,logfc_dz:836,logfc_dz:982,logfc_dz:813,logfc_dz:690,logfc_dz:697,mean_logfc,median_logfc,common_experiment,organism,signature_type
RPL4,0.0739156380295753,,-0.0162913892418146,0.0203551743179559,,,,0.0259931410352389,0.0203551743179559,,human,UP
ANXA5,,,0.0258337650448083,,,,,0.0258337650448083,0.0258337650448083,,human,UP
VDAC2,,,,0.0254537221044302,,,,0.0254537221044302,0.0254537221044302,,human,UP
RPL3,0.048158973455429,,0.0148642295971512,0.0519106723368167,-0.0136267440393567,,,0.0253267828375101,0.0315116015262901,-0.0136267440393567,human,UP
CMTM6,,,0.0253143645823001,,,,,0.0253143645823001,0.0253143645823001,,human,UP
LPAR6,,,0.0252446271479129,,,,,0.0252446271479129,0.0252446271479129,,human,UP
ADD3,,,0.025147657841444,,,,,0.025147657841444,0.025147657841444,,human,UP
AQP3,,,0.0357093773782253,0.0163817107677459,,0.0231530517339706,,0.0250813799599806,0.0231530517339706,,human,UP
SUSD5,,0.0247539076954126,,,,,,0.0247539076954126,0.0247539076954126,,human,UP
TM7SF3,,0.0247485060244798,,,,,,0.0247485060244798,0.0247485060244798,,human,UP
SLC7A7,,,,,,,0.0247362647205591,0.0247362647205591,0.0247362647205591,,human,UP
CISD1,,,,,0.0247144419699907,,,0.0247144419699907,0.0247144419699907,0.0247144419699907,human,UP
HLA-G,,,0.0399074107408523,,,0.0094641949981451,,0.0246858028694987,0.0246858028694987,,human,UP
RPL6,0.0519091226160526,,,0.0440247915685176,0.0222560800611972,-0.019950583577156,,0.0245598526671528,0.0331404358148574,0.0222560800611972,human,UP
CDSN,,0.0334488451480865,0.0191923845559358,,,0.0209455266594886,,0.024528918787837,0.0209455266594886,,human,UP
FBP1,,0.0244802981615066,,,,,,0.0244802981615066,0.0244802981615066,,human,UP
WDR26,,,0.0243667010217905,,,,,0.0243667010217905,0.0243667010217905,,human,UP
NDUFB7,,,,0.0243573375046253,,,,0.0243573375046253,0.0243573375046253,,human,UP
MT1H,,,,0.0599755719304084,,-0.0113317975774407,,0.0243218871764838,0.0243218871764838,,human,UP
ANXA9,,0.0243203453719615,,,,,,0.0243203453719615,0.0243203453719615,,human,UP
SRP9,0.0358683764934539,,0.0127364825457334,,,,,0.0243024295195937,0.0243024295195937,,human,UP
ALDH3A1,,,,0.0227938275784254,0.0257209837436676,,,0.0242574056610465,0.0242574056610465,0.0257209837436676,human,UP
SLC6A14,,,,,,0.0242392364889383,,0.0242392364889383,0.0242392364889383,,human,UP
ANXA2,,,0.0389926023781299,0.0093789957463741,,,,0.024185799062252,0.024185799062252,,human,UP
TCF15,,0.0240746419876813,,,,,,0.0240746419876813,0.0240746419876813,,human,UP
ITGAV,0.0238937940448522,,,,,,,0.0238937940448522,0.0238937940448522,,human,UP
HIGD1A,,,,,,0.0238417591899633,,0.0238417591899633,0.0238417591899633,,human,UP
RPL35,0.0712531059980392,,0.0235274527221918,0.090621180832386,-0.049465000629425,-0.0172498654574155,,0.0237373746931552,0.0235274527221918,-0.049465000629425,human,UP
EMP3,,,0.0235419385135173,,,,,0.0235419385135173,0.0235419385135173,,human,UP
KLK11,0.0110961208119988,,0.0356722846627235,,,,,0.0233842027373611,0.0233842027373611,,human,UP
PIEZO1,,,0.0232774037867784,,,,,0.0232774037867784,0.0232774037867784,,human,UP
SLC39A6,,,0.0127184242010116,,,0.0337089262902736,,0.0232136752456426,0.0232136752456426,,human,UP
TUBB2A,0.0183539986610412,,0.0573041141033172,-0.0105116926133632,,0.0276057366281747,,0.0231880391947925,0.022979867644608,,human,UP
RPN1,,,,,0.0231022965162992,,,0.0231022965162992,0.0231022965162992,0.0231022965162992,human,UP
KRTAP9-9,,,0.0230655074119567,,,,,0.0230655074119567,0.0230655074119567,,human,UP
HLA-C,0.0236182771623134,,,,,0.0223842076957225,,0.023001242429018,0.023001242429018,,human,UP
DDX43,,0.0229275505989789,,,,,,0.0229275505989789,0.0229275505989789,,human,UP
PLS3,0.0220754388719797,,0.0237649157643318,,,,,0.0229201773181557,0.0229201773181557,,human,UP
ATIC,,,,,0.0228585749864578,,,0.0228585749864578,0.0228585749864578,0.0228585749864578,human,UP
IFI16,,,,,0.0187024064362049,0.0270055253058671,,0.022853965871036,0.022853965871036,0.0187024064362049,human,UP
SNRPG,0.0210511367768049,,,,0.0380485355854034,0.0094459056854248,,0.0228485260158777,0.0210511367768049,0.0380485355854034,human,UP
ABCA6,,0.0227497015148401,,,,,,0.0227497015148401,0.0227497015148401,,human,UP
YWHAZ,0.0291174538433551,,0.015675975009799,,,0.0233428291976451,,0.0227120860169331,0.0233428291976451,,human,UP
NSA2,0.0273251198232173,,0.0180271677672863,,,,,0.0226761437952518,0.0226761437952518,,human,UP
GOLGA8B,0.0111696077510714,,0.0340588502585887,,,,,0.0226142290048301,0.0226142290048301,,human,UP
SRP14,0.0175540968775749,,0.0291954725980758,0.0210499949753284,,,,0.022599854816993,0.0210499949753284,,human,UP
OCA2,,0.0223461836576461,,,,,,0.0223461836576461,0.0223461836576461,,human,UP
AIRE,,,,0.0222869887948036,,,,0.0222869887948036,0.0222869887948036,,human,UP
CSNK1A1,,,,,,0.0222259573638439,,0.0222259573638439,0.0222259573638439,,human,UP
LAP3,,,0.0180411040782928,,,0.026384076103568,,0.0222125900909304,0.0222125900909304,,human,UP
IDE,,,,,,0.022166708484292,,0.022166708484292,0.022166708484292,,human,UP
NDUFB5,,,,,0.02211251296103,,,0.02211251296103,0.02211251296103,0.02211251296103,human,UP
KDM5D,,0.0262678489089012,0.0344115048646926,,,,0.0056107421405613,0.0220966986380517,0.0262678489089012,,human,UP
GHITM,,,,,0.0220899153500795,,,0.0220899153500795,0.0220899153500795,0.0220899153500795,human,UP
CLCN7,,,,,0.0220762826502323,,,0.0220762826502323,0.0220762826502323,0.0220762826502323,human,UP
COX6C,0.0524131767451763,,,0.0248935408890247,0.0278670992702245,-0.0173009876161813,,0.021968207322061,0.0263803200796246,0.0278670992702245,human,UP
TMA7,0.0422883704304695,,0.0325803495943546,,,-0.0089851142838597,,0.0219612019136548,0.0325803495943546,,human,UP
TMEM135,,,,,,0.021816186606884,,0.021816186606884,0.021816186606884,,human,UP
RTN1,,0.0325546115636825,,,,,0.0110458526760339,0.0218002321198582,0.0218002321198582,,human,UP
MSN,,,0.0217956807464361,,,,,0.0217956807464361,0.0217956807464361,,human,UP
RAB38,,,,,0.021787429228425,,,0.021787429228425,0.021787429228425,0.021787429228425,human,UP
C1QB,,0.0217832177877426,,,,,,0.0217832177877426,0.0217832177877426,,human,UP
GPR18,,,,,,,0.0217659957706928,0.0217659957706928,0.0217659957706928,,human,UP
POLB,,,,,0.0216335859149694,,,0.0216335859149694,0.0216335859149694,0.0216335859149694,human,UP
YBX1,0.0229325294494628,,,0.0182628184556961,0.0295532997697591,0.0157105550169944,,0.0216148006729781,0.0205976739525795,0.0295532997697591,human,UP
C1S,,,0.0251685809344053,,,0.018002513796091,,0.0215855473652482,0.0215855473652482,,human,UP
KRTAP1-1,,-0.01773670502007,0.0607677735388278,,,,,0.0215155342593789,0.0215155342593789,,human,UP
PCDHA10,,0.0214045066386461,,,,,,0.0214045066386461,0.0214045066386461,,human,UP
ATP6V1G1,,,0.0144334938377141,,,0.0282604657113552,,0.0213469797745347,0.0213469797745347,,human,UP
HINT1,0.0240771602839231,,,0.0213976372033357,0.0184968765825033,,,0.0213238913565874,0.0213976372033357,0.0184968765825033,human,UP
BCHE,,0.0212839730083942,,,,,,0.0212839730083942,0.0212839730083942,,human,UP
