gene_symbol,logfc_dz:493,logfc_dz:663,logfc_dz:407,logfc_dz:735,logfc_dz:656,logfc_dz:554,logfc_dz:660,mean_logfc,median_logfc,common_experiment,organism,signature_type
TGFBI,,0.0273688379675149,0.0429312661290168,-0.013267089612782,0.0339354611933231,-0.0199310705065727,0.01419407594949,0.0142052468533317,0.0207814569585025,,human,UP
TM9SF2,,,-0.0132414633408188,,0.0243179779499769,0.0265483912080526,,0.0125416352724035,0.0243179779499769,,human,UP
MYL6,,0.0215113032609224,,,,-0.0113153802230954,0.0261438246816396,0.0121132492398222,0.0215113032609224,,human,UP
DDIT4,,0.0124790733680129,,0.0575443543493747,0.0429524146020412,,-0.0649760067462921,0.0119999588932842,0.027715743985027,,human,UP
RPS25,0.0638704076409339,0.0407093949615955,-0.0272275246679782,-0.0983757376670837,,0.0583449639379978,0.0270268358290195,0.0107247233390808,0.0338681153953075,0.0638704076409339,human,UP
GPX2,-0.055977277457714,0.0246693138033151,,,,,0.0618654713034629,0.0101858358830213,0.0246693138033151,-0.055977277457714,human,UP
RPL8,,,0.0368850007653236,,0.0654236972332,-0.0719403326511383,,0.0101227884491284,0.0368850007653236,,human,UP
PABPC3,,,0.0489161722362041,-0.0488083697855472,0.026412921026349,,,0.0088402411590019,0.026412921026349,,human,UP
SDCBP,,,0.0243734046816825,-0.0284909512847661,0.0287313126027584,,,0.0082045886665582,0.0243734046816825,,human,UP
RPL36,,,,-0.0205482263118028,0.0200675688683986,0.0205012410879135,,0.0066735278815031,0.0200675688683986,,human,UP
SPP1,-0.0403187572956085,0.0297617446631193,,,0.0244862791150808,,,0.0046430888275305,0.0244862791150808,-0.0403187572956085,human,UP
TMSB10,-0.1113307625055313,,0.0163700096309185,0.0499420203268528,0.0417454689741134,-0.0104822469875216,0.0324479416012764,0.0031154051733513,0.0244089756160974,-0.1113307625055313,human,UP
CALM2,-0.0802744030952453,0.0187021531164646,,,0.0460080690681934,,0.0229369588196277,0.0018431944772601,0.0208195559680461,-0.0802744030952453,human,UP
FTH1,,,0.0102660944685339,0.0810019299387931,0.0323229394853115,-0.1179893240332603,,0.0014004099648445,0.0212945169769227,,human,UP
HAMP,,-0.2046171575784683,-0.0924741253256797,,-0.1120416298508644,,-0.3118211627006531,-0.1802385188639164,-0.1583293937146663,,human,DOWN
CYP2C8,,-0.0799437016248703,,,,,-0.1737513989210128,-0.1268475502729416,-0.1268475502729416,,human,DOWN
MNDA,,,,-0.1231552138924598,,,,-0.1231552138924598,-0.1231552138924598,,human,DOWN
MT1X,,-0.0350810028612613,-0.2073658108711242,,-0.1389587521553039,,-0.0807307660579681,-0.1155340829864144,-0.109844759106636,,human,DOWN
CYP2B7P,,,-0.0647902190685272,,-0.1654080301523208,,,-0.115099124610424,-0.115099124610424,,human,DOWN
MT2A,,-0.0567427352070808,-0.2240836769342422,0.008691688068211,-0.1722326427698135,,-0.1093668863177299,-0.1107468506321311,-0.1093668863177299,,human,DOWN
RGS2,,,,-0.0628412738442421,,-0.1532922983169555,,-0.1080667860805988,-0.1080667860805988,,human,DOWN
CYP2E1,,-0.2139331698417663,-0.0434271953999996,,-0.0284703969955444,,-0.1286607682704925,-0.1036228826269507,-0.086043981835246,,human,DOWN
CYP1A2,,-0.1306444406509399,-0.0472550578415393,,-0.0665492117404937,,-0.1682903915643692,-0.1031847754493355,-0.0985968261957168,,human,DOWN
MT1H,,-0.0264871921390295,-0.1217770427465438,,-0.1404624432325363,,,-0.0962422260393699,-0.1217770427465438,,human,DOWN
HP,,-0.203408345580101,-0.0842403247952461,,-0.0304262079298496,,-0.0631171017885208,-0.0952979950234294,-0.0736787132918834,,human,DOWN
ADH1A,,-0.1286368817090988,-0.1031138524413108,,-0.0502629280090332,,-0.0905225798487663,-0.0931340605020523,-0.0968182161450386,,human,DOWN
A2M,-0.0321480184793472,-0.21088907122612,,,-0.0853223353624343,,-0.042085837572813,-0.0926113156601786,-0.0637040864676237,-0.0321480184793472,human,DOWN
COCH,-0.0869430974125862,,,,,,,-0.0869430974125862,-0.0869430974125862,-0.0869430974125862,human,DOWN
