gene_symbol,logfc_dz:494,logfc_dz:1060,logfc_dz:1063,logfc_dz:277,logfc_dz:1061,logfc_dz:310,logfc_dz:1062,mean_logfc,median_logfc,common_experiment,organism,signature_type
FNDC4,,,,,,-0.0249728187918663,,-0.0249728187918663,-0.0249728187918663,,human,DOWN
GRIA2,,,,-0.024830125272274,,,,-0.024830125272274,-0.024830125272274,,human,DOWN
ARMCX2,,,,,-0.0247760880738496,,,-0.0247760880738496,-0.0247760880738496,,human,DOWN
WWTR1,,,,,,-0.0247254502028226,,-0.0247254502028226,-0.0247254502028226,,human,DOWN
CDH6,,,,,,-0.0246578454971313,,-0.0246578454971313,-0.0246578454971313,,human,DOWN
AKAP17A,-0.024650190025568,,,,,,,-0.024650190025568,-0.024650190025568,,human,DOWN
NUCB1,,,,,-0.0246050283312797,,,-0.0246050283312797,-0.0246050283312797,,human,DOWN
RCAN2,,,,-0.0245502665638923,,,,-0.0245502665638923,-0.0245502665638923,,human,DOWN
RAB15,,,,-0.0244825761765241,,,,-0.0244825761765241,-0.0244825761765241,,human,DOWN
LMO2,,,-0.0244599971920251,,,,,-0.0244599971920251,-0.0244599971920251,,human,DOWN
HLA-F,-0.0244531705975532,,,,,,,-0.0244531705975532,-0.0244531705975532,,human,DOWN
GTPBP6,-0.0244429111480712,,,,,,,-0.0244429111480712,-0.0244429111480712,,human,DOWN
CXCL5,,,,,,-0.0244213473051786,,-0.0244213473051786,-0.0244213473051786,,human,DOWN
PDHA1,,,,,,,-0.0244201645255088,-0.0244201645255088,-0.0244201645255088,,human,DOWN
ATIC,,-0.0125819034874439,,,-0.0362494625151157,,,-0.0244156830012798,-0.0244156830012798,-0.0125819034874439,human,DOWN
NDUFB1,,,,-0.0243889763951301,,,,-0.0243889763951301,-0.0243889763951301,,human,DOWN
JARID2,,,,,-0.0243548694998025,,,-0.0243548694998025,-0.0243548694998025,,human,DOWN
PIK3C2B,-0.0243101697415113,,,,,,,-0.0243101697415113,-0.0243101697415113,,human,DOWN
PRKCB,,,,-0.0273525193333625,,,-0.0212141908705234,-0.024283355101943,-0.024283355101943,,human,DOWN
PTPN12,,,,,,,-0.0242066755890846,-0.0242066755890846,-0.0242066755890846,,human,DOWN
CLTC,-0.0242035798728466,,,,,,,-0.0242035798728466,-0.0242035798728466,,human,DOWN
METTL5,,,,,-0.0241363123059272,,,-0.0241363123059272,-0.0241363123059272,,human,DOWN
PCP4,,,,-0.0240856446325778,,,,-0.0240856446325778,-0.0240856446325778,,human,DOWN
LAMP2,,,,,,,-0.0240160673856735,-0.0240160673856735,-0.0240160673856735,,human,DOWN
IPCEF1,,,,-0.0240098740905523,,,,-0.0240098740905523,-0.0240098740905523,,human,DOWN
IGF2BP2,,,,,-0.0239793863147497,,,-0.0239793863147497,-0.0239793863147497,,human,DOWN
BMI1,,,-0.0239715240895748,,,,,-0.0239715240895748,-0.0239715240895748,,human,DOWN
CD46,,,,,,,-0.0239572450518608,-0.0239572450518608,-0.0239572450518608,,human,DOWN
