gene_symbol,logfc_dz:135,logfc_dz:485,logfc_dz:835,logfc_dz:834,logfc_dz:639,logfc_dz:638,logfc_dz:990,logfc_dz:866,logfc_dz:603,logfc_dz:991,mean_logfc,median_logfc,common_experiment,organism,signature_type
SNRPD2,0.0300491396337747,,,,0.0299654826521873,0.0230923797935247,,,,0.0204472653567791,0.0258885668590664,0.026528931222856,0.0230923797935247,human,UP
SYNGR2,,0.0386208184063434,0.0167878251522779,,,,0.0220352206379175,,,,0.0258146213988463,0.0220352206379175,,human,UP
SSR2,,,0.0218059346079826,0.0281598344445228,,,0.0327664725482463,,0.0295412242412567,0.0164023414254188,0.0257351614534854,0.0281598344445228,,human,UP
LTA4H,,,,,,,,0.0632158815860748,-0.0117613915354013,,0.0257272450253367,0.0257272450253367,,human,UP
RPS21,,,0.0299555137753486,0.0395522005856037,,,,0.0104418080300092,0.0223628710955381,,0.0255780983716249,0.0261591924354434,,human,UP
RPL17,,0.0143805434927344,,0.0470661409199237,,,0.0169279184192419,,,0.0238949935883283,0.0255673991050571,0.0204114560037851,,human,UP
TBPL1,,,0.0255288742482662,,,,,,,,0.0255288742482662,0.0255288742482662,,human,UP
ENTPD6,,,,0.0253821983933448,,,,,,,0.0253821983933448,0.0253821983933448,,human,UP
ANKZF1,,,,0.0253715720027685,,,,,,,0.0253715720027685,0.0253715720027685,,human,UP
DNAJC15,0.024430388584733,,,,0.0262053068727254,,,,,,0.0253178477287292,0.0253178477287292,,human,UP
RPS13,0.0740908980369567,0.045461006462574,0.03334691375494,0.0300567224621772,0.0769801214337349,,0.0264109000563621,-0.0966210812330246,0.0121525814756751,,0.0252347578061744,0.0317018181085586,,human,UP
ZNF432,,,0.0164632424712181,0.0338213741779327,,,,,,,0.0251423083245754,0.0251423083245754,,human,UP
MMP3,0.0241682026535272,,,,0.0260950718075037,,,,,,0.0251316372305154,0.0251316372305154,,human,UP
SLC30A4,,0.0250621493905782,,,,,,,,,0.0250621493905782,0.0250621493905782,,human,UP
RPL24,0.0130881546065211,0.0259205065667629,0.0222618710249662,,0.0142943058162927,0.0138825960457324,,0.0470790155231952,0.0385609790682792,,0.0250124898073928,0.0222618710249662,0.0138825960457324,human,UP
CHST15,,,,,,,,,0.0249793455004692,,0.0249793455004692,0.0249793455004692,,human,UP
CDK4,,,,,,,,,,0.0249771885573864,0.0249771885573864,0.0249771885573864,,human,UP
SESN1,,0.0249227248132228,,,,,,,,,0.0249227248132228,0.0249227248132228,,human,UP
UBB,,0.0308457799255847,,,,0.0189971514046192,,,,,0.024921465665102,0.024921465665102,0.0189971514046192,human,UP
