gene_symbol,logfc_dz,mean_logfc,median_logfc,p_val,p_val_adj,pct.1,pct.2,signature_type
LENG8,0.106712907645962,0.106712907645962,0.106712907645962,1.50891572391906e-08,0.0004374044900496,0.198,0.157,UP
RPL6,0.106561834464844,0.106561834464844,0.106561834464844,5.304802104572009e-26,1.53775603407333e-21,0.962,0.993,UP
SNHG10,0.106453632973185,0.106453632973185,0.106453632973185,7.28980888280339e-08,0.002113169798947,0.105,0.071,UP
SOX4,0.106325212465757,0.106325212465757,0.106325212465757,4.59485035206709e-58,1.33195522005721e-53,0.696,0.704,UP
RAB5A,0.105600125251651,0.105600125251651,0.105600125251651,4.29685685709381e-11,1.24557286573435e-06,0.205,0.142,UP
PBXIP1,0.105009261403958,0.105009261403958,0.105009261403958,2.68923063802959e-07,0.0077955417735201,0.125,0.066,UP
BCAS2,0.104599103912527,0.104599103912527,0.104599103912527,3.93546926071702e-52,1.14081382929665e-47,0.196,0.168,UP
ARHGEF7,0.104119950323734,0.104119950323734,0.104119950323734,1.6783319655280002e-16,4.865148701672559e-12,0.131,0.096,UP
ARL8B,0.103904133111475,0.103904133111475,0.103904133111475,1.1969674516423002e-16,3.4697692488206998e-12,0.192,0.13,UP
PHF13,0.103642532441924,0.103642532441924,0.103642532441924,1.4829810116074e-14,4.29886535644754e-10,0.107,0.073,UP
GBE1,0.103567177365313,0.103567177365313,0.103567177365313,4.51888256303398e-10,1.30993367737229e-05,0.11,0.057,UP
ZNF622,0.103251710014099,0.103251710014099,0.103251710014099,3.5247058875277e-07,0.0102174174267653,0.127,0.077,UP
USP36,0.103192867455945,0.103192867455945,0.103192867455945,4.63239122440415e-08,0.0013428375681302,0.101,0.07,UP
NXT1,0.102888088652734,0.102888088652734,0.102888088652734,7.46419699774954e-41,2.16372142570764e-36,0.23,0.183,UP
CDC73,0.102829816515439,0.102829816515439,0.102829816515439,3.4886136199172996e-12,1.01127931614163e-07,0.199,0.142,UP
TWIST2,0.102542980240507,0.102542980240507,0.102542980240507,2.83099299321852e-31,8.20648248874184e-27,0.422,0.368,UP
LAMA4,0.102320105221256,0.102320105221256,0.102320105221256,2.33418974559227e-26,6.76634923452288e-22,0.169,0.101,UP
AGPAT4,0.102302482242842,0.102302482242842,0.102302482242842,8.21369567754069e-07,0.023809861030055,0.103,0.061,UP
CTR9,0.102240850773827,0.102240850773827,0.102240850773827,1.07274872154828e-26,3.10968399402415e-22,0.144,0.109,UP
YWHAH,0.1020935450107,0.1020935450107,0.1020935450107,9.36041975158265e-32,2.71339847758878e-27,0.281,0.229,UP
LSAMP,0.102004130134797,0.102004130134797,0.102004130134797,3.75305541180278e-80,1.08793570277339e-75,0.129,0.075,UP
UBQLN1,0.100884392424272,0.100884392424272,0.100884392424272,3.8916299248735e-15,1.12810568262233e-10,0.201,0.151,UP
STAU1,0.100818073574886,0.100818073574886,0.100818073574886,3.67970030646928e-30,1.0666715248393202e-25,0.313,0.24,UP
APOC1,0.100727419034199,0.100727419034199,0.100727419034199,0.0,0.0,0.343,0.391,UP
PPP1R12C,0.100708651199967,0.100708651199967,0.100708651199967,1.6539084228538901e-10,4.79434973616886e-06,0.131,0.08,UP
GSPT1,0.10068638832017,0.10068638832017,0.10068638832017,7.90418004660908e-22,2.2912637119110402e-17,0.335,0.285,UP
OAT,0.100680751556344,0.100680751556344,0.100680751556344,1.27494363830107e-20,3.69580661870716e-16,0.461,0.407,UP
ADGRE5,0.100396569678461,0.100396569678461,0.100396569678461,1.0750453509028199e-18,3.1163414631971e-14,0.153,0.095,UP
BOD1L1,0.100147961656059,0.100147961656059,0.100147961656059,1.1912410683586e-34,3.4531696089578996e-30,0.308,0.251,UP
GNB1,0.0999740190496159,0.0999740190496159,0.0999740190496159,3.47596576985592e-36,1.00761295736583e-31,0.326,0.255,UP
CALD1,0.0998566865947939,0.0998566865947939,0.0998566865947939,1.3012003059384299e-226,3.77191944685433e-222,0.79,0.835,UP
SPATS2L,0.0998059248766871,0.0998059248766871,0.0998059248766871,3.72403839019411e-13,1.07952424854947e-08,0.206,0.142,UP
PPP2R3A,0.0996312221454734,0.0996312221454734,0.0996312221454734,2.1962658782532404e-09,6.3665355278805e-05,0.118,0.07,UP
GLRX5,0.0993685401950385,0.0993685401950385,0.0993685401950385,3.55898699348652e-28,1.03167914967187e-23,0.35,0.29,UP
IPO5,0.0989266536975387,0.0989266536975387,0.0989266536975387,6.30798738969441e-21,1.82855938452462e-16,0.19,0.139,UP
IGFBP5,0.0986329833345407,0.0986329833345407,0.0986329833345407,0.0,4.52101962510753e-293,0.357,0.356,UP
RAB1A,0.0985585724642541,0.0985585724642541,0.0985585724642541,7.2658299114653e-22,2.10621877473556e-17,0.399,0.339,UP
MARK3,0.0985239939981775,0.0985239939981775,0.0985239939981775,2.75698580425569e-07,0.0079919504493764,0.223,0.16,UP
PPP1R12A,0.0978871937354778,0.0978871937354778,0.0978871937354778,2.85699225719908e-19,8.28184915516871e-15,0.296,0.236,UP
KMT2E-AS1,0.0978232233329368,0.0978232233329368,0.0978232233329368,6.54879602301377e-26,1.89836499115123e-21,0.169,0.164,UP
GBP2,0.0974795992903608,0.0974795992903608,0.0974795992903608,8.5893626437391e-24,2.48988444316709e-19,0.134,0.082,UP
ARL13B,0.0967746665427661,0.0967746665427661,0.0967746665427661,3.6859952282405103e-09,0.0001068496296762,0.107,0.065,UP
EEF1D,0.0963928343770468,0.0963928343770468,0.0963928343770468,4.39367178626809e-34,1.27363757740339e-29,0.792,0.857,UP
RPL3,0.0960346713773381,0.0960346713773381,0.0960346713773381,2.71216214895049e-48,7.86201563737769e-44,0.96,0.994,UP
SAFB2,0.0956021580320472,0.0956021580320472,0.0956021580320472,1.2497709037883501e-15,3.6228358959016694e-11,0.277,0.229,UP
CEBPG,0.0955277537489842,0.0955277537489842,0.0955277537489842,8.21438037841491e-08,0.0023811845840949,0.103,0.063,UP
ANTXR1,0.0954363804413879,0.0954363804413879,0.0954363804413879,3.31957090880614e-17,9.62277215044724e-13,0.274,0.212,UP
JOSD1,0.0948421236804376,0.0948421236804376,0.0948421236804376,2.2537444980373999e-13,6.53315455091081e-09,0.16,0.124,UP
MED13L,0.0943649470389409,0.0943649470389409,0.0943649470389409,1.9751449808665e-10,5.72555027053582e-06,0.342,0.295,UP
MED17,0.0942735984778708,0.0942735984778708,0.0942735984778708,1.93754879157124e-08,0.0005616566437006,0.118,0.084,UP
NECAP2,0.0941399170592817,0.0941399170592817,0.0941399170592817,5.14265546534266e-33,1.4907529662935299e-28,0.16,0.124,UP
SMIM13,0.0935157166834142,0.0935157166834142,0.0935157166834142,1.2798501512330798e-12,3.71002961839444e-08,0.11,0.073,UP
TGFBR3,0.0934473155087464,0.0934473155087464,0.0934473155087464,6.38454554880864e-07,0.0185075206368865,0.125,0.095,UP
SNHG15,0.0934230702891019,0.0934230702891019,0.0934230702891019,5.119029477006699e-43,1.4839042647947e-38,0.386,0.391,UP
KMT2C,0.0931334054604837,0.0931334054604837,0.0931334054604837,2.26983674242018e-29,6.5798027489276105e-25,0.248,0.201,UP
RAC1,0.0929071676138489,0.0929071676138489,0.0929071676138489,1.3708894252054e-30,3.97393426578543e-26,0.677,0.662,UP
TRIP10,0.0926594393411942,0.0926594393411942,0.0926594393411942,4.96227951418124e-45,1.43846558557086e-40,0.159,0.126,UP
OSBP,0.0924387009990618,0.0924387009990618,0.0924387009990618,3.64516270555356e-10,1.05665976508587e-05,0.187,0.14,UP
SVIL,0.0921346970731064,0.0921346970731064,0.0921346970731064,6.120396137744879e-26,1.77418043240948e-21,0.213,0.156,UP
ATF1,0.0920400541714402,0.0920400541714402,0.0920400541714402,4.06699247854131e-14,1.17893977967956e-09,0.108,0.067,UP
SUCO,0.0918624036260314,0.0918624036260314,0.0918624036260314,8.19963633621046e-18,2.37691058114069e-13,0.138,0.095,UP
TRIO,0.0918385922564884,0.0918385922564884,0.0918385922564884,3.2641627551106e-08,0.0009462154994514,0.119,0.084,UP
MARCH5,0.0911695222626238,0.0911695222626238,0.0911695222626238,2.91801271231783e-26,8.45873525046691e-22,0.16,0.11,UP
OLFML2B,0.0910122647119483,0.0910122647119483,0.0910122647119483,3.3292578443119104e-25,9.65085263909136e-21,0.112,0.069,UP
GNL1,0.0910112084745835,0.0910112084745835,0.0910112084745835,1.36691371836089e-18,3.96240948678455e-14,0.183,0.13,UP
ARFGAP3,0.0907460512292316,0.0907460512292316,0.0907460512292316,2.92353395982288e-14,8.47474024273455e-10,0.358,0.29,UP
COL6A1,0.090637824013299,0.090637824013299,0.090637824013299,3.8243494189174305e-73,1.1086024095557901e-68,0.746,0.779,UP
ENAH,0.0904859508260436,0.0904859508260436,0.0904859508260436,1.1253502004354301e-45,3.26216516102221e-41,0.233,0.189,UP
