gene_symbol,logfc_dz:393,logfc_dz:149,logfc_dz:945,logfc_dz:947,logfc_dz:946,logfc_dz:883,mean_logfc,median_logfc,common_experiment,organism,signature_type
OGN,,0.0298511013388633,,,0.0341085344552993,,0.0319798178970813,0.0319798178970813,,human,UP
PROS1,,,,,,0.0319365188479423,0.0319365188479423,0.0319365188479423,0.0319365188479423,human,UP
SPARCL1,0.0296233352273702,0.0361995100975036,,0.0422271341085433,0.0192310810089111,,0.0318202651105821,0.0329114226624369,,human,UP
SEMA3C,,0.0316413305699825,,,,,0.0316413305699825,0.0316413305699825,,human,UP
OAZ1,,0.0450271666049957,0.0287018828094005,,0.023817466571927,0.0285050515085458,0.0315128918737173,0.0286034671589732,0.0285050515085458,human,UP
GAS1,,,,,,0.0314763411879539,0.0314763411879539,0.0314763411879539,0.0314763411879539,human,UP
PTGES3,0.0318897068500518,0.0352547280490398,0.0356696359813213,0.0219023711979389,,,0.0311791105195879,0.0335722174495458,,human,UP
MGST3,,,,,,0.031054388731718,0.031054388731718,0.031054388731718,0.031054388731718,human,UP
RBBP7,,0.0425788722932338,0.0253344867378473,,0.0251033511012792,,0.0310055700441201,0.0253344867378473,,human,UP
IGHA2,,0.0309724360704422,,,,,0.0309724360704422,0.0309724360704422,,human,UP
PSMA6,0.0397014394402504,0.0170118119567632,0.0272905547171831,0.0395426005125045,,,0.0308866016566753,0.0334165776148438,,human,UP
CTHRC1,-0.0148791493847966,0.020762937143445,0.0202674251049757,,,0.0970026552677154,0.0307884670328348,0.0205151811242103,0.0970026552677154,human,UP
LAMP5,,0.0208131056278944,,,,0.0407128557562828,0.0307629806920886,0.0307629806920886,0.0407128557562828,human,UP
LUZP6,0.0218070186674594,0.0497964099049568,,,0.0205273758620023,,0.0307102681448062,0.0218070186674594,,human,UP
COLEC12,,,,,,0.0306603498756885,0.0306603498756885,0.0306603498756885,0.0306603498756885,human,UP
SLC38A2,0.0294402092695236,0.0317647792398929,,,,,0.0306024942547082,0.0306024942547082,,human,UP
CPXM2,,,,,,0.0305032208561897,0.0305032208561897,0.0305032208561897,0.0305032208561897,human,UP
