Disease_ID,Disease,I,S,P,Precision,Recall
MONDO_0005041,glaucoma,55,1,22,1.8,4.5
EFO_0000274,Eczema,24,1,23,4.2,4.3
EFO_0003768,nicotine dependence,41,1,24,2.4,4.2
EFO_0000676,psoriasis,29,1,24,3.4,4.2
EFO_0000612,myocardial infarction,40,1,29,2.5,3.4
MONDO_0005178,osteoarthritis,48,1,33,2.1,3.0
MONDO_0004975,Alzheimer's disease,28,1,35,3.6,2.9
MONDO_0002050,mental depression,8,1,57,12.5,1.8
EFO_0009448,pulmonary fibrosis,2,0,3,0.0,0.0
MONDO_0005184,pancreatic ductal adenocarcinoma,1,0,7,0.0,0.0
EFO_0000479,hemorrhagic thrombocythemia,7,0,4,0.0,0.0
MONDO_0010726,Rett syndrome,37,0,3,0.0,0.0
EFO_0000699,Sjogren's syndrome,41,0,3,0.0,0.0
MONDO_0003175,salivary gland adenoid cystic carcinoma,4,0,1,0.0,0.0
EFO_0000272,astrocytoma,37,0,4,0.0,0.0
EFO_0005922,esophagus squamous cell carcinoma,66,0,5,0.0,0.0
EFO_0003050,lung large cell carcinoma,10,0,3,0.0,0.0
MONDO_0013282,alpha 1-antitrypsin deficiency,43,0,1,0.0,0.0
EFO_1000595,anaplastic thyroid carcinoma,6,0,2,0.0,0.0
EFO_0000771,bacterial infectious disease,3,0,1,0.0,0.0
EFO_0003768,Nicotine addiction,40,0,24,0.0,0.0
EFO_0000274,atopic dermatitis,1,0,23,0.0,0.0
MONDO_0002974,cervical cancer,59,0,14,0.0,0.0
EFO_0000557,childhood type dermatomyositis,4,0,4,0.0,0.0
EFO_0003073,smoldering myeloma,34,0,2,0.0,0.0
EFO_0001065,endometriosis,8,0,10,0.0,0.0
EFO_0000365,colorectal adenocarcinoma,18,0,10,0.0,0.0
EFO_0003898,ankylosing spondylitis,5,0,10,0.0,0.0
EFO_0000232,adenoma,2,0,2,0.0,0.0
EFO_0000770,malignant pleural mesothelioma,8,0,3,0.0,0.0
EFO_0000318,Cardiomyopathy,5,0,7,0.0,0.0
EFO_0001074,morbid obesity,2,0,5,0.0,0.0
EFO_0000632,oligodendroglioma,39,0,2,0.0,0.0
MONDO_0005149,pulmonary hypertension,44,0,6,0.0,0.0
MONDO_0010383,fragile X syndrome,15,0,6,0.0,0.0
EFO_0000199,Squamous cell carcinoma of mouth,39,0,6,0.0,0.0
MONDO_0019338,sarcoidosis,35,0,5,0.0,0.0
EFO_0006792,Lewy body dementia,15,0,2,0.0,0.0
MONDO_0008678,Williams-Beuren syndrome,33,0,1,0.0,0.0
EFO_0000702,lung small cell carcinoma,11,0,16,0.0,0.0
EFO_0003872,colitis,15,0,3,0.0,0.0
EFO_0007323,inclusion body myositis,4,0,1,0.0,0.0
EFO_1001345,alcoholic hepatitis,5,0,3,0.0,0.0
MONDO_0004979,asthma,2,0,31,0.0,0.0
EFO_1000359,pancreatic cancer,39,0,5,0.0,0.0
MONDO_0009061,cystic fibrosis,56,0,9,0.0,0.0
EFO_0003778,psoriatic arthritis,2,0,8,0.0,0.0
MONDO_0018305,chronic granulomatous disease,34,0,3,0.0,0.0
MONDO_0000527,colon adenoma,55,0,1,0.0,0.0
EFO_0004911,familial hypercholesterolemia,48,0,1,0.0,0.0
EFO_0004190,primary open angle glaucoma,33,0,5,0.0,0.0
EFO_0007243,Ebola hemorrhagic fever,49,0,1,0.0,0.0
MONDO_0019499,Turner syndrome,42,0,1,0.0,0.0
EFO_1001993,scleroderma,44,0,2,0.0,0.0
EFO_0005088,testicular cancer,8,0,3,0.0,0.0
HP_0001249,intellectual disability,10,0,4,0.0,0.0
EFO_0000398,dermatomyositis,58,0,3,0.0,0.0
EFO_0000708,lung squamous cell carcinoma,15,0,6,0.0,0.0
EFO_1001950,colon cancer,62,0,1,0.0,0.0
EFO_0000203,monoclonal gammopathy of uncertain significance,38,0,1,0.0,0.0
MONDO_0002046,alcohol abuse,4,0,6,0.0,0.0
EFO_0000478,esophagus adenocarcinoma,62,0,2,0.0,0.0
EFO_0009444,Hypoxia,48,0,4,0.0,0.0
EFO_0000571,lung adenocarcinoma,56,0,7,0.0,0.0
EFO_0000401,Diabetic Nephropathy,3,0,10,0.0,0.0
MONDO_0015459,nasopharynx carcinoma,43,0,7,0.0,0.0
MONDO_0019558,discoid lupus erythematosus,5,0,1,0.0,0.0
MONDO_0004857,tendinitis,43,0,2,0.0,0.0
EFO_0003756,autism spectrum disorder,9,0,13,0.0,0.0
MONDO_0008056,myotonic dystrophy type 1,31,0,1,0.0,0.0
EFO_0009606,macular degeneration,57,0,3,0.0,0.0
EFO_0009441,Waldenstrom Macroglobulinemia,36,0,8,0.0,0.0
EFO_0003063,Polymyositis,15,0,2,0.0,0.0
EFO_0008583,acute myocardial infarction,7,0,7,0.0,0.0
EFO_0001064,Down syndrome,2,0,0,0.0,
MONDO_0024621,serous cystadenocarcinoma,43,0,0,0.0,
EFO_0003782,anterior horn cell disease,29,0,0,0.0,
HP_0002797,Osteolysis,45,0,0,0.0,
MONDO_0002529,skin squamous cell carcinoma,38,0,0,0.0,
MONDO_0017610,epidermolysis bullosa simplex,2,0,0,0.0,
EFO_0002608,HIV encephalitis,1,0,0,0.0,
EFO_1000668,allergic contact dermatitis,68,0,0,0.0,
EFO_0002627,Vulvar intraepithelial tumor,38,0,0,0.0,
EFO_0004227,dengue hemorrhagic fever,64,0,0,0.0,
MONDO_0004670,lupus erythematosus,29,0,0,0.0,
MONDO_0018544,adrenoleukodystrophy,50,0,0,0.0,
Orphanet_654,nephroblastoma,43,0,0,0.0,
MONDO_0001347,facioscapulohumeral muscular dystrophy,1,0,0,0.0,
MONDO_0015909,aplastic anemia,13,0,0,0.0,
