disease_name,disease_id,match_type,q_threshold,tahoe_hits_count,cmap_hits_count,common_hits_count,known_drugs_in_database_count,known_drugs_available_in_cmap_count,known_drugs_available_in_tahoe_count,tahoe_in_known_count,cmap_in_known_count,common_in_known_count,total_in_known_count,phase_0.5,phase_1.0,phase_2.0,phase_3.0,phase_4.0,"status_Active, not recruiting",status_Completed,status_Enrolling by invitation,status_Not yet recruiting,status_Recruiting,status_Suspended,status_Terminated,status_Unknown,status_Unknown status,status_Withdrawn
rheumatoid arthritis,EFO_0000685,name,0.1,273,264,8,2397,45,25,16,12,3,25,1.0,12.0,22.0,20.0,28.0,4.0,31.0,0.0,2.0,14.0,0.0,13.0,12.0,4.0,3.0
Sjogren's syndrome,EFO_0000699,synonym,0.1,316,727,29,304,6,4,4,4,0,8,0.0,2.0,5.0,0.0,1.0,0.0,2.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0
Duchenne muscular dystrophy,MONDO_0010679,name,0.1,300,1,0,429,8,6,5,0,0,5,2.0,2.0,5.0,5.0,1.0,0.0,7.0,1.0,0.0,2.0,0.0,4.0,1.0,0.0,0.0
myelodysplastic syndrome,EFO_0000198,name,0.1,221,699,18,1767,30,40,27,15,0,42,0.0,47.0,48.0,14.0,0.0,5.0,48.0,0.0,2.0,13.0,0.0,20.0,0.0,14.0,7.0
Carcinoma in situ of large intestine,0,no_match,0.1,310,34,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Venezuelan equine encephalitis,EFO_0007534,name,0.1,128,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Pompe disease, infantile-onset form",0,no_match,0.1,257,84,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gastroesophageal reflux disease,EFO_0003948,name,0.1,79,194,1,398,16,2,0,4,0,4,1.0,2.0,1.0,4.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,1.0
Rotavirus infection of children,0,no_match,0.1,293,546,16,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Infection by Aspergillus fumigatus,0,no_match,0.1,263,99,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
