drug_id,drug_common_name,drug_target_class,drug_synonyms,drug_type,drug_mechanism_of_action
CHEMBL1083390,INTEPIRDINE,Membrane receptor,GSK-742457|GSK742457|Intepirdina|Intepirdine|RVT-101|SB-742457|Sb-742457,Small molecule,Serotonin 6 (5-HT6) receptor antagonist
CHEMBL119385,NEFLAMAPIMOD,Unclassified protein|Enzyme,"745|Neflamapimod|VD-31|VD-31,745|VD-31745|VRT-031745|VX-745|Vx-745",Small molecule,MAP kinase p38 alpha inhibitor
CHEMBL190083,TARENFLURBIL,Enzyme,"E-7869|Flurbiprofen, (r)-|MPC-7869|R-flurbiprofen|Tarenflurbil|Tarenflurbilo",Small molecule,Gamma-secretase modulator
CHEMBL215645,RIVASTIGMINE TARTRATE,Enzyme,ENA 713|Rivastigmine Tartrate|Rivastigmine actavis|Rivastigmine bitartrate|Rivastigmine hydrogen tartrate|Rivastigmine hydrogentartrate|Rivastigmine tartrate|Sdz-ena 713,Small molecule,Cholinesterases; ACHE & BCHE inhibitor
CHEMBL3092650,GSK239512,Membrane receptor,GSK-239512A|GSK239512|Gsk-239512|Gsk239512,Small molecule,Histamine H3 receptor antagonist
CHEMBL3707223,SOFPIRONIUM BROMIDE,Membrane receptor,BBI-4000|Bromure de sofpironium|Bromuro de sofpironio|Sofpironium bromide,Small molecule,Muscarinic acetylcholine receptor inhibitor
CHEMBL3707224,SOFPIRONIUM,Membrane receptor,Bbi-4000 ion|Sofpironium cation,Small molecule,Muscarinic acetylcholine receptor inhibitor
CHEMBL1241,TRIPELENNAMINE,Membrane receptor,NSC-118946|PBZ|PBZ-SR|Tripelenamina|Tripelennamine,Small molecule,Histamine H1 receptor antagonist
CHEMBL2105458,THENALIDINE,Membrane receptor,Tenalidina|Thenaldine|Thenalidine|Thenophenopiperidine,Small molecule,Histamine H1 receptor antagonist
CHEMBL2110774,CHLORPHENOXAMINE,Membrane receptor,Chlorphenoxamine|Clorfenoxamina,Small molecule,Histamine H1 receptor antagonist
CHEMBL2387408,LINERIXIBAT,Transporter,GSK2330672|Gsk-2330672|Gsk2330672|Linerixibat,Small molecule,Ileal bile acid transporter inhibitor
CHEMBL3707398,PAC-14028,Ion channel,Asivatrep|Pac-14028,Small molecule,Vanilloid receptor antagonist
CHEMBL5315120,ODEVIXIBAT SESQUIHYDRATE,Transporter,Odevixibat (as sesquihydrate)|Odevixibat sesquihydrate,Small molecule,Ileal bile acid transporter inhibitor
CHEMBL3337527,JNJ-40411813,Membrane receptor,ADX-71149|Jnj-40411813,Small molecule,Metabotropic glutamate receptor 2 positive allosteric modulator
CHEMBL1200329,TIZANIDINE HYDROCHLORIDE,Membrane receptor,AN-021|AN021|DS 103-282|DS-103-282|Tizanidine (as hydrochloride)|Tizanidine hcl|Tizanidine hydrochloride,Small molecule,Adrenergic receptor alpha-2 agonist
CHEMBL2107312,ARBACLOFEN PLACARBIL,Membrane receptor,Arbaclofen placarbil|Arbaclofene placarbil|Arbaclofeno placarbilo|XP-19986|XP19986,Small molecule,GABA-B receptor agonist
CHEMBL1182833,MIVACURIUM,Ion channel,BW B109OU|BW-B109OU|Mivacurium|Mivacurium cation|Mivacurium ion,Small molecule,Muscle-type nicotinic acetylcholine receptor antagonist
CHEMBL984,MIVACURIUM CHLORIDE,Ion channel,BW B109OU DICHLORIDE|BW-1090U DICHLORIDE|BW-B109OU|BW-B109OU DICHLORIDE|BWB109OU|Chlorure de mivacurium|Cloruro de mivacurio|MIVACURIUM CHLORIDE|Mivacurium chloride|mivacurium,Small molecule,Muscle-type nicotinic acetylcholine receptor antagonist
CHEMBL1201141,IBUPROFEN LYSINE,Enzyme,Arfen|Dolormin|Ibuprofen l-lysine|Ibuprofen lysinate|Ibuprofen lysine|Imbun|Lisiprofen|Saren|Solufenum|Soluphene,Small molecule,Cyclooxygenase inhibitor
CHEMBL1201666,LEPIRUDIN,Enzyme,Hirudin lepirudin|Lepirudin|Lepirudin Recombinant|Lepirudin recombinant|Lepirudina|Lepirudine,Protein,Thrombin inhibitor
CHEMBL2105758,AVATROMBOPAG MALEATE,Membrane receptor,Avatrombopag maleate|E-5501 MALEATE|E5501 MALEATE,Small molecule,Thrombopoietin receptor agonist
CHEMBL2107831,LUSUTROMBOPAG,Membrane receptor,Lusutrombopag|Lusutrombopag |RSC888711|S-888711,Small molecule,Thrombopoietin receptor agonist
CHEMBL1026,FENOLDOPAM MESYLATE,Membrane receptor,Fendolopam mesylate|Fenoldopam mesilate|Fenoldopam mesylate|Fenoldopam methanesulfonate|NSC-759860|SK&F 82526-J|SK&F-82526J|SK-82526-J,Small molecule,Dopamine D1 receptor agonist
CHEMBL4297574,TEPRASIRAN,Other nuclear protein|Transcription factor|Enzyme,I5-NP|I5NP|QPI-1002|Qpi-1002|Teprasiran,Oligonucleotide,p53 mRNA RNAi inhibitor
CHEMBL4650326,TEREVALEFIM,Enzyme,ANG-3777|Ang-3777|BB3|Refanalin|SNV-003|Terevalefim,Small molecule,Hepatocyte growth factor receptor agonist
CHEMBL4297741,DASIGLUCAGON,Membrane receptor,Dasiglucagon|ZP-4207|ZP-GA-1|ZP4207,Unknown,Glucagon receptor agonist
CHEMBL5314380,PASIREOTIDE DIASPARTATE,Membrane receptor,Pasireotide (as diaspartate)|Pasireotide diaspartate,Protein,Somatostatin receptor 2 agonist
CHEMBL2108222,ALOXIPRIN,Enzyme,Alaprin|Aloxiprin|Aloxiprina|Aloxiprine|Paloxin|Polyoxyaluminium acetylsalicylate|Polyoxyaluminum acetylsalicylate|Superpyrin,Unknown,Cyclooxygenase inhibitor
CHEMBL1707,LOPERAMIDE HYDROCHLORIDE,Membrane receptor,"Loperamide hcl|Loperamide hydrochloride|Loperamidi hydrochloridum|NSC-696356|R 18,553|R-18553",Small molecule,Mu opioid receptor agonist
CHEMBL2103772,RACECADOTRIL,Enzyme,Acetorphan|NSC-759828|Racecadotril|Racecadotrilo|Tiorfan|Tiorfix,Small molecule,Neprilysin inhibitor
CHEMBL2108318,ELSIGLUTIDE,Membrane receptor,Elsiglutida|Elsiglutide|ZP-1846|ZP1846|Zp1846,Protein,Glucagon-like peptide 2 receptor agonist
CHEMBL1120,BISMUTH SUBSALICYLATE,Enzyme,Bismuth salicylate|Bismuth subsalicylate|NSC-759117,Small molecule,Cyclooxygenase inhibitor
CHEMBL2103867,PLECANATIDE,Enzyme,Guanilib|Plecanatida|Plecanatide|SP-304|SP-304 (SYNERGY),Protein,Heat-stable enterotoxin receptor agonist
CHEMBL2105748,PRUCALOPRIDE SUCCINATE,Membrane receptor,Prucalopride (as succinate)|Prucalopride succinate|R-108512,Small molecule,Serotonin 4 (5-HT4) receptor agonist
CHEMBL2219418,NALOXEGOL,Membrane receptor,AZ-13337019|NKTR-118|Naloxegol,Small molecule,Mu opioid receptor antagonist
CHEMBL2364619,METHYLSAMIDORPHAN,Membrane receptor,ALKS 37|ALKS-37 CATION|ALKS37|Methylsamidorphan|Methylsamidorphan cation|Methylsamidorphan ion|RDC-1036 CATION|RDC-1036-00|RDC-103600|RDC-103603|Rdc-1036,Small molecule,Mu opioid receptor antagonist
CHEMBL270190,ALVIMOPAN,Membrane receptor,ADL 8-2698|ADL-8-2698|Alvimopan|Alvimopan anhydrous|Alvimopan dihydrate|Anhydrous alvimopan|LY-246736|LY-246736 DIHYDRATE|LY246736,Small molecule,Mu opioid receptor antagonist
CHEMBL3039511,BEVENOPRAN,Membrane receptor,ADL-5945|ADL5945|Bevenopran|CB-5945|CB5-945|CB5945,Small molecule,Mu opioid receptor antagonist
CHEMBL3137313,AXELOPRAN,Membrane receptor,Axelopran|TD-1211,Small molecule,Mu opioid receptor antagonist
CHEMBL3544975,RELENOPRIDE,Membrane receptor,Relenoprida|Relenopride|YKP-10811|YKP10811,Small molecule,Serotonin 4 (5-HT4) receptor agonist
CHEMBL3545122,DOLCANATIDE,Enzyme,Dolcanatida|Dolcanatide|SP-333,Protein,Heat-stable enterotoxin receptor agonist
CHEMBL1908318,NEPADUTANT,Membrane receptor,Nepadutant,Protein,Neurokinin 2 receptor antagonist
CHEMBL4175981,OLORINAB,Membrane receptor,APD-371|APD371|Apd371|Olorinab,Small molecule,Cannabinoid CB2 receptor agonist
CHEMBL3900409,BRENSOCATIB,Enzyme,AZD 7986|AZD-7986|AZD7986|Azd-7986|Azd7986|Brensocatib|INS-1007|INS1007,Small molecule,Dipeptidyl peptidase I inhibitor
