"","exp_id","cmap_score","p","q","subset_comparison_id","analysis_id","name","concentration","duration","cell_line","array_platform","vehicle","vendor","vendor_catalog_id","vendor_catalog_name","drug_concept_id","cas_number","DrugBank.ID","valid"
"174",4749,-0.401328409289109,0,0,"MSE_endo","cmap","tetryzoline",1.68e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","698","Tetrahydrozoline hydrochloride [522-48-5]","NULL","522-48-5","DB06764",1
"175",5909,-0.401156332301359,0,0,"MSE_endo","cmap","nalidixic acid",1.46e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","187","Nalidixic acid sodium salt hydrate","C0027353","NULL","DB00779",1
"176",1904,-0.401104033340686,0,0,"MSE_endo","cmap","methazolamide",1.7e-05,6,"HL60","HT_HG-U133A","DMSO","Prestwick Chemical","802","Methazolamide [554-57-4]","C0025631","554-57-4","DB00703",1
"177",3548,-0.400697761484653,0,0,"MSE_endo","cmap","etidronic acid",1.6e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","863","Etidronic acid, disodium salt [7414-83-7]","NULL","7414-83-7","DB01077",1
"178",4799,-0.40018152217671,0,0,"MSE_endo","cmap","repaglinide",8.8e-06,6,"HL60","HT_HG-U133A","DMSO","Prestwick Chemical","1046","Repaglinide [135062-02-1]","C0246689","135062-02-1","DB00912",1
"179",2266,-0.399802615344351,0,0,"MSE_endo","cmap","prazosin",9.6e-06,6,"HL60","HT_HG-U133A","DMSO","Prestwick Chemical","947","Prazosin hydrochloride [19237-84-4]","C0700578","19237-84-4","DB00457",1
"180",3874,-0.398996655593562,0,0,"MSE_endo","cmap","progesterone",1.28e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","477","Progesterone [57-83-0]","C0873071","57-83-0","DB00396",1
"181",5760,-0.398806828891534,0,0,"MSE_endo","cmap","nomifensine",1.12e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","108","Nomifensine maleate [32795-47-4]","C0028277","32795-47-4","DB04821",1
"182",5695,-0.398637740972134,0,0,"MSE_endo","cmap","naproxen",1.58e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","791","(R) -Naproxen sodium salt [26159-34-2]","C0546873","26159-34-2","DB00788",1
"183",2047,-0.398621966168083,0,0,"MSE_endo","cmap","trimetazidine",1.18e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","549","Trimetazidine dihydrochloride [13171-25-0]","C0041037","13171-25-0","DB09069",1
"184",1795,-0.39808615132745,0,0,"MSE_endo","cmap","amoxicillin",1.1e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","357","Amoxicillin [26787-78-0]","MMS_106","26787-78-0","DB01060",1
"185",4373,-0.397409889216204,0,0,"MSE_endo","cmap","sulfafurazole",1.5e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","334","Sulfisoxazole [127-69-5]","NULL","127-69-5","DB00263",1
"186",2127,-0.39725143187695,0,0,"MSE_endo","cmap","torasemide",1.14e-05,6,"HL60","HT_HG-U133A","DMSO","Prestwick Chemical","1030","Torsemide [56211-40-6]","APRD00217","56211-40-6","DB00214",1
"187",3074,-0.397139673098017,0,0,"MSE_endo","cmap","cinchocaine",1.16e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","76","Dibucaine [85-79-0]","NULL","85-79-0","DB00527",1
"188",1918,-0.396834224025078,0,0,"MSE_endo","cmap","papaverine",1.06e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","583","Papaverine hydrochloride [61-25-6]","C0700461","61-25-6","DB01113",1
"189",954,-0.396190455584652,0,0,"MSE_endo","cmap","triflusal",1.62e-05,6,"HL60","HG-U133A","DMSO","Prestwick Chemical","528","Triflusal [322-79-2]","C0077126","322-79-2","DB08814",1
"190",1321,-0.396029816943146,0,0,"MSE_endo","cmap","levamisole",1.66e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","182","Levamisole hydrochloride [16595-80-5]","C0733383","16595-80-5","DB00848",1
"191",2319,-0.395970922338629,0,0,"MSE_endo","cmap","oxybutynin",1.02e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","287","Oxybutynin chloride [1508-65-2]","C0069805","1508-65-2","DB01062",1
"192",392,-0.39538806680534,0,0,"MSE_endo","cmap","genistein",1e-05,6,"MCF7","HT_HG-U133A_EA","DMSO","Calbiochem","345834","genistein","NULL","NULL","DB01645",1
"193",1073,-0.395382485875934,0,0,"MSE_endo","cmap","chloramphenicol",1.24e-05,6,"HL60","HT_HG-U133A","DMSO","Prestwick Chemical","31","Chloramphenicol [56-75-7]","C0055337","56-75-7","DB00446",1
"194",5951,-0.394665799299447,0,0,"MSE_endo","cmap","trazodone",9.8e-06,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","292","Trazodone hydrochloride [25332-39-2]","C0040805","25332-39-2","DB00656",1
"195",2037,-0.394083982958356,0,0,"MSE_endo","cmap","budesonide",9.2e-06,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","518","Budesonide [51333-22-3]","C0054201","51333-22-3","DB01222",1
"196",3873,-0.393643169644307,0,0,"MSE_endo","cmap","glipizide",9e-06,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","131","Glipizide [29094-61-9]","C0017642","29094-61-9","DB01067",1
"197",4926,-0.392596960117376,0,0,"MSE_endo","cmap","azlocillin",8.2e-06,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","821","Azlocillin sodium salt [37091-65-9]","C0701436","37091-65-9","DB01061",1
"198",4856,-0.391351339176222,0,0,"MSE_endo","cmap","rosiglitazone",1e-05,6,"HL60","HT_HG-U133A","DMSO","LKT Laboratories","R5772","rosiglitazone","C0289313","NULL","DB00412",1
"199",2255,-0.390676886750317,0,0,"MSE_endo","cmap","nitrendipine",1.1e-05,6,"HL60","HT_HG-U133A","DMSO","Prestwick Chemical","916","Nitrendipine [39562-70-4]","C0028127","39562-70-4","DB01054",1
"200",918,-0.390212203169227,0,0,"MSE_endo","cmap","epirizole",1.7e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","32","Epirizole [18694-40-1]","NULL","18694-40-1","DB08991",1
"201",4369,-0.388672115881243,0,0,"MSE_endo","cmap","amiodarone",5.8e-06,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","409","Amiodarone hydrochloride [19774-82-4]","C0700442","19774-82-4","DB01118",1
"202",2087,-0.38532845824018,0,0,"MSE_endo","cmap","letrozole",1.4e-05,6,"HL60","HT_HG-U133A","DMSO","Prestwick Chemical","1025","Letrozole [112809-51-5]","C0246421","112809-51-5","DB01006",1
"203",1893,-0.385279360303012,0,0,"MSE_endo","cmap","cinoxacin",1.52e-05,6,"HL60","HT_HG-U133A","DMSO","Prestwick Chemical","780","Cinoxacin [28657-80-9]","C0008806","28657-80-9","DB00827",1
"204",3875,-0.38516059865931,0,0,"MSE_endo","cmap","estrone",1.48e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","914","Estrone [53-16-7]","C0014942","53-16-7","DB00655",1
"205",5745,-0.383263343571902,0,0,"MSE_endo","cmap","glibenclamide",8e-06,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","316","Glibenclamide [10238-21-8]","NULL","10238-21-8","DB01016",1
"206",4956,-0.382051305561914,0,0,"MSE_endo","cmap","aminophylline",9.6e-06,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","820","Aminophylline [317-34-0]","C1271551","317-34-0","DB01223",1
"207",4368,-0.381875505729309,0,0,"MSE_endo","cmap","dipyridamole",8e-06,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","142","Dipyridamole [58-32-2]","C0012582","58-32-2","DB00975",1
"208",4995,-0.381290769302647,0,0,"MSE_endo","cmap","benzonatate",6.6e-06,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","12","Benzonatate [104-31-4]","C0053229","104-31-4","DB00868",1
