"exp_id","cmap_score","p","q","subset_comparison_id","analysis_id","drug_name","concentration","duration","cell_line","array_platform","vehicle","vendor","vendor_catalog_id","vendor_catalog_name","drug_concept_id","cas_number","DrugBank.ID"
39245,-0.308241945115629,0.00027,0.00648764904862579,"file16e96ce45d3e_logFC_0","TAHOE","Pemetrexed",5,24,"ACH-000148","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
39333,-0.280428476251284,0.00143,0.0257894668359251,"file16e96ce45d3e_logFC_0","TAHOE","Pemigatinib",0.5,24,"ACH-000940","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
39512,-0.257980227546184,0.00524,0.081828381423468,"file16e96ce45d3e_logFC_0","TAHOE","Penfluridol",0.5,24,"ACH-000628","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
39678,-0.265005048162247,0.00369,0.0596562247510669,"file16e96ce45d3e_logFC_0","TAHOE","Pentagastrin",0.5,24,NA,"Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
39994,-0.259452322897849,0.00486,0.0764404151674509,"file16e96ce45d3e_logFC_0","TAHOE","Pentoxifylline",5,24,"ACH-000861","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
40306,-0.230929125616588,0.01964,0.286395247626379,"file16e96ce45d3e_logFC_0","TAHOE","Perindopril (erbumine)",5,24,"ACH-000496","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
40562,-0.272921731459737,0.0023,0.0392970835838845,"file16e96ce45d3e_logFC_0","TAHOE","Phenylephrine (hydrochloride)",0.5,24,"ACH-000628","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
41365,-0.307127780986334,0.00027,0.00648764904862579,"file16e96ce45d3e_logFC_0","TAHOE","Piroxicam",5,24,"ACH-000139","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
41606,-0.283896095674172,0.00117,0.0217421811641596,"file16e96ce45d3e_logFC_0","TAHOE","Plicamycin",0.5,24,"ACH-000496","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
41739,-0.282727763086385,0.00122,0.0224656318859365,"file16e96ce45d3e_logFC_0","TAHOE","Ponatinib",0.5,24,"ACH-000120","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
42370,-0.279339033680634,0.00149,0.0266013917687716,"file16e96ce45d3e_logFC_0","TAHOE","Procainamide (hydrochloride)",0.5,24,"ACH-000932","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
42438,-0.399396754739799,9.99990000099999e-06,0.000563759920634921,"file16e96ce45d3e_logFC_0","TAHOE","Proglumide",0.0500000007450581,24,"ACH-000138","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
43511,-0.309256381364664,0.00027,0.00648764904862579,"file16e96ce45d3e_logFC_0","TAHOE","Ralimetinib dimesylate",0.0500000007450581,24,"ACH-000463","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
44061,-0.309046761662691,0.00027,0.00648764904862579,"file16e96ce45d3e_logFC_0","TAHOE","Rapamycin",5,24,"ACH-000463","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
44152,-0.277376562033751,0.00169,0.0296595521927116,"file16e96ce45d3e_logFC_0","TAHOE","Regorafenib",0.5,24,"ACH-000957","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
44298,-0.335249245807014,4e-05,0.00168127218934911,"file16e96ce45d3e_logFC_0","TAHOE","Relugolix",0.5,24,"ACH-000178","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
44556,-0.330525669922143,6e-05,0.00211252788104089,"file16e96ce45d3e_logFC_0","TAHOE","Retinoic acid",0.0500000007450581,24,"ACH-000496","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
