gene_symbol,logfc_dz:839,logfc_dz:838,logfc_dz:848,logfc_dz:842,logfc_dz:843,logfc_dz:840,logfc_dz:841,logfc_dz:846,logfc_dz:847,logfc_dz:845,logfc_dz:844,logfc_dz:849,mean_logfc,median_logfc,common_experiment,organism,signature_type
LINC00621,0.015774430707097,0.1282660812139511,-0.0416799038648605,0.0430401973426342,-0.0354367084801197,,0.1294954866170883,,0.2186468094587326,,0.0242912806570529,0.024771325290203,0.056352110993531,0.024771325290203,0.015774430707097,human,UP
GGCT,0.0772756934165954,0.0404144339263439,0.0463962294161319,0.0548656769096851,0.092762291431427,0.041210401803255,0.0518559850752353,0.0670268237590789,0.0143451448529958,0.0774173289537429,0.0830619484186172,0.0237148571759462,0.0558622345949212,0.0533608309924602,0.0772756934165954,human,UP
IGHV4-31,0.0388964265584945,0.0841184929013252,0.0759701579809188,0.0267659835517406,,0.1064801588654518,0.0195827092975378,,,0.0433452501893043,0.0205454621464014,0.0761177837848663,0.0546469361417823,0.0433452501893043,0.0388964265584945,human,UP
TSPAN13,0.0801706537604332,0.046074204146862,,0.0214654728770256,0.0546145960688591,,0.0436964929103851,0.0497480891644954,0.0145875168964266,0.0951766744256019,0.0852100923657417,,0.0545270880684256,0.0497480891644954,0.0801706537604332,human,UP
MT1HL1,,,,0.0536882504820823,,,,,,,,,0.0536882504820823,0.0536882504820823,,human,UP
TUBA1C,0.0637831762433052,0.0333610586822032,0.0847744941711425,0.0497106686234474,0.0712805241346359,0.0773181170225143,0.0455914475023746,0.0239221081137657,0.0087735671550035,0.0438271090388298,0.0717116519808769,0.0554414950311183,0.0524579514749348,0.0525760818272829,0.0637831762433052,human,UP
TWIST1,,,,,,0.051803708076477,,,,,,,0.051803708076477,0.051803708076477,,human,UP
TRIP13,,,,,,0.0513849109411239,,,,,,,0.0513849109411239,0.0513849109411239,,human,UP
CD63,0.0817997306585311,0.0800927504897117,0.0213066413998603,0.060114961117506,0.0646684691309928,0.0737859979271888,0.0586737059056758,0.0265889689326286,-0.0092198764905333,0.0578426867723465,0.0601956807076931,0.0354909114539623,0.050945052333797,0.0593943335115909,0.0817997306585311,human,UP
ERH,,0.0323306284844875,,,0.0655904859304428,0.0190320406109094,,,0.0756373107433319,,0.0569980554282665,0.0511252023279666,0.0501189539209008,0.0540616288781166,,human,UP
SFN,0.07566849142313,0.0632371976971626,,0.0492342785000801,0.0476706065237522,0.0326669737696647,0.0628484487533569,0.033011257648468,0.0085650589317083,0.0718574002385139,0.0784175768494606,0.0249330345541238,0.0498282113535837,0.0492342785000801,0.07566849142313,human,UP
