gene_symbol,logfc_dz:116,logfc_dz:859,logfc_dz:251,mean_logfc,median_logfc,common_experiment,organism,signature_type
EIF3D,,0.0236926507204771,,0.0236926507204771,0.0236926507204771,,human,UP
MRPL33,,,0.02338832244277,0.02338832244277,0.02338832244277,,human,UP
PCNA,,0.0232777446508407,,0.0232777446508407,0.0232777446508407,,human,UP
BEST3,0.0232656970620155,,,0.0232656970620155,0.0232656970620155,0.0232656970620155,human,UP
AQP1,,,0.0231201630085706,0.0231201630085706,0.0231201630085706,,human,UP
EIF3H,,0.023072000592947,,0.023072000592947,0.023072000592947,,human,UP
RPS26,,0.0131181441247463,0.0328586660325527,0.0229884050786495,0.0229884050786495,,human,UP
DCX,0.0108480211347341,0.0368644818663597,0.0207764245569705,0.0228296425193548,0.0207764245569705,0.0108480211347341,human,UP
IGFBP3,,0.0228224545717239,,0.0228224545717239,0.0228224545717239,,human,UP
TMEM88,0.0226933937519788,,,0.0226933937519788,0.0226933937519788,0.0226933937519788,human,UP
GSTM2,,,0.0226878393441438,0.0226878393441438,0.0226878393441438,,human,UP
CKS2,,0.0226707234978675,,0.0226707234978675,0.0226707234978675,,human,UP
ARL4A,,0.0226565226912498,,0.0226565226912498,0.0226565226912498,,human,UP
GPX1,,0.0225748270750045,,0.0225748270750045,0.0225748270750045,,human,UP
KLRC2,,,0.0225277692079544,0.0225277692079544,0.0225277692079544,,human,UP
MYH10,,0.0171301029622554,0.0277457814663648,0.0224379422143101,0.0224379422143101,,human,UP
PSD2,,,0.0224142223596572,0.0224142223596572,0.0224142223596572,,human,UP
ITM2C,,,0.0223474372178316,0.0223474372178316,0.0223474372178316,,human,UP
GPR56,,,0.0223369635641574,0.0223369635641574,0.0223369635641574,,human,UP
IFIT3,,,0.0222817938774824,0.0222817938774824,0.0222817938774824,,human,UP
TMEM100,,0.0152745069935917,0.0291325449943542,0.022203525993973,0.022203525993973,,human,UP
GTF3C6,,,0.0221519544720649,0.0221519544720649,0.0221519544720649,,human,UP
MMADHC,,0.0219335928559303,,0.0219335928559303,0.0219335928559303,,human,UP
SUMO2,,0.0193222723901271,0.0245343800634145,0.0219283262267708,0.0219283262267708,,human,UP
TUBB,,0.0219230074435472,,0.0219230074435472,0.0219230074435472,,human,UP
HLA-DPB1,,,0.0219066273421049,0.0219066273421049,0.0219066273421049,,human,UP
LRRC8A,,,0.0218395553529262,0.0218395553529262,0.0218395553529262,,human,UP
H3F3B,,0.0245644189417362,0.0189630128443241,0.0217637158930301,0.0217637158930301,,human,UP
DNAJB14,,,0.0217182915657758,0.0217182915657758,0.0217182915657758,,human,UP
LRRC37A2,,,0.0216857008635997,0.0216857008635997,0.0216857008635997,,human,UP
GINS1,,0.0215477719902992,,0.0215477719902992,0.0215477719902992,,human,UP
NME1-NME2,,0.0228789690881967,0.0201509036123752,0.021514936350286,0.021514936350286,,human,UP
WRAP53,0.0214436426758766,,,0.0214436426758766,0.0214436426758766,0.0214436426758766,human,UP
BCHE,,0.0182970557361841,0.0243943594396114,0.0213457075878977,0.0213457075878977,,human,UP
GGCT,,0.0213057417422533,,0.0213057417422533,0.0213057417422533,,human,UP
PVALB,,,0.0212236419320106,0.0212236419320106,0.0212236419320106,,human,UP
NEFH,,,0.021207882091403,0.021207882091403,0.021207882091403,,human,UP
TMEM47,,,0.0210634693503379,0.0210634693503379,0.0210634693503379,,human,UP
CCNI,,,0.0210185423493385,0.0210185423493385,0.0210185423493385,,human,UP
CADPS2,,,0.0210054982453584,0.0210054982453584,0.0210054982453584,,human,UP
MARCKS,0.0249700527638196,0.0168843455612659,,0.0209271991625428,0.0209271991625428,0.0249700527638196,human,UP
COL4A1,,0.0208961013704538,,0.0208961013704538,0.0208961013704538,,human,UP
ABLIM1,,,0.0208578370511531,0.0208578370511531,0.0208578370511531,,human,UP
DROSHA,,0.0208251066505908,,0.0208251066505908,0.0208251066505908,,human,UP
C12orf57,,,0.020824747160077,0.020824747160077,0.020824747160077,,human,UP
PRPF19,,,0.0207948312163352,0.0207948312163352,0.0207948312163352,,human,UP
PSMD14,,0.0207407921552658,,0.0207407921552658,0.0207407921552658,,human,UP
CCT2,,0.0207088384777307,,0.0207088384777307,0.0207088384777307,,human,UP
RPL36,,0.0206341166049242,,0.0206341166049242,0.0206341166049242,,human,UP
SAT1,,,0.0205979663878679,0.0205979663878679,0.0205979663878679,,human,UP
LOC100289333,,,0.0205786023288965,0.0205786023288965,0.0205786023288965,,human,UP
PCSK1N,,,0.020393693819642,0.020393693819642,0.020393693819642,,human,UP
LRP4,0.0152539042755961,,0.0255120769143104,0.0203829905949533,0.0203829905949533,0.0152539042755961,human,UP
PLTP,,,0.0203693471848964,0.0203693471848964,0.0203693471848964,,human,UP
LASP1,,,0.0202726200222969,0.0202726200222969,0.0202726200222969,,human,UP
MAP3K5,,,0.0202423222362995,0.0202423222362995,0.0202423222362995,,human,UP
RPS23,,0.0202332567423582,,0.0202332567423582,0.0202332567423582,,human,UP
LUZP6,,0.0578031539916992,-0.0174390841275453,0.0201820349320769,0.0201820349320769,,human,UP
RASD1,,0.012637454085052,0.0277200099080801,0.020178731996566,0.020178731996566,,human,UP
CRISPLD1,,0.020144410431385,,0.020144410431385,0.020144410431385,,human,UP
IFITM3,,0.0201240982860326,,0.0201240982860326,0.0201240982860326,,human,UP
SNHG1,,0.0200933367013931,,0.0200933367013931,0.0200933367013931,,human,UP
ARL6IP1,-0.0075391335412859,0.0259743556380271,0.025561898946762,0.014665707014501,0.025561898946762,-0.0075391335412859,human,UP
LOC100129717,-0.3053148984909057,,,-0.3053148984909057,-0.3053148984909057,-0.3053148984909057,human,DOWN
PLEKHB1,-0.164399117231369,,,-0.164399117231369,-0.164399117231369,-0.164399117231369,human,DOWN
ERMN,,-0.1680172830820083,-0.0972402691841125,-0.1326287761330604,-0.1326287761330604,,human,DOWN
HSPA1A,,-0.1313958615064621,,-0.1313958615064621,-0.1313958615064621,,human,DOWN
SLC17A7,-0.1520528197288513,,-0.0995367988944053,-0.1257948093116283,-0.1257948093116283,-0.1520528197288513,human,DOWN
LYNX1,-0.1237158775329589,,,-0.1237158775329589,-0.1237158775329589,-0.1237158775329589,human,DOWN
RASGRF1,-0.1176171526312828,,,-0.1176171526312828,-0.1176171526312828,-0.1176171526312828,human,DOWN
SOX2-OT,-0.1983993351459503,-0.1156501993536949,-0.03602971509099,-0.1166930831968784,-0.1156501993536949,-0.1983993351459503,human,DOWN
MAL,,-0.1277258396148681,-0.0888573974370956,-0.1082916185259819,-0.1082916185259819,,human,DOWN
ANKS1B,-0.1029353067278862,,,-0.1029353067278862,-0.1029353067278862,-0.1029353067278862,human,DOWN
CSRP1,,-0.1009920164942741,,-0.1009920164942741,-0.1009920164942741,,human,DOWN
KIAA1598,-0.0165207181125879,-0.1962173581123352,-0.0884793698787689,-0.1004058153678973,-0.0884793698787689,-0.0165207181125879,human,DOWN
MOBP,-0.0935365036129951,-0.1066712513566017,,-0.1001038774847984,-0.1001038774847984,-0.0935365036129951,human,DOWN
CARNS1,-0.1600135862827301,-0.0444305874407291,-0.0913715288043022,-0.0986052341759204,-0.0913715288043022,-0.1600135862827301,human,DOWN
LOC400707,-0.09854656457901,,,-0.09854656457901,-0.09854656457901,-0.09854656457901,human,DOWN
CNP,,-0.1076688393950462,-0.0876505002379417,-0.0976596698164939,-0.0976596698164939,,human,DOWN
SULT4A1,-0.0972813591361045,,,-0.0972813591361045,-0.0972813591361045,-0.0972813591361045,human,DOWN
ENPP2,,-0.1022275760769844,-0.0918698757886886,-0.0970487259328365,-0.0970487259328365,,human,DOWN
RGS4,-0.0970242172479629,,,-0.0970242172479629,-0.0970242172479629,-0.0970242172479629,human,DOWN
PLP1,,-0.2163794338703155,0.0232251435518264,-0.0965771451592445,-0.0965771451592445,,human,DOWN
KCNB1,-0.0956470295786857,,,-0.0956470295786857,-0.0956470295786857,-0.0956470295786857,human,DOWN
RAB3C,-0.0949547886848449,,,-0.0949547886848449,-0.0949547886848449,-0.0949547886848449,human,DOWN
NPTX2,,,-0.0942519381642341,-0.0942519381642341,-0.0942519381642341,,human,DOWN
TMEM144,-0.1647874116897583,-0.0187419392168521,,-0.0917646754533052,-0.0917646754533052,-0.1647874116897583,human,DOWN
ATP1B1,,-0.1576995551586151,-0.0239422712475061,-0.0908209132030606,-0.0908209132030606,,human,DOWN
CDK5R2,-0.089781679213047,,,-0.089781679213047,-0.089781679213047,-0.089781679213047,human,DOWN
DOCK3,-0.0871622487902641,,,-0.0871622487902641,-0.0871622487902641,-0.0871622487902641,human,DOWN
SYS1-DBNDD2,-0.0595123246312141,-0.0912413299083709,-0.1067759469151496,-0.0858432004849116,-0.0912413299083709,-0.0595123246312141,human,DOWN
CADM3,-0.0855269134044647,,,-0.0855269134044647,-0.0855269134044647,-0.0855269134044647,human,DOWN
DPYSL2,,-0.0841004848480224,,-0.0841004848480224,-0.0841004848480224,,human,DOWN
NUCB1,-0.0824779197573661,,,-0.0824779197573661,-0.0824779197573661,-0.0824779197573661,human,DOWN
TPPP,-0.0789361000061035,,,-0.0789361000061035,-0.0789361000061035,-0.0789361000061035,human,DOWN
CNDP1,,-0.0987547859549522,-0.0582717694342136,-0.0785132776945829,-0.0785132776945829,,human,DOWN
TCEAL7,-0.1535928100347519,-0.0343073867261409,-0.0466512776911258,-0.0781838248173395,-0.0466512776911258,-0.1535928100347519,human,DOWN
NDRG1,,-0.1066449508070945,-0.0494736656546592,-0.0780593082308769,-0.0780593082308769,,human,DOWN
PPFIA2,-0.0759052187204361,,,-0.0759052187204361,-0.0759052187204361,-0.0759052187204361,human,DOWN
HSPA2,-0.0204021967947483,-0.1238047406077385,-0.0830361917614936,-0.0757477097213268,-0.0830361917614936,-0.0204021967947483,human,DOWN
SCN3B,-0.0736066251993179,,-0.0771795883774757,-0.0753931067883968,-0.0753931067883968,-0.0736066251993179,human,DOWN
SPOCK2,-0.075094535946846,,,-0.075094535946846,-0.075094535946846,-0.075094535946846,human,DOWN
FTH1,,-0.1149491965770721,-0.034337043762207,-0.0746431201696395,-0.0746431201696395,,human,DOWN
SYNPR,,,-0.072699174284935,-0.072699174284935,-0.072699174284935,,human,DOWN
CEND1,-0.072252981364727,,,-0.072252981364727,-0.072252981364727,-0.072252981364727,human,DOWN
CAMKV,-0.0721186995506286,,,-0.0721186995506286,-0.0721186995506286,-0.0721186995506286,human,DOWN
APLP1,,-0.048937901854515,-0.0945922061800956,-0.0717650540173053,-0.0717650540173053,,human,DOWN
IQSEC3,-0.0704254060983657,,,-0.0704254060983657,-0.0704254060983657,-0.0704254060983657,human,DOWN
