gene_symbol,logfc_dz:109,logfc_dz:505,logfc_dz:481,logfc_dz:506,logfc_dz:507,mean_logfc,median_logfc,common_experiment,organism,signature_type
SHKBP1,,-0.0294523760676383,,-0.022365229204297,,-0.0259088026359677,-0.0259088026359677,,human,DOWN
ITK,,,-0.0258742216974496,,,-0.0258742216974496,-0.0258742216974496,,human,DOWN
HIST1H3H,,-0.016826644539833,-0.0348790660500526,,,-0.0258528552949428,-0.0258528552949428,,human,DOWN
GCA,,-0.0201255828142166,,-0.0313692092895507,,-0.0257473960518836,-0.0257473960518836,,human,DOWN
S100A9,,-0.0286218021064996,,-0.0322681032121181,-0.0160901434719562,-0.0256600162635246,-0.0286218021064996,,human,DOWN
SLA,,,-0.0255449451506137,,,-0.0255449451506137,-0.0255449451506137,,human,DOWN
CEBPB,,-0.0299800150096416,-0.0212284009903669,-0.0341043807566165,-0.0166740585118532,-0.0254967138171196,-0.0256042080000042,,human,DOWN
CD2,,,-0.0254534780979156,,,-0.0254534780979156,-0.0254534780979156,,human,DOWN
CDCA7L,,,-0.0253171809017658,,,-0.0253171809017658,-0.0253171809017658,,human,DOWN
LGALS12,,,-0.025273535400629,,,-0.025273535400629,-0.025273535400629,,human,DOWN
MS4A14,,,,,-0.0252353269606828,-0.0252353269606828,-0.0252353269606828,,human,DOWN
LOC100272216,,,,,-0.025114681571722,-0.025114681571722,-0.025114681571722,,human,DOWN
HCK,,-0.0284878648817539,,-0.0270876083523035,-0.0196730960160493,-0.0250828564167022,-0.0270876083523035,,human,DOWN
IL18RAP,,,,,-0.0250547919422388,-0.0250547919422388,-0.0250547919422388,,human,DOWN
HLA-DPB1,,-0.0219061486423015,-0.0248239543288946,-0.028226051479578,,-0.0249853848169247,-0.0248239543288946,,human,DOWN
GOLGA8H,,,,,-0.0249848663806915,-0.0249848663806915,-0.0249848663806915,,human,DOWN
NSUN5P2,,,,,-0.0248794443905353,-0.0248794443905353,-0.0248794443905353,,human,DOWN
SDPR,,-0.0247683767229318,,,,-0.0247683767229318,-0.0247683767229318,,human,DOWN
HDAC1,,-0.0299628973007202,-0.0194839872419834,,,-0.0247234422713518,-0.0247234422713518,,human,DOWN
HIST1H2AE,,,,,-0.0246549807488918,-0.0246549807488918,-0.0246549807488918,,human,DOWN
HSD17B3,,,-0.0308510325849056,,-0.0184251926839351,-0.0246381126344203,-0.0246381126344203,,human,DOWN
ARHGEF3,,,-0.0245929677039384,,,-0.0245929677039384,-0.0245929677039384,,human,DOWN
TYROBP,,-0.0213390085846185,,-0.0274958685040473,,-0.0244174385443329,-0.0244174385443329,,human,DOWN
LINC01006,,,-0.0243826936930418,,,-0.0243826936930418,-0.0243826936930418,,human,DOWN
IRX3,,,-0.0266664307564497,,-0.0220785159617662,-0.0243724733591079,-0.0243724733591079,,human,DOWN
LOC100133089,,,-0.0243405327200889,,,-0.0243405327200889,-0.0243405327200889,,human,DOWN
EVA1C,,,-0.0243132952600717,,,-0.0243132952600717,-0.0243132952600717,,human,DOWN
CEACAM8,,-0.0173054561018943,,-0.0245532002300024,-0.0310562364757061,-0.0243049642692009,-0.0245532002300024,,human,DOWN
ALYREF,,-0.024299569427967,,,,-0.024299569427967,-0.024299569427967,,human,DOWN
LOC100286909,,,,,-0.0242977533489465,-0.0242977533489465,-0.0242977533489465,,human,DOWN
CRISP3,,-0.019261660054326,,-0.0215993765741586,-0.0319488607347011,-0.0242699657877286,-0.0215993765741586,,human,DOWN
ITGB2,,-0.0241978727281093,,,,-0.0241978727281093,-0.0241978727281093,,human,DOWN
SIDT2,,,,,-0.0241857375949621,-0.0241857375949621,-0.0241857375949621,,human,DOWN
