gene_symbol,logfc_dz:758,logfc_dz:757,logfc_dz:794,logfc_dz:992,mean_logfc,median_logfc,common_experiment,organism,signature_type
ISCU,,,0.0250886976718902,,0.0250886976718902,0.0250886976718902,,human,UP
GSTO1,,,0.0250739473849535,,0.0250739473849535,0.0250739473849535,,human,UP
XPO6,,,0.0249961279332637,,0.0249961279332637,0.0249961279332637,,human,UP
KARS,0.0249195899814367,,,,0.0249195899814367,0.0249195899814367,,human,UP
UXT,,,0.0248790588229894,,0.0248790588229894,0.0248790588229894,,human,UP
VNN2,,,0.0246669817715883,,0.0246669817715883,0.0246669817715883,,human,UP
HSPB1,0.0218032039701938,0.0272858310490846,,,0.0245445175096392,0.0245445175096392,0.0272858310490846,human,UP
SEPP1,0.0245404634624719,,,,0.0245404634624719,0.0245404634624719,,human,UP
U2AF1,0.0327856540679931,0.0162294972687959,,,0.0245075756683945,0.0245075756683945,0.0162294972687959,human,UP
LEFTY1,0.02446810901165,,,,0.02446810901165,0.02446810901165,,human,UP
RNPS1,0.024410281330347,,,,0.024410281330347,0.024410281330347,,human,UP
PDLIM1,,0.0212620683014392,0.0275300443172454,,0.0243960563093423,0.0243960563093423,0.0212620683014392,human,UP
TUBA4A,0.0184397008270025,,0.0300589650869369,,0.0242493329569697,0.0242493329569697,,human,UP
PSMA6,0.0248972158879041,0.0235905908048152,,,0.0242439033463597,0.0242439033463597,0.0235905908048152,human,UP
PARK7,0.0225487295538187,,0.0258960351347923,,0.0242223823443055,0.0242223823443055,,human,UP
HADHA,,0.0241540446877479,,,0.0241540446877479,0.0241540446877479,0.0241540446877479,human,UP
ODC1,0.0228312611579895,,0.0254353825002908,,0.0241333218291401,0.0241333218291401,,human,UP
CAPZA1,,,0.0240808241069316,,0.0240808241069316,0.0240808241069316,,human,UP
RBM18,,,,0.024035770446062,0.024035770446062,0.024035770446062,,human,UP
TCP1,0.0258083846420049,0.0221713446080684,,,0.0239898646250367,0.0239898646250367,0.0221713446080684,human,UP
ARHGDIA,0.023739768192172,,,,0.023739768192172,0.023739768192172,,human,UP
BIRC3,0.0237151309847831,,,,0.0237151309847831,0.0237151309847831,,human,UP
SPCS1,,,0.0236430596560239,,0.0236430596560239,0.0236430596560239,,human,UP
LTA4H,,,0.0236427187919616,,0.0236427187919616,0.0236427187919616,,human,UP
RPS16,0.0150816729292273,0.0321945063769817,,,0.0236380896531045,0.0236380896531045,0.0321945063769817,human,UP
CCL20,0.0236189644783735,,,,0.0236189644783735,0.0236189644783735,,human,UP
CDC37,0.0307107027620077,0.0162555966526269,,,0.0234831497073173,0.0234831497073173,0.0162555966526269,human,UP
PCK2,,0.0233049988746643,,,0.0233049988746643,0.0233049988746643,0.0233049988746643,human,UP
C19orf10,0.0273289997130632,0.0192655865103006,,,0.0232972931116819,0.0232972931116819,0.0192655865103006,human,UP
POLD4,,0.0232884753495454,,,0.0232884753495454,0.0232884753495454,0.0232884753495454,human,UP
RHOG,,,0.0232872031629085,,0.0232872031629085,0.0232872031629085,,human,UP
SLC26A3,-0.0157469939440488,0.0621990785002708,,,0.0232260422781109,0.0232260422781109,0.0621990785002708,human,UP
HLA-DMB,0.023116149008274,,,,0.023116149008274,0.023116149008274,,human,UP
RPL13,,0.0230691321194171,,,0.0230691321194171,0.0230691321194171,0.0230691321194171,human,UP
CD302,,,0.0229885317385196,,0.0229885317385196,0.0229885317385196,,human,UP
FHL2,0.0228751078248024,,,,0.0228751078248024,0.0228751078248024,,human,UP
MAP1LC3B,,,0.0228117946535348,,0.0228117946535348,0.0228117946535348,,human,UP
CAPZB,0.0257953517138957,0.0196347646415233,,,0.0227150581777095,0.0227150581777095,0.0196347646415233,human,UP
DNAJC3,,,,0.0226835198700428,0.0226835198700428,0.0226835198700428,,human,UP
EEF1D,0.0226681753993034,,,,0.0226681753993034,0.0226681753993034,,human,UP
NDUFB8,0.0152596803382039,0.0300697144120931,,,0.0226646973751485,0.0226646973751485,0.0300697144120931,human,UP
ATP6V0B,0.0226361230015754,,,,0.0226361230015754,0.0226361230015754,,human,UP
CD81,0.0223536267876625,,,,0.0223536267876625,0.0223536267876625,,human,UP
RBX1,,,0.0222595371305942,,0.0222595371305942,0.0222595371305942,,human,UP
ACSL1,,,0.0222435481846332,,0.0222435481846332,0.0222435481846332,,human,UP
DUSP5,,,0.0221674907952547,,0.0221674907952547,0.0221674907952547,,human,UP
GRIN1,,0.0221490170806646,,,0.0221490170806646,0.0221490170806646,0.0221490170806646,human,UP
GNG10,,,0.0221383981406688,,0.0221383981406688,0.0221383981406688,,human,UP
LASP1,,0.0220414008945226,,,0.0220414008945226,0.0220414008945226,0.0220414008945226,human,UP
NDUFB3,0.0167720597237348,0.0273025203496217,,,0.0220372900366783,0.0220372900366783,0.0273025203496217,human,UP
EIF3D,0.0218896400183439,,,,0.0218896400183439,0.0218896400183439,,human,UP
C1QB,0.021879892796278,,,,0.021879892796278,0.021879892796278,,human,UP
GTF3A,,,0.0218686796724796,,0.0218686796724796,0.0218686796724796,,human,UP
EIF3H,,,0.0218476615846157,,0.0218476615846157,0.0218476615846157,,human,UP
PTGS1,,,0.0217522326856851,,0.0217522326856851,0.0217522326856851,,human,UP
CIB1,,0.0217287074774503,,,0.0217287074774503,0.0217287074774503,0.0217287074774503,human,UP
ATP5A1,,0.0217079892754554,,,0.0217079892754554,0.0217079892754554,0.0217079892754554,human,UP
IGHV3-23,0.0216673407703638,,,,0.0216673407703638,0.0216673407703638,,human,UP
UBE2D3,,,0.021646860986948,,0.021646860986948,0.021646860986948,,human,UP
GRN,0.0168972760438919,0.0263826288282871,,,0.0216399524360895,0.0216399524360895,0.0263826288282871,human,UP
