"","exp_id","cmap_score","p","q","subset_comparison_id","analysis_id","name","concentration","duration","cell_line","array_platform","vehicle","vendor","vendor_catalog_id","vendor_catalog_name","drug_concept_id","cas_number","DrugBank.ID","valid"
"262",3909,-0.339073335898509,0,0,"iiiniv_endo","cmap","etoposide",6.8e-06,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","396","Etoposide [33419-42-0]","C0015133","33419-42-0","DB00773",1
"263",2127,-0.336023392602393,0,0,"iiiniv_endo","cmap","torasemide",1.14e-05,6,"HL60","HT_HG-U133A","DMSO","Prestwick Chemical","1030","Torsemide [56211-40-6]","APRD00217","56211-40-6","DB00214",1
"264",3881,-0.334670206159122,0,0,"iiiniv_endo","cmap","bezafibrate",1.1e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","378","Bezafibrate [41859-67-0]","C0005330","41859-67-0","DB01393",1
"265",1085,-0.333354147259087,0,0,"iiiniv_endo","cmap","imipramine",1.26e-05,6,"HL60","HT_HG-U133A","DMSO","Prestwick Chemical","72","Imipramine hydrochloride [113-52-0]","C0020934","113-52-0","DB00458",1
"266",2594,-0.330457214444189,0,0,"iiiniv_endo","cmap","vidarabine",1.5e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","768","Vidarabine [5536-17-4]","C0042646","5536-17-4","DB00194",1
"267",1539,-0.328400292295022,0,0,"iiiniv_endo","cmap","phenformin",1.66e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","179","Phenformin hydrochloride [834-28-6]","C0770237","834-28-6","DB00914",1
"268",2532,-0.327940838947468,0,0,"iiiniv_endo","cmap","nicotinic acid",3.24e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","881","Niacin [59-67-6]","C0772043","59-67-6","DB00627",1
"269",1087,-0.323069114609351,0,0,"iiiniv_endo","cmap","hydroflumethiazide",1.2e-05,6,"HL60","HT_HG-U133A","DMSO","Prestwick Chemical","13","Hydroflumethiazide [135-09-1]","C0020273","135-09-1","DB00774",1
"270",2875,-0.322899509241383,0,0,"iiiniv_endo","cmap","quinethazone",1.38e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","1050","Quinethazone [73-49-4]","C0164608","73-49-4","DB01325",1
"271",4038,-0.32277181299419,0,0,"iiiniv_endo","cmap","cefalexin",1.1e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","358","Cephalexin monohydrate [23325-78-2]","NULL","23325-78-2","DB00567",1
"272",5036,-0.321318354057253,0,0,"iiiniv_endo","cmap","orlistat",1e-05,6,"PC3","HT_HG-U133A","DMSO","Sigma-Aldrich","O4139","Orlistat","C0076275","NULL","DB01083",1
"273",5271,-0.320723047653764,0,0,"iiiniv_endo","cmap","ciclopirox",1.5e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","541","Ciclopirox ethanolamine [41621-49-2]","C0126169","41621-49-2","DB01188",1
"274",1932,-0.311459444346938,0,0,"iiiniv_endo","cmap","atropine",5.8e-06,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","565","Atropine sulfate monohydrate [5908-99-6]","C0004259","5908-99-6","DB00572",1
"275",5615,-0.311011663673962,0,0,"iiiniv_endo","cmap","lomustine",1e-04,6,"PC3","HT_HG-U133A","DMSO","Sigma-Aldrich","L5918","lomustine","C0023972","NULL","DB01206",1
"276",60,-0.30992132336065,0,0,"iiiniv_endo","cmap","staurosporine",1e-06,6,"MCF7","HG-U133A","DMSO","Calbiochem","569397","staurosporine","EXPT02970","NULL","DB02010",1
"277",2273,-0.302126648800443,0,0,"iiiniv_endo","cmap","ursodeoxycholic acid",1.02e-05,6,"HL60","HT_HG-U133A","DMSO","Prestwick Chemical","958","Urosiol [128-13-2]","NULL","128-13-2","DB01586",1
"278",4096,-0.301959856125145,0,0,"iiiniv_endo","cmap","puromycin",7.4e-06,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","480","Puromycin dihydrochloride [58-58-2]","NULL","58-58-2","DB08437",1
"279",1969,-0.298835095204022,0,0,"iiiniv_endo","cmap","diflorasone",8e-06,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","619","Diflorasone Diacetate [33564-31-7]","C0304612","33564-31-7","DB00223",1
"280",4423,-0.294624775547125,0,0,"iiiniv_endo","cmap","crotamiton",1.96e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","951","Crotamiton [483-63-6]","C0056519","483-63-6","DB00265",1
"281",4797,-0.293712338045156,0,0,"iiiniv_endo","cmap","verteporfin",2.8e-06,6,"HL60","HT_HG-U133A","DMSO","Prestwick Chemical","1105","Verteporfin [129497-78-5]","C0387288","129497-78-5","DB00460",1
"282",4800,-0.290091418137142,0,0,"iiiniv_endo","cmap","trifluridine",1.36e-05,6,"HL60","HT_HG-U133A","DMSO","Prestwick Chemical","1056","Trifluridine [70-00-8]","C0040987","70-00-8","DB00432",1
"283",2152,-0.288206492144712,0,0,"iiiniv_endo","cmap","liothyronine",6.2e-06,6,"HL60","HT_HG-U133A","DMSO","Prestwick Chemical","853","Liothyronine [6893-02-3]","C0041014","6893-02-3","DB00279",1
"284",1452,-0.280488744729014,0,0,"iiiniv_endo","cmap","nalbuphine",1.02e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","118","Nalbuphine hydrochloride [23277-43-2]","C0600099","23277-43-2","DB00844",1
"285",772,-0.279352276255924,0,0,"iiiniv_endo","cmap","loperamide",7.8e-06,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","144","Loperamide hydrochloride [34552-83-5]","C0023992","34552-83-5","DB00836",1
"286",2028,-0.271323866934885,0,0,"iiiniv_endo","cmap","mycophenolic acid",1.24e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","556","Mycophenolic acid [24280-93-1]","C0026933","24280-93-1","DB01024",1
"287",4874,-0.266266223611317,0,0,"iiiniv_endo","cmap","disulfiram",1.34e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","97","Disulfiram [97-77-8]","C0012772","97-77-8","DB00822",1
"288",4039,-0.264504212288542,0,0,"iiiniv_endo","cmap","enoxacin",1.24e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","353","Enoxacin [74011-58-8]","C0014310","74011-58-8","DB00467",1
"289",2847,-0.257585550860234,0,0,"iiiniv_endo","cmap","flecainide",8.4e-06,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","735","Flecainide acetate [54143-56-5]","C0086303","54143-56-5","DB01195",1
"290",5266,-0.245437953124789,0,0,"iiiniv_endo","cmap","metixene",1.16e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","491","Metixene hydrochloride [1553-34-0]","APRD01101","1553-34-0","DB00340",1
"291",3630,-0.241221586178653,0,0,"iiiniv_endo","cmap","meclozine",8.6e-06,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","457","Meclozine dihydrochloride [1104-22-9]","NULL","1104-22-9","DB00737",1
"292",3149,-0.223462525933026,0,0,"iiiniv_endo","cmap","metacycline",8.4e-06,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","964","Methacycline hydrochloride [3963-95-9]","NULL","3963-95-9","DB00931",1
