"","name","DrugBank.ID","unstratified_reversal","InII_reversal","IIInIV_reversal","PE_reversal","ESE_reversal","MSE_reversal","Drug description","ATC Code","Drug class"
"145","Levocabastine","DB01106",-0.353976284607159,-0.42730357964369,-0.265224558367075,-0.42967709601667,NA,-0.411077036251133,"Antiallergic agents, excl. corticosteroids","R01AC02","Nasal preparations"
"146","Levomepromazine","DB01403",-0.356274743594534,-0.321340090936886,-0.384067366019761,-0.280116050237577,NA,NA,NA,NA," "
"147","Levonorgestrel","DB00367",-0.653119969934398,-0.600443425266792,-0.685358759961672,-0.609014024664079,-0.656702540878272,-0.690537860524966,"Progestogens and estrogens, sequential preparations","G03AB03","Sex hormones and modulators of the genital system"
"148","Liothyronine","DB00279",NA,-0.315665521398686,-0.273382652837962,-0.327051258943441,NA,-0.312311314086784,"Thyroid hormones","H03AA03","Thyroid therapy"
"149","Lisinopril","DB00722",-0.339828665897782,-0.313369327543414,-0.385102943255988,-0.303853205893756,-0.374488380174492,-0.355985056287128,"ACE inhibitors and diuretics","C09BA03","Agents acting on the renin-angiotensin system"
"150","Lomefloxacin","DB00978",-0.411358722124344,-0.411340400726918,-0.449557078463353,-0.407784494678563,-0.41171496185575,-0.462623216220612,"Fluoroquinolones","S01AE04","Ophthalmologicals"
"151","Lomustine","DB01206",-0.303663944092872,NA,-0.352388083818058,NA,-0.390338636883306,NA,"Nitrosoureas","L01AD02","Antineoplastic agents"
"152","Loperamide","DB00836",-0.325296245672972,-0.349847554164233,-0.308021050311526,-0.363482233278742,-0.478157861458913,-0.253497233057869,"Antipropulsives","A07DA53","Antidiarrheals, intestinal antiinflammatory/antiinfective agents"
"153","Lymecycline","DB00256",-0.410717717012453,-0.438015868999373,-0.456236419325598,-0.453051067896456,-0.383680563779032,-0.489121892394895,"Tetracyclines","J01AA04","Antibacterials for systemic use"
"154","Mebendazole","DB00643",-0.429834498224846,-0.439281135220066,-0.464097903298273,-0.418414724967982,-0.458682792191528,-0.45365850289181,"Benzimidazole derivatives","P02CA51","Anthelmintics"
"155","Meclozine","DB00737",NA,-0.314803599911731,NA,NA,NA,-0.244238279801522,NA,NA," "
"156","Medrysone","DB00253",-0.606929503226427,-0.545950470776612,-0.653498228452855,-0.554315046851896,-0.674055773899311,-0.635632680921684,"Corticosteroids, plain","S01BA08","Ophthalmologicals"
"157","Mefenamic acid","DB00784",-0.490919604625296,-0.491401783821504,-0.525716417613082,-0.496064086322116,-0.49568739384539,-0.512877281968017,"Fenamates","M01AG01","Antiinflammatory and antirheumatic products"
"158","Mefloquine","DB00358",-0.383277603576668,-0.39133576877542,-0.409481572198775,-0.341061767392083,-0.424674920907504,-0.336517393750339,"Artemisinin and derivatives, combinations","P01BF02","Antiprotozoals"
"159","Menadione","DB00170",-0.518635253259034,-0.566728093628871,-0.532224221916963,-0.539545969492131,-0.650567014356431,-0.485582212953132,"Vitamin K","B02BA02","Antihemorrhagics"
"160","Mepyramine","DB06691",-0.408155509971753,-0.348865881800624,-0.37051294019729,-0.345323368633802,-0.448418996954575,-0.360886334524796,"Antihistamines for topical use","D04AA02","Antipruritics, incl. antihistamines, anesthetics, etc."
"161","Mesalazine","DB00244",-0.520044954698359,-0.495632267971048,-0.458519658604711,-0.507550786296658,NA,-0.467986952788411,"Aminosalicylic acid and similar agents","A07EC02","Antidiarrheals, intestinal antiinflammatory/antiinfective agents"
"162","Metaraminol","DB00610",-0.466841034290634,-0.485175501772273,-0.470069535377061,-0.468713678920904,-0.500877980169784,-0.452329302637247,"Adrenergic and dopaminergic agents","C01CA09","Cardiac therapy"
"163","Metformin","DB00331",-0.354379083330357,-0.370720308836726,-0.429145766695855,-0.358404576137194,-0.385593697173885,-0.376532310453115,"Combinations of oral blood glucose lowering drugs","A10BD23","Drugs used in diabetes"
"164","Methazolamide","DB00703",-0.502193503788104,-0.508816427552544,-0.5346020279372,-0.502540881677513,-0.488791623408192,-0.401104033340686,"Sulfonamides","G01AE10","Gynecological antiinfectives and antiseptics"
"165","Methotrexate","DB00563",-0.463793039501202,-0.431643787172927,-0.455078131915417,-0.433614198335298,-0.4401915257743,-0.420958867291897,"Other immunosuppressants","L04AX03","Immunosuppressants"
"166","Methyldopa","DB00968",-0.527374266237416,-0.502072580530059,-0.528539976857443,-0.494232174819229,-0.538178914036099,-0.534174446819941,NA,NA," "
"167","Metixene","DB00340",-0.235001517103027,-0.258064386013215,-0.271100317934689,-0.221855904756595,-0.420187414873566,NA,"Tertiary amines","N04AA03","Anti-parkinson drugs"
"168","Metolazone","DB00524",-0.59078195335808,-0.584154176113039,-0.623179268746324,-0.589148488027362,-0.584656673044017,-0.585050039068119,"Low-ceiling diuretics and potassium-sparing agents","C03EA12","Diuretics"
"169","Metyrapone","DB01011",-0.392390811351078,-0.472661807547251,-0.351825040480668,-0.429637222522624,NA,-0.452154978146027,"Tests for pituitary function","V04CD01","Diagnostic agents"
"170","Miconazole","DB01110",-0.52318045492288,-0.442422740151996,-0.540431573899373,-0.431446225676628,-0.587155365780455,-0.488781568076294,"Imidazole derivatives","A07AC01","Antidiarrheals, intestinal antiinflammatory/antiinfective agents"
"171","Milrinone","DB00235",-0.336054846456446,-0.388385376900467,-0.356506627500305,-0.35256121824006,-0.394460733505836,-0.35432994299549,"Phosphodiesterase inhibitors","C01CE02","Cardiac therapy"
"172","Minaprine","DB00805",-0.427137021296513,-0.47517857773878,-0.46089838262837,-0.474892557682574,-0.448001985978441,-0.426407876589086,"Other antidepressants","N06AX07","Psychoanaleptics"
"173","Mitoxantrone","DB01204",-0.465870057559587,-0.452935806463824,-0.484237518263653,-0.493666705999869,-0.421046017543384,-0.468231292019504,"Anthracyclines and related substances","L01DB07","Antineoplastic agents"
"174","Monobenzone","DB00600",-0.461673406381468,-0.495010676117159,-0.48081266677821,-0.509646684102946,-0.498758942895656,-0.467664235768027,"Other dermatologicals","D11AX13","Other dermatological preparations"
"175","Moxisylyte","DB09205",-0.374763196435485,-0.332463320358384,-0.361116708123875,-0.320366019224859,-0.468084396332744,-0.377702581615221,"Other peripheral vasodilators","C04AX10","Peripheral vasodilators"
"176","Mycophenolic acid","DB01024",-0.302837167422892,-0.303503710386922,-0.272529040976296,-0.263773428649354,NA,-0.289139225653455,"Selective immunosuppressants","L04AA06","Immunosuppressants"
"177","Nalbuphine","DB00844",NA,-0.295848632272435,NA,-0.281231967779623,NA,-0.279479254914904,"Morphinan derivatives","N02AF02","Analgesics"
"178","Nalidixic acid","DB00779",-0.365600650308231,-0.38393043009829,-0.359060536557464,-0.386518739245503,NA,-0.401156332301359,"Other quinolones","J01MB02","Antibacterials for systemic use"
"179","Naloxone","DB01183",-0.465070071409909,-0.474134189551458,-0.488956573698242,-0.47511440126869,-0.496177142214917,-0.539184048605373,"Peripheral opioid receptor antagonists","A06AH04","Drugs for constipation"
"180","Naproxen","DB00788",-0.446044559307232,-0.455950655712654,-0.439098080890433,-0.42288790426212,-0.438571028513202,-0.398637740972134,"Antiinflammatory products for vaginal administration","G02CC02","Other gynecologicals"
"181","Natamycin","DB00826",-0.442506636726977,-0.443716554640809,-0.475083611838351,-0.408066094476624,-0.505459072351709,-0.425995304491275,"Antibiotics","G01AA02","Gynecological antiinfectives and antiseptics"
"182","Neomycin","DB00994",-0.424058763141554,-0.385025614928566,-0.437747917137577,-0.361032228589014,-0.397662542416989,-0.375073862059704,"Antibiotics","A07AA51","Antidiarrheals, intestinal antiinflammatory/antiinfective agents"
"183","Nialamide","DB04820",-0.35065862253067,-0.363910315794433,-0.370438669879991,-0.335735684335055,-0.423085894141722,-0.371296382843105,"Monoamine oxidase inhibitors, non-selective","N06AF02","Psychoanaleptics"
"184","Niclosamide","DB06803",-0.469745154063626,-0.450078659014839,-0.471346035859414,-0.436127741275701,-0.537792835291394,-0.40462289277816,"Salicylic acid derivatives","P02DA01","Anthelmintics"
"185","Nicotinic acid","DB00627",-0.315898264590158,NA,-0.339518877553525,-0.319638679147827,NA,-0.336452881499775,NA,NA," "
"186","Nifedipine","DB01115",-0.389639890243036,-0.401436140602671,-0.420806583971085,-0.382941362839287,-0.513647465573718,-0.403891585190243,"Dihydropyridine derivatives","C08CA55","Calcium channel blockers"
"187","Nitrendipine","DB01054",-0.397251853746615,NA,-0.375739424810573,-0.373192671748862,NA,-0.390676886750317,"Dihydropyridine derivatives","C08CA08","Calcium channel blockers"
"188","Nocodazole","DB08313",-0.565598693197425,-0.573244741277038,-0.593134494733779,-0.54757966810557,-0.600607836289694,-0.546963477003847,NA,NA," "
"189","Nomifensine","DB04821",-0.381257981556352,-0.415782599038734,-0.424966607532628,-0.406537934712935,-0.450550629603681,-0.398806828891534,"Other antidepressants","N06AX04","Psychoanaleptics"
"190","Nortriptyline","DB00540",-0.420887627761357,-0.468819982202272,-0.452486355526838,-0.419248178245973,-0.413017381043322,-0.358853240105198,"Non-selective monoamine reuptake inhibitors","N06AA10","Psychoanaleptics"
"191","Omeprazole","DB00338",-0.397996907354343,-0.42439599444263,-0.378089228629277,-0.41713369442078,NA,-0.488778429916129,"Proton pump inhibitors","A02BC01","Drugs for acid related disorders"
"192","Orlistat","DB01083",NA,NA,NA,NA,NA,-0.331602948702744,"Peripherally acting antiobesity products","A08AB01","Antiobesity preparations, excl. diet products"
"193","Ouabain","DB01092",-0.563315887674978,-0.433747276643782,-0.513740048344265,-0.450059907493494,-0.565117765679519,-0.460685491606631,"Strophanthus glycosides","C01AC01","Cardiac therapy"
"194","Oxaprozin","DB00991",-0.430664935923782,-0.459144555764197,-0.415441457302607,-0.439959594859367,-0.502333948102462,-0.450556605415978,"Propionic acid derivatives","M01AE12","Antiinflammatory and antirheumatic products"
"195","Oxprenolol","DB01580",-0.39452089722171,-0.440730230782592,-0.397615525632641,-0.434919217813878,NA,-0.456197822990034,"Beta blocking agents, non-selective, and thiazides","C07BA02","Beta blocking agents"
"196","Oxybuprocaine","DB00892",-0.466868851267653,-0.396976655475191,-0.457271795864721,-0.363205063868909,-0.472470134607598,-0.442472631396455,"Local anesthetics","S01HA02","Ophthalmologicals"
"197","Oxybutynin","DB01062",-0.4037579812142,-0.353756293355323,-0.422309934124843,-0.367783383839759,-0.48208697253548,-0.395970922338629,"Drugs for urinary frequency and incontinence","G04BD04","Urologicals"
