"","pathway","unstratified","InII","IIInIV","PE","ESE","MSE","adipiodone","bepridil","cloperastine","cycloserine","fenoprofen","flumetasone","flunisolide","iopanoic acid","irinotecan","levonorgestrel","medrysone","metolazone","primaquine","procyclidine","promazine","scopolamine","sertaconazole","sulfamethoxazole","trifluoperazine","zuclopenthixol"
"11","NOTCH_SIGNALING",NA,-0.869212634655394,NA,0.913154332311364,NA,0.659044602172311,1.40675868617242,1.12505572978776,0.559226408955371,-0.996333126784657,0.626149810095233,-0.655133359012774,1.14876230956023,0.744116871385388,-1.18096534939338,0.857579714213851,0.621167656182773,0.866087920218803,1.33390080058483,-0.875475450855716,-0.665962471161196,-0.923513153581633,1.35982623162095,-1.10224434311557,-0.976154881553371,-0.811621237865242
"12","ADIPOGENESIS",0.842806176127469,1.09351533038697,1.00501366182051,1.22846603886491,1.26526415359414,1.33713321138844,-0.651559678745243,0.827470684460455,-0.714049510846402,1.34029753259876,0.832039423669353,0.868260880868682,-0.654491950245882,-0.779668565837699,-0.739607134180541,0.549559920432515,0.568366754938455,0.666671540839956,1.06074220665333,-0.969329654159299,0.549082030261596,0.723190784858508,-0.716587276167285,-0.660011643815842,0.701280341472927,-0.773243554474523
"13","ESTROGEN_RESPONSE_EARLY",-0.872734357025788,-0.931431556857153,-0.861779570058632,-0.836967815947338,-1.2246121143639,-0.864926018206758,-1.01837877793023,1.00988522339432,0.944972607410065,-1.23547423652893,0.851444166083659,1.06433567378745,-1.0034649522695,0.869163481039178,-1.61701717489164,1.04944629502566,1.12588796826929,0.954722023640871,1.00822777317622,0.937618663940405,-0.896979773389684,-1.26536934434188,-0.840095560005106,-0.847577933143295,1.00311198002998,1.00511140563345
"14","ESTROGEN_RESPONSE_LATE",0.91677807709738,-1.33492504743998,1.11949285932416,-1.24018353162497,-1.18864669290529,-1.21275659915668,-0.998726267708255,0.899278125811124,-0.870245096684061,-1.04118287567807,1.05804785662493,0.97319555270683,1.1915077326851,0.926871730016509,-0.923719348030703,1.13910112991649,1.18322696179399,0.875289329363538,-0.942477149329246,-0.923589513446466,-0.894821571749177,-1.31880233617557,-0.99945019357701,-0.90815124880091,0.940730630694218,-1.06301139561349
"15","ANDROGEN_RESPONSE",-1.08575950894564,1.11950522851388,-1.12046686165083,1.48754572397841,NA,1.01859849845594,-0.999760194266939,0.768077316797798,-1.03830673511899,0.862686899334261,-1.25657031065772,-0.904430386537419,0.873591419757599,0.833059186104692,-1.24901128964979,0.885861115605015,0.763374646899359,0.845705183521217,-1.11459520614262,0.787688050310824,-0.726237742000341,-0.973375762413101,-1.0958477159762,0.7470561388267,1.20164643906622,-0.627346830971034
"16","MYOGENESIS",-2.6697141161594,-2.70287351252765,-2.05424841807412,-2.44508912295224,-0.914049425276589,-2.02958044993044,0.941333920957912,1.01310557171193,1.12759053890021,-1.06644504696939,-1.10591082357161,-1.09665456945867,1.13302093031492,1.01043497726298,1.43347078211817,1.25612945100273,1.39623684149925,-1.07653173525158,-0.911515566911581,-0.924235413881116,-0.953202116711506,1.07331034296872,-1.20908081899721,-1.12698574052166,1.11897840996507,-0.923207550873405
"17","PROTEIN_SECRETION",-1.27674075806113,1.16335458989845,1.14220045894759,1.3173968486034,-0.870690697955727,1.12125510694557,-1.05613406769881,-0.554575884086352,0.523846122483259,0.819826738017956,0.423304942294315,-0.612059024279149,-0.656633280021246,0.414078034416859,-1.59788364667963,-0.930204358742102,0.327668608559099,-0.802102124051772,-0.380939273680381,-0.522595484150493,-0.460170391780447,0.743877834783042,-0.521754934970239,-0.578645953855231,0.903978090000741,0.964976882107116
"18","INTERFERON_ALPHA_RESPONSE",1.19803877930997,0.862560580619732,0.916083757348769,0.945705252362018,-0.887237908810509,1.22729042667457,-1.2247974345115,-0.849556712634645,-0.761318182262006,0.782787048742353,-0.903705451023848,-1.08839179712,-1.08694513755123,-0.933157121762668,1.51285803305107,0.88431138379626,0.580191820367294,-0.884510967349387,-0.755424759498248,-0.841894041418058,-0.704808049025612,-1.12853401212751,-0.941120187437535,-0.769420791589946,1.72146748158583,1.07166711331621
"19","INTERFERON_GAMMA_RESPONSE",0.981224030297514,1.0128971720883,0.942589945218924,1.58256997781078,-0.626525127334756,1.28626136148037,-1.12209293101415,-1.23084695448547,0.796940805175228,-0.933876554227024,0.78606157131748,-1.09506850957381,-1.16063021822221,0.534338028077699,1.44053704888574,0.694100137014882,0.826413000507322,-0.913608615840415,1.00043178537362,-0.795906315482925,-0.805611101775834,0.849532520604255,-0.976196395717168,-0.996252420778928,1.29314431657744,1.05763990917074
"20","APICAL_JUNCTION",-2.36830493402657,-1.86957633083624,-1.88357353656124,-1.85084109444877,0.585766184037893,0.828423639370812,0.866287458048892,0.95823332905329,-1.02448191465023,-0.96204054410603,-1.00977672641092,-1.25571507189368,-1.15955410218965,1.14568269075441,-0.867591485767313,1.026326400165,1.08825926931759,0.787478708335932,-1.09685023834675,-0.82138847674029,-1.14484766784661,-1.10387557052589,-0.954615211511489,-0.961385862697255,1.02468810703335,1.05285003083606
