"","p","q","analysis_id","name","duration","DrugBank.ID","valid","unstratified_reversal","InII_reversal","IIInIV_reversal","PE_reversal","ESE_reversal","MSE_reversal"
"230",0,0,"cmap","proxymetacaine",6,"DB00807",1,-0.393149089142839,NA,-0.438577513484634,-0.378301557724501,NA,-0.36179998640839
"231",0,0,"cmap","puromycin",6,"DB08437",1,-0.330701036406504,-0.248796884099662,-0.291655596425002,-0.253193013212931,NA,NA
"232",0,0,"cmap","pyrazinamide",6,"DB00339",1,-0.383787649919136,-0.430086967152817,-0.401002762516353,-0.415358729615352,-0.389084374371577,-0.422149098398796
"233",0,0,"cmap","pyridoxine",6,"DB00165",1,-0.344097100615614,NA,-0.34912659853664,NA,-0.404952860284063,-0.372445213712218
"234",0,0,"cmap","pyrvinium",6,"DB06816",1,-0.568576546777891,-0.494152725307383,-0.573255237184123,-0.471632332238487,-0.478740873018094,-0.459117264907641
"235",0,0,"cmap","quinethazone",6,"DB01325",1,NA,-0.361668960751502,-0.331491682193995,-0.350255363255095,NA,-0.343016833319216
"236",0,0,"cmap","ranitidine",6,"DB00863",1,-0.367837367924103,NA,-0.391092778066587,-0.3514577273967,-0.443936012337295,-0.302450795387083
"237",0,0,"cmap","remoxipride",6,"DB00409",1,-0.535150189093856,-0.573498614393807,-0.600668557486119,-0.525167630762368,-0.528754631043071,-0.508933841309617
"238",0,0,"cmap","repaglinide",6,"DB00912",1,-0.375152805189875,-0.388051296676608,-0.347385401253485,-0.391961957444932,NA,-0.40018152217671
"239",0,0,"cmap","rescinnamine",6,"DB01180",1,-0.413964450929826,-0.427572979437986,-0.450563820976726,-0.427497236950562,-0.478127969871002,-0.444149417519811
"240",0,0,"cmap","reserpine",6,"DB00206",1,-0.376416578699326,-0.372461767490453,-0.355353049038848,-0.39989429742039,NA,-0.437089039470657
"241",0,0,"cmap","resveratrol",6,"DB02709",1,-0.522323517533044,-0.510905589985106,-0.541056711929736,-0.48378780471886,-0.540326299874994,-0.452062815483355
"242",0,0,"cmap","riboflavin",6,"DB00140",1,-0.375776052600569,-0.454779907909058,-0.373128915453389,-0.448699994424194,NA,-0.416291979744595
"243",0,0,"cmap","ribostamycin",6,"DB03615",1,-0.363442986967147,-0.317488376789829,-0.39205097541927,-0.319350271680051,-0.393502121405635,-0.360054793288978
"244",0,0,"cmap","rifabutin",6,"DB00615",1,NA,-0.22475039589739,NA,-0.183045703884953,NA,NA
"245",0,0,"cmap","rimexolone",6,"DB00896",1,-0.50696103597676,-0.454153194353455,-0.537276051733539,-0.469611751032064,-0.552825074427542,-0.467318911866834
"246",0,0,"cmap","risperidone",6,"DB00734",1,-0.420224622260507,-0.397578526918688,-0.447424941804096,-0.426123168250584,-0.379083323680468,-0.43779567236331
"247",0,0,"cmap","ritodrine",6,"DB00867",1,-0.423944843553626,-0.411990623779887,-0.467577470760928,-0.408592446209684,-0.449656250327444,-0.453580322037228
"248",0,0,"cmap","rolitetracycline",6,"DB01301",1,-0.403506841470877,-0.429212433010694,-0.43232675881087,-0.429330120977694,-0.395673262624118,-0.456542571663854
"249",0,0,"cmap","rosiglitazone",6,"DB00412",1,-0.378300605787382,-0.392505138209264,-0.402888959740748,-0.381161859587382,-0.397938779444291,-0.391351339176222
"250",0,0,"cmap","roxithromycin",6,"DB00778",1,-0.43233696548464,-0.423082539614697,-0.485960730856295,-0.426902376287352,-0.447755963497383,-0.4464945177143
"251",0,0,"cmap","salbutamol",6,"DB01001",1,-0.403354463971301,-0.428911306404753,-0.429097676200827,-0.417533077710738,-0.448189014737378,-0.435598749961268
"252",0,0,"cmap","saquinavir",6,"DB01232",1,-0.488822964136013,-0.540919990260016,-0.527439772675891,-0.538054333416754,-0.537633293875002,-0.479045073738814
"253",0,0,"cmap","scopolamine",6,"DB00747",1,-0.695417787728477,-0.742638688368738,-0.745870148522572,-0.692773647791484,-0.730393701996729,-0.602952179698459
"254",0,0,"cmap","sertaconazole",6,"DB01153",1,-0.584254834850642,-0.527330877370124,-0.627179290877516,-0.511475894149597,-0.59830259559459,-0.570710656513554
"255",0,0,"cmap","simvastatin",6,"DB00641",1,-0.576814289618731,-0.574068894860852,-0.574089765476687,-0.554942757222938,-0.499545310551709,-0.515435380959087
