"","x"
"149","sulfadimidine"
"150","rescinnamine"
"151","alfuzosin"
"152","beclometasone"
"153","tolmetin"
"154","ivermectin"
"155","lomefloxacin"
"156","levamisole"
"157","cinchocaine"
"158","fluvoxamine"
"159","tolbutamide"
"160","lymecycline"
"161","benzylpenicillin"
"162","doxazosin"
"163","difenidol"
"164","testosterone"
"165","amiodarone"
"166","mepyramine"
"167","cefalotin"
"168","capsaicin"
"169","betaxolol"
"170","doxorubicin"
"171","aminocaproic acid"
"172","tyloxapol"
"173","clomifene"
"174","oxybutynin"
"175","rolitetracycline"
"176","salbutamol"
"177","prenylamine"
"178","fluphenazine"
"179","paracetamol"
"180","vidarabine"
"181","cefixime"
"182","glibenclamide"
"183","omeprazole"
"184","nitrendipine"
"185","prochlorperazine"
"186","etofenamate"
"187","oxprenolol"
"188","proxymetacaine"
"189","amiloride"
"190","genistein"
"191","metyrapone"
"192","deferoxamine"
"193","nifedipine"
"194","bicuculline"
"195","amoxapine"
"196","benzonatate"
"197","dextromethorphan"
"198","ioversol"
"199","etidronic acid"
"200","colchicine"
"201","dexpanthenol"
"202","pyrazinamide"
"203","trioxysalen"
"204","mefloquine"
"205","apramycin"
"206","nomifensine"
"207","progesterone"
"208","guanfacine"
"209","glipizide"
"210","rosiglitazone"
"211","indapamide"
"212","chlorpromazine"
"213","reserpine"
"214","protriptyline"
"215","riboflavin"
"216","propafenone"
"217","phenoxybenzamine"
"218","repaglinide"
"219","moxisylyte"
"220","chlorzoxazone"
"221","aminohippuric acid"
"222","acetazolamide"
"223","papaverine"
"224","procainamide"
"225","imipenem"
"226","clozapine"
"227","dicoumarol"
"228","paroxetine"
"229","ranitidine"
"230","estrone"
"231","nalidixic acid"
"232","triflusal"
"233","prazosin"
"234","ribostamycin"
"235","perhexiline"
"236","aminophylline"
"237","theobromine"
"238","carisoprodol"
"239","levomepromazine"
"240","ciclopirox"
"241","fluvastatin"
"242","metformin"
"243","levocabastine"
"244","benzthiazide"
"245","budesonide"
"246","nialamide"
"247","torasemide"
"248","hyoscyamine"
"249","clotrimazole"
"250","sulfaphenazole"
"251","epirizole"
"252","pyridoxine"
"253","pentamidine"
"254","lisinopril"
"255","milrinone"
"256","sulfafurazole"
"257","puromycin"
"258","ursodeoxycholic acid"
"259","imipramine"
"260","staurosporine"
"261","vorinostat"
"262","etoposide"
"263","loperamide"
"264","phenformin"
"265","flufenamic acid"
"266","cefalexin"
"267","nicotinic acid"
"268","azathioprine"
"269","bezafibrate"
"270","albendazole"
"271","hydroflumethiazide"
"272","lomustine"
"273","mycophenolic acid"
"274","crotamiton"
"275","trifluridine"
"276","disulfiram"
"277","verteporfin"
"278","troglitazone"
"279","flecainide"
"280","atropine"
"281","diflorasone"
"282","metixene"
"283","estriol"
"284","chloramphenicol"
"285","quinethazone"
"286","liothyronine"
"287","meclozine"
"288","nalbuphine"
"289","arachidonic acid"
"290","rifabutin"
"291","ciclosporin"
"292","geldanamycin"
"293","letrozole"
"294","phenindione"
"295","oxyphenbutazone"
"296","orlistat"
"297","oxytetracycline"
"298","prilocaine"
"299","triprolidine"
