"SYMBOL","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
CALM1,0.0450875064220635,-0.0140014331438536,0.775,0.761,1
RGS5,0.045114002354478,0.175110937505886,0.142,0.126,1
GATC,0.0452045224708715,-0.0577482483062735,0.111,0.11,1
ACP2,0.0452550468629521,-0.105872783370059,0.08,0.103,1
UQCRC2,0.0452765158021576,-0.0932684683533972,0.288,0.313,1
ANAPC7,0.0452813003144755,-0.106155264342441,0.083,0.123,1
COL5A1,0.0452894109960414,0.0289888761219226,0.177,0.153,1
NMB,0.0453119875045909,0.0155806687773717,0.139,0.128,1
SPAST,0.0453411771577572,-0.0787886212945404,0.094,0.105,1
USP25,0.0453520305188357,-0.034003573378214,0.108,0.097,1
RAB13,0.0453616369400528,0.0617192694661399,0.59,0.571,1
CD44,0.0454820461388751,0.17263031801202,0.198,0.13,1
PPIG,0.0455088713529614,-0.0186751970851018,0.37,0.383,1
ECE1,0.0455230264753302,0.246109565003493,0.434,0.386,1
SNHG12,0.0455602205382632,0.143762429853542,0.282,0.233,1
NFKBIZ,0.0456189771215653,0.653092851719306,0.408,0.261,1
GLCE,0.0456796447017856,-0.182715255278625,0.155,0.209,1
IDH3B,0.0457824003543451,-0.0178831969070963,0.197,0.191,1
MZT2B,0.0458082366848823,-0.285144173103417,0.6,0.664,1
TCEA1,0.0459328587905252,-0.114863775751214,0.373,0.401,1
MRPL47,0.0460592010599793,-0.170149557538507,0.271,0.316,1
TMTC3,0.046064724144133,-0.0829789931705258,0.094,0.13,1
M6PR,0.0460865160055012,-0.0810718689958231,0.191,0.198,1
AP3B1,0.0460869277725044,-0.11720252092846,0.144,0.175,1
PHF5A,0.0463653604137537,-0.160575603513157,0.184,0.229,1
SDHB,0.046445330573236,-0.109830653565527,0.159,0.196,1
GLTP,0.0464537004835742,0.0537103791414417,0.267,0.23,1
FZD6,0.0464707874319187,-0.160590843422849,0.232,0.274,1
APOE,0.0466038690020276,0.3255146687452,0.268,0.245,1
NRAS,0.0466068024306113,-0.0403409531430598,0.2,0.205,1
LRATD2,0.0466391545827084,-0.150119771619424,0.191,0.219,1
GCC2,0.0467080807474417,-0.0695066211263542,0.268,0.277,1
MRPL58,0.0467219377656416,-0.164203807405268,0.087,0.141,1
PCBP2,0.0468507167880005,0.0163217891188272,0.67,0.655,1
PPP1R13B,0.0469916699762688,-0.096088314503617,0.196,0.214,1
EEF1B2,0.0470307416093792,-0.0903174871878569,0.8,0.808,1
PDXK,0.0470324147254438,0.10299962143987,0.237,0.2,1
SOD1,0.0471315722618006,-0.0526099985816277,0.569,0.575,1
FANCL,0.0472428785715288,-0.0580198961343275,0.073,0.112,1
HNRNPL,0.0473367841959286,-0.183783359212841,0.283,0.297,1
SERTAD3,0.0474785349739085,-0.0628157256370658,0.213,0.228,1
MON1B,0.0474856945836306,-0.206305049598986,0.156,0.178,1
BAZ1B,0.0475717899302726,-0.00897776282296192,0.232,0.232,1
BABAM1,0.0475887281597302,-0.0756803490163629,0.153,0.2,1
DPM1,0.0476178201528173,-0.0606500328094753,0.229,0.22,1
FAM53C,0.0477426439412306,0.109762115031274,0.15,0.097,1
MT-ND5,0.0477647964045181,0.00940013306166687,0.825,0.831,1
SELE,0.04778137485439,1.52635236865237,0.352,0.155,1
SKP1,0.0478887729187485,-0.166899938564356,0.717,0.727,1
DNMT1,0.0479824460591775,-0.268744497284005,0.22,0.281,1
HEXA,0.0480011881974409,-0.03698882215387,0.183,0.195,1
RFXANK,0.048071807533258,-0.234701337042407,0.18,0.233,1
INO80,0.0482106229659908,0.0372478637886426,0.125,0.121,1
HDGFL2,0.0482279855575065,-0.0985434708717539,0.108,0.136,1
RPL36,0.0482305465263102,-0.275091970178624,0.953,0.965,1
TRMT10C,0.0483365368564976,-0.0743385286075914,0.219,0.239,1
DEK,0.048357051578599,-0.148094606387588,0.472,0.477,1
CAMKK2,0.0483654740726012,-0.0306273501268576,0.103,0.104,1
MESD,0.048367551107689,-0.0387499720473266,0.27,0.273,1
CDC123,0.0485046144005877,-0.0948151314923561,0.214,0.256,1
IPO11,0.0485114572248037,-0.152576075851252,0.207,0.256,1
GFER,0.0487281553805795,-0.0515962878933763,0.108,0.13,1
IMPDH1,0.0487783324694558,-0.0945225154031334,0.089,0.107,1
SEC11A,0.0488859508208703,0.0102482155407413,0.6,0.578,1
ARL4C,0.0489768459043755,0.131800151187856,0.199,0.141,1
DYRK3,0.0490156036254812,0.226021247583384,0.208,0.112,1
C1QTNF6,0.0490644133576694,-0.0243818652589269,0.082,0.101,1
GABARAPL1,0.0490885436111017,0.264303316828139,0.32,0.215,1
PGS1,0.0491422255888912,0.0274644829931394,0.154,0.15,1
STAMBP,0.0492391543854614,0.0133126267168069,0.102,0.11,1
ZCCHC17,0.04930338676446,-0.156637710669625,0.165,0.194,1
ABT1,0.0493935774562899,-0.0124149881187145,0.127,0.134,1
WBP4,0.0494879601773234,0.0486552922487254,0.238,0.218,1
DBF4,0.0495329403148191,-0.035788645339898,0.1,0.107,1
SDCCAG8,0.0496014334754747,-0.00895285126517253,0.151,0.167,1
EIF4B,0.0496439400474571,0.0155184995639042,0.476,0.472,1
SH3PXD2A,0.0498817340843457,0.105832119417414,0.158,0.117,1
GTPBP4,0.0498943319931553,0.111485557173871,0.266,0.212,1
TUBB3,0.0499787571105009,0.0740239526272195,0.26,0.243,1
LMCD1,0.0500655372182827,-0.280504081352939,0.363,0.416,1
ATF7IP2,0.0501597896481973,0.199277564104387,0.155,0.11,1
TSFM,0.0502403188762789,-0.0838756952836673,0.091,0.135,1
PPP6C,0.0502502370412664,-0.0661899703111564,0.22,0.244,1
UROD,0.0502829104243383,-0.0164748973899394,0.125,0.144,1
MEOX1,0.0504421024943337,-0.0786602871419061,0.088,0.115,1
RARRES2,0.0504917378766472,0.0896414424421325,0.143,0.118,1
VPS51,0.050542251155906,-0.101803538059087,0.186,0.218,1
RDX,0.0505911818029187,-0.0177795994496632,0.53,0.534,1
