"exp_id","cmap_score","p","q","subset_comparison_id","analysis_id","drug_name","concentration","duration","cell_line","array_platform","vehicle","vendor","vendor_catalog_id","vendor_catalog_name","drug_concept_id","cas_number","DrugBank.ID"
5721,-0.697346239109141,9.99990000099999e-06,0.0001260022172949,"file16e95f7ba187_logFC_0","TAHOE","Aspirin",0.0500000007450581,24,"ACH-000793","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
5866,-0.692861306863472,9.99990000099999e-06,0.0001260022172949,"file16e95f7ba187_logFC_0","TAHOE","Ataluren",0.0500000007450581,24,"ACH-000148","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
6109,-0.837379987389009,9.99990000099999e-06,0.0001260022172949,"file16e95f7ba187_logFC_0","TAHOE","Atazanavir (sulfate)",5,24,"ACH-000138","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
6152,-0.779452909054136,9.99990000099999e-06,0.0001260022172949,"file16e95f7ba187_logFC_0","TAHOE","Auranofin",0.0500000007450581,24,"ACH-000555","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
6404,-0.688206840074397,9.99990000099999e-06,0.0001260022172949,"file16e95f7ba187_logFC_0","TAHOE","Azithromycin (hydrate)",5,24,"ACH-000940","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
6527,-0.760952030647087,9.99990000099999e-06,0.0001260022172949,"file16e95f7ba187_logFC_0","TAHOE","BAY1125976",0.5,24,"ACH-000496","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
6666,-0.652518133256134,9.99990000099999e-06,0.0001260022172949,"file16e95f7ba187_logFC_0","TAHOE","BI-3406",0.5,24,"ACH-000148","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
6801,-0.7906272183248,9.99990000099999e-06,0.0001260022172949,"file16e95f7ba187_logFC_0","TAHOE","BI-78D3",0.5,24,"ACH-000757","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
6989,-0.634843611819433,9.99990000099999e-06,0.0001260022172949,"file16e95f7ba187_logFC_0","TAHOE","Baicalin",0.5,24,"ACH-000790","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
7139,-0.567711105206594,2e-05,0.000186013093289689,"file16e95f7ba187_logFC_0","TAHOE","Balsalazide (sodium hydrate)",0.5,24,"ACH-000790","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
7227,-0.762212237419744,9.99990000099999e-06,0.0001260022172949,"file16e95f7ba187_logFC_0","TAHOE","Belinostat",0.0500000007450581,24,"ACH-000496","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
7350,-0.645004084691923,9.99990000099999e-06,0.0001260022172949,"file16e95f7ba187_logFC_0","TAHOE","Belumosudil",0.0500000007450581,24,"ACH-000558","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
7600,-0.786580002458747,9.99990000099999e-06,0.0001260022172949,"file16e95f7ba187_logFC_0","TAHOE","Belumosudil (mesylate)",5,24,"ACH-000558","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
7731,-0.714508587767339,9.99990000099999e-06,0.0001260022172949,"file16e95f7ba187_logFC_0","TAHOE","Belzutifan",0.5,24,"ACH-000628","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
7908,-0.696059660296398,9.99990000099999e-06,0.0001260022172949,"file16e95f7ba187_logFC_0","TAHOE","Bendamustine",5,24,"ACH-000120","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
8008,-0.711492558325831,9.99990000099999e-06,0.0001260022172949,"file16e95f7ba187_logFC_0","TAHOE","Benproperine (phosphate)",0.5,24,"ACH-000120","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
8174,-0.806324927328175,9.99990000099999e-06,0.0001260022172949,"file16e95f7ba187_logFC_0","TAHOE","Bentamapimod",0.5,24,"ACH-000916","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
8376,-0.76906916612799,9.99990000099999e-06,0.0001260022172949,"file16e95f7ba187_logFC_0","TAHOE","Benztropine (mesylate)",5,24,"ACH-000521","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
8502,-0.78247647336424,9.99990000099999e-06,0.0001260022172949,"file16e95f7ba187_logFC_0","TAHOE","Berbamine",5,24,"ACH-000940","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
8657,-0.656824310658666,9.99990000099999e-06,0.0001260022172949,"file16e95f7ba187_logFC_0","TAHOE","Berbamine (dihydrochloride)",5,24,"ACH-000138","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
8776,-0.619374030877098,9.99990000099999e-06,0.0001260022172949,"file16e95f7ba187_logFC_0","TAHOE","Berberine (chloride hydrate)",0.5,24,"ACH-000521","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
8913,-0.629804073587906,9.99990000099999e-06,0.0001260022172949,"file16e95f7ba187_logFC_0","TAHOE","Bergenin",0.5,24,"ACH-000861","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
9051,-0.731493073869472,9.99990000099999e-06,0.0001260022172949,"file16e95f7ba187_logFC_0","TAHOE","Bestatin",0.5,24,"ACH-000681","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
