gene_symbol,logfc_dz:774,logfc_dz:775,logfc_dz:776,logfc_dz:777,logfc_dz:808,logfc_dz:778,logfc_dz:613,mean_logfc,median_logfc,common_experiment,organism
RPL39,0.03276659548282623,0.047904714941978455,-0.01648527756333351,,0.030889734625816345,0.041127968579530716,,0.02724074721336365,0.03276659548282623,-0.01648527756333351,human
ZWINT,0.032762132585048676,0.037874381989240646,0.01808602549135685,0.02699647657573223,,0.025757232680916786,0.012846117839217186,0.025720394526918728,0.02637685462832451,0.01808602549135685,human
SNHG5,0.032710183411836624,0.049649082124233246,-0.02433168701827526,-0.038891784846782684,,0.03647112846374512,,0.011121384426951408,0.032710183411836624,-0.02433168701827526,human
MIF,0.03251958265900612,0.026066854596138,,,0.049865856766700745,0.07359655201435089,0.04057640954852104,0.04452505111694336,0.04057640954852104,,human
TIMMDC1,0.03231186792254448,0.02064698189496994,0.03539358824491501,0.023440051823854446,,0.01853078603744507,,0.026064655184745787,0.023440051823854446,0.03539358824491501,human
RBBP8,0.03217453882098198,0.030979853123426437,0.030845867469906807,0.02555692195892334,0.014839657582342625,0.01635831780731678,0.012711136601865292,0.02335232762353761,0.02555692195892334,0.030845867469906807,human
SNRPG,0.031769365072250366,0.03900391608476639,0.013476087711751461,0.03144212067127228,,0.018762150779366493,,0.026890728063881396,0.03144212067127228,0.013476087711751461,human
USMG5,0.031703341752290726,0.03064609318971634,-0.028839141130447388,,,0.036821722984313965,,0.01758300419896841,0.031174717471003532,-0.028839141130447388,human
TRIAP1,0.03112415224313736,0.02789892628788948,0.016830014064908028,,,0.014362785965204239,,0.022553969640284777,0.022364470176398754,0.016830014064908028,human
RPS5,0.030786367133259773,,-0.02348804846405983,-0.07967323809862137,0.06179714575409889,0.032449450343847275,,0.004374335333704948,0.030786367133259773,-0.02348804846405983,human
RAP1B,0.03071635216474533,0.01797444187104702,,0.015008133836090565,,0.016764601692557335,0.01197865791618824,0.0184884374961257,0.016764601692557335,,human
H3F3B,0.030661463737487793,,0.017730355262756348,,0.042314063757658005,0.013617089949548244,,0.026080743176862597,0.02419590950012207,0.017730355262756348,human
GPNMB,0.0306402537971735,,,,0.11592800915241241,,0.07067940384149551,0.07241588893036048,0.07067940384149551,,human
PSMD14,0.030224984511733055,0.02276328019797802,0.015505562536418438,0.023097079247236252,0.014505083672702312,0.06134002283215523,,0.027906002166370552,0.022930179722607136,0.015505562536418438,human
PMAIP1,0.029871612787246704,,,,0.013086755760014057,0.014531661756336689,,0.019163343434532482,0.014531661756336689,,human
NEDD1,0.029589083045721054,,,0.01523809228092432,,,,0.022413587663322687,0.022413587663322687,,human
RCN2,0.02915339730679989,0.017860179767012596,0.020678872242569923,,0.01558101549744606,,0.013366752304136753,0.019328043423593046,0.017860179767012596,0.020678872242569923,human
RPN2,0.029127826914191246,0.03156750649213791,0.020193085074424744,0.03631461039185524,,0.01877152919769287,,0.027194911614060402,0.029127826914191246,0.020193085074424744,human
ABRACL,0.02900032140314579,0.019087575376033783,,0.025008538737893105,,,,0.02436547850569089,0.025008538737893105,,human
RPL27,0.028960853815078735,,-0.035600695759058,-0.04634931683540344,0.04029614105820656,0.026147302240133286,,0.0026908569037914277,0.026147302240133286,-0.035600695759058,human
ISCU,0.028527894988656044,0.014372949488461018,,0.02237050235271454,0.01306300051510334,0.01196136325597763,,0.018059142120182513,0.014372949488461018,,human
KPNA2,0.028418520465493202,0.04050857946276665,,0.02163221687078476,,0.03526715189218521,,0.031456617172807455,0.03184283617883921,,human
LAPTM4B,0.028223391622304916,0.016495995223522186,,,0.02886183187365532,,0.015367771498858929,0.022237247554585338,0.02235969342291355,,human
LBR,0.028112133964896202,0.01513937022536993,,,,,,0.021625752095133066,0.021625752095133066,,human
GJA1,0.027858495712280273,0.06847386062145233,,0.01338436733931303,0.024139560759067535,0.052299078553915024,0.02572060190141201,0.03531266081457337,0.026789548806846142,,human
YBX1,0.027844754979014397,0.02514592930674553,,,0.023396028205752373,0.04226064309477806,0.011850640177726746,0.02609959915280342,0.02514592930674553,,human
NDUFA9,0.027815040200948715,0.03099670261144638,,0.014883121475577354,0.011807285249233246,0.023792443796992302,,0.0218589186668396,0.023792443796992302,,human
CCR5,0.02766532637178898,0.04869631305336952,0.03334039822220802,0.05863797664642334,,,,0.042085003573447466,0.04101835563778877,0.03334039822220802,human
CDK4,0.027559272944927216,0.029074039310216904,0.015910964459180832,,0.02926674298942089,0.028833171352744102,0.017739558592438698,0.024730624941488106,0.02819622214883566,0.015910964459180832,human
AK3,0.027204755693674088,,,,,,,0.027204755693674088,0.027204755693674088,,human
RAD51AP1,0.026925034821033478,0.024560049176216125,,,,0.018197475001215935,,0.023227519666155178,0.024560049176216125,,human
PSME2,0.02691180258989334,0.05266831815242767,0.01524580828845501,0.07492842525243759,-0.04955366253852844,0.018461721017956734,-0.07566944509744644,0.00899899538074221,0.018461721017956734,0.01524580828845501,human
MX1,0.026864971965551376,0.05569182708859444,0.03588269278407097,0.029086945578455925,0.012688010931015015,0.025248803198337555,-0.02388080395758152,0.023083206798349108,0.026864971965551376,0.03588269278407097,human
NAP1L1,0.02682812139391899,0.018598157912492752,,,0.021442174911499023,0.01818997785449028,0.012319985777139664,0.019475683569908142,0.018598157912492752,,human
HCAR3,0.026777608320116997,,0.017248600721359253,,0.05820239335298538,0.0273034255951643,0.04758775606751442,0.03542395681142807,0.0273034255951643,0.017248600721359253,human
ERRFI1,0.02656577341258526,,,,,,,0.02656577341258526,0.02656577341258526,,human
CCT3,0.026468336582183838,0.033982936292886734,,,,,,0.030225636437535286,0.030225636437535286,,human
RPL9,0.026394175365567207,0.045972004532814026,-0.015039632096886635,,0.03191234916448593,0.027970928698778152,0.022130995988845825,0.02322347027560075,0.02718255203217268,-0.015039632096886635,human
PSMA6,0.026280902326107025,0.022281648591160774,-0.0146379629150033,0.037413667887449265,,,,0.01783456397242844,0.0242812754586339,-0.0146379629150033,human
SORD,0.02624552696943283,,0.030509456992149353,,,,,0.028377491980791092,0.028377491980791092,0.030509456992149353,human
FAM96A,0.026223761960864067,0.02672281302511692,,0.023724786937236786,,0.014973875135183334,,0.022911309264600277,0.024974274449050426,,human
LAP3,0.026027746498584747,0.043832167983055115,0.03199246898293495,0.06599811464548111,-0.024679124355316162,0.015120679512619972,-0.029675766825675964,0.018373755205954825,0.026027746498584747,0.03199246898293495,human
RPS10,0.025936780497431755,,-0.04341503605246544,-0.04399004578590393,0.020678076893091202,0.014909147284924984,,-0.005176215432584286,0.014909147284924984,-0.04341503605246544,human
YWHAQ,0.025882145389914513,0.042113129049539566,,0.01967187225818634,0.022612495347857475,0.03620348870754242,0.021358489990234375,0.027973603457212448,0.024247320368885994,,human
PTMA,0.025843041017651558,,0.013047696091234684,0.024755442515015602,,-0.02316790446639061,0.017343666404485703,0.011564388312399388,0.017343666404485703,0.013047696091234684,human
RCC2,0.025769826024770737,0.022062797099351883,0.022831222042441368,,,0.022656237706542015,,0.0233300207182765,0.02274372987449169,0.022831222042441368,human
PLS3,0.025652654469013214,,,0.04740156605839729,0.013949083164334297,0.033737894147634506,0.018419256433844566,0.027832090854644775,0.025652654469013214,,human
WDR47,0.025641174986958504,,0.01714945398271084,,,0.011699064634740353,,0.018163231201469898,0.01714945398271084,0.01714945398271084,human
RPL22,0.02556106634438038,,,,0.03348701447248459,0.013126926496624947,,0.024058335771163303,0.02556106634438038,,human
CDK2AP1,0.025523945689201355,0.028650380671024323,,0.01836441084742546,0.03208732232451439,0.029389120638370514,0.0237122792750597,0.02628790990759929,0.02708716318011284,,human
