gene_symbol,logfc_dz:508,logfc_dz:234,mean_logfc,median_logfc,common_experiment,organism
NBPF25P,0.019302252680063248,,0.019302252680063248,0.019302252680063248,,human
PARP9,0.019296709448099136,,0.019296709448099136,0.019296709448099136,,human
ATP6V1B2,0.019175976514816284,,0.019175976514816284,0.019175976514816284,,human
HLA-G,0.019132355228066444,,0.019132355228066444,0.019132355228066444,,human
DTX2P1-UPK3BP1-PMS2P11,0.019039006903767586,,0.019039006903767586,0.019039006903767586,,human
VSIG4,0.019007977098226547,,0.019007977098226547,0.019007977098226547,,human
ARL6IP1,0.019001277163624763,-0.007999321445822716,0.005500977858901024,0.005500977858901024,-0.007999321445822716,human
MMP12,0.018968159332871437,,0.018968159332871437,0.018968159332871437,,human
ACTR3,0.01891317032277584,,0.01891317032277584,0.01891317032277584,,human
PLEKHB2,0.018908826634287834,,0.018908826634287834,0.018908826634287834,,human
GNS,0.01887531578540802,,0.01887531578540802,0.01887531578540802,,human
TPP1,0.01886032521724701,,0.01886032521724701,0.01886032521724701,,human
CTSC,0.01866280473768711,-0.008042019791901112,0.005310392472893,0.005310392472893,-0.008042019791901112,human
RSAD2,0.01860595867037773,,0.01860595867037773,0.01860595867037773,,human
NAIP,0.018601130694150925,,0.018601130694150925,0.018601130694150925,,human
ATP13A3,0.018564939498901367,,0.018564939498901367,0.018564939498901367,,human
C1QC,0.018420739099383354,,0.018420739099383354,0.018420739099383354,,human
THAP9-AS1,0.018353916704654694,,0.018353916704654694,0.018353916704654694,,human
SFRP2,0.018149279057979584,,0.018149279057979584,0.018149279057979584,,human
CSF1R,0.01811276376247406,,0.01811276376247406,0.01811276376247406,,human
TNFSF10,0.01801910065114498,,0.01801910065114498,0.01801910065114498,,human
NPC1,0.0178992860019207,,0.0178992860019207,0.0178992860019207,,human
DDX17,0.01789356768131256,-0.007428630255162716,0.0052324687130749226,0.0052324687130749226,-0.007428630255162716,human
CES1,0.017866995185613632,,0.017866995185613632,0.017866995185613632,,human
PIK3AP1,0.017705297097563744,,0.017705297097563744,0.017705297097563744,,human
TSPAN3,0.017574479803442955,,0.017574479803442955,0.017574479803442955,,human
SERINC1,0.01756947860121727,0.0077294036746025085,0.01264944113790989,0.01264944113790989,0.0077294036746025085,human
STAB1,0.017566656693816185,0.02915327623486519,0.023359966464340687,0.023359966464340687,0.02915327623486519,human
DDX6,0.017544960603117943,,0.017544960603117943,0.017544960603117943,,human
CREG1,0.01748098060488701,,0.01748098060488701,0.01748098060488701,,human
SLC2A1,0.017471112310886383,,0.017471112310886383,0.017471112310886383,,human
TMBIM6,0.01745956391096115,-0.008154517039656639,0.004652523435652256,0.004652523435652256,-0.008154517039656639,human
CYFIP1,0.017448028549551964,,0.017448028549551964,0.017448028549551964,,human
CD4,0.017407817766070366,,0.017407817766070366,0.017407817766070366,,human
PDIA3P1,0.017396055161952972,,0.017396055161952972,0.017396055161952972,,human
WIPF1,0.017394741997122765,,0.017394741997122765,0.017394741997122765,,human
SPRED1,0.01738641783595085,,0.01738641783595085,0.01738641783595085,,human
RAB7A,0.017353208735585213,,0.017353208735585213,0.017353208735585213,,human
INPP4B,0.017300589010119438,,0.017300589010119438,0.017300589010119438,,human
ATP6V1A,0.017299911007285118,,0.017299911007285118,0.017299911007285118,,human
FTH1,0.017256692051887512,-0.04815702885389328,-0.015450168401002884,-0.015450168401002884,-0.04815702885389328,human
BOLA2B,0.01724737323820591,,0.01724737323820591,0.01724737323820591,,human
ARPC3,0.017183564603328705,-0.007420371752232313,0.004881596425548196,0.004881596425548196,-0.007420371752232313,human
HNRNPA2B1,0.017176704481244087,,0.017176704481244087,0.017176704481244087,,human
MYO1E,0.01717604510486126,,0.01717604510486126,0.01717604510486126,,human
UTRN,0.01717446558177471,,0.01717446558177471,0.01717446558177471,,human
C3AR1,0.016929619014263153,,0.016929619014263153,0.016929619014263153,,human
MEF2C,0.016891419887542725,,0.016891419887542725,0.016891419887542725,,human
SLC6A6,0.01682830974459648,,0.01682830974459648,0.01682830974459648,,human
LOC388022,0.01682428829371929,,0.01682428829371929,0.01682428829371929,,human
FCGRT,0.016791820526123047,,0.016791820526123047,0.016791820526123047,,human
LPCAT2,0.01676803268492222,,0.01676803268492222,0.01676803268492222,,human
IFIT2,0.0167219340801239,,0.0167219340801239,0.0167219340801239,,human
BMPR2,0.016688883304595947,,0.016688883304595947,0.016688883304595947,,human
LAIR1,0.016594961285591125,-0.008557064458727837,0.0040189484134316444,0.0040189484134316444,-0.008557064458727837,human
FCHSD2,0.01658688113093376,,0.01658688113093376,0.01658688113093376,,human
H3F3B,0.01640581339597702,,0.01640581339597702,0.01640581339597702,,human
