gene_symbol,logfc_dz:561,logfc_dz:787,logfc_dz:707,mean_logfc,median_logfc,common_experiment,organism
STK17B,0.021038133651018143,,,0.021038133651018143,0.021038133651018143,,human
CD63,0.020973946899175644,0.02251066453754902,0.05721541866660118,0.03356667670110861,0.02251066453754902,0.05721541866660118,human
LDHA,0.02090032957494259,0.09306687861680984,-0.08398833870887756,0.009992956494291624,0.02090032957494259,-0.08398833870887756,human
MZB1,0.02085893414914608,,,0.02085893414914608,0.02085893414914608,,human
RPS14,0.020807400345802307,,,0.020807400345802307,0.020807400345802307,,human
ACTG1,0.020768076181411743,0.021454647183418274,-0.03620100021362305,0.0020072410504023233,0.020768076181411743,-0.03620100021362305,human
EEF1G,0.020687775686383247,0.0942808985710144,0.033724717795848846,0.04956446401774883,0.033724717795848846,0.033724717795848846,human
PGK1,0.020667385309934616,,,0.020667385309934616,0.020667385309934616,,human
UBALD2,0.020555421710014343,,,0.020555421710014343,0.020555421710014343,,human
SELK,0.020297523587942123,,,0.020297523587942123,0.020297523587942123,,human
H3F3AP4,0.020207291468977928,0.057306595146656036,-0.016657574102282524,0.02028543750445048,0.020207291468977928,-0.016657574102282524,human
ANXA1,0.02018504962325096,0.016699912026524544,,0.018442480824887753,0.018442480824887753,,human
LGALS1,0.019969874992966652,,,0.019969874992966652,0.019969874992966652,,human
SERINC1,0.01976497657597065,,0.023344900459051132,0.02155493851751089,0.02155493851751089,0.023344900459051132,human
SULF2,0.01975787803530693,,,0.01975787803530693,0.01975787803530693,,human
RPS20,0.01975344680249691,0.014834812842309475,0.01886589825153351,0.017818052632113297,0.01886589825153351,0.01886589825153351,human
HNRNPA1P6,0.019718525931239128,,,0.019718525931239128,0.019718525931239128,,human
PRG3,0.019700288772583008,,,0.019700288772583008,0.019700288772583008,,human
HSPA1B,0.019489344209432602,0.013372112065553665,,0.016430728137493134,0.016430728137493134,,human
TMSB10,0.019190391525626183,0.05345114693045616,-0.01890682615339756,0.017911570767561596,0.019190391525626183,-0.01890682615339756,human
EIF5,0.019122587516903877,,,0.019122587516903877,0.019122587516903877,,human
IER2,0.019090550020337105,0.02053740806877613,,0.019813979044556618,0.019813979044556618,,human
RPL13AP20,0.019043058156967163,,,0.019043058156967163,0.019043058156967163,,human
DNAJB1,0.019004764035344124,,,0.019004764035344124,0.019004764035344124,,human
TECR,0.018851792439818382,,,0.018851792439818382,0.018851792439818382,,human
PSMB3,0.018797164782881737,,,0.018797164782881737,0.018797164782881737,,human
LAPTM4A,0.01870858669281006,0.028341718018054962,0.017862146720290184,0.021637483810385067,0.01870858669281006,0.017862146720290184,human
RPS18,0.018603257834911346,0.10883397608995438,0.0657200813293457,0.06438577175140381,0.0657200813293457,0.0657200813293457,human
