gene_symbol,logfc_dz:693,logfc_dz:1075,logfc_dz:1074,logfc_dz:1073,logfc_dz:1079,logfc_dz:692,logfc_dz:691,logfc_dz:450,logfc_dz:512,logfc_dz:816,mean_logfc,median_logfc,common_experiment,organism
H1FX,,,,,,,0.012990472838282585,,,,0.012990472838282585,0.012990472838282585,,human
FLNA,,,,,,,0.012804592959582806,,,,0.012804592959582806,0.012804592959582806,,human
PSMA3,,,,,,,0.01279543898999691,,,,0.01279543898999691,0.01279543898999691,,human
DYSF,,,,,,,0.012715430930256844,,,,0.012715430930256844,0.012715430930256844,,human
PPP6C,,,,,,,0.012500169686973095,,,,0.012500169686973095,0.012500169686973095,,human
TIMM8B,,,,,,,0.012498080730438232,,,,0.012498080730438232,0.012498080730438232,,human
RBM47,,,,,,,0.012394671328365803,,,,0.012394671328365803,0.012394671328365803,,human
MTHFD2,,,,,,,0.012390928342938423,,,,0.012390928342938423,0.012390928342938423,,human
CAPZB,,,,,,,0.012360147200524807,,,,0.012360147200524807,0.012360147200524807,,human
RGL1,,,,,,,0.012318255379796028,0.012886958196759224,,,0.012602606788277626,0.012602606788277626,,human
FLVCR2,,,,,,,0.01226932741701603,,,,0.01226932741701603,0.01226932741701603,,human
PPP4C,,,,,,,0.012137571349740028,,,,0.012137571349740028,0.012137571349740028,,human
PDIA6,,,,,,,0.012106718495488167,,,,0.012106718495488167,0.012106718495488167,,human
P2RX4,,,,,,,0.012053887359797955,,,,0.012053887359797955,0.012053887359797955,,human
SASH3,,,,,,,0.012034539133310318,,,,0.012034539133310318,0.012034539133310318,,human
RRAGC,,,,,,,0.011868656612932682,,,,0.011868656612932682,0.011868656612932682,,human
CPVL,,,,,,,-0.06358359754085541,,,,-0.06358359754085541,-0.06358359754085541,,human
FCER1A,,,,,,,-0.06355650722980499,,,,-0.06355650722980499,-0.06355650722980499,,human
TKT,,,,,,,-0.05353444442152977,,,,-0.05353444442152977,-0.05353444442152977,,human
PLBD1,,,,,,,-0.04644594341516495,,,,-0.04644594341516495,-0.04644594341516495,,human
PF4,,,,,,,-0.04207364097237587,0.09035665541887283,,,0.024141507223248482,0.024141507223248482,,human
LTF,,,,,,,-0.04106329008936882,0.037934985011816025,,,-0.0015641525387763977,-0.0015641525387763977,,human
DEFA1B,,,,,,,-0.040198758244514465,0.24179519712924957,,,0.10079821944236755,0.10079821944236755,,human
CLEC7A,,,,,,,-0.03829236328601837,,,,-0.03829236328601837,-0.03829236328601837,,human
SULT1A1,,,,,,,-0.03528124839067459,,,,-0.03528124839067459,-0.03528124839067459,,human
PECAM1,,,,,,,-0.031901463866233826,,,,-0.031901463866233826,-0.031901463866233826,,human
CST3,,,,,,,-0.027346311137080193,,,,-0.027346311137080193,-0.027346311137080193,,human
LRMP,,,,,,,-0.027238281443715096,,,,-0.027238281443715096,-0.027238281443715096,,human
VNN2,,,,,,,-0.027018312364816666,,,,-0.027018312364816666,-0.027018312364816666,,human
CFP,,,,,,,-0.026725679636001587,,,,-0.026725679636001587,-0.026725679636001587,,human
HK3,,,,,,,-0.025563662871718407,,,,-0.025563662871718407,-0.025563662871718407,,human
EMR1,,,,,,,-0.023610249161720276,,,,-0.023610249161720276,-0.023610249161720276,,human
AMPD2,,,,,,,-0.02074419893324375,,,,-0.02074419893324375,-0.02074419893324375,,human
VNN1,,,,,,,-0.020667964592576027,,,,-0.020667964592576027,-0.020667964592576027,,human
TESC,,,,,,,-0.019242089241743088,,,,-0.019242089241743088,-0.019242089241743088,,human
CD244,,,,,,,-0.01874496042728424,,,,-0.01874496042728424,-0.01874496042728424,,human
RAB32,,,,,,,-0.018206626176834106,,,,-0.018206626176834106,-0.018206626176834106,,human
MS4A3,,,,,,,-0.017336586490273476,,,,-0.017336586490273476,-0.017336586490273476,,human
RTN1,,,,,,,-0.016948964446783066,,,,-0.016948964446783066,-0.016948964446783066,,human
DDX46,,,,,,,-0.016840891912579536,,,,-0.016840891912579536,-0.016840891912579536,,human
CACNA2D3,,,,,,,-0.01679356023669243,,,,-0.01679356023669243,-0.01679356023669243,,human
CORO1A,,,,,,,-0.01657857559621334,-0.026182202622294426,,,-0.021380389109253883,-0.021380389109253883,,human
RHOC,,,,,,,-0.016412513330578804,,,,-0.016412513330578804,-0.016412513330578804,,human
MANBA,,,,,,,-0.016245584934949875,,,,-0.016245584934949875,-0.016245584934949875,,human
LUC7L3,,,,,,,-0.01594400778412819,,,,-0.01594400778412819,-0.01594400778412819,,human
